"Category","PM<sub>2.5</sub> particulates"
"18/5/2024 1:00",6.37
"18/5/2024 2:00",8.48
"18/5/2024 3:00",11.41
"18/5/2024 4:00",12.15
"18/5/2024 5:00",17.42
"18/5/2024 6:00",19.08
"18/5/2024 7:00",17.86
"18/5/2024 8:00",15.85
"18/5/2024 9:00",15.87
"18/5/2024 10:00",13.92
"18/5/2024 11:00",12.62
"18/5/2024 12:00",13.03
"18/5/2024 13:00",13.04
"18/5/2024 14:00",12.62
"18/5/2024 15:00",12.97
"18/5/2024 16:00",12.69
"18/5/2024 17:00",11.92
"18/5/2024 18:00",12.36
"18/5/2024 19:00",14.51
"18/5/2024 20:00",16.33
"18/5/2024 21:00",14.71
"18/5/2024 22:00",9.8
"18/5/2024 23:00",8.95
"19/5/2024 0:00",8.85
"19/5/2024 1:00",12.99
"19/5/2024 2:00",15
"19/5/2024 3:00",16.03
"19/5/2024 4:00",16.98
"19/5/2024 5:00",16.89
"19/5/2024 6:00",16.01
"19/5/2024 7:00",14.68
"19/5/2024 8:00",14.45
"19/5/2024 9:00",13.67
"19/5/2024 10:00",14.64
"19/5/2024 11:00",13.58
"19/5/2024 12:00",12.98
"19/5/2024 13:00",12.42
"19/5/2024 14:00",11.44
"19/5/2024 15:00",10.86
"19/5/2024 16:00",10.69
"19/5/2024 17:00",11.17
"19/5/2024 18:00",11.38
"19/5/2024 19:00",10.87
"19/5/2024 20:00",10.66
"19/5/2024 21:00",12.78
"19/5/2024 22:00",14
"19/5/2024 23:00",14.39
"20/5/2024 0:00",14.66
"20/5/2024 1:00",14.35
"20/5/2024 2:00",14.74
"20/5/2024 3:00",15.8
"20/5/2024 4:00",16.19
"20/5/2024 5:00",16.29
"20/5/2024 6:00",15.64
"20/5/2024 7:00",14.89
"20/5/2024 8:00",13.56
"20/5/2024 9:00",12.13
"20/5/2024 10:00",11.56
"20/5/2024 11:00",11.04
"20/5/2024 12:00",10.58
"20/5/2024 13:00",9.99
"20/5/2024 14:00",9.98
"20/5/2024 15:00",10.51
"20/5/2024 16:00",10.53
"20/5/2024 17:00",10.05
"20/5/2024 18:00",9.52
"20/5/2024 19:00",9.17
"20/5/2024 20:00",8.91
"20/5/2024 21:00",9.01
"20/5/2024 22:00",9.72
"20/5/2024 23:00",9.86
"21/5/2024 0:00",8.81
"21/5/2024 1:00",6.45
"21/5/2024 2:00",6.29
"21/5/2024 3:00",6.74
"21/5/2024 4:00",7.19
"21/5/2024 5:00",7.84
"21/5/2024 6:00",8.49
"21/5/2024 7:00",9.09
"21/5/2024 8:00",9.53
"21/5/2024 9:00",8.98
"21/5/2024 10:00",9.12
"21/5/2024 11:00",9.63
"21/5/2024 12:00",10.78
"21/5/2024 13:00",11.23
"21/5/2024 14:00",11.92
"21/5/2024 15:00",12.84
"21/5/2024 16:00",13.85
"21/5/2024 17:00",14.29
"21/5/2024 18:00",13.75
"21/5/2024 19:00",13.57
"21/5/2024 20:00",12.57
"21/5/2024 21:00",12.81
"21/5/2024 22:00",12.17
"21/5/2024 23:00",12.23
"22/5/2024 0:00",15.11
"22/5/2024 1:00",16.14
"22/5/2024 2:00",16.3
"22/5/2024 3:00",15.74
"22/5/2024 4:00",13.97
"22/5/2024 5:00",15.39
