"Category","Nitrogen dioxide"
"25/5/2021 17:00",10.57
"25/5/2021 18:00",10.45
"25/5/2021 19:00",10.51
"25/5/2021 20:00",9.1
"25/5/2021 21:00",10.74
"25/5/2021 22:00",13.72
"25/5/2021 23:00",16.17
"26/5/2021 0:00",19.71
"26/5/2021 1:00",36.29
"26/5/2021 2:00",38.09
"26/5/2021 3:00",31.97
"26/5/2021 4:00",29.82
"26/5/2021 5:00",33.66
"26/5/2021 6:00",34.23
"26/5/2021 7:00",34.61
"26/5/2021 8:00",31.81
"26/5/2021 9:00",28.72
"26/5/2021 10:00",23.69
"26/5/2021 11:00",20.39
"26/5/2021 12:00",18.28
"26/5/2021 13:00",15.88
"26/5/2021 14:00",15.79
"26/5/2021 15:00",17.34
"26/5/2021 16:00",23.44
"26/5/2021 17:00",24.51
"26/5/2021 18:00",25.6
"26/5/2021 19:00",26.25
"26/5/2021 20:00",27.62
"26/5/2021 21:00",30.78
"26/5/2021 22:00",29.79
"26/5/2021 23:00",36.27
"27/5/2021 0:00",40.58
"27/5/2021 1:00",46.09
"27/5/2021 2:00",47.43
"27/5/2021 3:00",47.4
"27/5/2021 4:00",48.82
"27/5/2021 5:00",51.81
"27/5/2021 6:00",50.63
"27/5/2021 7:00",45.78
"27/5/2021 8:00",34.18
"27/5/2021 9:00",25.02
"27/5/2021 10:00",18.81
"27/5/2021 11:00",15.99
"27/5/2021 12:00",17.52
"27/5/2021 13:00",15.63
"27/5/2021 14:00",16.82
"27/5/2021 15:00",23.04
"27/5/2021 16:00",26.54
"27/5/2021 17:00",32.2
"27/5/2021 18:00",31.98
"27/5/2021 19:00",35.36
"27/5/2021 20:00",37.48
"27/5/2021 21:00",43.04
"27/5/2021 22:00",46.93
"27/5/2021 23:00",50.45
"28/5/2021 0:00",50.19
"28/5/2021 1:00",51.53
"28/5/2021 2:00",46.93
"28/5/2021 3:00",41.92
"28/5/2021 4:00",38.81
"28/5/2021 5:00",40.92
"28/5/2021 6:00",42.62
"28/5/2021 7:00",40
"28/5/2021 8:00",34.74
"28/5/2021 9:00",30.86
"28/5/2021 10:00",23
"28/5/2021 11:00",26.61
"28/5/2021 12:00",21.14
"28/5/2021 13:00",24.83
"28/5/2021 14:00",27.46
"28/5/2021 15:00",41.6
"28/5/2021 16:00",47.91
"28/5/2021 17:00",42.67
"28/5/2021 18:00",45.19
"28/5/2021 19:00",46.97
"28/5/2021 20:00",44.91
"28/5/2021 21:00",50.67
"28/5/2021 22:00",52.11
"28/5/2021 23:00",53.5
"29/5/2021 0:00",53.42
"29/5/2021 1:00",44.33
"29/5/2021 2:00",46.8
"29/5/2021 3:00",40.41
"29/5/2021 4:00",33.58
"29/5/2021 5:00",31.06
"29/5/2021 6:00",32.13
"29/5/2021 7:00",30.2
"29/5/2021 8:00",27.89
"29/5/2021 9:00",27.24
"29/5/2021 10:00",27.17
"29/5/2021 11:00",26.71
