"Category","PM<sub>2.5</sub> particulates"
"25/5/2021 17:00",4.45
"25/5/2021 18:00",4.01
"25/5/2021 19:00",5.98
"25/5/2021 20:00",5.35
"25/5/2021 21:00",4.9
"25/5/2021 22:00",5.92
"25/5/2021 23:00",5.48
"26/5/2021 0:00",7.7
"26/5/2021 1:00",6.82
"26/5/2021 2:00",7.4
"26/5/2021 3:00",6.29
"26/5/2021 4:00",5.76
"26/5/2021 5:00",5.85
"26/5/2021 6:00",5.84
"26/5/2021 7:00",6.01
"26/5/2021 8:00",6.39
"26/5/2021 9:00",7.26
"26/5/2021 10:00",6.97
"26/5/2021 11:00",5.93
"26/5/2021 12:00",4.98
"26/5/2021 13:00",4.71
"26/5/2021 14:00",4.73
"26/5/2021 15:00",4.99
"26/5/2021 16:00",6.07
"26/5/2021 17:00",5.55
"26/5/2021 18:00",6.19
"26/5/2021 19:00",6.91
"26/5/2021 20:00",6.4
"26/5/2021 21:00",6.94
"26/5/2021 22:00",6.71
"26/5/2021 23:00",7.16
"27/5/2021 0:00",8.02
"27/5/2021 1:00",10.16
"27/5/2021 2:00",11.12
"27/5/2021 3:00",12.88
"27/5/2021 4:00",13.73
"27/5/2021 5:00",14.1
"27/5/2021 6:00",15.07
"27/5/2021 7:00",14.31
"27/5/2021 8:00",7.93
"27/5/2021 9:00",5.81
"27/5/2021 10:00",5.44
"27/5/2021 11:00",5.4
"27/5/2021 12:00",5.66
"27/5/2021 13:00",5.66
"27/5/2021 14:00",6.37
"27/5/2021 15:00",5.65
"27/5/2021 16:00",6.25
"27/5/2021 17:00",8.25
"27/5/2021 18:00",8.63
"27/5/2021 19:00",9.55
"27/5/2021 20:00",11.74
"27/5/2021 21:00",16.09
"27/5/2021 22:00",16.77
"27/5/2021 23:00",17.27
"28/5/2021 0:00",16.91
"28/5/2021 1:00",16.18
"28/5/2021 2:00",17.53
"28/5/2021 3:00",17.42
"28/5/2021 4:00",16.4
"28/5/2021 5:00",15.18
"28/5/2021 6:00",14.63
"28/5/2021 7:00",15.06
"28/5/2021 8:00",15.64
"28/5/2021 9:00",14.7
"28/5/2021 10:00",11.98
"28/5/2021 11:00",12.78
"28/5/2021 12:00",12
"28/5/2021 13:00",10.57
"28/5/2021 14:00",9.99
"28/5/2021 15:00",11.51
"28/5/2021 16:00",11.78
"28/5/2021 17:00",11.28
"28/5/2021 18:00",12.08
"28/5/2021 19:00",11.37
"28/5/2021 20:00",10.28
"28/5/2021 21:00",13.23
"28/5/2021 22:00",13.95
"28/5/2021 23:00",14.51
"29/5/2021 0:00",13.75
"29/5/2021 1:00",13.83
"29/5/2021 2:00",15.34
"29/5/2021 3:00",16.51
"29/5/2021 4:00",18.56
"29/5/2021 5:00",19.42
"29/5/2021 6:00",19.68
"29/5/2021 7:00",18.84
"29/5/2021 8:00",17.4
"29/5/2021 9:00",15.17
"29/5/2021 10:00",12.78
"29/5/2021 11:00",13.5
"29/5/2021 12:00",13.42
"29/5/2021 13:00",13.95
"29/5/2021 14:00",14.65
"29/5/2021 15:00",14.07
"29/5/2021 16:00",12.45
"29/5/2021 17:00",10.73
"29/5/2021 18:00",9.61
"29/5/2021 19:00",9.76
"29/5/2021 20:00",9
"29/5/2021 21:00",10.61
"29/5/2021 22:00",12.13
"29/5/2021 23:00",12.78
"30/5/2021 0:00",14.12
"30/5/2021 1:00",14.25
"30/5/2021 2:00",15.92
"30/5/2021 3:00",15.11
"30/5/2021 4:00",14.84
"30/5/2021 5:00",16.14
"30/5/2021 6:00",15.52
"30/5/2021 7:00",14.25
"30/5/2021 8:00",12.35
"30/5/2021 9:00",13.1
"30/5/2021 10:00",14.33
"30/5/2021 11:00",14.33
"30/5/2021 12:00",12.39
"30/5/2021 13:00",9.95
"30/5/2021 14:00",9.14
"30/5/2021 15:00",10.29
"30/5/2021 16:00",11.71
"30/5/2021 17:00",12.59
"30/5/2021 18:00",13.87
"30/5/2021 19:00",13.87
"30/5/2021 20:00",14.51
"30/5/2021 21:00",14.59
"30/5/2021 22:00",15.79
"30/5/2021 23:00",17.42
"31/5/2021 0:00",17.64
"31/5/2021 1:00",19.24
"31/5/2021 2:00",18.77
"31/5/2021 3:00",18.43
"31/5/2021 4:00",18.12
"31/5/2021 5:00",18.49
"31/5/2021 6:00",18.74
"31/5/2021 7:00",19.08
"31/5/2021 8:00",19.69
"31/5/2021 9:00",19.69
"31/5/2021 10:00",18.42
"31/5/2021 11:00",15.82
"31/5/2021 12:00",12.08
"31/5/2021 13:00",10.48
"31/5/2021 14:00",9.6
"31/5/2021 15:00",9.63
"31/5/2021 16:00",10.28
"31/5/2021 17:00",10.77
