"Category","PM<sub>2.5</sub> particulates"
"22/6/2022 7:00",14.07
"22/6/2022 8:00",11.24
"22/6/2022 9:00",8.85
"22/6/2022 10:00",6.53
"22/6/2022 11:00",5.97
"22/6/2022 12:00",6.14
"22/6/2022 13:00",6.07
"22/6/2022 14:00",5.73
"22/6/2022 15:00",5.68
"22/6/2022 16:00",5.71
"22/6/2022 17:00",5.84
"22/6/2022 18:00",5.63
"22/6/2022 19:00",5.74
"22/6/2022 20:00",5.5
"22/6/2022 21:00",5.47
"22/6/2022 22:00",5.57
"22/6/2022 23:00",6.42
"23/6/2022 0:00",7.46
"23/6/2022 1:00",5.24
"23/6/2022 2:00",6.26
"23/6/2022 3:00",7.72
"23/6/2022 4:00",10.75
"23/6/2022 5:00",8.96
"23/6/2022 6:00",9.4
"23/6/2022 7:00",9.07
"23/6/2022 8:00",10.36
"23/6/2022 9:00",13.49
"23/6/2022 10:00",14.2
"23/6/2022 11:00",14.01
"23/6/2022 12:00",11.56
"23/6/2022 13:00",9.65
"23/6/2022 14:00",11.05
"23/6/2022 15:00",14.02
"23/6/2022 16:00",12.17
"23/6/2022 17:00",12.68
"23/6/2022 18:00",8.89
"23/6/2022 19:00",8.51
"23/6/2022 20:00",7.17
"23/6/2022 21:00",7.09
"23/6/2022 22:00",8.07
"23/6/2022 23:00",5.9
"24/6/2022 0:00",5.02
"24/6/2022 1:00",9.99
"24/6/2022 2:00",13.45
"24/6/2022 3:00",15.05
"24/6/2022 4:00",16.21
"24/6/2022 5:00",15.86
"24/6/2022 6:00",16.63
"24/6/2022 7:00",15.1
"24/6/2022 8:00",11.06
"24/6/2022 9:00",8.19
"24/6/2022 10:00",7.2
"24/6/2022 11:00",7.39
"24/6/2022 12:00",7.39
"24/6/2022 13:00",7.23
"24/6/2022 14:00",7.47
"24/6/2022 15:00",7.86
"24/6/2022 16:00",8.34
"24/6/2022 17:00",8.13
"24/6/2022 18:00",7.51
"24/6/2022 19:00",7.54
"24/6/2022 20:00",7.71
"24/6/2022 21:00",7.98
"24/6/2022 22:00",8.33
"24/6/2022 23:00",8.25
"25/6/2022 0:00",7.12
"25/6/2022 1:00",8.2
"25/6/2022 2:00",7.55
"25/6/2022 3:00",7.18
"25/6/2022 4:00",7.65
"25/6/2022 5:00",8.47
"25/6/2022 6:00",7.66
"25/6/2022 7:00",7.82
"25/6/2022 8:00",6.63
"25/6/2022 9:00",7.04
"25/6/2022 10:00",6.12
"25/6/2022 11:00",4.68
"25/6/2022 12:00",5.09
"25/6/2022 13:00",5.41
"25/6/2022 14:00",5.22
