"Category","Nitrogen dioxide"
"25/6/2021 9:00",19.63
"25/6/2021 10:00",16.03
"25/6/2021 11:00",12.52
"25/6/2021 12:00",8.69
"25/6/2021 13:00",12.44
"25/6/2021 14:00",13.98
"25/6/2021 15:00",13.56
"25/6/2021 16:00",13.83
"25/6/2021 17:00",13.95
"25/6/2021 18:00",17.04
"25/6/2021 19:00",23.72
"25/6/2021 20:00",19.14
"25/6/2021 21:00",19.9
"25/6/2021 22:00",20.03
"25/6/2021 23:00",19.22
"26/6/2021 0:00",21.86
"26/6/2021 1:00",15.83
"26/6/2021 2:00",13.67
"26/6/2021 3:00",12.24
"26/6/2021 4:00",11.71
"26/6/2021 5:00",11.49
"26/6/2021 6:00",11.25
"26/6/2021 7:00",11.1
"26/6/2021 8:00",11.24
"26/6/2021 9:00",12.27
"26/6/2021 10:00",14.38
"26/6/2021 11:00",14.95
"26/6/2021 12:00",16.3
"26/6/2021 13:00",20.97
"26/6/2021 14:00",24.94
"26/6/2021 15:00",24.82
"26/6/2021 16:00",23.55
"26/6/2021 17:00",20.98
"26/6/2021 18:00",21.03
"26/6/2021 19:00",21.15
"26/6/2021 20:00",21.6
"26/6/2021 21:00",20.96
"26/6/2021 22:00",18.92
"26/6/2021 23:00",14.78
"27/6/2021 0:00",10.11
"27/6/2021 1:00",21.47
"27/6/2021 2:00",20.08
"27/6/2021 3:00",18.5
"27/6/2021 4:00",17.21
"27/6/2021 5:00",17.07
"27/6/2021 6:00",17.54
"27/6/2021 7:00",15.94
"27/6/2021 8:00",13.66
"27/6/2021 9:00",10.75
"27/6/2021 10:00",11.16
"27/6/2021 11:00",12.46
"27/6/2021 12:00",9.45
"27/6/2021 13:00",11.14
"27/6/2021 14:00",19.24
"27/6/2021 15:00",19.67
"27/6/2021 16:00",20.17
"27/6/2021 17:00",20.69
"27/6/2021 18:00",26.29
"27/6/2021 19:00",35.65
"27/6/2021 20:00",36.07
"27/6/2021 21:00",31.55
"27/6/2021 22:00",27.1
"27/6/2021 23:00",23.51
"28/6/2021 0:00",21.22
"28/6/2021 1:00",7.4
"28/6/2021 2:00",7.08
"28/6/2021 3:00",7.01
"28/6/2021 4:00",7.71
"28/6/2021 5:00",8.36
"28/6/2021 6:00",9.84
"28/6/2021 7:00",11.51
"28/6/2021 8:00",12.18
"28/6/2021 9:00",13.19
"28/6/2021 10:00",12.61
"28/6/2021 11:00",12.57
"28/6/2021 12:00",13.91
"28/6/2021 13:00",12.54
"28/6/2021 14:00",8.26
"28/6/2021 15:00",6.72
"28/6/2021 16:00",6.83
"28/6/2021 17:00",7.39
"28/6/2021 18:00",7.55
"28/6/2021 19:00",10.09
"28/6/2021 20:00",11.55
"28/6/2021 21:00",11.6
"28/6/2021 22:00",12.66
"28/6/2021 23:00",13.6
"29/6/2021 0:00",12.26
"29/6/2021 1:00",9.94
"29/6/2021 2:00",5.03
"29/6/2021 3:00",5.48
"29/6/2021 4:00",6
"29/6/2021 5:00",9.62
"29/6/2021 6:00",12.02
"29/6/2021 7:00",12.45
"29/6/2021 8:00",13.01
"29/6/2021 9:00",15.3
"29/6/2021 10:00",15.39
"29/6/2021 11:00",13.59
"29/6/2021 12:00",15.88
"29/6/2021 13:00",16.43
"29/6/2021 14:00",21.58
"29/6/2021 15:00",17.63
"29/6/2021 16:00",18.73
"29/6/2021 17:00",18.7
"29/6/2021 18:00",19.28
"29/6/2021 19:00",17.39
"29/6/2021 20:00",16.14
"29/6/2021 21:00",16.15
"29/6/2021 22:00",20.33
"29/6/2021 23:00",17.02
"30/6/2021 0:00",16.66
"30/6/2021 1:00",12.11
"30/6/2021 2:00",7.29
"30/6/2021 3:00",7.53
"30/6/2021 4:00",6.51
"30/6/2021 5:00",8.11
"30/6/2021 6:00",11.55
"30/6/2021 7:00",14.09
"30/6/2021 8:00",9.03
"30/6/2021 9:00",8.3
"30/6/2021 10:00",8.26
"30/6/2021 11:00",10.17
"30/6/2021 12:00",12.14
"30/6/2021 13:00",10.03
"30/6/2021 14:00",13.33
"30/6/2021 15:00",12.45
"30/6/2021 16:00",12.33
"30/6/2021 17:00",11.17
"30/6/2021 18:00",11.08
"30/6/2021 19:00",10.22
"30/6/2021 20:00",10.43
"30/6/2021 21:00",16.8
"30/6/2021 22:00",18.88
"30/6/2021 23:00",18.01
"1/7/2021 0:00",21.46
"1/7/2021 1:00",34.16
"1/7/2021 2:00",35.32
"1/7/2021 3:00",31.48
"1/7/2021 4:00",27.49
"1/7/2021 5:00",30.21
"1/7/2021 6:00",25.96
"1/7/2021 7:00",28.36
"1/7/2021 8:00",31.28
"1/7/2021 9:00",30.42
"1/7/2021 10:00",27.15
"1/7/2021 11:00",26.28
"1/7/2021 12:00",18.53
"1/7/2021 13:00",19.24
"1/7/2021 14:00",16.57
"1/7/2021 15:00",16.53
"1/7/2021 16:00",15.43
"1/7/2021 17:00",21.8
