"Category","PM<sub>2.5</sub> particulates"
"25/6/2021 9:00",7.65
"25/6/2021 10:00",7.35
"25/6/2021 11:00",6.14
"25/6/2021 12:00",5.44
"25/6/2021 13:00",5.54
"25/6/2021 14:00",5.72
"25/6/2021 15:00",5.44
"25/6/2021 16:00",5.41
"25/6/2021 17:00",5.27
"25/6/2021 18:00",5.21
"25/6/2021 19:00",8.23
"25/6/2021 20:00",8.26
"25/6/2021 21:00",8.43
"25/6/2021 22:00",9.67
"25/6/2021 23:00",8.9
"26/6/2021 0:00",9.67
"26/6/2021 1:00",7.95
"26/6/2021 2:00",8.6
"26/6/2021 3:00",9.64
"26/6/2021 4:00",10.58
"26/6/2021 5:00",11.35
"26/6/2021 6:00",12.79
"26/6/2021 7:00",15.24
"26/6/2021 8:00",14.94
"26/6/2021 9:00",14.98
"26/6/2021 10:00",13.93
"26/6/2021 11:00",11.25
"26/6/2021 12:00",6.29
"26/6/2021 13:00",4.26
"26/6/2021 14:00",4.43
"26/6/2021 15:00",4.46
"26/6/2021 16:00",5.26
"26/6/2021 17:00",5.16
"26/6/2021 18:00",4.79
"26/6/2021 19:00",4.49
"26/6/2021 20:00",5.35
"26/6/2021 21:00",4.96
"26/6/2021 22:00",7.58
"26/6/2021 23:00",10.09
"27/6/2021 0:00",8.47
"27/6/2021 1:00",8.49
"27/6/2021 2:00",9.84
"27/6/2021 3:00",14.33
"27/6/2021 4:00",14.87
"27/6/2021 5:00",20.22
"27/6/2021 6:00",26.38
"27/6/2021 7:00",31.1
"27/6/2021 8:00",32.68
"27/6/2021 9:00",27.92
"27/6/2021 10:00",27.41
"27/6/2021 11:00",34.95
"27/6/2021 12:00",36.47
"27/6/2021 13:00",36.91
"27/6/2021 14:00",42.9
"27/6/2021 15:00",44.33
"27/6/2021 16:00",44.5
"27/6/2021 17:00",37.62
"27/6/2021 18:00",34.41
"27/6/2021 19:00",40.9
"27/6/2021 20:00",42.86
"27/6/2021 21:00",33.92
"27/6/2021 22:00",26.15
"27/6/2021 23:00",15.19
"28/6/2021 0:00",5.4
"28/6/2021 1:00",3.09
"28/6/2021 2:00",2.87
"28/6/2021 3:00",2.56
"28/6/2021 4:00",6.52
"28/6/2021 5:00",7.91
"28/6/2021 6:00",10.39
"28/6/2021 7:00",9.17
"28/6/2021 8:00",5.97
"28/6/2021 9:00",8.05
"28/6/2021 10:00",7.05
"28/6/2021 11:00",10.1
"28/6/2021 12:00",12.6
"28/6/2021 13:00",11.26
"28/6/2021 14:00",9.43
"28/6/2021 15:00",8.23
"28/6/2021 16:00",8.45
"28/6/2021 17:00",8.14
"28/6/2021 18:00",9.39
"28/6/2021 19:00",8.83
"28/6/2021 20:00",10.36
"28/6/2021 21:00",10.06
"28/6/2021 22:00",13.01
"28/6/2021 23:00",14.35
"29/6/2021 0:00",14.45
"29/6/2021 1:00",9.91
"29/6/2021 2:00",8.89
"29/6/2021 3:00",8.96
"29/6/2021 4:00",9.16
"29/6/2021 5:00",8.03
"29/6/2021 6:00",7.13
"29/6/2021 7:00",7.08
"29/6/2021 8:00",7.65
"29/6/2021 9:00",7.85
"29/6/2021 10:00",7.43
"29/6/2021 11:00",5.74
"29/6/2021 12:00",5.29
"29/6/2021 13:00",5.22
"29/6/2021 14:00",6.04
"29/6/2021 15:00",5.44
"29/6/2021 16:00",4.86
"29/6/2021 17:00",5.56
"29/6/2021 18:00",5.9
"29/6/2021 19:00",6.57
"29/6/2021 20:00",6.79
"29/6/2021 21:00",7.12
"29/6/2021 22:00",7.4
"29/6/2021 23:00",7.25
"30/6/2021 0:00",5.94
"30/6/2021 1:00",7.51
"30/6/2021 2:00",7.49
"30/6/2021 3:00",7.96
"30/6/2021 4:00",8.56
"30/6/2021 5:00",6.76
"30/6/2021 6:00",6.08
"30/6/2021 7:00",6.5
"30/6/2021 8:00",5.37
"30/6/2021 9:00",4.23
"30/6/2021 10:00",4.45
"30/6/2021 11:00",5.25
"30/6/2021 12:00",5.55
"30/6/2021 13:00",5.64
"30/6/2021 14:00",5.63
"30/6/2021 15:00",5.13
"30/6/2021 16:00",5.13
"30/6/2021 17:00",5.66
"30/6/2021 18:00",5.9
"30/6/2021 19:00",6.19
"30/6/2021 20:00",6.83
"30/6/2021 21:00",6.97
"30/6/2021 22:00",7.48
"30/6/2021 23:00",7.97
"1/7/2021 0:00",8.8
"1/7/2021 1:00",8.91
"1/7/2021 2:00",9.23
"1/7/2021 3:00",10.6
"1/7/2021 4:00",8.9
"1/7/2021 5:00",8.3
"1/7/2021 6:00",8.9
"1/7/2021 7:00",9.45
"1/7/2021 8:00",8.05
"1/7/2021 9:00",8.76
"1/7/2021 10:00",10.68
"1/7/2021 11:00",10.22
"1/7/2021 12:00",9.36
"1/7/2021 13:00",8.9
"1/7/2021 14:00",8.52
"1/7/2021 15:00",8.76
"1/7/2021 16:00",7.7
"1/7/2021 17:00",8.22
"1/7/2021 18:00",8.08
"1/7/2021 19:00",8.13
"1/7/2021 20:00",8.86
"1/7/2021 21:00",8.32
"1/7/2021 22:00",7.11
"1/7/2021 23:00",8.35
"2/7/2021 0:00",10.04
"2/7/2021 1:00",15.16
"2/7/2021 2:00",14.29
