"Category","PM<sub>2.5</sub> particulates"
"26/3/2023 20:00",4.03
"26/3/2023 21:00",3.89
"26/3/2023 22:00",3.71
"26/3/2023 23:00",3.01
"27/3/2023 0:00",2.66
"27/3/2023 1:00",4.2
"27/3/2023 2:00",4.46
"27/3/2023 3:00",5.35
"27/3/2023 4:00",6.03
"27/3/2023 5:00",5.92
"27/3/2023 6:00",3.88
"27/3/2023 7:00",4.66
"27/3/2023 8:00",5.1
"27/3/2023 9:00",5.65
"27/3/2023 10:00",6.18
"27/3/2023 11:00",4.21
"27/3/2023 12:00",4.58
"27/3/2023 13:00",4.41
"27/3/2023 14:00",5.01
"27/3/2023 15:00",5
"27/3/2023 16:00",8.05
"27/3/2023 17:00",5.47
"27/3/2023 18:00",5.75
"27/3/2023 19:00",9.35
"27/3/2023 20:00",12.01
"27/3/2023 21:00",9.89
"27/3/2023 22:00",8.21
"27/3/2023 23:00",9.36
"28/3/2023 0:00",4.6
"28/3/2023 1:00",3.2
"28/3/2023 2:00",3.01
"28/3/2023 3:00",3.21
"28/3/2023 4:00",3.18
"28/3/2023 5:00",3.59
"28/3/2023 6:00",4.06
"28/3/2023 7:00",5.4
"28/3/2023 8:00",7.07
"28/3/2023 9:00",7.04
"28/3/2023 10:00",5.9
"28/3/2023 11:00",4.74
"28/3/2023 12:00",4.68
"28/3/2023 13:00",5.07
"28/3/2023 14:00",5.23
"28/3/2023 15:00",5.03
"28/3/2023 16:00",5.07
"28/3/2023 17:00",4.85
"28/3/2023 18:00",5.54
"28/3/2023 19:00",5.64
"28/3/2023 20:00",6.6
"28/3/2023 21:00",8.6
"28/3/2023 22:00",10.35
"28/3/2023 23:00",11.91
"29/3/2023 0:00",16.97
"29/3/2023 1:00",9.58
"29/3/2023 2:00",8.44
"29/3/2023 3:00",8.37
"29/3/2023 4:00",8.3
"29/3/2023 5:00",8.2
"29/3/2023 6:00",8.06
"29/3/2023 7:00",7.75
"29/3/2023 8:00",6.76
"29/3/2023 9:00",6
"29/3/2023 10:00",5.28
"29/3/2023 11:00",5.42
"29/3/2023 12:00",6.87
"29/3/2023 13:00",6.18
"29/3/2023 14:00",5.35
"29/3/2023 15:00",5.29
"29/3/2023 16:00",5.27
"29/3/2023 17:00",5.23
"29/3/2023 18:00",5.22
"29/3/2023 19:00",6.11
"29/3/2023 20:00",5.82
"29/3/2023 21:00",5.88
"29/3/2023 22:00",5.34
"29/3/2023 23:00",5.22
"30/3/2023 0:00",5.02
"30/3/2023 1:00",10.37
"30/3/2023 2:00",10.23
"30/3/2023 3:00",5.01
"30/3/2023 4:00",5.42
"30/3/2023 5:00",4.32
"30/3/2023 6:00",6.6
"30/3/2023 7:00",8.92
"30/3/2023 8:00",9.54
"30/3/2023 9:00",8.35
"30/3/2023 10:00",6.6
"30/3/2023 11:00",6.04
"30/3/2023 12:00",6.12
"30/3/2023 13:00",5.08
"30/3/2023 14:00",5.11
"30/3/2023 15:00",5.26
"30/3/2023 16:00",6.55
"30/3/2023 17:00",6.68
"30/3/2023 18:00",7.81
"30/3/2023 19:00",9.08
"30/3/2023 20:00",13.44
"30/3/2023 21:00",15.6
"30/3/2023 22:00",11.76
"30/3/2023 23:00",3.22
"31/3/2023 0:00",5.59
"31/3/2023 1:00",3.76
"31/3/2023 2:00",3.35
"31/3/2023 3:00",4.14
