"Category","PM<sub>2.5</sub> particulates"
"16/12/2022 9:00",23.04
"16/12/2022 10:00",24.21
"16/12/2022 11:00",23.24
"16/12/2022 12:00",23.76
"16/12/2022 13:00",24.67
"16/12/2022 14:00",25.18
"16/12/2022 15:00",29.94
"16/12/2022 16:00",36.93
"16/12/2022 17:00",38.66
"16/12/2022 18:00",45.55
"16/12/2022 19:00",48.02
"16/12/2022 20:00",49.55
"16/12/2022 21:00",53.35
"16/12/2022 22:00",51.25
"16/12/2022 23:00",49.15
"17/12/2022 0:00",49.53
"17/12/2022 1:00",43.03
"17/12/2022 2:00",28.84
"17/12/2022 3:00",25.86
"17/12/2022 4:00",28.02
"17/12/2022 5:00",25.27
"17/12/2022 6:00",17.62
"17/12/2022 7:00",10.1
"17/12/2022 8:00",10.21
"17/12/2022 9:00",9.85
"17/12/2022 10:00",8.87
"17/12/2022 11:00",6.31
"17/12/2022 12:00",5.3
"17/12/2022 13:00",9.85
"17/12/2022 14:00",13.78
"17/12/2022 15:00",13.2
"17/12/2022 16:00",14.85
"17/12/2022 17:00",14.2
"17/12/2022 18:00",12.32
"17/12/2022 19:00",13.17
"17/12/2022 20:00",16.09
"17/12/2022 21:00",21.21
"17/12/2022 22:00",24.53
"17/12/2022 23:00",24.01
"18/12/2022 0:00",20.97
"18/12/2022 1:00",21.14
"18/12/2022 2:00",19.67
"18/12/2022 3:00",17.58
"18/12/2022 4:00",15.99
"18/12/2022 5:00",15.87
"18/12/2022 6:00",17.16
"18/12/2022 7:00",16.73
"18/12/2022 8:00",16.4
"18/12/2022 9:00",17
"18/12/2022 10:00",17.13
"18/12/2022 11:00",17.38
"18/12/2022 12:00",18.66
"18/12/2022 13:00",16.67
"18/12/2022 14:00",14.58
"18/12/2022 15:00",13.26
"18/12/2022 16:00",10.44
"18/12/2022 17:00",6.31
"18/12/2022 18:00",4.4
"18/12/2022 19:00",3.87
"18/12/2022 20:00",4.11
"18/12/2022 21:00",3.09
"18/12/2022 22:00",2.04
"18/12/2022 23:00",2.36
"19/12/2022 0:00",3.49
"19/12/2022 1:00",2.5
"19/12/2022 2:00",3.34
"19/12/2022 3:00",4.17
"19/12/2022 4:00",3.99
"19/12/2022 5:00",2.62
"19/12/2022 6:00",2.41
"19/12/2022 7:00",2.56
"19/12/2022 8:00",3.34
"19/12/2022 9:00",4.09
"19/12/2022 10:00",3.58
"19/12/2022 11:00",3.55
"19/12/2022 12:00",5.2
"19/12/2022 13:00",5.27
"19/12/2022 14:00",4.99
"19/12/2022 15:00",4.91
"19/12/2022 16:00",5.36
"19/12/2022 17:00",6.64
"19/12/2022 18:00",7.24
"19/12/2022 19:00",7.62
"19/12/2022 20:00",8.39
"19/12/2022 21:00",7.15
"19/12/2022 22:00",5.75
"19/12/2022 23:00",4.33
"20/12/2022 0:00",4.48
"20/12/2022 1:00",3.67
"20/12/2022 2:00",4.4
"20/12/2022 3:00",5.32
"20/12/2022 4:00",6.13
"20/12/2022 5:00",7.1
"20/12/2022 6:00",5.09
"20/12/2022 7:00",2.51
"20/12/2022 8:00",2.52
"20/12/2022 9:00",2.66
"20/12/2022 10:00",2.96
"20/12/2022 11:00",3.68
"20/12/2022 12:00",4.98
"20/12/2022 13:00",4.47
"20/12/2022 14:00",5.45
"20/12/2022 15:00",5.37
"20/12/2022 16:00",7.79
"20/12/2022 17:00",11.15
"20/12/2022 18:00",14.32
"20/12/2022 19:00",13.73
"20/12/2022 20:00",12.88
"20/12/2022 21:00",11.33
"20/12/2022 22:00",11.33
"20/12/2022 23:00",9.82
"21/12/2022 0:00",7.25
"21/12/2022 1:00",6.73
"21/12/2022 2:00",6.09
"21/12/2022 3:00",5.74
"21/12/2022 4:00",5.78
"21/12/2022 5:00",5.43
"21/12/2022 6:00",5.39
"21/12/2022 7:00",5.32
"21/12/2022 8:00",5.39
"21/12/2022 9:00",5.64
"21/12/2022 10:00",5.46
"21/12/2022 11:00",5.61
"21/12/2022 12:00",6.56
"21/12/2022 13:00",5.1
"21/12/2022 14:00",5.37
"21/12/2022 15:00",5.62
"21/12/2022 16:00",6.43
"21/12/2022 17:00",7.75
"21/12/2022 18:00",10.06
"21/12/2022 19:00",13.14
"21/12/2022 20:00",14.33
"21/12/2022 21:00",14.87
"21/12/2022 22:00",13.57
"21/12/2022 23:00",9.64
"22/12/2022 0:00",11.1
"22/12/2022 1:00",12.47
"22/12/2022 2:00",12.2
"22/12/2022 3:00",12.37
"22/12/2022 4:00",10.31
"22/12/2022 5:00",9.7
"22/12/2022 6:00",10.48
"22/12/2022 7:00",10.47
"22/12/2022 8:00",9.69
"22/12/2022 9:00",11.73
"22/12/2022 10:00",10.74
"22/12/2022 11:00",7.59
"22/12/2022 12:00",5.58
"22/12/2022 13:00",5.52
"22/12/2022 14:00",5.55
"22/12/2022 15:00",5.64
"22/12/2022 16:00",5.94
"22/12/2022 17:00",6.87
"22/12/2022 18:00",6.71
"22/12/2022 19:00",6.62
"22/12/2022 20:00",5.63
"22/12/2022 21:00",5.68
"22/12/2022 22:00",5.39
"22/12/2022 23:00",5.49
"23/12/2022 0:00",7.25
"23/12/2022 1:00",6.62
"23/12/2022 2:00",6.63
"23/12/2022 3:00",6.48
"23/12/2022 4:00",5.17
"23/12/2022 5:00",3.45
"23/12/2022 6:00",3.62
"23/12/2022 7:00",4.91
"23/12/2022 8:00",8.22
"23/12/2022 9:00",7.59
"23/12/2022 10:00",12.41
"23/12/2022 11:00",15.66
"23/12/2022 12:00",8.52
"23/12/2022 13:00",4.61
"23/12/2022 14:00",4.59
"23/12/2022 15:00",3.93
"23/12/2022 16:00",4.59
"23/12/2022 17:00",4.55
"23/12/2022 18:00",6.24
"23/12/2022 19:00",7.47
"23/12/2022 20:00",7.27
"23/12/2022 21:00",8.29
"23/12/2022 22:00",7.25
"23/12/2022 23:00",7.9
"24/12/2022 0:00",8.57
"24/12/2022 1:00",8.06
"24/12/2022 2:00",8.21
"24/12/2022 3:00",7.87
