"Category","PM<sub>2.5</sub> particulates"
"14/5/2024 1:00",9
"14/5/2024 2:00",10.03
"14/5/2024 3:00",10.4
"14/5/2024 4:00",12.88
"14/5/2024 5:00",15.45
"14/5/2024 6:00",11.92
"14/5/2024 7:00",5.59
"14/5/2024 8:00",3.86
"14/5/2024 9:00",4.26
"14/5/2024 10:00",3.38
"14/5/2024 11:00",3.64
"14/5/2024 12:00",3.55
"14/5/2024 13:00",3.22
"14/5/2024 14:00",3.16
"14/5/2024 15:00",3.15
"14/5/2024 16:00",3.17
"14/5/2024 17:00",3.34
"14/5/2024 18:00",3.71
"14/5/2024 19:00",4.13
"14/5/2024 20:00",4.35
"14/5/2024 21:00",4.88
"14/5/2024 22:00",5.13
"14/5/2024 23:00",5.42
"15/5/2024 0:00",5.81
"15/5/2024 1:00",7.34
"15/5/2024 2:00",8.09
"15/5/2024 3:00",8.68
"15/5/2024 4:00",8.28
"15/5/2024 5:00",7.74
"15/5/2024 6:00",7.17
"15/5/2024 7:00",6.56
"15/5/2024 8:00",5.84
"15/5/2024 9:00",4.36
"15/5/2024 10:00",3.49
"15/5/2024 11:00",3.48
"15/5/2024 12:00",3.24
"15/5/2024 13:00",3.02
"15/5/2024 14:00",2.91
"15/5/2024 15:00",2.91
"15/5/2024 16:00",2.89
"15/5/2024 17:00",2.89
"15/5/2024 18:00",2.9
"15/5/2024 19:00",2.98
"15/5/2024 20:00",3.27
"15/5/2024 21:00",5.95
"15/5/2024 22:00",8.65
"15/5/2024 23:00",9.28
"16/5/2024 0:00",10.29
"16/5/2024 1:00",15.52
"16/5/2024 2:00",17.71
"16/5/2024 3:00",18.48
"16/5/2024 4:00",19.24
"16/5/2024 5:00",17.86
"16/5/2024 6:00",16.25
"16/5/2024 7:00",14.71
"16/5/2024 8:00",15.71
"16/5/2024 9:00",17.04
"16/5/2024 10:00",16.7
"16/5/2024 11:00",14.35
"16/5/2024 12:00",11.3
"16/5/2024 13:00",12.37
"16/5/2024 14:00",13.02
"16/5/2024 15:00",7.12
"16/5/2024 16:00",7.62
"16/5/2024 17:00",8.24
"16/5/2024 18:00",7.62
"16/5/2024 19:00",6.25
"16/5/2024 20:00",5.29
"16/5/2024 21:00",5.15
"16/5/2024 22:00",5.21
"16/5/2024 23:00",4.42
"17/5/2024 0:00",5.29
"17/5/2024 1:00",7.03
"17/5/2024 2:00",7.27
"17/5/2024 3:00",8.18
"17/5/2024 4:00",10.8
"17/5/2024 5:00",12.65
"17/5/2024 6:00",14.07
"17/5/2024 7:00",13.24
"17/5/2024 8:00",7.25
"17/5/2024 9:00",5.33
"17/5/2024 10:00",3.8
"17/5/2024 11:00",3.19
"17/5/2024 12:00",3.24
"17/5/2024 13:00",3.22
"17/5/2024 14:00",3.04
"17/5/2024 15:00",3.14
"17/5/2024 16:00",3.55
"17/5/2024 17:00",3.69
"17/5/2024 18:00",10.89
"17/5/2024 19:00",4.11
"17/5/2024 20:00",4.26
"17/5/2024 21:00",5.3
"17/5/2024 22:00",4.05
"17/5/2024 23:00",4.61
"18/5/2024 0:00",4.76
"18/5/2024 1:00",6.36
"18/5/2024 2:00",6.48
"18/5/2024 3:00",8.7
"18/5/2024 4:00",9.65
"18/5/2024 5:00",15.57
"18/5/2024 6:00",15.41
"18/5/2024 7:00",16.1
"18/5/2024 8:00",14.75
"18/5/2024 9:00",14.61
"18/5/2024 10:00",14.62
"18/5/2024 11:00",13.42
"18/5/2024 12:00",12.79
"18/5/2024 13:00",12.88
"18/5/2024 14:00",12.55
"18/5/2024 15:00",12.16
"18/5/2024 16:00",11.89
"18/5/2024 17:00",11.29
"18/5/2024 18:00",12.04
"18/5/2024 19:00",13.4
"18/5/2024 20:00",15.52
"18/5/2024 21:00",14.01
"18/5/2024 22:00",9.7
"18/5/2024 23:00",7.62
"19/5/2024 0:00",7.71
"19/5/2024 1:00",11.98
"19/5/2024 2:00",13.49
"19/5/2024 3:00",15.28
"19/5/2024 4:00",16.28
"19/5/2024 5:00",16.26
"19/5/2024 6:00",15.75
"19/5/2024 7:00",14.5
"19/5/2024 8:00",14.32
"19/5/2024 9:00",13.89
"19/5/2024 10:00",14.09
"19/5/2024 11:00",12.7
"19/5/2024 12:00",12.07
"19/5/2024 13:00",11.22
"19/5/2024 14:00",10.98
"19/5/2024 15:00",10.44
"19/5/2024 16:00",10.42
"19/5/2024 17:00",10.55
"19/5/2024 18:00",10.54
"19/5/2024 19:00",10.78
"19/5/2024 20:00",11.13
"19/5/2024 21:00",12.85
"19/5/2024 22:00",13.84
"19/5/2024 23:00",13.93
"20/5/2024 0:00",14.17
"20/5/2024 1:00",13.46
"20/5/2024 2:00",14.17
"20/5/2024 3:00",14.75
"20/5/2024 4:00",14.95
"20/5/2024 5:00",15.07
"20/5/2024 6:00",14.93
"20/5/2024 7:00",15.05
"20/5/2024 8:00",13.44
"20/5/2024 9:00",12.09
"20/5/2024 10:00",11.15
"20/5/2024 11:00",10.45
"20/5/2024 12:00",9.88
"20/5/2024 13:00",9.41
"20/5/2024 14:00",9.24
"20/5/2024 15:00",9.76
"20/5/2024 16:00",9.87
"20/5/2024 17:00",9.57
"20/5/2024 18:00",9.23
"20/5/2024 19:00",8.91
"20/5/2024 20:00",8.53
"20/5/2024 21:00",8.77
"20/5/2024 22:00",9.67
"20/5/2024 23:00",9.35
"21/5/2024 0:00",8.99
"21/5/2024 1:00",6.27
"21/5/2024 2:00",6.21
"21/5/2024 3:00",6.24
"21/5/2024 4:00",7.08
"21/5/2024 5:00",8.49
"21/5/2024 6:00",7.98
"21/5/2024 7:00",8.75
"21/5/2024 8:00",9
"21/5/2024 9:00",9.29
"21/5/2024 10:00",9.09
"21/5/2024 11:00",9.41
"21/5/2024 12:00",10
"21/5/2024 13:00",11.11
"21/5/2024 14:00",11.35
"21/5/2024 15:00",12.26
"21/5/2024 16:00",12.45
"21/5/2024 17:00",13.01
"21/5/2024 18:00",12.97
"21/5/2024 19:00",13.75
"21/5/2024 20:00",10.69
"21/5/2024 21:00",12.32
"21/5/2024 22:00",10.56
"21/5/2024 23:00",12.1
"22/5/2024 0:00",14.69
"22/5/2024 1:00",15.23
"22/5/2024 2:00",15.72
"22/5/2024 3:00",14.72
"22/5/2024 4:00",13.46
"22/5/2024 5:00",15.04
"22/5/2024 6:00",14.54
"22/5/2024 7:00",14.45
"22/5/2024 8:00",14.71
"22/5/2024 9:00",11.73
"22/5/2024 10:00",7.26
"22/5/2024 11:00",5.3
"22/5/2024 12:00",5.56
"22/5/2024 13:00",5.43
"22/5/2024 14:00",5.27
"22/5/2024 15:00",6.72
"22/5/2024 16:00",8.36
"22/5/2024 17:00",9.34
"22/5/2024 18:00",10.1
"22/5/2024 19:00",9.24
"22/5/2024 20:00",9.22
"22/5/2024 21:00",6.94
"22/5/2024 22:00",5.19
"22/5/2024 23:00",5.86
