"Category","PM<sub>2.5</sub> particulates"
"12/10/2022 16:00",10.44
"12/10/2022 17:00",10.98
"12/10/2022 18:00",10.26
"12/10/2022 19:00",10.94
"12/10/2022 20:00",10.96
"12/10/2022 21:00",11.15
"12/10/2022 22:00",10.99
"12/10/2022 23:00",9.92
"13/10/2022 0:00",9.83
"13/10/2022 1:00",7.45
"13/10/2022 2:00",7.7
"13/10/2022 3:00",8.3
"13/10/2022 4:00",8.88
"13/10/2022 5:00",9.59
"13/10/2022 6:00",11.25
"13/10/2022 7:00",11.83
"13/10/2022 8:00",13.46
"13/10/2022 9:00",13.51
"13/10/2022 10:00",10.29
"13/10/2022 11:00",13.51
"13/10/2022 12:00",14.12
"13/10/2022 13:00",13.92
"13/10/2022 14:00",11.82
"13/10/2022 15:00",7.77
"13/10/2022 16:00",5.67
"13/10/2022 17:00",6.1
"13/10/2022 18:00",7.32
"13/10/2022 19:00",8.78
"13/10/2022 20:00",12.29
"13/10/2022 21:00",15.79
"13/10/2022 22:00",17.16
"13/10/2022 23:00",16.91
"14/10/2022 0:00",16.8
"14/10/2022 1:00",15.2
"14/10/2022 2:00",15.32
"14/10/2022 3:00",15.63
"14/10/2022 4:00",15.63
"14/10/2022 5:00",15.43
"14/10/2022 6:00",13.11
"14/10/2022 7:00",11.22
"14/10/2022 8:00",10.97
"14/10/2022 9:00",9.6
"14/10/2022 10:00",7.11
"14/10/2022 11:00",6.35
"14/10/2022 12:00",6.62
"14/10/2022 13:00",6.96
"14/10/2022 14:00",6.62
"14/10/2022 15:00",6.88
"14/10/2022 16:00",6.38
"14/10/2022 17:00",7.22
"14/10/2022 18:00",6.39
"14/10/2022 19:00",9.43
"14/10/2022 20:00",9.72
"14/10/2022 21:00",9.75
"14/10/2022 22:00",8.93
"14/10/2022 23:00",8.16
"15/10/2022 0:00",7.93
"15/10/2022 1:00",4.08
"15/10/2022 2:00",4.67
"15/10/2022 3:00",4.53
"15/10/2022 4:00",4.76
"15/10/2022 5:00",5.94
"15/10/2022 6:00",6.09
"15/10/2022 7:00",6.37
"15/10/2022 8:00",4.41
"15/10/2022 9:00",2.18
"15/10/2022 10:00",1.51
"15/10/2022 11:00",1.37
"15/10/2022 12:00",1.36
"15/10/2022 13:00",1.6
"15/10/2022 14:00",1.63
"15/10/2022 15:00",1.49
"15/10/2022 16:00",1.5
"15/10/2022 17:00",1.67
"15/10/2022 18:00",1.87
"15/10/2022 19:00",2.13
"15/10/2022 20:00",1.9
"15/10/2022 21:00",1.97
"15/10/2022 22:00",2.15
"15/10/2022 23:00",2.01
"16/10/2022 0:00",2.04
"16/10/2022 1:00",0
"16/10/2022 2:00",0
"16/10/2022 3:00",0
"16/10/2022 4:00",0
"16/10/2022 5:00",0
"16/10/2022 6:00",0
"16/10/2022 7:00",0
"16/10/2022 8:00",0
"16/10/2022 9:00",0
"16/10/2022 10:00",0
"16/10/2022 11:00",0
"16/10/2022 12:00",0
"16/10/2022 13:00",0
"16/10/2022 14:00",0
"16/10/2022 15:00",0
"16/10/2022 16:00",0
"16/10/2022 17:00",0
"16/10/2022 18:00",0.48
"16/10/2022 19:00",1.3
"16/10/2022 20:00",1.09
"16/10/2022 21:00",0
"16/10/2022 22:00",0
"16/10/2022 23:00",0
"17/10/2022 0:00",7.84
"17/10/2022 1:00",9.55
"17/10/2022 2:00",7.7
"17/10/2022 3:00",7.32
"17/10/2022 4:00",6.84
"17/10/2022 5:00",6.79
"17/10/2022 6:00",6.46
"17/10/2022 7:00",5.54
"17/10/2022 8:00",4.65
"17/10/2022 9:00",5
"17/10/2022 10:00",5.7
"17/10/2022 11:00",5.45
"17/10/2022 12:00",5.53
"17/10/2022 13:00",5.03
"17/10/2022 14:00",5.02
"17/10/2022 15:00",5.28
"17/10/2022 16:00",4.71
"17/10/2022 17:00",4.88
"17/10/2022 18:00",5.31
"17/10/2022 19:00",7.4
"17/10/2022 20:00",8.19
"17/10/2022 21:00",9.57
"17/10/2022 22:00",12.43
"17/10/2022 23:00",12.17
"18/10/2022 0:00",11.6
"18/10/2022 1:00",8.31
"18/10/2022 2:00",7.59
"18/10/2022 3:00",8.23
"18/10/2022 4:00",9.51
"18/10/2022 5:00",9.69
"18/10/2022 6:00",9.81
"18/10/2022 7:00",11.57
"18/10/2022 8:00",13.63
"18/10/2022 9:00",17.51
"18/10/2022 10:00",13.07
"18/10/2022 11:00",8.61
"18/10/2022 12:00",8.16
"18/10/2022 13:00",7.32
"18/10/2022 14:00",5.25
"18/10/2022 15:00",5.14
"18/10/2022 16:00",5.19
"18/10/2022 17:00",5.22
"18/10/2022 18:00",5.81
"18/10/2022 19:00",6.87
"18/10/2022 20:00",7.67
"18/10/2022 21:00",7.85
"18/10/2022 22:00",6.96
"18/10/2022 23:00",6.86
"19/10/2022 0:00",6.88
"19/10/2022 1:00",8.64
"19/10/2022 2:00",8.08
"19/10/2022 3:00",7.92
"19/10/2022 4:00",7.92
"19/10/2022 5:00",7.77
"19/10/2022 6:00",8.09
"19/10/2022 7:00",8.67
"19/10/2022 8:00",8.82
"19/10/2022 9:00",8.66
"19/10/2022 10:00",8.57
"19/10/2022 11:00",8.6
"19/10/2022 12:00",8.71
"19/10/2022 13:00",8.59
"19/10/2022 14:00",8.34
"19/10/2022 15:00",9.01
"19/10/2022 16:00",9.76
"19/10/2022 17:00",9.56
"19/10/2022 18:00",10.38
"19/10/2022 19:00",11.89
"19/10/2022 20:00",13.44
"19/10/2022 21:00",14.57
"19/10/2022 22:00",15.07
"19/10/2022 23:00",15.38
"20/10/2022 0:00",16.36
"20/10/2022 1:00",15.7
"20/10/2022 2:00",16.16
"20/10/2022 3:00",16.36
"20/10/2022 4:00",16.64
"20/10/2022 5:00",16.6
"20/10/2022 6:00",16.84
"20/10/2022 7:00",17.34
"20/10/2022 8:00",17.9
"20/10/2022 9:00",17.64
"20/10/2022 10:00",16.28
"20/10/2022 11:00",14.29
"20/10/2022 12:00",10.33
"20/10/2022 13:00",9.61
"20/10/2022 14:00",7.64
"20/10/2022 15:00",6.39
"20/10/2022 16:00",6.73
"20/10/2022 17:00",6.91
"20/10/2022 18:00",6.77
"20/10/2022 19:00",8.14
"20/10/2022 20:00",9.27
"20/10/2022 21:00",9.7
"20/10/2022 22:00",10.64
"20/10/2022 23:00",13.85
"21/10/2022 0:00",11.27
"21/10/2022 1:00",10.21
"21/10/2022 2:00",9.97
"21/10/2022 3:00",10.26
"21/10/2022 4:00",11.38
"21/10/2022 5:00",12.81
"21/10/2022 6:00",13.39
"21/10/2022 7:00",13.24
"21/10/2022 8:00",11.64
"21/10/2022 9:00",9.42
"21/10/2022 10:00",8.43
"21/10/2022 11:00",8.14
"21/10/2022 12:00",8.19
"21/10/2022 13:00",8.34
"21/10/2022 14:00",8.27
"21/10/2022 15:00",8.34
"21/10/2022 16:00",8.25
"21/10/2022 17:00",8.29
"21/10/2022 18:00",8.32
"21/10/2022 19:00",8.24
"21/10/2022 20:00",8.12
"21/10/2022 21:00",8.1
"21/10/2022 22:00",8.01
"21/10/2022 23:00",8.11
