"Category","PM<sub>2.5</sub> particulates"
"8/6/2021 12:00",5.18
"8/6/2021 13:00",5.14
"8/6/2021 14:00",5.23
"8/6/2021 15:00",5.17
"8/6/2021 16:00",
"8/6/2021 17:00",
"8/6/2021 18:00",
"8/6/2021 19:00",
"8/6/2021 20:00",
"8/6/2021 21:00",
"8/6/2021 22:00",
"8/6/2021 23:00",
"9/6/2021 0:00",
"9/6/2021 1:00",
"9/6/2021 2:00",
"9/6/2021 3:00",
"9/6/2021 4:00",
"9/6/2021 5:00",
"9/6/2021 6:00",
"9/6/2021 7:00",
"9/6/2021 8:00",
"9/6/2021 9:00",
"9/6/2021 10:00",
"9/6/2021 11:00",
"9/6/2021 12:00",
"9/6/2021 13:00",
"9/6/2021 14:00",
"9/6/2021 15:00",
"9/6/2021 16:00",
"9/6/2021 17:00",
"9/6/2021 18:00",
"9/6/2021 19:00",
"9/6/2021 20:00",
"9/6/2021 21:00",
"9/6/2021 22:00",
"9/6/2021 23:00",
"10/6/2021 0:00",
"10/6/2021 1:00",
"10/6/2021 2:00",
"10/6/2021 3:00",
"10/6/2021 4:00",
"10/6/2021 5:00",
"10/6/2021 6:00",
"10/6/2021 7:00",
"10/6/2021 8:00",
"10/6/2021 9:00",
"10/6/2021 10:00",
"10/6/2021 11:00",4.64
"10/6/2021 12:00",4.36
"10/6/2021 13:00",4.19
"10/6/2021 14:00",4.1
"10/6/2021 15:00",4.34
"10/6/2021 16:00",4.61
"10/6/2021 17:00",4.67
"10/6/2021 18:00",4.48
"10/6/2021 19:00",4.15
"10/6/2021 20:00",4.14
"10/6/2021 21:00",4.19
"10/6/2021 22:00",4.28
"10/6/2021 23:00",4.59
"11/6/2021 0:00",4.85
"11/6/2021 1:00",5.35
"11/6/2021 2:00",5.55
"11/6/2021 3:00",5.68
"11/6/2021 4:00",5.58
"11/6/2021 5:00",5.36
"11/6/2021 6:00",5.01
"11/6/2021 7:00",4.95
"11/6/2021 8:00",4.77
"11/6/2021 9:00",4.76
"11/6/2021 10:00",4.42
"11/6/2021 11:00",4.31
"11/6/2021 12:00",4.36
"11/6/2021 13:00",4.36
"11/6/2021 14:00",4.33
"11/6/2021 15:00",4.33
"11/6/2021 16:00",4.4
"11/6/2021 17:00",4.39
"11/6/2021 18:00",4.42
"11/6/2021 19:00",4.57
"11/6/2021 20:00",4.73
"11/6/2021 21:00",4.7
"11/6/2021 22:00",4.59
"11/6/2021 23:00",4.6
"12/6/2021 0:00",4.55
"12/6/2021 1:00",5.82
"12/6/2021 2:00",5.86
"12/6/2021 3:00",6.14
"12/6/2021 4:00",6.5
"12/6/2021 5:00",6.8
"12/6/2021 6:00",7.09
"12/6/2021 7:00",7.21
"12/6/2021 8:00",7.05
"12/6/2021 9:00",7.05
"12/6/2021 10:00",6.72
"12/6/2021 11:00",6.62
"12/6/2021 12:00",6.13
