"Category","Nitrogen dioxide"
"14/5/2024 1:00",10.2
"14/5/2024 2:00",9.49
"14/5/2024 3:00",9.32
"14/5/2024 4:00",10.3
"14/5/2024 5:00",10.39
"14/5/2024 6:00",10.42
"14/5/2024 7:00",9.56
"14/5/2024 8:00",9.38
"14/5/2024 9:00",8.88
"14/5/2024 10:00",8.38
"14/5/2024 11:00",8.08
"14/5/2024 12:00",7.08
"14/5/2024 13:00",7.22
"14/5/2024 14:00",8.37
"14/5/2024 15:00",7.91
"14/5/2024 16:00",8.23
"14/5/2024 17:00",8.33
"14/5/2024 18:00",8.3
"14/5/2024 19:00",9.19
"14/5/2024 20:00",8.75
"14/5/2024 21:00",8.89
"14/5/2024 22:00",8.52
"14/5/2024 23:00",8.89
"15/5/2024 0:00",8.69
"15/5/2024 1:00",17.16
"15/5/2024 2:00",17.66
"15/5/2024 3:00",17.42
"15/5/2024 4:00",18.77
"15/5/2024 5:00",19.38
"15/5/2024 6:00",20.68
"15/5/2024 7:00",17.27
"15/5/2024 8:00",13.73
"15/5/2024 9:00",12.11
"15/5/2024 10:00",8.09
"15/5/2024 11:00",10.25
"15/5/2024 12:00",8.01
"15/5/2024 13:00",6.39
"15/5/2024 14:00",7.37
"15/5/2024 15:00",8.46
"15/5/2024 16:00",9.71
"15/5/2024 17:00",9.25
"15/5/2024 18:00",11.67
"15/5/2024 19:00",11.18
"15/5/2024 20:00",21.35
"15/5/2024 21:00",35.68
"15/5/2024 22:00",43.82
"15/5/2024 23:00",45.1
"16/5/2024 0:00",43.69
"16/5/2024 1:00",36.7
"16/5/2024 2:00",35.48
"16/5/2024 3:00",34.3
"16/5/2024 4:00",33.32
"16/5/2024 5:00",29.12
"16/5/2024 6:00",28.82
"16/5/2024 7:00",29.89
"16/5/2024 8:00",30.87
"16/5/2024 9:00",31.48
"16/5/2024 10:00",28.76
"16/5/2024 11:00",25.47
"16/5/2024 12:00",23.02
"16/5/2024 13:00",19.22
"16/5/2024 14:00",20.06
"16/5/2024 15:00",16.07
"16/5/2024 16:00",17.72
"16/5/2024 17:00",21.28
"16/5/2024 18:00",22.85
"16/5/2024 19:00",20.9
"16/5/2024 20:00",15.6
"16/5/2024 21:00",17.85
"16/5/2024 22:00",23.03
"16/5/2024 23:00",20.75
"17/5/2024 0:00",17.25
"17/5/2024 1:00",20.55
"17/5/2024 2:00",23.19
"17/5/2024 3:00",24.74
"17/5/2024 4:00",25.64
"17/5/2024 5:00",32.23
"17/5/2024 6:00",31.2
"17/5/2024 7:00",27.24
"17/5/2024 8:00",19.96
"17/5/2024 9:00",16.8
"17/5/2024 10:00",13.03
"17/5/2024 11:00",11.34
"17/5/2024 12:00",12.11
"17/5/2024 13:00",10.39
"17/5/2024 14:00",9.51
"17/5/2024 15:00",12.19
"17/5/2024 16:00",17.41
"17/5/2024 17:00",20.54
"17/5/2024 18:00",19.7
"17/5/2024 19:00",20.39
"17/5/2024 20:00",23.4
"17/5/2024 21:00",28.14
"17/5/2024 22:00",33.38
"17/5/2024 23:00",38.68
"18/5/2024 0:00",42.71
"18/5/2024 1:00",30.85
"18/5/2024 2:00",30.47
"18/5/2024 3:00",30.68
"18/5/2024 4:00",27.65
"18/5/2024 5:00",24.88
"18/5/2024 6:00",23.1
"18/5/2024 7:00",18.52
"18/5/2024 8:00",15.03
"18/5/2024 9:00",13.43
"18/5/2024 10:00",12.79
"18/5/2024 11:00",14.24
"18/5/2024 12:00",12.55
"18/5/2024 13:00",11.73
"18/5/2024 14:00",10.45
"18/5/2024 15:00",9.5
"18/5/2024 16:00",7.33
"18/5/2024 17:00",8.13
"18/5/2024 18:00",10.95
"18/5/2024 19:00",13.75
"18/5/2024 20:00",15.04
"18/5/2024 21:00",16.39
"18/5/2024 22:00",12.15
"18/5/2024 23:00",10.77
"19/5/2024 0:00",10.48
"19/5/2024 1:00",7.52
"19/5/2024 2:00",9.91
"19/5/2024 3:00",6.63
"19/5/2024 4:00",4.92
"19/5/2024 5:00",4.73
"19/5/2024 6:00",4
