"Category","PM<sub>2.5</sub> particulates"
"14/5/2024 1:00",9.31
"14/5/2024 2:00",10.3
"14/5/2024 3:00",10.63
"14/5/2024 4:00",12.07
"14/5/2024 5:00",14.44
"14/5/2024 6:00",11.5
"14/5/2024 7:00",5.69
"14/5/2024 8:00",3.04
"14/5/2024 9:00",3.33
"14/5/2024 10:00",3.25
"14/5/2024 11:00",3.47
"14/5/2024 12:00",3.51
"14/5/2024 13:00",3.18
"14/5/2024 14:00",3.2
"14/5/2024 15:00",3.18
"14/5/2024 16:00",3.29
"14/5/2024 17:00",3.48
"14/5/2024 18:00",3.69
"14/5/2024 19:00",4.25
"14/5/2024 20:00",4.42
"14/5/2024 21:00",4.65
"14/5/2024 22:00",4.97
"14/5/2024 23:00",5.3
"15/5/2024 0:00",6.29
"15/5/2024 1:00",7.53
"15/5/2024 2:00",8.4
"15/5/2024 3:00",8.74
"15/5/2024 4:00",8.42
"15/5/2024 5:00",8.11
"15/5/2024 6:00",7.27
"15/5/2024 7:00",6.76
"15/5/2024 8:00",5.82
"15/5/2024 9:00",4.26
"15/5/2024 10:00",3.68
"15/5/2024 11:00",3.53
"15/5/2024 12:00",3.31
"15/5/2024 13:00",3.07
"15/5/2024 14:00",2.98
"15/5/2024 15:00",2.9
"15/5/2024 16:00",2.85
"15/5/2024 17:00",2.83
"15/5/2024 18:00",2.82
"15/5/2024 19:00",2.88
"15/5/2024 20:00",3.45
"15/5/2024 21:00",5.96
"15/5/2024 22:00",9.02
"15/5/2024 23:00",9.82
"16/5/2024 0:00",11.35
"16/5/2024 1:00",16.76
"16/5/2024 2:00",18.49
"16/5/2024 3:00",18.8
"16/5/2024 4:00",18.84
"16/5/2024 5:00",17.15
"16/5/2024 6:00",16.6
"16/5/2024 7:00",15.23
"16/5/2024 8:00",16.23
"16/5/2024 9:00",17.31
"16/5/2024 10:00",15.45
"16/5/2024 11:00",13.4
"16/5/2024 12:00",13.84
"16/5/2024 13:00",10.74
"16/5/2024 14:00",12.94
"16/5/2024 15:00",6.87
"16/5/2024 16:00",6.73
"16/5/2024 17:00",7.2
"16/5/2024 18:00",6.33
"16/5/2024 19:00",6.41
"16/5/2024 20:00",5.3
"16/5/2024 21:00",6.18
"16/5/2024 22:00",6.44
"16/5/2024 23:00",5.68
"17/5/2024 0:00",5.8
"17/5/2024 1:00",6.02
"17/5/2024 2:00",6.67
"17/5/2024 3:00",8.1
"17/5/2024 4:00",12.06
"17/5/2024 5:00",13.42
"17/5/2024 6:00",13.93
"17/5/2024 7:00",12.81
"17/5/2024 8:00",7.38
"17/5/2024 9:00",5.3
"17/5/2024 10:00",3.66
"17/5/2024 11:00",3.27
"17/5/2024 12:00",3.19
"17/5/2024 13:00",3.1
"17/5/2024 14:00",3.02
"17/5/2024 15:00",3.05
"17/5/2024 16:00",3.48
"17/5/2024 17:00",3.65
"17/5/2024 18:00",4.03
"17/5/2024 19:00",3.98
"17/5/2024 20:00",4.17
"17/5/2024 21:00",4.23
"17/5/2024 22:00",4.43
"17/5/2024 23:00",5.05
"18/5/2024 0:00",5.18
"18/5/2024 1:00",6.43
"18/5/2024 2:00",6.82
"18/5/2024 3:00",10.2
"18/5/2024 4:00",12.1
