"Category","PM<sub>2.5</sub> particulates"
"14/5/2024 1:00",9
"14/5/2024 2:00",9.7
"14/5/2024 3:00",10.43
"14/5/2024 4:00",12.29
"14/5/2024 5:00",15.44
"14/5/2024 6:00",12.95
"14/5/2024 7:00",5.8
"14/5/2024 8:00",3.12
"14/5/2024 9:00",3.73
"14/5/2024 10:00",3.26
"14/5/2024 11:00",3.6
"14/5/2024 12:00",3.78
"14/5/2024 13:00",3.19
"14/5/2024 14:00",3.23
"14/5/2024 15:00",3.27
"14/5/2024 16:00",3.45
"14/5/2024 17:00",3.56
"14/5/2024 18:00",3.88
"14/5/2024 19:00",4.3
"14/5/2024 20:00",4.37
"14/5/2024 21:00",4.37
"14/5/2024 22:00",4.92
"14/5/2024 23:00",5.24
"15/5/2024 0:00",6.84
"15/5/2024 1:00",7.75
"15/5/2024 2:00",8.32
"15/5/2024 3:00",8.71
"15/5/2024 4:00",8.16
"15/5/2024 5:00",7.88
"15/5/2024 6:00",7.12
"15/5/2024 7:00",6.51
"15/5/2024 8:00",6
"15/5/2024 9:00",4.36
"15/5/2024 10:00",3.81
"15/5/2024 11:00",3.61
"15/5/2024 12:00",3.39
"15/5/2024 13:00",3.11
"15/5/2024 14:00",3.01
"15/5/2024 15:00",2.93
"15/5/2024 16:00",2.91
"15/5/2024 17:00",2.9
"15/5/2024 18:00",2.88
"15/5/2024 19:00",3.01
"15/5/2024 20:00",3.46
"15/5/2024 21:00",5.34
"15/5/2024 22:00",8.88
"15/5/2024 23:00",9.76
"16/5/2024 0:00",11.1
"16/5/2024 1:00",15.93
"16/5/2024 2:00",18.78
"16/5/2024 3:00",18.96
"16/5/2024 4:00",19.22
"16/5/2024 5:00",16.68
"16/5/2024 6:00",16.11
"16/5/2024 7:00",15.01
"16/5/2024 8:00",16.05
"16/5/2024 9:00",17.44
"16/5/2024 10:00",16.12
"16/5/2024 11:00",12.86
"16/5/2024 12:00",13.14
"16/5/2024 13:00",11.84
"16/5/2024 14:00",12.94
"16/5/2024 15:00",8.08
"16/5/2024 16:00",7.47
"16/5/2024 17:00",8.44
"16/5/2024 18:00",7.19
"16/5/2024 19:00",5.85
"16/5/2024 20:00",5.09
"16/5/2024 21:00",4.93
"16/5/2024 22:00",5.43
"16/5/2024 23:00",4.66
"17/5/2024 0:00",6.3
"17/5/2024 1:00",6.69
"17/5/2024 2:00",6.57
"17/5/2024 3:00",7.99
"17/5/2024 4:00",11.26
"17/5/2024 5:00",12.38
"17/5/2024 6:00",13.24
"17/5/2024 7:00",13.05
"17/5/2024 8:00",7.63
"17/5/2024 9:00",5.11
"17/5/2024 10:00",3.99
"17/5/2024 11:00",3.24
"17/5/2024 12:00",3.25
"17/5/2024 13:00",3.27
"17/5/2024 14:00",3.04
"17/5/2024 15:00",3.35
"17/5/2024 16:00",3.85
"17/5/2024 17:00",3.85
"17/5/2024 18:00",4.25
"17/5/2024 19:00",4.2
"17/5/2024 20:00",4.36
"17/5/2024 21:00",4.37
"17/5/2024 22:00",4.54
"17/5/2024 23:00",4.63
"18/5/2024 0:00",4.67
"18/5/2024 1:00",6.3
"18/5/2024 2:00",6.76
"18/5/2024 3:00",9.66
"18/5/2024 4:00",10.78
