"Category","Nitrogen dioxide"
"25/5/2021 14:00",17.62
"25/5/2021 15:00",13.08
"25/5/2021 16:00",17.11
"25/5/2021 17:00",19.09
"25/5/2021 18:00",19.36
"25/5/2021 19:00",17.67
"25/5/2021 20:00",13.16
"25/5/2021 21:00",14
"25/5/2021 22:00",17.66
"25/5/2021 23:00",18.48
"26/5/2021 0:00",22.25
"26/5/2021 1:00",27.73
"26/5/2021 2:00",27.92
"26/5/2021 3:00",23.59
"26/5/2021 4:00",22.74
"26/5/2021 5:00",29.86
"26/5/2021 6:00",32.33
"26/5/2021 7:00",37.4
"26/5/2021 8:00",36.31
"26/5/2021 9:00",36.16
"26/5/2021 10:00",26.73
"26/5/2021 11:00",26.07
"26/5/2021 12:00",19.14
"26/5/2021 13:00",19.38
"26/5/2021 14:00",20.16
"26/5/2021 15:00",18.97
"26/5/2021 16:00",21.66
"26/5/2021 17:00",25.14
"26/5/2021 18:00",27.61
"26/5/2021 19:00",28.65
"26/5/2021 20:00",31.52
"26/5/2021 21:00",33.58
"26/5/2021 22:00",34.75
"26/5/2021 23:00",38.89
"27/5/2021 0:00",44.99
"27/5/2021 1:00",39.2
"27/5/2021 2:00",44.45
"27/5/2021 3:00",43.56
"27/5/2021 4:00",46.03
"27/5/2021 5:00",46.59
"27/5/2021 6:00",45.84
"27/5/2021 7:00",40.02
"27/5/2021 8:00",28.14
"27/5/2021 9:00",18.54
"27/5/2021 10:00",19.28
"27/5/2021 11:00",17.55
"27/5/2021 12:00",17.96
"27/5/2021 13:00",15.3
"27/5/2021 14:00",18.7
"27/5/2021 15:00",25.03
"27/5/2021 16:00",32.9
"27/5/2021 17:00",35.85
"27/5/2021 18:00",32.79
"27/5/2021 19:00",32.69
"27/5/2021 20:00",34.93
"27/5/2021 21:00",35.32
"27/5/2021 22:00",43.51
"27/5/2021 23:00",49.4
"28/5/2021 0:00",46.88
"28/5/2021 1:00",33.56
"28/5/2021 2:00",25.04
"28/5/2021 3:00",22.41
"28/5/2021 4:00",21.09
"28/5/2021 5:00",26.59
"28/5/2021 6:00",30.91
"28/5/2021 7:00",34.47
"28/5/2021 8:00",28.56
"28/5/2021 9:00",25.95
"28/5/2021 10:00",29.21
"28/5/2021 11:00",33.29
"28/5/2021 12:00",26.97
"28/5/2021 13:00",27.97
"28/5/2021 14:00",30.93
"28/5/2021 15:00",47.18
"28/5/2021 16:00",49.02
"28/5/2021 17:00",49.36
"28/5/2021 18:00",53.62
"28/5/2021 19:00",46.53
"28/5/2021 20:00",43.26
"28/5/2021 21:00",48.83
"28/5/2021 22:00",45.89
"28/5/2021 23:00",52.96
"29/5/2021 0:00",48.45
"29/5/2021 1:00",43.45
"29/5/2021 2:00",42.14
"29/5/2021 3:00",36.69
"29/5/2021 4:00",32.45
"29/5/2021 5:00",32.95
"29/5/2021 6:00",34.72
"29/5/2021 7:00",33.08
"29/5/2021 8:00",30.54
"29/5/2021 9:00",27.7
"29/5/2021 10:00",27.66
"29/5/2021 11:00",27.34
"29/5/2021 12:00",25.46
"29/5/2021 13:00",22.97
"29/5/2021 14:00",18.78
"29/5/2021 15:00",18.8
"29/5/2021 16:00",21.86
"29/5/2021 17:00",21.84
"29/5/2021 18:00",27.77
"29/5/2021 19:00",30.77
"29/5/2021 20:00",36.95
"29/5/2021 21:00",38.09
"29/5/2021 22:00",38.29
"29/5/2021 23:00",36.17
"30/5/2021 0:00",33.09
"30/5/2021 1:00",14.02
"30/5/2021 2:00",11.49
"30/5/2021 3:00",9.27
"30/5/2021 4:00",7.9
"30/5/2021 5:00",8.13
"30/5/2021 6:00",9.25
"30/5/2021 7:00",9.69
"30/5/2021 8:00",9.91
"30/5/2021 9:00",11.15
"30/5/2021 10:00",11.27
"30/5/2021 11:00",10.8
"30/5/2021 12:00",9.12
"30/5/2021 13:00",7.73
"30/5/2021 14:00",8.01
"30/5/2021 15:00",9.91
"30/5/2021 16:00",11.14
"30/5/2021 17:00",11.22
"30/5/2021 18:00",11.69
"30/5/2021 19:00",11.92
"30/5/2021 20:00",11.8
"30/5/2021 21:00",11.35
"30/5/2021 22:00",11.11
"30/5/2021 23:00",10.48
"31/5/2021 0:00",11.27
"31/5/2021 1:00",25.4
"31/5/2021 2:00",24.56
"31/5/2021 3:00",22.75
"31/5/2021 4:00",22.58
"31/5/2021 5:00",23.79
"31/5/2021 6:00",27
"31/5/2021 7:00",29.95
"31/5/2021 8:00",30.91
"31/5/2021 9:00",30.87
"31/5/2021 10:00",29.18
"31/5/2021 11:00",25.91
"31/5/2021 12:00",23.1
"31/5/2021 13:00",17.81
"31/5/2021 14:00",14.46
"31/5/2021 15:00",18.37
"31/5/2021 16:00",24.14
"31/5/2021 17:00",26.99
"31/5/2021 18:00",28.7
"31/5/2021 19:00",29.98
"31/5/2021 20:00",36.14
"31/5/2021 21:00",36.15
"31/5/2021 22:00",44.86
"31/5/2021 23:00",44.03
"1/6/2021 0:00",42.27
"1/6/2021 1:00",50
"1/6/2021 2:00",46.55
"1/6/2021 3:00",46.25
"1/6/2021 4:00",48.7
"1/6/2021 5:00",54.96
"1/6/2021 6:00",61.49
"1/6/2021 7:00",62.17
"1/6/2021 8:00",57.34
"1/6/2021 9:00",55.02
"1/6/2021 10:00",52.25
"1/6/2021 11:00",43.04
"1/6/2021 12:00",26.94
"1/6/2021 13:00",34.84
"1/6/2021 14:00",29.34
"1/6/2021 15:00",37.6
"1/6/2021 16:00",37.84
"1/6/2021 17:00",41.54
"1/6/2021 18:00",45.85
"1/6/2021 19:00",41.3
"1/6/2021 20:00",47.51
"1/6/2021 21:00",53.53
"1/6/2021 22:00",62.87
"1/6/2021 23:00",65.44
"2/6/2021 0:00",55.53
"2/6/2021 1:00",43.33
"2/6/2021 2:00",40.18
"2/6/2021 3:00",36.96
"2/6/2021 4:00",43.8
"2/6/2021 5:00",55.72
"2/6/2021 6:00",64.76
"2/6/2021 7:00",68.4
"2/6/2021 8:00",64.72
"2/6/2021 9:00",67.23
"2/6/2021 10:00",57.31
"2/6/2021 11:00",56.91
"2/6/2021 12:00",41.2
"2/6/2021 13:00",47.88
"2/6/2021 14:00",46.78
"2/6/2021 15:00",56.28
"2/6/2021 16:00",59.6
"2/6/2021 17:00",73.73
"2/6/2021 18:00",88.21
"2/6/2021 19:00",90.66
"2/6/2021 20:00",98.77
"2/6/2021 21:00",96.78
"2/6/2021 22:00",60.33
"2/6/2021 23:00",37.25
"3/6/2021 0:00",25.75
"3/6/2021 1:00",43.85
"3/6/2021 2:00",37.35
"3/6/2021 3:00",37.01
