"Category","Nitrogen dioxide"
"19/6/2022 9:00",5.89
"19/6/2022 10:00",5.91
"19/6/2022 11:00",7.54
"19/6/2022 12:00",8.73
"19/6/2022 13:00",9.47
"19/6/2022 14:00",8.37
"19/6/2022 15:00",8.55
"19/6/2022 16:00",10.26
"19/6/2022 17:00",9.82
"19/6/2022 18:00",13.15
"19/6/2022 19:00",17.66
"19/6/2022 20:00",15.65
"19/6/2022 21:00",13.86
"19/6/2022 22:00",12.38
"19/6/2022 23:00",11.68
"20/6/2022 0:00",9.39
"20/6/2022 1:00",8.1
"20/6/2022 2:00",9.36
"20/6/2022 3:00",9.3
"20/6/2022 4:00",8.41
"20/6/2022 5:00",12.63
"20/6/2022 6:00",14.31
"20/6/2022 7:00",13.55
"20/6/2022 8:00",10.59
"20/6/2022 9:00",8.96
"20/6/2022 10:00",13.18
"20/6/2022 11:00",10.54
"20/6/2022 12:00",11.23
"20/6/2022 13:00",10.17
"20/6/2022 14:00",11.98
"20/6/2022 15:00",9.69
"20/6/2022 16:00",7.48
"20/6/2022 17:00",7.06
"20/6/2022 18:00",7.62
"20/6/2022 19:00",13.49
"20/6/2022 20:00",18.74
"20/6/2022 21:00",20.94
"20/6/2022 22:00",21.45
"20/6/2022 23:00",20.84
"21/6/2022 0:00",21.86
"21/6/2022 1:00",56.67
"21/6/2022 2:00",63.31
"21/6/2022 3:00",52.67
"21/6/2022 4:00",46.08
"21/6/2022 5:00",55.7
"21/6/2022 6:00",52.5
"21/6/2022 7:00",46.22
"21/6/2022 8:00",39.51
"21/6/2022 9:00",26.01
"21/6/2022 10:00",33.54
"21/6/2022 11:00",41
"21/6/2022 12:00",38.25
"21/6/2022 13:00",41.46
"21/6/2022 14:00",35.55
"21/6/2022 15:00",31.54
"21/6/2022 16:00",26.33
"21/6/2022 17:00",40.99
"21/6/2022 18:00",43.89
"21/6/2022 19:00",49.76
"21/6/2022 20:00",67.19
"21/6/2022 21:00",87.97
"21/6/2022 22:00",92.63
"21/6/2022 23:00",93.14
"22/6/2022 0:00",75.43
"22/6/2022 1:00",30.66
"22/6/2022 2:00",31.7
"22/6/2022 3:00",31.86
"22/6/2022 4:00",33.28
"22/6/2022 5:00",33.95
"22/6/2022 6:00",33.65
"22/6/2022 7:00",30.04
"22/6/2022 8:00",19.26
"22/6/2022 9:00",12.74
"22/6/2022 10:00",10.03
"22/6/2022 11:00",12.29
"22/6/2022 12:00",16.14
"22/6/2022 13:00",17.23
"22/6/2022 14:00",17.39
"22/6/2022 15:00",17.54
"22/6/2022 16:00",18.88
"22/6/2022 17:00",20.09
"22/6/2022 18:00",20.91
"22/6/2022 19:00",21.95
"22/6/2022 20:00",23.09
"22/6/2022 21:00",24.2
"22/6/2022 22:00",26.35
"22/6/2022 23:00",27.49
"23/6/2022 0:00",28.4
"23/6/2022 1:00",33.25
"23/6/2022 2:00",32.01
"23/6/2022 3:00",29.85
"23/6/2022 4:00",27.37
"23/6/2022 5:00",24.64
"23/6/2022 6:00",25.49
"23/6/2022 7:00",27.46
"23/6/2022 8:00",28.93
"23/6/2022 9:00",33.76
"23/6/2022 10:00",29.15
"23/6/2022 11:00",15.76
"23/6/2022 12:00",16.28
"23/6/2022 13:00",17.28
"23/6/2022 14:00",14.47
"23/6/2022 15:00",17.99
"23/6/2022 16:00",14.31
"23/6/2022 17:00",14.91
"23/6/2022 18:00",21.53
"23/6/2022 19:00",28.69
"23/6/2022 20:00",23.8
"23/6/2022 21:00",29.68
"23/6/2022 22:00",29.19
"23/6/2022 23:00",18.31
"24/6/2022 0:00",13.18
"24/6/2022 1:00",6.75
"24/6/2022 2:00",11.42
"24/6/2022 3:00",8.94
"24/6/2022 4:00",11.08
"24/6/2022 5:00",22.58
"24/6/2022 6:00",30.49
"24/6/2022 7:00",28.37
"24/6/2022 8:00",16.7
"24/6/2022 9:00",8.86
"24/6/2022 10:00",11.05
"24/6/2022 11:00",19.51
"24/6/2022 12:00",24.12
"24/6/2022 13:00",22.74
"24/6/2022 14:00",24.53
"24/6/2022 15:00",30.08
"24/6/2022 16:00",23.4
"24/6/2022 17:00",22.37
"24/6/2022 18:00",22.96
"24/6/2022 19:00",21.9
"24/6/2022 20:00",24.86
"24/6/2022 21:00",26.93
"24/6/2022 22:00",23.97
"24/6/2022 23:00",29.29
"25/6/2022 0:00",32.34
"25/6/2022 1:00",24.98
"25/6/2022 2:00",23.82
"25/6/2022 3:00",24.66
"25/6/2022 4:00",24.32
"25/6/2022 5:00",25.94
"25/6/2022 6:00",28.34
"25/6/2022 7:00",22.39
"25/6/2022 8:00",10.08
"25/6/2022 9:00",12.04
"25/6/2022 10:00",15.83
"25/6/2022 11:00",9.7
"25/6/2022 12:00",12.55
"25/6/2022 13:00",14.05
"25/6/2022 14:00",15.66
"25/6/2022 15:00",15.39
"25/6/2022 16:00",15.36
"25/6/2022 17:00",12.61
"25/6/2022 18:00",16.89
