"Category","PM<sub>2.5</sub> particulates"
"19/6/2022 9:00",10.98
"19/6/2022 10:00",8.7
"19/6/2022 11:00",8.52
"19/6/2022 12:00",9.67
"19/6/2022 13:00",10.37
"19/6/2022 14:00",11.32
"19/6/2022 15:00",12.31
"19/6/2022 16:00",13.54
"19/6/2022 17:00",12.16
"19/6/2022 18:00",11
"19/6/2022 19:00",13.01
"19/6/2022 20:00",13.19
"19/6/2022 21:00",16.46
"19/6/2022 22:00",18.44
"19/6/2022 23:00",18.25
"20/6/2022 0:00",13.56
"20/6/2022 1:00",6.26
"20/6/2022 2:00",6.11
"20/6/2022 3:00",6.05
"20/6/2022 4:00",5.83
"20/6/2022 5:00",6.29
"20/6/2022 6:00",6.49
"20/6/2022 7:00",6.17
"20/6/2022 8:00",5.61
"20/6/2022 9:00",5.48
"20/6/2022 10:00",5.87
"20/6/2022 11:00",5.87
"20/6/2022 12:00",6.4
"20/6/2022 13:00",6.81
"20/6/2022 14:00",7.07
"20/6/2022 15:00",6.77
"20/6/2022 16:00",6.92
"20/6/2022 17:00",6.85
"20/6/2022 18:00",7.49
"20/6/2022 19:00",8.02
"20/6/2022 20:00",8.94
"20/6/2022 21:00",8.72
"20/6/2022 22:00",9.96
"20/6/2022 23:00",12.29
"21/6/2022 0:00",13.13
"21/6/2022 1:00",9.12
"21/6/2022 2:00",12.95
"21/6/2022 3:00",11.95
"21/6/2022 4:00",11.26
"21/6/2022 5:00",12.41
"21/6/2022 6:00",13.04
"21/6/2022 7:00",10.88
"21/6/2022 8:00",7.65
"21/6/2022 9:00",6.4
"21/6/2022 10:00",6.34
"21/6/2022 11:00",6.38
"21/6/2022 12:00",5.75
"21/6/2022 13:00",5.77
"21/6/2022 14:00",5.7
"21/6/2022 15:00",5.37
"21/6/2022 16:00",4.85
"21/6/2022 17:00",5.22
"21/6/2022 18:00",5.25
"21/6/2022 19:00",5.52
"21/6/2022 20:00",5.59
"21/6/2022 21:00",6.13
"21/6/2022 22:00",7.53
"21/6/2022 23:00",9.75
"22/6/2022 0:00",10.23
"22/6/2022 1:00",12.89
"22/6/2022 2:00",13.68
"22/6/2022 3:00",12.52
"22/6/2022 4:00",14.99
"22/6/2022 5:00",17.38
"22/6/2022 6:00",15.34
"22/6/2022 7:00",13.8
"22/6/2022 8:00",9.54
"22/6/2022 9:00",7.11
"22/6/2022 10:00",6.19
"22/6/2022 11:00",6.27
"22/6/2022 12:00",6.68
"22/6/2022 13:00",6.67
"22/6/2022 14:00",6.43
"22/6/2022 15:00",6.34
"22/6/2022 16:00",6.54
"22/6/2022 17:00",6.65
"22/6/2022 18:00",6.46
"22/6/2022 19:00",6.36
"22/6/2022 20:00",6.37
"22/6/2022 21:00",6.38
"22/6/2022 22:00",6.74
"22/6/2022 23:00",7.34
"23/6/2022 0:00",8.05
"23/6/2022 1:00",6.14
"23/6/2022 2:00",6.71
"23/6/2022 3:00",8.02
"23/6/2022 4:00",11.16
"23/6/2022 5:00",12.14
"23/6/2022 6:00",11.74
"23/6/2022 7:00",13.17
"23/6/2022 8:00",13.13
"23/6/2022 9:00",16.64
"23/6/2022 10:00",22.42
"23/6/2022 11:00",14.94
"23/6/2022 12:00",10.37
"23/6/2022 13:00",10.85
"23/6/2022 14:00",11.8
"23/6/2022 15:00",17.38
"23/6/2022 16:00",16.53
"23/6/2022 17:00",14.36
"23/6/2022 18:00",11.86
"23/6/2022 19:00",11.22
"23/6/2022 20:00",9.67
"23/6/2022 21:00",8.77
"23/6/2022 22:00",8.22
"23/6/2022 23:00",9.25
"24/6/2022 0:00",6.49
"24/6/2022 1:00",9.91
"24/6/2022 2:00",13.77
"24/6/2022 3:00",16.92
"24/6/2022 4:00",17.15
"24/6/2022 5:00",16.85
"24/6/2022 6:00",16.99
"24/6/2022 7:00",16.36
"24/6/2022 8:00",11.96
"24/6/2022 9:00",8.74
"24/6/2022 10:00",7.62
"24/6/2022 11:00",7.49
"24/6/2022 12:00",7.86
"24/6/2022 13:00",7.75
"24/6/2022 14:00",7.83
"24/6/2022 15:00",8.58
"24/6/2022 16:00",8.92
"24/6/2022 17:00",8.79
"24/6/2022 18:00",8.06
"24/6/2022 19:00",8.1
"24/6/2022 20:00",8.17
"24/6/2022 21:00",8.63
"24/6/2022 22:00",8.83
"24/6/2022 23:00",9
"25/6/2022 0:00",7.71
"25/6/2022 1:00",9.87
"25/6/2022 2:00",8.6
"25/6/2022 3:00",9.25
"25/6/2022 4:00",8.83
