"Category","PM<sub>2.5</sub> particulates"
"28/10/2021 9:00",6.02
"28/10/2021 10:00",5.94
"28/10/2021 11:00",6.2
"28/10/2021 12:00",6.55
"28/10/2021 13:00",6.84
"28/10/2021 14:00",7.66
"28/10/2021 15:00",7.64
"28/10/2021 16:00",7.26
"28/10/2021 17:00",8.96
"28/10/2021 18:00",8.81
"28/10/2021 19:00",9.23
"28/10/2021 20:00",8.65
"28/10/2021 21:00",9.22
"28/10/2021 22:00",9.77
"28/10/2021 23:00",9.4
"29/10/2021 0:00",8.72
"29/10/2021 1:00",10.82
"29/10/2021 2:00",10.43
"29/10/2021 3:00",10.37
"29/10/2021 4:00",10.17
"29/10/2021 5:00",12.43
"29/10/2021 6:00",13.35
"29/10/2021 7:00",9.54
"29/10/2021 8:00",8.74
"29/10/2021 9:00",9.81
"29/10/2021 10:00",10.77
"29/10/2021 11:00",8.28
"29/10/2021 12:00",6.62
"29/10/2021 13:00",5.7
"29/10/2021 14:00",5.67
"29/10/2021 15:00",5.19
"29/10/2021 16:00",5.9
"29/10/2021 17:00",7.12
"29/10/2021 18:00",6.59
"29/10/2021 19:00",8.4
"29/10/2021 20:00",13.67
"29/10/2021 21:00",11
"29/10/2021 22:00",7.83
"29/10/2021 23:00",7.97
"30/10/2021 0:00",7.8
"30/10/2021 1:00",5.68
"30/10/2021 2:00",5.39
"30/10/2021 3:00",5.93
"30/10/2021 4:00",7.52
"30/10/2021 5:00",9.07
"30/10/2021 6:00",11.13
"30/10/2021 7:00",10.51
"30/10/2021 8:00",8.92
"30/10/2021 9:00",5.89
"30/10/2021 10:00",5.47
"30/10/2021 11:00",4.43
"30/10/2021 12:00",5.52
"30/10/2021 13:00",4.78
"30/10/2021 14:00",4.8
"30/10/2021 15:00",5.56
"30/10/2021 16:00",5.02
"30/10/2021 17:00",5.36
"30/10/2021 18:00",6.51
"30/10/2021 19:00",7.51
"30/10/2021 20:00",9.12
"30/10/2021 21:00",7.33
"30/10/2021 22:00",7.21
"30/10/2021 23:00",8.42
"31/10/2021 0:00",7.36
"31/10/2021 1:00",11.25
"31/10/2021 1:00",5.27
"31/10/2021 2:00",3.02
"31/10/2021 3:00",1.79
"31/10/2021 4:00",1.46
"31/10/2021 5:00",0
"31/10/2021 6:00",4.05
"31/10/2021 7:00",1.3
"31/10/2021 8:00",0.42
"31/10/2021 9:00",4.31
"31/10/2021 10:00",3.02
"31/10/2021 11:00",0.48
"31/10/2021 12:00",3.71
"31/10/2021 13:00",4.52
"31/10/2021 14:00",9.01
"31/10/2021 15:00",2.3
"31/10/2021 16:00",17.86
"31/10/2021 17:00",11.78
"31/10/2021 18:00",6.96
"31/10/2021 19:00",9.55
"31/10/2021 20:00",8.08
"31/10/2021 21:00",7.43
"31/10/2021 22:00",3.94
"31/10/2021 23:00",1.13
"1/11/2021 0:00",8.46
"1/11/2021 1:00",8.52
"1/11/2021 2:00",8.12
"1/11/2021 3:00",8.11
"1/11/2021 4:00",8.11
"1/11/2021 5:00",8.31
"1/11/2021 6:00",8.37
"1/11/2021 7:00",8.68
"1/11/2021 8:00",8.79
"1/11/2021 9:00",9.07
"1/11/2021 10:00",8.71
"1/11/2021 11:00",9.36
"1/11/2021 12:00",8.8
"1/11/2021 13:00",8.77
"1/11/2021 14:00",8.79
"1/11/2021 15:00",8.8
"1/11/2021 16:00",9.29
"1/11/2021 17:00",10.99
"1/11/2021 18:00",11
"1/11/2021 19:00",12.59
"1/11/2021 20:00",14.56
"1/11/2021 21:00",15.12
"1/11/2021 22:00",15.5
"1/11/2021 23:00",15.3
"2/11/2021 0:00",12.35
"2/11/2021 1:00",12.81
"2/11/2021 2:00",13.75
"2/11/2021 3:00",14.36
"2/11/2021 4:00",13.34
"2/11/2021 5:00",12.75
"2/11/2021 6:00",12.5
"2/11/2021 7:00",13.94
"2/11/2021 8:00",14.29
"2/11/2021 9:00",15.45
"2/11/2021 10:00",12.86
"2/11/2021 11:00",12.93
"2/11/2021 12:00",10.22
"2/11/2021 13:00",8.19
"2/11/2021 14:00",7.82
"2/11/2021 15:00",7.04
"2/11/2021 16:00",8.66
"2/11/2021 17:00",12.23
"2/11/2021 18:00",11.97
"2/11/2021 19:00",15.62
"2/11/2021 20:00",17.05
"2/11/2021 21:00",16.96
"2/11/2021 22:00",17.77
"2/11/2021 23:00",16.46
"3/11/2021 0:00",12.92
"3/11/2021 1:00",15.09
"3/11/2021 2:00",19.51
"3/11/2021 3:00",19.76
"3/11/2021 4:00",19.06
"3/11/2021 5:00",20.38
"3/11/2021 6:00",17.46
"3/11/2021 7:00",19.23
"3/11/2021 8:00",21.4
"3/11/2021 9:00",20.8
"3/11/2021 10:00",16.73
"3/11/2021 11:00",13.71
"3/11/2021 12:00",10.99
"3/11/2021 13:00",10.91
"3/11/2021 14:00",11.33
"3/11/2021 15:00",6.42
"3/11/2021 16:00",6.12
"3/11/2021 17:00",8.89
"3/11/2021 18:00",8.15
"3/11/2021 19:00",7.06
"3/11/2021 20:00",5.68
"3/11/2021 21:00",5.93
"3/11/2021 22:00",5.02
"3/11/2021 23:00",5.13
"4/11/2021 0:00",8.12
"4/11/2021 1:00",7.24
"4/11/2021 2:00",6.89
"4/11/2021 3:00",4.71
"4/11/2021 4:00",3.81
"4/11/2021 5:00",5.2
"4/11/2021 6:00",5.41
"4/11/2021 7:00",7.74
"4/11/2021 8:00",7.67
"4/11/2021 9:00",8.55
"4/11/2021 10:00",7.29
"4/11/2021 11:00",8.44
"4/11/2021 12:00",6.67
"4/11/2021 13:00",6.19
"4/11/2021 14:00",6.55
"4/11/2021 15:00",6.34
"4/11/2021 16:00",7.87
"4/11/2021 17:00",15.07
"4/11/2021 18:00",8.68
"4/11/2021 19:00",10.82
"4/11/2021 20:00",23.45
"4/11/2021 21:00",48.34
"4/11/2021 22:00",50.23
"4/11/2021 23:00",49.07
"5/11/2021 0:00",18.69
"5/11/2021 1:00",12.99
"5/11/2021 2:00",9.64
"5/11/2021 3:00",9.46
"5/11/2021 4:00",10.49
"5/11/2021 5:00",20.23
"5/11/2021 6:00",17.94
"5/11/2021 7:00",22.06
"5/11/2021 8:00",23.7
"5/11/2021 9:00",22.75
"5/11/2021 10:00",15.61
"5/11/2021 11:00",11.65
"5/11/2021 12:00",3.17
"5/11/2021 13:00",0
"5/11/2021 14:00",0
"5/11/2021 15:00",3.52
"5/11/2021 16:00",4.25
"5/11/2021 17:00",9.8
"5/11/2021 18:00",21.23
"5/11/2021 19:00",28.89
"5/11/2021 20:00",33.99
"5/11/2021 21:00",45.77
"5/11/2021 22:00",39.59
"5/11/2021 23:00",37.12
"6/11/2021 0:00",31.89
"6/11/2021 1:00",26.63
"6/11/2021 2:00",23.55
"6/11/2021 3:00",20.24
"6/11/2021 4:00",19.13
"6/11/2021 5:00",19.36
"6/11/2021 6:00",17.53
"6/11/2021 7:00",15
"6/11/2021 8:00",11.01
"6/11/2021 9:00",8.12
"6/11/2021 10:00",5.97
"6/11/2021 11:00",5.41
"6/11/2021 12:00",5.56
"6/11/2021 13:00",6.2
"6/11/2021 14:00",4.74
"6/11/2021 15:00",4.93
"6/11/2021 16:00",9.73
"6/11/2021 17:00",5.9
"6/11/2021 18:00",7.94
"6/11/2021 19:00",10.89
"6/11/2021 20:00",9.1
"6/11/2021 21:00",8.86
"6/11/2021 22:00",7.85
"6/11/2021 23:00",6.99
"7/11/2021 0:00",9.43
"7/11/2021 1:00",9.19
"7/11/2021 2:00",7.38
"7/11/2021 3:00",6.98
"7/11/2021 4:00",7.06
"7/11/2021 5:00",7.12
"7/11/2021 6:00",7.12
"7/11/2021 7:00",7.32
"7/11/2021 8:00",7.43
"7/11/2021 9:00",8.16
"7/11/2021 10:00",7.34
"7/11/2021 11:00",7.42
"7/11/2021 12:00",7.87
"7/11/2021 13:00",8.95
"7/11/2021 14:00",7.44
"7/11/2021 15:00",7.76
"7/11/2021 16:00",10.39
"7/11/2021 17:00",9.82
"7/11/2021 18:00",13.96
"7/11/2021 19:00",15.97
"7/11/2021 20:00",20.41
"7/11/2021 21:00",22.55
"7/11/2021 22:00",17.17
"7/11/2021 23:00",14.07
"8/11/2021 0:00",13.95
"8/11/2021 1:00",12.89
"8/11/2021 2:00",12.25
"8/11/2021 3:00",12.02
"8/11/2021 4:00",12.18
"8/11/2021 5:00",12.75
"8/11/2021 6:00",12.93
"8/11/2021 7:00",13.05
"8/11/2021 8:00",14.39
"8/11/2021 9:00",15.69
"8/11/2021 10:00",15.68
"8/11/2021 11:00",14.37
"8/11/2021 12:00",13.17
"8/11/2021 13:00",14.21
"8/11/2021 14:00",11.56
"8/11/2021 15:00",11.26
"8/11/2021 16:00",11.82
"8/11/2021 17:00",14.07
"8/11/2021 18:00",15.34
"8/11/2021 19:00",15.15
"8/11/2021 20:00",15.55
"8/11/2021 21:00",17.3
"8/11/2021 22:00",19.16
"8/11/2021 23:00",19.33
"9/11/2021 0:00",13.76
"9/11/2021 1:00",12.85
"9/11/2021 2:00",12.23
"9/11/2021 3:00",12.29
"9/11/2021 4:00",11.57
"9/11/2021 5:00",11.03
"9/11/2021 6:00",9.11
"9/11/2021 7:00",9.76
"9/11/2021 8:00",9.23
"9/11/2021 9:00",7.72
"9/11/2021 10:00",7.61
"9/11/2021 11:00",7.63
"9/11/2021 12:00",7.7
"9/11/2021 13:00",8.09
"9/11/2021 14:00",8.21
"9/11/2021 15:00",8.5
"9/11/2021 16:00",8.89
"9/11/2021 17:00",9.83
"9/11/2021 18:00",8.67
"9/11/2021 19:00",8.29
"9/11/2021 20:00",8.4
"9/11/2021 21:00",8.61
"9/11/2021 22:00",8.6
"9/11/2021 23:00",8.55
"10/11/2021 0:00",8.53
"10/11/2021 1:00",8.55
"10/11/2021 2:00",6.58
"10/11/2021 3:00",6.37
"10/11/2021 4:00",6.88
"10/11/2021 5:00",7.92
"10/11/2021 6:00",8.49
"10/11/2021 7:00",10.37
"10/11/2021 8:00",12.93
"10/11/2021 9:00",13.12
"10/11/2021 10:00",13.81
"10/11/2021 11:00",11.61
"10/11/2021 12:00",13.55
"10/11/2021 13:00",14.33
"10/11/2021 14:00",14.76
"10/11/2021 15:00",11.87
"10/11/2021 16:00",15.37
"10/11/2021 17:00",16.81
"10/11/2021 18:00",18.79
"10/11/2021 19:00",19.97
"10/11/2021 20:00",18.55
"10/11/2021 21:00",19.52
"10/11/2021 22:00",19.42
"10/11/2021 23:00",18.72
"11/11/2021 0:00",14.58
"11/11/2021 1:00",12.82
"11/11/2021 2:00",13.32
"11/11/2021 3:00",14.13
"11/11/2021 4:00",13.59
"11/11/2021 5:00",13.55
"11/11/2021 6:00",12.79
"11/11/2021 7:00",13.3
"11/11/2021 8:00",12.89
"11/11/2021 9:00",13.35
"11/11/2021 10:00",11.99
"11/11/2021 11:00",10.49
"11/11/2021 12:00",9.74
"11/11/2021 13:00",9.49
"11/11/2021 14:00",10.04
"11/11/2021 15:00",10.19
"11/11/2021 16:00",10.9
"11/11/2021 17:00",10.36
"11/11/2021 18:00",10.81
"11/11/2021 19:00",11.52
"11/11/2021 20:00",11.81
"11/11/2021 21:00",12.68
"11/11/2021 22:00",13.64
"11/11/2021 23:00",13.71
"12/11/2021 0:00",13.97
"12/11/2021 1:00",10.42
"12/11/2021 2:00",10.39
