"Category","PM<sub>2.5</sub> particulates"
"22/11/2023 20:00",11.59
"22/11/2023 21:00",12.72
"22/11/2023 22:00",12.99
"22/11/2023 23:00",12.6
"23/11/2023 0:00",7.31
"23/11/2023 1:00",7.31
"23/11/2023 2:00",5.59
"23/11/2023 3:00",3.87
"23/11/2023 4:00",3.63
"23/11/2023 5:00",3.6
"23/11/2023 6:00",3.9
"23/11/2023 7:00",4.52
"23/11/2023 8:00",4.14
"23/11/2023 9:00",4.07
"23/11/2023 10:00",3.68
"23/11/2023 11:00",3.41
"23/11/2023 12:00",4.81
"23/11/2023 13:00",4.19
"23/11/2023 14:00",3.71
"23/11/2023 15:00",3.38
"23/11/2023 16:00",3.81
"23/11/2023 17:00",4.21
"23/11/2023 18:00",4.34
"23/11/2023 19:00",4.59
"23/11/2023 20:00",4.76
"23/11/2023 21:00",4.86
"23/11/2023 22:00",4.22
"23/11/2023 23:00",2.8
"24/11/2023 0:00",5.98
"24/11/2023 1:00",6.69
"24/11/2023 2:00",6.83
"24/11/2023 3:00",7.51
"24/11/2023 4:00",8.83
"24/11/2023 5:00",8.33
"24/11/2023 6:00",9.88
"24/11/2023 7:00",8.54
"24/11/2023 8:00",6.4
"24/11/2023 9:00",6.65
"24/11/2023 10:00",2.56
"24/11/2023 11:00",1.16
"24/11/2023 12:00",1.31
"24/11/2023 13:00",1.42
"24/11/2023 14:00",3.58
"24/11/2023 15:00",3.11
"24/11/2023 16:00",5.51
"24/11/2023 17:00",14.17
"24/11/2023 18:00",12.72
"24/11/2023 19:00",9.95
"24/11/2023 20:00",13.49
"24/11/2023 21:00",11.58
"24/11/2023 22:00",16.04
"24/11/2023 23:00",14.35
"25/11/2023 0:00",6.82
"25/11/2023 1:00",6.63
"25/11/2023 2:00",6.61
"25/11/2023 3:00",6.46
"25/11/2023 4:00",6.8
"25/11/2023 5:00",6.87
"25/11/2023 6:00",6.72
"25/11/2023 7:00",7.55
"25/11/2023 8:00",7.78
"25/11/2023 9:00",8.29
"25/11/2023 10:00",8.64
"25/11/2023 11:00",5.91
"25/11/2023 12:00",5.7
"25/11/2023 13:00",5.62
"25/11/2023 14:00",5.45
"25/11/2023 15:00",6.24
"25/11/2023 16:00",8.25
"25/11/2023 17:00",10.67
"25/11/2023 18:00",14.37
"25/11/2023 19:00",17.29
"25/11/2023 20:00",20.61
"25/11/2023 21:00",20.23
"25/11/2023 22:00",21.91
"25/11/2023 23:00",21.98
"26/11/2023 0:00",15.9
"26/11/2023 1:00",16.91
"26/11/2023 2:00",18.68
"26/11/2023 3:00",19.47
"26/11/2023 4:00",18.75
"26/11/2023 5:00",18.67
"26/11/2023 6:00",17.51
"26/11/2023 7:00",16.46
"26/11/2023 8:00",14.89
"26/11/2023 9:00",14.15
"26/11/2023 10:00",7.63
"26/11/2023 11:00",7.46
"26/11/2023 12:00",8.5
"26/11/2023 13:00",9.45
"26/11/2023 14:00",11.52
"26/11/2023 15:00",13.12
"26/11/2023 16:00",13.54
"26/11/2023 17:00",10.58
"26/11/2023 18:00",6.62
"26/11/2023 19:00",4.14
"26/11/2023 20:00",5.85
"26/11/2023 21:00",8.96
"26/11/2023 22:00",8.96
"26/11/2023 23:00",8.99
"27/11/2023 0:00",5.22
"27/11/2023 1:00",3.22
"27/11/2023 2:00",1.52
"27/11/2023 3:00",1.14
"27/11/2023 4:00",1.19
"27/11/2023 5:00",1.78
"27/11/2023 6:00",1.87
"27/11/2023 7:00",2.11
"27/11/2023 8:00",2.78
"27/11/2023 9:00",2.79
"27/11/2023 10:00",2.95
"27/11/2023 11:00",2.75
"27/11/2023 12:00",2.05
"27/11/2023 13:00",1.42
"27/11/2023 14:00",1.66
"27/11/2023 15:00",1.9
"27/11/2023 16:00",1.56
"27/11/2023 17:00",3.33
"27/11/2023 18:00",4.58
"27/11/2023 19:00",6.29
"27/11/2023 20:00",6.26
"27/11/2023 21:00",5.06
"27/11/2023 22:00",3.6
"27/11/2023 23:00",3.03
"28/11/2023 0:00",5.69
"28/11/2023 1:00",5.86
"28/11/2023 2:00",6.17
"28/11/2023 3:00",5.33
"28/11/2023 4:00",5.78
"28/11/2023 5:00",4.52
"28/11/2023 6:00",3.5
"28/11/2023 7:00",3.37
"28/11/2023 8:00",4.59
"28/11/2023 9:00",4.49
"28/11/2023 10:00",4.44
"28/11/2023 11:00",3.46
"28/11/2023 12:00",4.04
"28/11/2023 13:00",4.78
"28/11/2023 14:00",4.8
"28/11/2023 15:00",5.45
"28/11/2023 16:00",7.92
"28/11/2023 17:00",8.29
"28/11/2023 18:00",9.4
"28/11/2023 19:00",9.72
"28/11/2023 20:00",9.4
"28/11/2023 21:00",10.51
"28/11/2023 22:00",10.81
"28/11/2023 23:00",11.2
"29/11/2023 0:00",11.11
"29/11/2023 1:00",12.36
"29/11/2023 2:00",11.44
"29/11/2023 3:00",12.62
"29/11/2023 4:00",13.88
"29/11/2023 5:00",13.78
"29/11/2023 6:00",13.05
"29/11/2023 7:00",13.56
"29/11/2023 8:00",14.33
"29/11/2023 9:00",12.11
"29/11/2023 10:00",13.48
"29/11/2023 11:00",8.55
"29/11/2023 12:00",5.6
"29/11/2023 13:00",8.34
"29/11/2023 14:00",7.66
"29/11/2023 15:00",4.52
"29/11/2023 16:00",4.2
"29/11/2023 17:00",9.2
"29/11/2023 18:00",9.71
"29/11/2023 19:00",12.49
"29/11/2023 20:00",16.29
"29/11/2023 21:00",18.3
"29/11/2023 22:00",16.26
"29/11/2023 23:00",15.47
"30/11/2023 0:00",12.6
"30/11/2023 1:00",13.48
"30/11/2023 2:00",14.69
"30/11/2023 3:00",13.33
"30/11/2023 4:00",12.92
"30/11/2023 5:00",14.26
"30/11/2023 6:00",13.61
"30/11/2023 7:00",13.13
"30/11/2023 8:00",13.47
"30/11/2023 9:00",12.76
"30/11/2023 10:00",10.71
"30/11/2023 11:00",9.16
"30/11/2023 12:00",8.42
"30/11/2023 13:00",7.55
"30/11/2023 14:00",6.94
"30/11/2023 15:00",6.45
"30/11/2023 16:00",7.03
"30/11/2023 17:00",7.48
"30/11/2023 18:00",7.92
"30/11/2023 19:00",8.76
"30/11/2023 20:00",8.58
"30/11/2023 21:00",8.11
"30/11/2023 22:00",8.24
"30/11/2023 23:00",8.57
"1/12/2023 0:00",5.79
"1/12/2023 1:00",6.29
"1/12/2023 2:00",6.98
"1/12/2023 3:00",6.97
"1/12/2023 4:00",7.65
"1/12/2023 5:00",9.13
"1/12/2023 6:00",9.1
"1/12/2023 7:00",8.93
"1/12/2023 8:00",8.27
"1/12/2023 9:00",8.96
"1/12/2023 10:00",8.07
"1/12/2023 11:00",8.38
"1/12/2023 12:00",9.36
"1/12/2023 13:00",9.55
"1/12/2023 14:00",6.78
"1/12/2023 15:00",7.11
"1/12/2023 16:00",7.81
"1/12/2023 17:00",9.22
"1/12/2023 18:00",8.79
"1/12/2023 19:00",8.57
"1/12/2023 20:00",10.99
"1/12/2023 21:00",12.27
"1/12/2023 22:00",11.22
"1/12/2023 23:00",9.58
"2/12/2023 0:00",6.74
"2/12/2023 1:00",6.58
"2/12/2023 2:00",7.03
"2/12/2023 3:00",8.7
"2/12/2023 4:00",8.4
"2/12/2023 5:00",9.17
"2/12/2023 6:00",12.28
"2/12/2023 7:00",11.43
"2/12/2023 8:00",10.36
"2/12/2023 9:00",10.61
"2/12/2023 10:00",10.82
"2/12/2023 11:00",12.39
"2/12/2023 12:00",16.79
"2/12/2023 13:00",18.59
"2/12/2023 14:00",17.22
"2/12/2023 15:00",16.71
"2/12/2023 16:00",15.81
"2/12/2023 17:00",16.91
"2/12/2023 18:00",18.29
"2/12/2023 19:00",20.19
"2/12/2023 20:00",21.66
"2/12/2023 21:00",23.16
"2/12/2023 22:00",22.78
"2/12/2023 23:00",18.06
"3/12/2023 0:00",13.06
"3/12/2023 1:00",11.65
"3/12/2023 2:00",10.47
"3/12/2023 3:00",9.13
"3/12/2023 4:00",6.49
"3/12/2023 5:00",6.01
"3/12/2023 6:00",6.86
"3/12/2023 7:00",7.4
"3/12/2023 8:00",7.56
"3/12/2023 9:00",8.95
"3/12/2023 10:00",10.72
"3/12/2023 11:00",10.36
"3/12/2023 12:00",6.91
"3/12/2023 13:00",5.65
"3/12/2023 14:00",5.84
"3/12/2023 15:00",5.28
"3/12/2023 16:00",5.45
"3/12/2023 17:00",10.5
"3/12/2023 18:00",9.98
"3/12/2023 19:00",9.89
"3/12/2023 20:00",11.1
"3/12/2023 21:00",10.68
"3/12/2023 22:00",9.06
"3/12/2023 23:00",6.84
"4/12/2023 0:00",5.88
"4/12/2023 1:00",5.69
"4/12/2023 2:00",5.1
"4/12/2023 3:00",4.51
"4/12/2023 4:00",4.42
"4/12/2023 5:00",4.46
"4/12/2023 6:00",4.37
"4/12/2023 7:00",4.51
"4/12/2023 8:00",4.93
"4/12/2023 9:00",5
"4/12/2023 10:00",4.78
"4/12/2023 11:00",5.38
"4/12/2023 12:00",5.61
"4/12/2023 13:00",5.99
"4/12/2023 14:00",8.59
"4/12/2023 15:00",9.92
"4/12/2023 16:00",9.78
"4/12/2023 17:00",10.47
"4/12/2023 18:00",10.49
"4/12/2023 19:00",9.94
"4/12/2023 20:00",10.83
"4/12/2023 21:00",11.04
"4/12/2023 22:00",9.67
"4/12/2023 23:00",10.16
"5/12/2023 0:00",6.89
"5/12/2023 1:00",6.29
"5/12/2023 2:00",5.89
"5/12/2023 3:00",5.87
"5/12/2023 4:00",6.2
"5/12/2023 5:00",6.46
"5/12/2023 6:00",6.97
"5/12/2023 7:00",6.9
"5/12/2023 8:00",7.13
"5/12/2023 9:00",7
"5/12/2023 10:00",6.82
"5/12/2023 11:00",6.03
"5/12/2023 12:00",5.73
"5/12/2023 13:00",5.27
"5/12/2023 14:00",5.16
"5/12/2023 15:00",4.97
"5/12/2023 16:00",5.12
"5/12/2023 17:00",5.19
"5/12/2023 18:00",5.1
"5/12/2023 19:00",5.46
"5/12/2023 20:00",5.6
"5/12/2023 21:00",5.62
"5/12/2023 22:00",5.61
"5/12/2023 23:00",5.55
"6/12/2023 0:00",8.91
"6/12/2023 1:00",8.93
"6/12/2023 2:00",9.55
"6/12/2023 3:00",9.83
"6/12/2023 4:00",10.71
"6/12/2023 5:00",11.96
"6/12/2023 6:00",13.46
"6/12/2023 7:00",16.16
"6/12/2023 8:00",16.89
"6/12/2023 9:00",16.94
"6/12/2023 10:00",16.04
"6/12/2023 11:00",14.76
"6/12/2023 12:00",15.85
"6/12/2023 13:00",16.13
"6/12/2023 14:00",12.6
"6/12/2023 15:00",10.91
"6/12/2023 16:00",14.16
"6/12/2023 17:00",12.63
"6/12/2023 18:00",12.46
"6/12/2023 19:00",15.77
"6/12/2023 20:00",15.89
"6/12/2023 21:00",14.28
"6/12/2023 22:00",16.05
"6/12/2023 23:00",10.76
"7/12/2023 0:00",7.78
"7/12/2023 1:00",7.19
"7/12/2023 2:00",6.32
"7/12/2023 3:00",6.35
"7/12/2023 4:00",6.3
"7/12/2023 5:00",6.59
"7/12/2023 6:00",8.25
"7/12/2023 7:00",8.4
"7/12/2023 8:00",7.8
"7/12/2023 9:00",7.1
"7/12/2023 10:00",6.04
