"Category","Nitrogen dioxide"
"24/3/2022 6:00",99.34
"24/3/2022 7:00",99.4
"24/3/2022 8:00",101.04
"24/3/2022 9:00",104.74
"24/3/2022 10:00",92.41
"24/3/2022 11:00",69.47
"24/3/2022 12:00",52.82
"24/3/2022 13:00",49.7
"24/3/2022 14:00",53.04
"24/3/2022 15:00",53.08
"24/3/2022 16:00",56.3
"24/3/2022 17:00",72.92
"24/3/2022 18:00",94.45
"24/3/2022 19:00",103.16
"24/3/2022 20:00",125.35
"24/3/2022 21:00",134.43
"24/3/2022 22:00",136.13
"24/3/2022 23:00",126.82
"25/3/2022 0:00",91.61
"25/3/2022 1:00",94.02
"25/3/2022 2:00",84.87
"25/3/2022 3:00",79.34
"25/3/2022 4:00",74.94
"25/3/2022 5:00",73.72
"25/3/2022 6:00",76.83
"25/3/2022 7:00",73.55
"25/3/2022 8:00",70.94
"25/3/2022 9:00",65.91
"25/3/2022 10:00",56.93
"25/3/2022 11:00",37.96
"25/3/2022 12:00",31.88
"25/3/2022 13:00",35.31
"25/3/2022 14:00",34.02
"25/3/2022 15:00",34.32
"25/3/2022 16:00",40.13
"25/3/2022 17:00",48.59
"25/3/2022 18:00",57.02
"25/3/2022 19:00",62.03
"25/3/2022 20:00",67.21
"25/3/2022 21:00",66.71
"25/3/2022 22:00",66.92
"25/3/2022 23:00",65.05
"26/3/2022 0:00",53.43
"26/3/2022 1:00",48.24
"26/3/2022 2:00",52.14
"26/3/2022 3:00",54.22
"26/3/2022 4:00",51.99
"26/3/2022 5:00",57.68
"26/3/2022 6:00",60.8
"26/3/2022 7:00",54.01
"26/3/2022 8:00",40.84
"26/3/2022 9:00",40.64
"26/3/2022 10:00",36.77
"26/3/2022 11:00",27.85
"26/3/2022 12:00",24.22
"26/3/2022 13:00",20.56
"26/3/2022 14:00",19.78
"26/3/2022 15:00",21.27
"26/3/2022 16:00",25.22
"26/3/2022 17:00",34.47
"26/3/2022 18:00",45.46
"26/3/2022 19:00",52.4
"26/3/2022 20:00",50.64
"26/3/2022 21:00",45.25
"26/3/2022 22:00",41.31
"26/3/2022 23:00",43.09
"27/3/2022 0:00",36.73
"27/3/2022 2:00",36.21
"27/3/2022 3:00",35.12
"27/3/2022 4:00",36.5
"27/3/2022 5:00",35.32
"27/3/2022 6:00",35.8
"27/3/2022 7:00",33.88
"27/3/2022 8:00",30.57
"27/3/2022 9:00",28.94
"27/3/2022 10:00",28.14
"27/3/2022 11:00",29.51
"27/3/2022 12:00",29.89
"27/3/2022 13:00",31.59
"27/3/2022 14:00",29.87
"27/3/2022 15:00",26.01
"27/3/2022 16:00",27.48
"27/3/2022 17:00",25.34
"27/3/2022 18:00",34.43
"27/3/2022 19:00",46.18
"27/3/2022 20:00",48.9
"27/3/2022 21:00",51.5
"27/3/2022 22:00",43.41
"27/3/2022 23:00",55.48
"28/3/2022 0:00",58.47
"28/3/2022 1:00",42.4
"28/3/2022 2:00",36.03
"28/3/2022 3:00",35.75
"28/3/2022 4:00",39.14
"28/3/2022 5:00",45.97
"28/3/2022 6:00",54.06
"28/3/2022 7:00",58.09
"28/3/2022 8:00",58.76
"28/3/2022 9:00",59.88
"28/3/2022 10:00",57.94
"28/3/2022 11:00",52.19
"28/3/2022 12:00",42.81
"28/3/2022 13:00",40.67
"28/3/2022 14:00",38.99
"28/3/2022 15:00",41.6
"28/3/2022 16:00",51.11
"28/3/2022 17:00",57.25
"28/3/2022 18:00",55.8
"28/3/2022 19:00",48.06
"28/3/2022 20:00",53.79
"28/3/2022 21:00",58.38
"28/3/2022 22:00",49.15
"28/3/2022 23:00",49.02
"29/3/2022 0:00",48.17
"29/3/2022 1:00",32.48
"29/3/2022 2:00",27.65
"29/3/2022 3:00",27.84
"29/3/2022 4:00",25.9
"29/3/2022 5:00",26
"29/3/2022 6:00",29.33
"29/3/2022 7:00",31.74
"29/3/2022 8:00",31.45
"29/3/2022 9:00",31.05
"29/3/2022 10:00",28.46
"29/3/2022 11:00",22.99
"29/3/2022 12:00",24.63
"29/3/2022 13:00",26.57
"29/3/2022 14:00",24.32
"29/3/2022 15:00",21.64
"29/3/2022 16:00",21.12
"29/3/2022 17:00",21.78
"29/3/2022 18:00",23.28
"29/3/2022 19:00",28.64
"29/3/2022 20:00",25.08
"29/3/2022 21:00",25.12
"29/3/2022 22:00",17.94
"29/3/2022 23:00",17.92
"30/3/2022 0:00",16.7
"30/3/2022 1:00",16.9
"30/3/2022 2:00",14.02
"30/3/2022 3:00",15.56
"30/3/2022 4:00",14.05
"30/3/2022 5:00",19.77
"30/3/2022 6:00",27.34
"30/3/2022 7:00",29.96
"30/3/2022 8:00",32
"30/3/2022 9:00",33.98
"30/3/2022 10:00",31.8
"30/3/2022 11:00",29.71
"30/3/2022 12:00",32.83
"30/3/2022 13:00",30.83
"30/3/2022 14:00",27.18
"30/3/2022 15:00",30.38
"30/3/2022 16:00",33.7
"30/3/2022 17:00",35.01
"30/3/2022 18:00",39.47
"30/3/2022 19:00",34.57
"30/3/2022 20:00",27.17
"30/3/2022 21:00",19.37
"30/3/2022 22:00",16.57
"30/3/2022 23:00",17.97
"31/3/2022 0:00",14.82
"31/3/2022 1:00",6.03
"31/3/2022 2:00",6.67
"31/3/2022 3:00",8.13
