"Category","Nitrogen dioxide"
"21/1/2024 14:00",5.73
"21/1/2024 15:00",5.96
"21/1/2024 16:00",6.52
"21/1/2024 17:00",7.38
"21/1/2024 18:00",6.78
"21/1/2024 19:00",3.94
"21/1/2024 20:00",3.73
"21/1/2024 21:00",4.08
"21/1/2024 22:00",5.74
"21/1/2024 23:00",5.45
"22/1/2024 0:00",7.06
"22/1/2024 1:00",5.87
"22/1/2024 2:00",3.35
"22/1/2024 3:00",3.03
"22/1/2024 4:00",2.75
"22/1/2024 5:00",3.36
"22/1/2024 6:00",8.23
"22/1/2024 7:00",10.91
"22/1/2024 8:00",11.59
"22/1/2024 9:00",10.64
"22/1/2024 10:00",9.61
"22/1/2024 11:00",5.81
"22/1/2024 12:00",5.14
"22/1/2024 13:00",4.23
"22/1/2024 14:00",5.92
"22/1/2024 15:00",6.99
"22/1/2024 16:00",7.24
"22/1/2024 17:00",9.87
"22/1/2024 18:00",8.39
"22/1/2024 19:00",8.98
"22/1/2024 20:00",10.23
"22/1/2024 21:00",12.06
"22/1/2024 22:00",10.76
"22/1/2024 23:00",9.29
"23/1/2024 0:00",19.21
"23/1/2024 1:00",19.02
"23/1/2024 2:00",19.24
"23/1/2024 3:00",22.28
"23/1/2024 4:00",23.96
"23/1/2024 5:00",23.37
"23/1/2024 6:00",30.44
"23/1/2024 7:00",35.8
"23/1/2024 8:00",43.57
"23/1/2024 9:00",47.39
"23/1/2024 10:00",41.86
"23/1/2024 11:00",31.21
"23/1/2024 12:00",28.26
"23/1/2024 13:00",26.54
"23/1/2024 14:00",27.27
"23/1/2024 15:00",26.04
"23/1/2024 16:00",27.01
"23/1/2024 17:00",26.57
"23/1/2024 18:00",27.01
"23/1/2024 19:00",27.61
"23/1/2024 20:00",24.77
"23/1/2024 21:00",21.91
"23/1/2024 22:00",20.69
"23/1/2024 23:00",13.31
"24/1/2024 0:00",4.74
"24/1/2024 1:00",2.3
"24/1/2024 2:00",2.68
"24/1/2024 3:00",2.29
"24/1/2024 4:00",4.55
"24/1/2024 5:00",5.7
"24/1/2024 6:00",8.84
"24/1/2024 7:00",12.76
"24/1/2024 8:00",15.48
"24/1/2024 9:00",15.94
"24/1/2024 10:00",13.35
"24/1/2024 11:00",12.3
"24/1/2024 12:00",10.9
"24/1/2024 13:00",9
"24/1/2024 14:00",9.03
"24/1/2024 15:00",11.66
"24/1/2024 16:00",16.01
"24/1/2024 17:00",18.86
"24/1/2024 18:00",19.85
"24/1/2024 19:00",22.05
"24/1/2024 20:00",25.35
"24/1/2024 21:00",28.74
"24/1/2024 22:00",29.59
"24/1/2024 23:00",30.96
"25/1/2024 0:00",24.99
"25/1/2024 1:00",26.02
"25/1/2024 2:00",25.02
"25/1/2024 3:00",29.87
"25/1/2024 4:00",25.92
"25/1/2024 5:00",24.19
"25/1/2024 6:00",30.1
"25/1/2024 7:00",35.08
"25/1/2024 8:00",34.8
"25/1/2024 9:00",31.69
"25/1/2024 10:00",25.43
"25/1/2024 11:00",15.46
"25/1/2024 12:00",11.85
"25/1/2024 13:00",9.61
"25/1/2024 14:00",9.69
"25/1/2024 15:00",11.21
"25/1/2024 16:00",12.82
"25/1/2024 17:00",14.08
"25/1/2024 18:00",15.28
"25/1/2024 19:00",14.72
"25/1/2024 20:00",15.43
"25/1/2024 21:00",13.13
"25/1/2024 22:00",11.96
"25/1/2024 23:00",7.76
"26/1/2024 0:00",16.16
"26/1/2024 1:00",16.46
"26/1/2024 2:00",17.27
"26/1/2024 3:00",15.14
"26/1/2024 4:00",13.49
"26/1/2024 5:00",4.56
"26/1/2024 6:00",5.46
"26/1/2024 7:00",9.75
"26/1/2024 8:00",16.94
"26/1/2024 9:00",18.47
"26/1/2024 10:00",15.31
"26/1/2024 11:00",15.02
"26/1/2024 12:00",17.58
"26/1/2024 13:00",18.09
"26/1/2024 14:00",18.8
"26/1/2024 15:00",21.53
"26/1/2024 16:00",27.58
"26/1/2024 17:00",41.15
"26/1/2024 18:00",49.1
"26/1/2024 19:00",53.02
"26/1/2024 20:00",51.57
"26/1/2024 21:00",48.81
"26/1/2024 22:00",49.42
"26/1/2024 23:00",46.9
"27/1/2024 0:00",39.43
"27/1/2024 1:00",35.8
"27/1/2024 2:00",30.56
"27/1/2024 3:00",25.9
"27/1/2024 4:00",28.43
"27/1/2024 5:00",32.79
"27/1/2024 6:00",42.03
"27/1/2024 7:00",48.91
"27/1/2024 8:00",49.28
"27/1/2024 9:00",47.02
"27/1/2024 10:00",41.3
"27/1/2024 11:00",30.78
"27/1/2024 12:00",19.2
"27/1/2024 13:00",18.14
"27/1/2024 14:00",17.31
"27/1/2024 15:00",17.89
"27/1/2024 16:00",28.04
"27/1/2024 17:00",43.58
