"Category","PM<sub>2.5</sub> particulates"
"21/1/2024 14:00",4.03
"21/1/2024 15:00",3.35
"21/1/2024 16:00",3.01
"21/1/2024 17:00",2.83
"21/1/2024 18:00",2.28
"21/1/2024 19:00",0.99
"21/1/2024 20:00",1.08
"21/1/2024 21:00",1.04
"21/1/2024 22:00",1.28
"21/1/2024 23:00",0
"22/1/2024 0:00",4.09
"22/1/2024 1:00",2.9
"22/1/2024 2:00",6.2
"22/1/2024 3:00",12.02
"22/1/2024 4:00",10.86
"22/1/2024 5:00",7.7
"22/1/2024 6:00",9.58
"22/1/2024 7:00",10.89
"22/1/2024 8:00",10.75
"22/1/2024 9:00",9.35
"22/1/2024 10:00",9.7
"22/1/2024 11:00",8.16
"22/1/2024 12:00",7.07
"22/1/2024 13:00",5.77
"22/1/2024 14:00",5.45
"22/1/2024 15:00",5.54
"22/1/2024 16:00",5.69
"22/1/2024 17:00",7.12
"22/1/2024 18:00",7.77
"22/1/2024 19:00",10.1
"22/1/2024 20:00",8.61
"22/1/2024 21:00",9.64
"22/1/2024 22:00",10
"22/1/2024 23:00",7.88
"23/1/2024 0:00",6.15
"23/1/2024 1:00",7.01
"23/1/2024 2:00",7.35
"23/1/2024 3:00",7.69
"23/1/2024 4:00",7.55
"23/1/2024 5:00",7.72
"23/1/2024 6:00",9.33
"23/1/2024 7:00",10.6
"23/1/2024 8:00",13.21
"23/1/2024 9:00",14.9
"23/1/2024 10:00",14
"23/1/2024 11:00",10.86
"23/1/2024 12:00",6.31
"23/1/2024 13:00",3.42
"23/1/2024 14:00",3.73
"23/1/2024 15:00",2.54
"23/1/2024 16:00",2.5
"23/1/2024 17:00",2.65
"23/1/2024 18:00",2.82
"23/1/2024 19:00",3.08
"23/1/2024 20:00",2.92
"23/1/2024 21:00",2.29
"23/1/2024 22:00",2.42
"23/1/2024 23:00",2.22
"24/1/2024 0:00",6.78
"24/1/2024 1:00",10.64
"24/1/2024 2:00",13.37
"24/1/2024 3:00",14.34
"24/1/2024 4:00",16.06
"24/1/2024 5:00",15.46
"24/1/2024 6:00",17.05
"24/1/2024 7:00",16.98
"24/1/2024 8:00",16.91
"24/1/2024 9:00",17.14
"24/1/2024 10:00",15.91
"24/1/2024 11:00",14
"24/1/2024 12:00",13.49
"24/1/2024 13:00",12.28
