"Category","Nitrogen dioxide"
"11/12/2021 11:00",29.79
"11/12/2021 12:00",29.89
"11/12/2021 13:00",36.65
"11/12/2021 14:00",54.99
"11/12/2021 15:00",64.27
"11/12/2021 16:00",68.72
"11/12/2021 17:00",64.59
"11/12/2021 18:00",61.18
"11/12/2021 19:00",56.67
"11/12/2021 20:00",44.43
"11/12/2021 21:00",38.52
"11/12/2021 22:00",26.72
"11/12/2021 23:00",23.22
"12/12/2021 0:00",22.61
"12/12/2021 1:00",20.68
"12/12/2021 2:00",21.3
"12/12/2021 3:00",18.48
"12/12/2021 4:00",17.31
"12/12/2021 5:00",13.97
"12/12/2021 6:00",15.3
"12/12/2021 7:00",17.73
"12/12/2021 8:00",17.87
"12/12/2021 9:00",23.34
"12/12/2021 10:00",24.1
"12/12/2021 11:00",23.79
"12/12/2021 12:00",22.71
"12/12/2021 13:00",28.52
"12/12/2021 14:00",22.77
"12/12/2021 15:00",27
"12/12/2021 16:00",33.05
"12/12/2021 17:00",33.68
"12/12/2021 18:00",27.87
"12/12/2021 19:00",26.79
"12/12/2021 20:00",26.59
"12/12/2021 21:00",24.07
"12/12/2021 22:00",19.49
"12/12/2021 23:00",19.45
"13/12/2021 0:00",16.71
"13/12/2021 1:00",18.12
"13/12/2021 2:00",17.13
"13/12/2021 3:00",11.46
"13/12/2021 4:00",11.17
"13/12/2021 5:00",13.58
"13/12/2021 6:00",18.24
"13/12/2021 7:00",29.32
"13/12/2021 8:00",39.94
"13/12/2021 9:00",28.39
"13/12/2021 10:00",19.57
"13/12/2021 11:00",11.44
"13/12/2021 12:00",27.91
"13/12/2021 13:00",30.15
"13/12/2021 14:00",33.09
"13/12/2021 15:00",31.77
"13/12/2021 16:00",36.04
"13/12/2021 17:00",24.48
"13/12/2021 18:00",25.84
"13/12/2021 19:00",27.58
"13/12/2021 20:00",27.02
"13/12/2021 21:00",25.21
"13/12/2021 22:00",22.54
"13/12/2021 23:00",24.32
"14/12/2021 0:00",16.96
"14/12/2021 1:00",12.51
"14/12/2021 2:00",12.83
"14/12/2021 3:00",12.61
"14/12/2021 4:00",11.29
"14/12/2021 5:00",13.97
"14/12/2021 6:00",25.03
"14/12/2021 7:00",39.12
"14/12/2021 8:00",45.87
"14/12/2021 9:00",40.78
"14/12/2021 10:00",37.29
"14/12/2021 11:00",28.54
"14/12/2021 12:00",26.81
"14/12/2021 13:00",30.1
"14/12/2021 14:00",37.58
"14/12/2021 15:00",40.04
"14/12/2021 16:00",44.54
"14/12/2021 17:00",37.21
"14/12/2021 18:00",34.14
"14/12/2021 19:00",36.28
"14/12/2021 20:00",32.11
"14/12/2021 21:00",32.07
"14/12/2021 22:00",28.45
"14/12/2021 23:00",23.44
"15/12/2021 0:00",27.67
"15/12/2021 1:00",17.96
"15/12/2021 2:00",13.46
"15/12/2021 3:00",11.61
"15/12/2021 4:00",11.69
"15/12/2021 5:00",17.88
"15/12/2021 6:00",28.32
"15/12/2021 7:00",35.51
"15/12/2021 8:00",44.7
"15/12/2021 9:00",44.05
"15/12/2021 10:00",43.59
"15/12/2021 11:00",39.55
"15/12/2021 12:00",46.64
"15/12/2021 13:00",45.61
"15/12/2021 14:00",33.99
"15/12/2021 15:00",40.96
"15/12/2021 16:00",45.94
"15/12/2021 17:00",49.35
"15/12/2021 18:00",49.01
"15/12/2021 19:00",48.76
"15/12/2021 20:00",50.36
"15/12/2021 21:00",47.68
"15/12/2021 22:00",49.56
"15/12/2021 23:00",44.68
"16/12/2021 0:00",54.55
"16/12/2021 1:00",55.89
"16/12/2021 2:00",48.87
"16/12/2021 3:00",41.68
"16/12/2021 4:00",44.8
"16/12/2021 5:00",48.13
"16/12/2021 6:00",56.79
"16/12/2021 7:00",69.28
"16/12/2021 8:00",81.87
"16/12/2021 9:00",56.75
"16/12/2021 10:00",44.32
"16/12/2021 11:00",32.47
"16/12/2021 12:00",27.93
"16/12/2021 13:00",31.95
"16/12/2021 14:00",37.75
"16/12/2021 15:00",38.43
"16/12/2021 16:00",35.55
"16/12/2021 17:00",43.42
"16/12/2021 18:00",38.1
"16/12/2021 19:00",41.66
"16/12/2021 20:00",35.27
"16/12/2021 21:00",53.79
"16/12/2021 22:00",37.87
"16/12/2021 23:00",50.25
"17/12/2021 0:00",20.45
"17/12/2021 1:00",18.02
"17/12/2021 2:00",35.26
"17/12/2021 3:00",27.11
"17/12/2021 4:00",18.13
"17/12/2021 5:00",32.32
"17/12/2021 6:00",64.34
"17/12/2021 7:00",52.96
"17/12/2021 8:00",55.31
"17/12/2021 9:00",61.13
"17/12/2021 10:00",51.65
