"Category","PM<sub>2.5</sub> particulates"
"19/2/2021 11:00",5.62
"19/2/2021 12:00",4.8
"19/2/2021 13:00",3.97
"19/2/2021 14:00",4.68
"19/2/2021 15:00",5.48
"19/2/2021 16:00",5.9
"19/2/2021 17:00",6.22
"19/2/2021 18:00",7.57
"19/2/2021 19:00",11.16
"19/2/2021 20:00",20.37
"19/2/2021 21:00",23.72
"19/2/2021 22:00",21.76
"19/2/2021 23:00",16.24
"20/2/2021 0:00",20.85
"20/2/2021 1:00",13.05
"20/2/2021 2:00",15.84
"20/2/2021 3:00",18.86
"20/2/2021 4:00",20.13
"20/2/2021 5:00",20.57
"20/2/2021 6:00",19.98
"20/2/2021 7:00",19.09
"20/2/2021 8:00",19
"20/2/2021 9:00",16.27
"20/2/2021 10:00",11.93
"20/2/2021 11:00",8.91
"20/2/2021 12:00",5.95
"20/2/2021 13:00",4.75
"20/2/2021 14:00",4.21
"20/2/2021 15:00",5.22
"20/2/2021 16:00",7.83
"20/2/2021 17:00",11.1
"20/2/2021 18:00",16.9
"20/2/2021 19:00",20.89
"20/2/2021 20:00",19.11
"20/2/2021 21:00",17.72
"20/2/2021 22:00",16.74
"20/2/2021 23:00",14.91
"21/2/2021 0:00",12.32
"21/2/2021 1:00",12.39
"21/2/2021 2:00",12.38
"21/2/2021 3:00",12.55
"21/2/2021 4:00",12.96
"21/2/2021 5:00",12.68
"21/2/2021 6:00",12.66
"21/2/2021 7:00",13.47
"21/2/2021 8:00",13.65
"21/2/2021 9:00",12.3
"21/2/2021 10:00",10.9
"21/2/2021 11:00",11.38
"21/2/2021 12:00",13.69
"21/2/2021 13:00",14.3
"21/2/2021 14:00",13.83
"21/2/2021 15:00",13.54
"21/2/2021 16:00",13.82
"21/2/2021 17:00",15.17
"21/2/2021 18:00",15.57
"21/2/2021 19:00",16.47
"21/2/2021 20:00",17.7
"21/2/2021 21:00",17.28
"21/2/2021 22:00",17.71
"21/2/2021 23:00",18.04
"22/2/2021 0:00",19.61
"22/2/2021 1:00",19.99
"22/2/2021 2:00",20.08
"22/2/2021 3:00",19.48
"22/2/2021 4:00",19.21
"22/2/2021 5:00",19.32
"22/2/2021 6:00",19.22
"22/2/2021 7:00",19.39
"22/2/2021 8:00",19.26
"22/2/2021 9:00",19.11
"22/2/2021 10:00",19.09
"22/2/2021 11:00",19.01
"22/2/2021 12:00",19.71
"22/2/2021 13:00",20.7
"22/2/2021 14:00",21.17
"22/2/2021 15:00",20.07
"22/2/2021 16:00",20.62
"22/2/2021 17:00",21.5
"22/2/2021 18:00",21.82
"22/2/2021 19:00",22.22
"22/2/2021 20:00",21.47
"22/2/2021 21:00",22.15
"22/2/2021 22:00",21.96
"22/2/2021 23:00",21.73
"23/2/2021 0:00",18.15
"23/2/2021 1:00",16.24
"23/2/2021 2:00",16.25
"23/2/2021 3:00",15.57
"23/2/2021 4:00",13.91
"23/2/2021 5:00",13.23
"23/2/2021 6:00",13.07
"23/2/2021 7:00",13.48
"23/2/2021 8:00",12.37
"23/2/2021 9:00",9.56
"23/2/2021 10:00",7.79
"23/2/2021 11:00",6.63
"23/2/2021 12:00",5.97
"23/2/2021 13:00",6.04
"23/2/2021 14:00",5.98
"23/2/2021 15:00",5.77
"23/2/2021 16:00",5.84
"23/2/2021 17:00",6.21
"23/2/2021 18:00",6.34
"23/2/2021 19:00",6.73
"23/2/2021 20:00",6.84
