"Category","Nitrogen dioxide"
"2/4/2023 12:00",4.64
"2/4/2023 13:00",6.5
"2/4/2023 14:00",8.76
"2/4/2023 15:00",9.28
"2/4/2023 16:00",10.47
"2/4/2023 17:00",10.74
"2/4/2023 18:00",11.71
"2/4/2023 19:00",13.23
"2/4/2023 20:00",13.3
"2/4/2023 21:00",12.35
"2/4/2023 22:00",10.57
"2/4/2023 23:00",9.01
"3/4/2023 0:00",5.6
"3/4/2023 1:00",17.56
"3/4/2023 2:00",11.95
"3/4/2023 3:00",14.09
"3/4/2023 4:00",18.62
"3/4/2023 5:00",32.99
"3/4/2023 6:00",41.91
"3/4/2023 7:00",46.71
"3/4/2023 8:00",45.59
"3/4/2023 9:00",38.81
"3/4/2023 10:00",32.95
"3/4/2023 11:00",26.31
"3/4/2023 12:00",26.64
"3/4/2023 13:00",18.48
"3/4/2023 14:00",17.59
"3/4/2023 15:00",18.88
"3/4/2023 16:00",19.65
"3/4/2023 17:00",24.08
"3/4/2023 18:00",31.05
"3/4/2023 19:00",37.21
"3/4/2023 20:00",33.73
"3/4/2023 21:00",33.92
"3/4/2023 22:00",42.19
"3/4/2023 23:00",39.4
"4/4/2023 0:00",38.2
"4/4/2023 1:00",26.51
"4/4/2023 2:00",30.26
"4/4/2023 3:00",32.87
"4/4/2023 4:00",34.51
"4/4/2023 5:00",40.23
"4/4/2023 6:00",42.52
"4/4/2023 7:00",44.15
"4/4/2023 8:00",41.5
"4/4/2023 9:00",33.18
"4/4/2023 10:00",25.96
"4/4/2023 11:00",28.21
"4/4/2023 12:00",27.32
"4/4/2023 13:00",26.63
"4/4/2023 14:00",24.35
"4/4/2023 15:00",25.64
"4/4/2023 16:00",27.78
"4/4/2023 17:00",31.26
"4/4/2023 18:00",39.83
"4/4/2023 19:00",38.19
"4/4/2023 20:00",41.17
"4/4/2023 21:00",38.34
"4/4/2023 22:00",37.57
"4/4/2023 23:00",31.7
"5/4/2023 0:00",30.36
"5/4/2023 1:00",57
"5/4/2023 2:00",34.02
"5/4/2023 3:00",31.72
"5/4/2023 4:00",34.06
"5/4/2023 5:00",41.81
"5/4/2023 6:00",52.27
"5/4/2023 7:00",58.08
"5/4/2023 8:00",43.33
"5/4/2023 9:00",31.56
"5/4/2023 10:00",29.05
"5/4/2023 11:00",27.96
"5/4/2023 12:00",25.78
"5/4/2023 13:00",28.77
"5/4/2023 14:00",33.8
"5/4/2023 15:00",32.76
"5/4/2023 16:00",36.55
"5/4/2023 17:00",38.06
"5/4/2023 18:00",34.88
"5/4/2023 19:00",33.02
"5/4/2023 20:00",31.01
"5/4/2023 21:00",29.27
"5/4/2023 22:00",20.51
"5/4/2023 23:00",17.24
"6/4/2023 0:00",14.73
"6/4/2023 1:00",17
"6/4/2023 2:00",18.5
"6/4/2023 3:00",18.99
"6/4/2023 4:00",18.59
"6/4/2023 5:00",18.05
"6/4/2023 6:00",26.34
"6/4/2023 7:00",30.96
"6/4/2023 8:00",27.64
"6/4/2023 9:00",21.94
"6/4/2023 10:00",20.53
"6/4/2023 11:00",23.27
"6/4/2023 12:00",21.41
"6/4/2023 13:00",20.03
"6/4/2023 14:00",14.01
"6/4/2023 15:00",19.68
"6/4/2023 16:00",24.72
"6/4/2023 17:00",25.3
"6/4/2023 18:00",26.47
"6/4/2023 19:00",34.83
"6/4/2023 20:00",35.51
"6/4/2023 21:00",38.01
"6/4/2023 22:00",31.73
"6/4/2023 23:00",22.1
"7/4/2023 0:00",19.09
"7/4/2023 1:00",18.93
"7/4/2023 2:00",20.07
"7/4/2023 3:00",22.37
"7/4/2023 4:00",21.76
"7/4/2023 5:00",23.28
"7/4/2023 6:00",26.21
"7/4/2023 7:00",28.25
"7/4/2023 8:00",26.3
"7/4/2023 9:00",23.68
"7/4/2023 10:00",24.34
"7/4/2023 11:00",21.54
"7/4/2023 12:00",20.46
"7/4/2023 13:00",21.88
"7/4/2023 14:00",21.77
"7/4/2023 15:00",22.58
"7/4/2023 16:00",24.24
"7/4/2023 17:00",22.2
"7/4/2023 18:00",26.6
"7/4/2023 19:00",30.77
"7/4/2023 20:00",42.28
"7/4/2023 21:00",44.58
"7/4/2023 22:00",49.24
"7/4/2023 23:00",45.76
"8/4/2023 0:00",41.79
"8/4/2023 1:00",24.55
"8/4/2023 2:00",23.41
"8/4/2023 3:00",26.58
"8/4/2023 4:00",29.16
"8/4/2023 5:00",30.07
"8/4/2023 6:00",32.47
"8/4/2023 7:00",32.19
"8/4/2023 8:00",28.76
"8/4/2023 9:00",22.78
"8/4/2023 10:00",16.57
"8/4/2023 11:00",14.07
"8/4/2023 12:00",12.35
"8/4/2023 13:00",11.23
"8/4/2023 14:00",10.2
"8/4/2023 15:00",9.9
"8/4/2023 16:00",11.45
"8/4/2023 17:00",11.18
"8/4/2023 18:00",14.67
"8/4/2023 19:00",16.85
"8/4/2023 20:00",20.36
"8/4/2023 21:00",20.07
"8/4/2023 22:00",18.91
"8/4/2023 23:00",17.79
"9/4/2023 0:00",15.17
"9/4/2023 1:00",23.62
"9/4/2023 2:00",20.42
"9/4/2023 3:00",20.71
"9/4/2023 4:00",23.92
"9/4/2023 5:00",25.67
"9/4/2023 6:00",32.86
"9/4/2023 7:00",34.62
"9/4/2023 8:00",28.87
"9/4/2023 9:00",22.35
"9/4/2023 10:00",21.66
"9/4/2023 11:00",17.63
"9/4/2023 12:00",16.44
"9/4/2023 13:00",17.12
"9/4/2023 14:00",14.36
"9/4/2023 15:00",16.91
"9/4/2023 16:00",16.98
"9/4/2023 17:00",19.21
"9/4/2023 18:00",19.69
"9/4/2023 19:00",23.79
"9/4/2023 20:00",25.67
"9/4/2023 21:00",25.78
"9/4/2023 22:00",23.67
"9/4/2023 23:00",24.38
"10/4/2023 0:00",22.4
"10/4/2023 1:00",27.38
"10/4/2023 2:00",31.54
"10/4/2023 3:00",35.81
"10/4/2023 4:00",41.01
"10/4/2023 5:00",39.04
"10/4/2023 6:00",39.85
"10/4/2023 7:00",42.72
"10/4/2023 8:00",38.58
"10/4/2023 9:00",37.89
"10/4/2023 10:00",39.47
"10/4/2023 11:00",43.85
"10/4/2023 12:00",40.47
"10/4/2023 13:00",27.73
"10/4/2023 14:00",29.12
"10/4/2023 15:00",23.97
"10/4/2023 16:00",12.67
"10/4/2023 17:00",12.73
"10/4/2023 18:00",16.44
"10/4/2023 19:00",16.28
"10/4/2023 20:00",17.83
"10/4/2023 21:00",21.74
"10/4/2023 22:00",33.03
"10/4/2023 23:00",29.31
"11/4/2023 0:00",25.09
"11/4/2023 1:00",16.09
"11/4/2023 2:00",16.69
"11/4/2023 3:00",16.72
"11/4/2023 4:00",18.61
"11/4/2023 5:00",26.54
"11/4/2023 6:00",38.88
"11/4/2023 7:00",45.21
"11/4/2023 8:00",35.39
"11/4/2023 9:00",28.98
"11/4/2023 10:00",28.49
"11/4/2023 11:00",28.68
"11/4/2023 12:00",33.09
"11/4/2023 13:00",28.57
"11/4/2023 14:00",26.47
"11/4/2023 15:00",21.44
"11/4/2023 16:00",23.48
"11/4/2023 17:00",21.16
"11/4/2023 18:00",19.57
"11/4/2023 19:00",17.14
"11/4/2023 20:00",13.6
"11/4/2023 21:00",15.06
"11/4/2023 22:00",15.89
"11/4/2023 23:00",21.83
"12/4/2023 0:00",8.71
"12/4/2023 1:00",10.71
"12/4/2023 2:00",6.06
"12/4/2023 3:00",7.24
"12/4/2023 4:00",13.99
"12/4/2023 5:00",28.27
"12/4/2023 6:00",41.61
"12/4/2023 7:00",38.38
"12/4/2023 8:00",30.72
"12/4/2023 9:00",21.73
"12/4/2023 10:00",19.91
"12/4/2023 11:00",23.08
"12/4/2023 12:00",18.68
"12/4/2023 13:00",19.58
"12/4/2023 14:00",21.13
"12/4/2023 15:00",14.15
"12/4/2023 16:00",13.88
"12/4/2023 17:00",17.66
"12/4/2023 18:00",27.36
"12/4/2023 19:00",30.88
"12/4/2023 20:00",27.1
"12/4/2023 21:00",24.74
"12/4/2023 22:00",26.85
"12/4/2023 23:00",21.75
"13/4/2023 0:00",21.33
"13/4/2023 1:00",5.27
"13/4/2023 2:00",4.92
"13/4/2023 3:00",5.95
"13/4/2023 4:00",8.88
"13/4/2023 5:00",12.35
"13/4/2023 6:00",21.22
"13/4/2023 7:00",25.88
"13/4/2023 8:00",21
"13/4/2023 9:00",16.66
"13/4/2023 10:00",17.69
"13/4/2023 11:00",20.69
"13/4/2023 12:00",18.55
"13/4/2023 13:00",20.86
"13/4/2023 14:00",19.1
"13/4/2023 15:00",18.49
"13/4/2023 16:00",22.12
"13/4/2023 17:00",22.07
"13/4/2023 18:00",26.03
"13/4/2023 19:00",23.28
"13/4/2023 20:00",29.07
"13/4/2023 21:00",29.59
"13/4/2023 22:00",27.17
"13/4/2023 23:00",30.94
"14/4/2023 0:00",33.44
"14/4/2023 1:00",25.8
"14/4/2023 2:00",27.19
"14/4/2023 3:00",25.14
"14/4/2023 4:00",18.8
"14/4/2023 5:00",25.67
"14/4/2023 6:00",32.92
"14/4/2023 7:00",34.13
"14/4/2023 8:00",26.46
"14/4/2023 9:00",21.92
"14/4/2023 10:00",17.04
"14/4/2023 11:00",16.27
"14/4/2023 12:00",15.63
"14/4/2023 13:00",10.73
"14/4/2023 14:00",13.67
"14/4/2023 15:00",19.55
"14/4/2023 16:00",26.39
"14/4/2023 17:00",24.34
"14/4/2023 18:00",24.85
"14/4/2023 19:00",31.25
"14/4/2023 20:00",33.34
"14/4/2023 21:00",29.82
"14/4/2023 22:00",26.74
"14/4/2023 23:00",16.68
"15/4/2023 0:00",11.31
"15/4/2023 1:00",17.92
"15/4/2023 2:00",12.87
"15/4/2023 3:00",10.64
"15/4/2023 4:00",8.64
"15/4/2023 5:00",8.22
"15/4/2023 6:00",13.44
"15/4/2023 7:00",20.11
"15/4/2023 8:00",18.61
"15/4/2023 9:00",19.07
"15/4/2023 10:00",19.07
"15/4/2023 11:00",19.84
"15/4/2023 12:00",21.21
"15/4/2023 13:00",21.7
"15/4/2023 14:00",19.42
"15/4/2023 15:00",24.28
"15/4/2023 16:00",23.77
"15/4/2023 17:00",27.05
"15/4/2023 18:00",35.43
"15/4/2023 19:00",43.32
"15/4/2023 20:00",55.73
"15/4/2023 21:00",63.68
"15/4/2023 22:00",65.85
"15/4/2023 23:00",61.57
"16/4/2023 0:00",64.02
"16/4/2023 1:00",41.86
"16/4/2023 2:00",41.91
"16/4/2023 3:00",46.08
"16/4/2023 4:00",40.96
"16/4/2023 5:00",35.72
"16/4/2023 6:00",38.68
"16/4/2023 7:00",33.27
"16/4/2023 8:00",34.59
"16/4/2023 9:00",30.31
"16/4/2023 10:00",26.08
"16/4/2023 11:00",31.38
"16/4/2023 12:00",24.88
"16/4/2023 13:00",26.77
"16/4/2023 14:00",38.16
"16/4/2023 15:00",51.86
"16/4/2023 16:00",52.05
"16/4/2023 17:00",55.23
"16/4/2023 18:00",56.94
"16/4/2023 19:00",60.24
"16/4/2023 20:00",51.11
"16/4/2023 21:00",53.53
"16/4/2023 22:00",52.29
"16/4/2023 23:00",50.35
"17/4/2023 0:00",40
"17/4/2023 1:00",29.25
"17/4/2023 2:00",27.01
"17/4/2023 3:00",28.86
"17/4/2023 4:00",31.57
"17/4/2023 5:00",37.96
"17/4/2023 6:00",42.05
"17/4/2023 7:00",43.09
"17/4/2023 8:00",41.48
"17/4/2023 9:00",31.19
"17/4/2023 10:00",27.27
"17/4/2023 11:00",26.03
"17/4/2023 12:00",21.69
"17/4/2023 13:00",18.76
"17/4/2023 14:00",17.34
"17/4/2023 15:00",17.43
