"Category","PM<sub>2.5</sub> particulates"
"24/3/2022 0:00",53.56
"24/3/2022 1:00",58.73
"24/3/2022 2:00",55.88
"24/3/2022 3:00",54.03
"24/3/2022 4:00",56.18
"24/3/2022 5:00",60.74
"24/3/2022 6:00",62.6
"24/3/2022 7:00",64.74
"24/3/2022 8:00",52.2
"24/3/2022 9:00",37.06
"24/3/2022 10:00",29.16
"24/3/2022 11:00",16.49
"24/3/2022 12:00",18.27
"24/3/2022 13:00",17.99
"24/3/2022 14:00",17.86
"24/3/2022 15:00",17.55
"24/3/2022 16:00",17.61
"24/3/2022 17:00",18.3
"24/3/2022 18:00",21.24
"24/3/2022 19:00",29.25
"24/3/2022 20:00",36
"24/3/2022 21:00",39.36
"24/3/2022 22:00",39.62
"24/3/2022 23:00",38.98
"25/3/2022 0:00",40.41
"25/3/2022 1:00",35.81
"25/3/2022 2:00",38.14
"25/3/2022 3:00",45.96
"25/3/2022 4:00",54.25
"25/3/2022 5:00",56.31
"25/3/2022 6:00",58.39
"25/3/2022 7:00",59.9
"25/3/2022 8:00",57.1
"25/3/2022 9:00",39.47
"25/3/2022 10:00",34.95
"25/3/2022 11:00",26.84
"25/3/2022 12:00",21.92
"25/3/2022 13:00",19.05
"25/3/2022 14:00",17.01
"25/3/2022 15:00",14.21
"25/3/2022 16:00",12.15
"25/3/2022 17:00",10.89
"25/3/2022 18:00",12.62
"25/3/2022 19:00",14.17
"25/3/2022 20:00",18.79
"25/3/2022 21:00",25.04
"25/3/2022 22:00",27.89
"25/3/2022 23:00",28.05
"26/3/2022 0:00",28.39
"26/3/2022 1:00",28.95
"26/3/2022 2:00",29.7
"26/3/2022 3:00",29.31
"26/3/2022 4:00",29.85
"26/3/2022 5:00",29.45
"26/3/2022 6:00",29.64
"26/3/2022 7:00",30.03
"26/3/2022 8:00",27.11
"26/3/2022 9:00",25.47
"26/3/2022 10:00",20.98
"26/3/2022 11:00",12.92
"26/3/2022 12:00",12.23
"26/3/2022 13:00",11.72
"26/3/2022 14:00",13.19
"26/3/2022 15:00",13.67
"26/3/2022 16:00",14.94
"26/3/2022 17:00",13.94
"26/3/2022 18:00",12.94
"26/3/2022 19:00",16.38
"26/3/2022 20:00",19.44
"26/3/2022 21:00",22.32
"26/3/2022 22:00",22.34
"26/3/2022 23:00",21.94
"27/3/2022 0:00",15.87
"27/3/2022 2:00",14.54
"27/3/2022 3:00",14.42
"27/3/2022 4:00",14.95
"27/3/2022 5:00",14.85
"27/3/2022 6:00",15
"27/3/2022 7:00",13.9
"27/3/2022 8:00",11.18
"27/3/2022 9:00",10.91
"27/3/2022 10:00",9.08
"27/3/2022 11:00",8.89
"27/3/2022 12:00",7.77
"27/3/2022 13:00",8.46
"27/3/2022 14:00",8.46
"27/3/2022 15:00",8.45
"27/3/2022 16:00",9.1
"27/3/2022 17:00",9.28
"27/3/2022 18:00",8.32
"27/3/2022 19:00",9.23
"27/3/2022 20:00",10.37
"27/3/2022 21:00",13.1
"27/3/2022 22:00",11.08
"27/3/2022 23:00",13.6
"28/3/2022 0:00",15.29
"28/3/2022 1:00",14.82
"28/3/2022 2:00",15.83
"28/3/2022 3:00",22.42
"28/3/2022 4:00",19.06
"28/3/2022 5:00",15.51
"28/3/2022 6:00",22.1
"28/3/2022 7:00",22.34
"28/3/2022 8:00",22.88
"28/3/2022 9:00",26.89
"28/3/2022 10:00",25.25
"28/3/2022 11:00",22.01
"28/3/2022 12:00",18.63
"28/3/2022 13:00",18.89
"28/3/2022 14:00",16.15
"28/3/2022 15:00",14.92
"28/3/2022 16:00",12.93
"28/3/2022 17:00",14.56
"28/3/2022 18:00",16.17
"28/3/2022 19:00",15.25
"28/3/2022 20:00",18.3
"28/3/2022 21:00",18.82
"28/3/2022 22:00",20.89
"28/3/2022 23:00",22.77
"29/3/2022 0:00",24.8
"29/3/2022 1:00",24.9
"29/3/2022 2:00",24.77
"29/3/2022 3:00",26.82
"29/3/2022 4:00",26.3
"29/3/2022 5:00",25.6
"29/3/2022 6:00",25.59
"29/3/2022 7:00",24.33
"29/3/2022 8:00",20.93
"29/3/2022 9:00",18.82
"29/3/2022 10:00",15.17
"29/3/2022 11:00",10.14
"29/3/2022 12:00",12.05
"29/3/2022 13:00",18.65
"29/3/2022 14:00",17.07
"29/3/2022 15:00",19
"29/3/2022 16:00",21.67
"29/3/2022 17:00",22.68
"29/3/2022 18:00",21.97
"29/3/2022 19:00",21.69
"29/3/2022 20:00",21.87
"29/3/2022 21:00",23.95
"29/3/2022 22:00",25.65
"29/3/2022 23:00",26.74
"30/3/2022 0:00",28.33
"30/3/2022 1:00",27.84
"30/3/2022 2:00",29.2
"30/3/2022 3:00",28.4
"30/3/2022 4:00",27.86
"30/3/2022 5:00",27.53
"30/3/2022 6:00",27.46
"30/3/2022 7:00",27.71
"30/3/2022 8:00",27.37
"30/3/2022 9:00",25.58
"30/3/2022 10:00",25.6
"30/3/2022 11:00",26.08
"30/3/2022 12:00",25.94
"30/3/2022 13:00",25.52
"30/3/2022 14:00",24.2
"30/3/2022 15:00",22.34
"30/3/2022 16:00",22.45
"30/3/2022 17:00",22.43
"30/3/2022 18:00",15.97
"30/3/2022 19:00",8.04
"30/3/2022 20:00",3.95
"30/3/2022 21:00",2.87
"30/3/2022 22:00",1.03
"30/3/2022 23:00",1.14
"31/3/2022 0:00",1.15
"31/3/2022 1:00",7.34
"31/3/2022 2:00",6.88
"31/3/2022 3:00",8.18
"31/3/2022 4:00",8.69
"31/3/2022 5:00",11.29
"31/3/2022 6:00",10.97
"31/3/2022 7:00",11.21
"31/3/2022 8:00",11.08
"31/3/2022 9:00",10.11
"31/3/2022 10:00",7.51
"31/3/2022 11:00",7.29
"31/3/2022 12:00",6.6
"31/3/2022 13:00",6.37
"31/3/2022 14:00",6.32
"31/3/2022 15:00",6.48
"31/3/2022 16:00",6.62
"31/3/2022 17:00",6.27
"31/3/2022 18:00",6.67
"31/3/2022 19:00",6.27
"31/3/2022 20:00",6.51
"31/3/2022 21:00",7.01
"31/3/2022 22:00",7.5
"31/3/2022 23:00",7.7
"1/4/2022 0:00",7.03
"1/4/2022 1:00",6.29
"1/4/2022 2:00",8.26
"1/4/2022 3:00",9.07
"1/4/2022 4:00",8.64
"1/4/2022 5:00",9.38
"1/4/2022 6:00",8
"1/4/2022 7:00",10.43
"1/4/2022 8:00",8.99
