"Category","Nitrogen dioxide"
"24/3/2022 6:00",93.52
"24/3/2022 7:00",92.64
"24/3/2022 8:00",97.29
"24/3/2022 9:00",103
"24/3/2022 10:00",88.81
"24/3/2022 11:00",64.86
"24/3/2022 12:00",54.93
"24/3/2022 13:00",49.99
"24/3/2022 14:00",52.48
"24/3/2022 15:00",50.87
"24/3/2022 16:00",55.32
"24/3/2022 17:00",69.75
"24/3/2022 18:00",91.37
"24/3/2022 19:00",99.82
"24/3/2022 20:00",121.03
"24/3/2022 21:00",130.42
"24/3/2022 22:00",131.71
"24/3/2022 23:00",122.96
"25/3/2022 0:00",87.92
"25/3/2022 1:00",84.19
"25/3/2022 2:00",81.89
"25/3/2022 3:00",78.86
"25/3/2022 4:00",76.04
"25/3/2022 5:00",75.19
"25/3/2022 6:00",77.33
"25/3/2022 7:00",75.28
"25/3/2022 8:00",68.72
"25/3/2022 9:00",61.68
"25/3/2022 10:00",49.77
"25/3/2022 11:00",33.24
"25/3/2022 12:00",30.33
"25/3/2022 13:00",34.52
"25/3/2022 14:00",35.22
"25/3/2022 15:00",35.93
"25/3/2022 16:00",39.98
"25/3/2022 17:00",47.73
"25/3/2022 18:00",54.28
"25/3/2022 19:00",61.57
"25/3/2022 20:00",63.97
"25/3/2022 21:00",64.6
"25/3/2022 22:00",64.63
"25/3/2022 23:00",63.03
"26/3/2022 0:00",52.25
"26/3/2022 1:00",47.96
"26/3/2022 2:00",53.31
"26/3/2022 3:00",54.94
"26/3/2022 4:00",54.16
"26/3/2022 5:00",60.38
"26/3/2022 6:00",61.78
"26/3/2022 7:00",55.2
"26/3/2022 8:00",40.52
"26/3/2022 9:00",40.15
"26/3/2022 10:00",34.06
"26/3/2022 11:00",25.66
"26/3/2022 12:00",23.2
"26/3/2022 13:00",20.2
"26/3/2022 14:00",19.24
"26/3/2022 15:00",20.75
"26/3/2022 16:00",26.84
"26/3/2022 17:00",33.45
"26/3/2022 18:00",44.87
"26/3/2022 19:00",51.27
"26/3/2022 20:00",48.8
"26/3/2022 21:00",44.13
"26/3/2022 22:00",40.72
"26/3/2022 23:00",41.38
"27/3/2022 0:00",37.62
"27/3/2022 2:00",34.6
"27/3/2022 3:00",36.47
"27/3/2022 4:00",41.63
"27/3/2022 5:00",38.47
"27/3/2022 6:00",35.35
"27/3/2022 7:00",31.66
"27/3/2022 8:00",30.4
"27/3/2022 9:00",29.28
"27/3/2022 10:00",26.88
"27/3/2022 11:00",28.3
"27/3/2022 12:00",26.32
"27/3/2022 13:00",28.64
"27/3/2022 14:00",26.79
"27/3/2022 15:00",24
"27/3/2022 16:00",22.45
"27/3/2022 17:00",22.54
"27/3/2022 18:00",31.53
"27/3/2022 19:00",39.68
"27/3/2022 20:00",45.7
"27/3/2022 21:00",46.68
"27/3/2022 22:00",40.25
"27/3/2022 23:00",56.61
"28/3/2022 0:00",56
"28/3/2022 1:00",41.61
"28/3/2022 2:00",33.92
"28/3/2022 3:00",36.72
"28/3/2022 4:00",39.36
"28/3/2022 5:00",45.76
"28/3/2022 6:00",52.77
"28/3/2022 7:00",57.42
"28/3/2022 8:00",58.14
"28/3/2022 9:00",58.14
"28/3/2022 10:00",56.15
"28/3/2022 11:00",48.06
"28/3/2022 12:00",38.1
"28/3/2022 13:00",39.15
"28/3/2022 14:00",38.87
"28/3/2022 15:00",40.58
"28/3/2022 16:00",47.91
"28/3/2022 17:00",53.13
"28/3/2022 18:00",52.95
"28/3/2022 19:00",45.12
"28/3/2022 20:00",51.54
"28/3/2022 21:00",57.49
"28/3/2022 22:00",46.69
"28/3/2022 23:00",46.75
"29/3/2022 0:00",48.04
"29/3/2022 1:00",31.42
"29/3/2022 2:00",28.33
"29/3/2022 3:00",30.39
"29/3/2022 4:00",27.89
"29/3/2022 5:00",26.76
"29/3/2022 6:00",29.51
"29/3/2022 7:00",31.31
"29/3/2022 8:00",31.82
"29/3/2022 9:00",29.03
