"Category","Nitrogen dioxide"
"18/7/2021 23:00",6.77
"19/7/2021 0:00",8.14
"19/7/2021 1:00",53.65
"19/7/2021 2:00",50.49
"19/7/2021 3:00",51.61
"19/7/2021 4:00",55.59
"19/7/2021 5:00",65.67
"19/7/2021 6:00",68.16
"19/7/2021 7:00",70.68
"19/7/2021 8:00",67.73
"19/7/2021 9:00",62.62
"19/7/2021 10:00",59.82
"19/7/2021 11:00",50.19
"19/7/2021 12:00",35.14
"19/7/2021 13:00",18.52
"19/7/2021 14:00",20.86
"19/7/2021 15:00",39.1
"19/7/2021 16:00",47.31
"19/7/2021 17:00",43.77
"19/7/2021 18:00",34.17
"19/7/2021 19:00",40.22
"19/7/2021 20:00",50
"19/7/2021 21:00",55.9
"19/7/2021 22:00",58.83
"19/7/2021 23:00",55.88
"20/7/2021 0:00",57.41
"20/7/2021 1:00",74.94
"20/7/2021 2:00",71.55
"20/7/2021 3:00",70.34
"20/7/2021 4:00",70.53
"20/7/2021 5:00",71.72
"20/7/2021 6:00",72.87
"20/7/2021 7:00",61.54
"20/7/2021 8:00",41.3
"20/7/2021 9:00",39.85
"20/7/2021 10:00",39.07
"20/7/2021 11:00",20.13
"20/7/2021 12:00",20.66
"20/7/2021 13:00",26
"20/7/2021 14:00",17.15
"20/7/2021 15:00",40.56
"20/7/2021 16:00",45.96
"20/7/2021 17:00",71.15
"20/7/2021 18:00",72.78
"20/7/2021 19:00",72.01
"20/7/2021 20:00",80.74
"20/7/2021 21:00",62.81
"20/7/2021 22:00",58.12
"20/7/2021 23:00",66.82
"21/7/2021 0:00",83.31
"21/7/2021 1:00",54.49
"21/7/2021 2:00",50.25
"21/7/2021 3:00",46.22
"21/7/2021 4:00",42.34
"21/7/2021 5:00",39.96
"21/7/2021 6:00",39.55
"21/7/2021 7:00",35.06
"21/7/2021 8:00",29.99
"21/7/2021 9:00",28.58
"21/7/2021 10:00",23.88
"21/7/2021 11:00",30.42
"21/7/2021 12:00",31.06
"21/7/2021 13:00",31.75
"21/7/2021 14:00",31.57
"21/7/2021 15:00",29.28
"21/7/2021 16:00",31.56
"21/7/2021 17:00",39.96
"21/7/2021 18:00",37.31
"21/7/2021 19:00",39.57
"21/7/2021 20:00",43.67
"21/7/2021 21:00",56.84
"21/7/2021 22:00",53.26
"21/7/2021 23:00",45.11
"22/7/2021 0:00",39.43
"22/7/2021 1:00",25.25
"22/7/2021 2:00",27.21
"22/7/2021 3:00",29.47
"22/7/2021 4:00",31.77
"22/7/2021 5:00",34.59
"22/7/2021 6:00",36.6
"22/7/2021 7:00",36.46
"22/7/2021 8:00",34.9
"22/7/2021 9:00",31.02
"22/7/2021 10:00",26.59
"22/7/2021 11:00",24.26
"22/7/2021 12:00",20.59
"22/7/2021 13:00",16.05
"22/7/2021 14:00",13.82
"22/7/2021 15:00",14.23
"22/7/2021 16:00",14.63
