"Category","PM<sub>2.5</sub> particulates"
"18/7/2021 23:00",12.71
"19/7/2021 0:00",12.83
"19/7/2021 1:00",10.35
"19/7/2021 2:00",10.18
"19/7/2021 3:00",9.15
"19/7/2021 4:00",8.85
"19/7/2021 5:00",9.93
"19/7/2021 6:00",10.6
"19/7/2021 7:00",13.28
"19/7/2021 8:00",13.79
"19/7/2021 9:00",15.06
"19/7/2021 10:00",17.63
"19/7/2021 11:00",16.23
"19/7/2021 12:00",16.45
"19/7/2021 13:00",15.44
"19/7/2021 14:00",12.39
"19/7/2021 15:00",10.37
"19/7/2021 16:00",8.99
"19/7/2021 17:00",9.2
"19/7/2021 18:00",9.83
"19/7/2021 19:00",11.19
"19/7/2021 20:00",12.01
"19/7/2021 21:00",11.61
"19/7/2021 22:00",12.05
"19/7/2021 23:00",14
"20/7/2021 0:00",16.33
"20/7/2021 1:00",16.06
"20/7/2021 2:00",16.75
"20/7/2021 3:00",17.2
"20/7/2021 4:00",17.42
"20/7/2021 5:00",17.99
"20/7/2021 6:00",18.6
"20/7/2021 7:00",17.03
"20/7/2021 8:00",13.18
"20/7/2021 9:00",12.31
"20/7/2021 10:00",12.33
"20/7/2021 11:00",12.81
"20/7/2021 12:00",12.83
"20/7/2021 13:00",12.24
"20/7/2021 14:00",12.56
"20/7/2021 15:00",12.9
"20/7/2021 16:00",12.51
"20/7/2021 17:00",12.28
"20/7/2021 18:00",12.74
"20/7/2021 19:00",14.12
"20/7/2021 20:00",16.4
"20/7/2021 21:00",15.94
"20/7/2021 22:00",13.95
"20/7/2021 23:00",13.72
"21/7/2021 0:00",16.06
"21/7/2021 1:00",21.95
"21/7/2021 2:00",22.15
"21/7/2021 3:00",23.16
"21/7/2021 4:00",25.04
"21/7/2021 5:00",26.36
"21/7/2021 6:00",26.24
"21/7/2021 7:00",25.82
"21/7/2021 8:00",23.93
"21/7/2021 9:00",20.36
"21/7/2021 10:00",17.18
"21/7/2021 11:00",15.76
"21/7/2021 12:00",15.72
"21/7/2021 13:00",15.3
"21/7/2021 14:00",14.46
"21/7/2021 15:00",14.46
"21/7/2021 16:00",14.06
"21/7/2021 17:00",15.76
"21/7/2021 18:00",15.74
"21/7/2021 19:00",15.34
"21/7/2021 20:00",14.66
"21/7/2021 21:00",15.59
"21/7/2021 22:00",17.52
"21/7/2021 23:00",19.39
"22/7/2021 0:00",21.93
"22/7/2021 1:00",27.95
"22/7/2021 2:00",29.9
"22/7/2021 3:00",30.93
"22/7/2021 4:00",32.18
"22/7/2021 5:00",32.92
"22/7/2021 6:00",32.18
"22/7/2021 7:00",30.83
"22/7/2021 8:00",23.65
"22/7/2021 9:00",16.53
"22/7/2021 10:00",12.87
"22/7/2021 11:00",9.91
"22/7/2021 12:00",9.62
"22/7/2021 13:00",8.7
"22/7/2021 14:00",8.45
"22/7/2021 15:00",10.12
"22/7/2021 16:00",10.41
"22/7/2021 17:00",9.69
"22/7/2021 18:00",9.01
"22/7/2021 19:00",9.29
"22/7/2021 20:00",9.71
"22/7/2021 21:00",10.62
"22/7/2021 22:00",11.17
"22/7/2021 23:00",12.29
"23/7/2021 0:00",11.04
"23/7/2021 1:00",8.56
"23/7/2021 2:00",8.48
"23/7/2021 3:00",8.61
"23/7/2021 4:00",8.47
"23/7/2021 5:00",9.76
"23/7/2021 6:00",9.75
"23/7/2021 7:00",9.19
"23/7/2021 8:00",8.06
"23/7/2021 9:00",7
"23/7/2021 10:00",6.46
"23/7/2021 11:00",6.38
"23/7/2021 12:00",6.42
"23/7/2021 13:00",6.63
"23/7/2021 14:00",7.46
"23/7/2021 15:00",7.36
"23/7/2021 16:00",7.09
"23/7/2021 17:00",7.02
"23/7/2021 18:00",6.59
"23/7/2021 19:00",6.39
"23/7/2021 20:00",6.26
"23/7/2021 21:00",7.63
"23/7/2021 22:00",8.47
"23/7/2021 23:00",7.12
"24/7/2021 0:00",6.58
"24/7/2021 1:00",4.05
"24/7/2021 2:00",4.12
"24/7/2021 3:00",4.44
"24/7/2021 4:00",4.69
"24/7/2021 5:00",5.12
"24/7/2021 6:00",6.23
"24/7/2021 7:00",7.81
"24/7/2021 8:00",10.4
"24/7/2021 9:00",11.87
"24/7/2021 10:00",16.15
"24/7/2021 11:00",18.19
"24/7/2021 12:00",20.03
"24/7/2021 13:00",20.51
"24/7/2021 14:00",20.22
"24/7/2021 15:00",19.41
"24/7/2021 16:00",18.97
"24/7/2021 17:00",19.02
"24/7/2021 18:00",18.51
"24/7/2021 19:00",18.74
"24/7/2021 20:00",19.27
"24/7/2021 21:00",20.27
"24/7/2021 22:00",20.51
"24/7/2021 23:00",21.28
"25/7/2021 0:00",21.35
"25/7/2021 1:00",20.77
"25/7/2021 2:00",21.3
"25/7/2021 3:00",20.85
"25/7/2021 4:00",18.85
"25/7/2021 5:00",18.41
"25/7/2021 6:00",16.72
"25/7/2021 7:00",15.92
"25/7/2021 8:00",13.43
"25/7/2021 9:00",11.11
"25/7/2021 10:00",10.65
"25/7/2021 11:00",8.43
"25/7/2021 12:00",7.49
"25/7/2021 13:00",7.6
"25/7/2021 14:00",12.05
"25/7/2021 15:00",14.96
"25/7/2021 16:00",15.53
"25/7/2021 17:00",11.56
"25/7/2021 18:00",15.29
"25/7/2021 19:00",10.66
"25/7/2021 20:00",12.62
"25/7/2021 21:00",13.73
"25/7/2021 22:00",14.28
"25/7/2021 23:00",13.35
"26/7/2021 0:00",13.14
"26/7/2021 1:00",31.24
"26/7/2021 2:00",34.63
"26/7/2021 3:00",39.29
"26/7/2021 4:00",43.28
"26/7/2021 5:00",43.54
"26/7/2021 6:00",45.61
"26/7/2021 7:00",45.26
"26/7/2021 8:00",42.72
"26/7/2021 9:00",40.54
"26/7/2021 10:00",37.58
"26/7/2021 11:00",34.45
"26/7/2021 12:00",31.99
"26/7/2021 13:00",27.46
"26/7/2021 14:00",25.5
"26/7/2021 15:00",20.88
"26/7/2021 16:00",21.37
"26/7/2021 17:00",24.61
"26/7/2021 18:00",26.58
"26/7/2021 19:00",30.31
"26/7/2021 20:00",28.53
"26/7/2021 21:00",24.8
"26/7/2021 22:00",22.93
"26/7/2021 23:00",23.18
"27/7/2021 0:00",23.37
"27/7/2021 1:00",12.02
"27/7/2021 2:00",11.92
"27/7/2021 3:00",11.85
"27/7/2021 4:00",11.36
"27/7/2021 5:00",8.54
"27/7/2021 6:00",8.2
"27/7/2021 7:00",9.04
"27/7/2021 8:00",7.96
"27/7/2021 9:00",7.7
"27/7/2021 10:00",8.09
"27/7/2021 11:00",8.37
"27/7/2021 12:00",8.79
"27/7/2021 13:00",9.64
"27/7/2021 14:00",10.36
"27/7/2021 15:00",10.9
"27/7/2021 16:00",11.07
"27/7/2021 17:00",9.2
"27/7/2021 18:00",8.23
"27/7/2021 19:00",8.3
"27/7/2021 20:00",8.8
"27/7/2021 21:00",9.33
"27/7/2021 22:00",9.3
"27/7/2021 23:00",9.61
"28/7/2021 0:00",9.78
"28/7/2021 1:00",8.45
"28/7/2021 2:00",9.08
"28/7/2021 3:00",9.69
"28/7/2021 4:00",9.2
"28/7/2021 5:00",8.72
"28/7/2021 6:00",9.62
"28/7/2021 7:00",11.33
"28/7/2021 8:00",10.32
"28/7/2021 9:00",7.57
"28/7/2021 10:00",7.39
"28/7/2021 11:00",7.2
"28/7/2021 12:00",6.69
"28/7/2021 13:00",6.56
"28/7/2021 14:00",6.92
"28/7/2021 15:00",6.66
"28/7/2021 16:00",6.82
"28/7/2021 17:00",6.68
"28/7/2021 18:00",6.92
"28/7/2021 19:00",6.99
"28/7/2021 20:00",6.94
"28/7/2021 21:00",7.04
"28/7/2021 22:00",6.33
"28/7/2021 23:00",6.29
"29/7/2021 0:00",6.23
"29/7/2021 1:00",3.29
"29/7/2021 2:00",4.34
"29/7/2021 3:00",4.79
"29/7/2021 4:00",5.35
"29/7/2021 5:00",6.21
"29/7/2021 6:00",7.76
"29/7/2021 7:00",6.8
"29/7/2021 8:00",5.03
"29/7/2021 9:00",4.25
"29/7/2021 10:00",4.5
"29/7/2021 11:00",4.5
"29/7/2021 12:00",4.23
"29/7/2021 13:00",3.1
"29/7/2021 14:00",4.45
"29/7/2021 15:00",3.51
"29/7/2021 16:00",4
"29/7/2021 17:00",7.44
"29/7/2021 18:00",9.3
"29/7/2021 19:00",10.04
"29/7/2021 20:00",9.41
"29/7/2021 21:00",8.07
"29/7/2021 22:00",8.81
"29/7/2021 23:00",8.72
"30/7/2021 0:00",9.1
"30/7/2021 1:00",15.31
"30/7/2021 2:00",12.88
"30/7/2021 3:00",11.29
"30/7/2021 4:00",11.52
"30/7/2021 5:00",9.58
"30/7/2021 6:00",8.32
"30/7/2021 7:00",4.44
"30/7/2021 8:00",3.6
"30/7/2021 9:00",4.67
"30/7/2021 10:00",7.13
"30/7/2021 11:00",5.86
"30/7/2021 12:00",7.43
"30/7/2021 13:00",7.33
"30/7/2021 14:00",4.5
"30/7/2021 15:00",5.58
"30/7/2021 16:00",4.48
"30/7/2021 17:00",9.09
"30/7/2021 18:00",12.28
"30/7/2021 19:00",11.48
"30/7/2021 20:00",6.82
"30/7/2021 21:00",6.59
"30/7/2021 22:00",5.34
"30/7/2021 23:00",6.44
"31/7/2021 0:00",4.75
"31/7/2021 1:00",5.13
"31/7/2021 2:00",5.1
"31/7/2021 3:00",5.48
"31/7/2021 4:00",5.77
"31/7/2021 5:00",6.87
"31/7/2021 6:00",7.18
"31/7/2021 7:00",6.84
"31/7/2021 8:00",6.04
"31/7/2021 9:00",6.17
"31/7/2021 10:00",6.14
"31/7/2021 11:00",5.22
"31/7/2021 12:00",4.93
"31/7/2021 13:00",5.08
"31/7/2021 14:00",4.96
"31/7/2021 15:00",4.83
"31/7/2021 16:00",4.89
"31/7/2021 17:00",5.17
"31/7/2021 18:00",7.32
"31/7/2021 19:00",7.23
"31/7/2021 20:00",7.75
"31/7/2021 21:00",7.94
"31/7/2021 22:00",9.93
"31/7/2021 23:00",9.53
"1/8/2021 0:00",9.86
"1/8/2021 1:00",8.71
"1/8/2021 2:00",8.43
"1/8/2021 3:00",8.61
"1/8/2021 4:00",9.16
"1/8/2021 5:00",9.48
"1/8/2021 6:00",9
"1/8/2021 7:00",9.11
"1/8/2021 8:00",9.25
"1/8/2021 9:00",9.02
"1/8/2021 10:00",8.34
"1/8/2021 11:00",8.13
"1/8/2021 12:00",7.54
"1/8/2021 13:00",7.5
"1/8/2021 14:00",7.41
"1/8/2021 15:00",6.91
"1/8/2021 16:00",6.04
"1/8/2021 17:00",6.3
"1/8/2021 18:00",6.49
"1/8/2021 19:00",6.39
"1/8/2021 20:00",6.38
"1/8/2021 21:00",6.67
"1/8/2021 22:00",6.63
"1/8/2021 23:00",6.76
"2/8/2021 0:00",6.82
"2/8/2021 1:00",14.29
"2/8/2021 2:00",5.91
"2/8/2021 3:00",6.77
"2/8/2021 4:00",7.67
"2/8/2021 5:00",8.9
"2/8/2021 6:00",6.86
"2/8/2021 7:00",4.65
"2/8/2021 8:00",5.84
"2/8/2021 9:00",3.55
"2/8/2021 10:00",4.12
"2/8/2021 11:00",5.53
"2/8/2021 12:00",6.3
"2/8/2021 13:00",6.41
"2/8/2021 14:00",6.46
"2/8/2021 15:00",6.9
"2/8/2021 16:00",8.46
"2/8/2021 17:00",8.7
"2/8/2021 18:00",7.35
"2/8/2021 19:00",10.42
"2/8/2021 20:00",9.05
"2/8/2021 21:00",9.71
"2/8/2021 22:00",6.98
"2/8/2021 23:00",8.48
"3/8/2021 0:00",10.34
"3/8/2021 1:00",9.39
"3/8/2021 2:00",9.07
"3/8/2021 3:00",9.28
"3/8/2021 4:00",9.92
"3/8/2021 5:00",10.4
"3/8/2021 6:00",11.31
"3/8/2021 7:00",11.97
"3/8/2021 8:00",12.82
"3/8/2021 9:00",12.12
"3/8/2021 10:00",11.06
"3/8/2021 11:00",8.81
"3/8/2021 12:00",8.81
"3/8/2021 13:00",8.43
"3/8/2021 14:00",7.75
"3/8/2021 15:00",7.82
"3/8/2021 16:00",8.15
"3/8/2021 17:00",8.32
"3/8/2021 18:00",9.03
"3/8/2021 19:00",8.6
"3/8/2021 20:00",8.86
"3/8/2021 21:00",9.66
"3/8/2021 22:00",9.74
"3/8/2021 23:00",10.38
"4/8/2021 0:00",10.82
"4/8/2021 1:00",10.98
"4/8/2021 2:00",12.26
"4/8/2021 3:00",12.02
"4/8/2021 4:00",12.21
"4/8/2021 5:00",15.46
"4/8/2021 6:00",16.43
"4/8/2021 7:00",14.59
"4/8/2021 8:00",11.48
"4/8/2021 9:00",10.33
"4/8/2021 10:00",10.4
"4/8/2021 11:00",9.59
"4/8/2021 12:00",8.92
"4/8/2021 13:00",9.29
"4/8/2021 14:00",9.09
"4/8/2021 15:00",8.18
"4/8/2021 16:00",8.11
"4/8/2021 17:00",8.43
"4/8/2021 18:00",8.55
"4/8/2021 19:00",9.42
"4/8/2021 20:00",9.68
"4/8/2021 21:00",10.35
"4/8/2021 22:00",10.78
"4/8/2021 23:00",10.68
"5/8/2021 0:00",11.21
"5/8/2021 1:00",10.22
"5/8/2021 2:00",9.64
"5/8/2021 3:00",8.88
"5/8/2021 4:00",9.69
"5/8/2021 5:00",10.26
"5/8/2021 6:00",11.08
"5/8/2021 7:00",11.1
"5/8/2021 8:00",9.94
"5/8/2021 9:00",8.4
"5/8/2021 10:00",7.72
"5/8/2021 11:00",7.52
"5/8/2021 12:00",7.72
"5/8/2021 13:00",7.61
"5/8/2021 14:00",7.37
"5/8/2021 15:00",7.42
"5/8/2021 16:00",7.35
"5/8/2021 17:00",6.75
"5/8/2021 18:00",6.37
"5/8/2021 19:00",6.54
"5/8/2021 20:00",7.85
"5/8/2021 21:00",7.91
"5/8/2021 22:00",7.52
"5/8/2021 23:00",7.65
"6/8/2021 0:00",7.64
"6/8/2021 1:00",8.85
"6/8/2021 2:00",9.3
"6/8/2021 3:00",8.61
"6/8/2021 4:00",7.33
"6/8/2021 5:00",5.62
"6/8/2021 6:00",6.96
"6/8/2021 7:00",6.48
"6/8/2021 8:00",6.24
"6/8/2021 9:00",6.07
"6/8/2021 10:00",5.41
"6/8/2021 11:00",5.41
"6/8/2021 12:00",5.96
"6/8/2021 13:00",5.95
"6/8/2021 14:00",5.93
"6/8/2021 15:00",7.1
"6/8/2021 16:00",6.77
"6/8/2021 17:00",9.14
"6/8/2021 18:00",7.03
"6/8/2021 19:00",8.76
"6/8/2021 20:00",9.45
"6/8/2021 21:00",9
"6/8/2021 22:00",8.46
"6/8/2021 23:00",7.55
"7/8/2021 0:00",6.82
"7/8/2021 1:00",7.07
"7/8/2021 2:00",6.21
"7/8/2021 3:00",5.18
"7/8/2021 4:00",5.84
"7/8/2021 5:00",6.16
"7/8/2021 6:00",5.5
"7/8/2021 7:00",6.63
"7/8/2021 8:00",5.29
"7/8/2021 9:00",7.48
"7/8/2021 10:00",7.23
"7/8/2021 11:00",7.67
"7/8/2021 12:00",8.19
"7/8/2021 13:00",5.98
"7/8/2021 14:00",5.41
"7/8/2021 15:00",6.8
"7/8/2021 16:00",5.82
"7/8/2021 17:00",7.01
"7/8/2021 18:00",9.14
"7/8/2021 19:00",16.64
"7/8/2021 20:00",15.47
"7/8/2021 21:00",11.24
"7/8/2021 22:00",9.65
"7/8/2021 23:00",9.4
"8/8/2021 0:00",7.77
"8/8/2021 1:00",7.21
"8/8/2021 2:00",7.82
"8/8/2021 3:00",6.39
"8/8/2021 4:00",7.19
"8/8/2021 5:00",8.31
"8/8/2021 6:00",8.82
"8/8/2021 7:00",7.21
"8/8/2021 8:00",5.04
"8/8/2021 9:00",7.07
"8/8/2021 10:00",6.38
"8/8/2021 11:00",6.26
"8/8/2021 12:00",11.35
"8/8/2021 13:00",12.06
"8/8/2021 14:00",10.42
"8/8/2021 15:00",6.85
"8/8/2021 16:00",6.49
"8/8/2021 17:00",8.06
"8/8/2021 18:00",12.5
"8/8/2021 19:00",11.19
"8/8/2021 20:00",13.81
"8/8/2021 21:00",15.82
"8/8/2021 22:00",17.37
"8/8/2021 23:00",11.05
"9/8/2021 0:00",9.86
"9/8/2021 1:00",6.11
"9/8/2021 2:00",6.35
"9/8/2021 3:00",6.57
"9/8/2021 4:00",6.09
"9/8/2021 5:00",8.17
"9/8/2021 6:00",6.04
"9/8/2021 7:00",6.59
"9/8/2021 8:00",6.11
"9/8/2021 9:00",6.92
"9/8/2021 10:00",7.87
"9/8/2021 11:00",6.09
"9/8/2021 12:00",5.77
"9/8/2021 13:00",5.78
"9/8/2021 14:00",6.08
"9/8/2021 15:00",6.68
"9/8/2021 16:00",6.74
"9/8/2021 17:00",7.52
"9/8/2021 18:00",10.53
"9/8/2021 19:00",8.75
"9/8/2021 20:00",10.73
"9/8/2021 21:00",12.41
"9/8/2021 22:00",11.17
"9/8/2021 23:00",12.02
"10/8/2021 0:00",11.8
"10/8/2021 1:00",17.6
"10/8/2021 2:00",18.25
"10/8/2021 3:00",17.72
"10/8/2021 4:00",17.38
"10/8/2021 5:00",16.89
"10/8/2021 6:00",19.57
"10/8/2021 7:00",20.07
"10/8/2021 8:00",18.57
"10/8/2021 9:00",15.81
"10/8/2021 10:00",9.93
"10/8/2021 11:00",10.83
"10/8/2021 12:00",10.51
"10/8/2021 13:00",8.99
"10/8/2021 14:00",7.16
"10/8/2021 15:00",6.25
"10/8/2021 16:00",6.21
"10/8/2021 17:00",6.28
"10/8/2021 18:00",8.34
"10/8/2021 19:00",9.17
"10/8/2021 20:00",13.25
"10/8/2021 21:00",11.65
"10/8/2021 22:00",13.24
"10/8/2021 23:00",13.85
"11/8/2021 0:00",14.25
"11/8/2021 1:00",10.83
"11/8/2021 2:00",8.39
"11/8/2021 3:00",9.74
"11/8/2021 4:00",11.09
"11/8/2021 5:00",11.51
"11/8/2021 6:00",11.42
"11/8/2021 7:00",11.23
"11/8/2021 8:00",11.15
"11/8/2021 9:00",7.46
"11/8/2021 10:00",5.51
"11/8/2021 11:00",6.53
"11/8/2021 12:00",7.09
"11/8/2021 13:00",10.32
"11/8/2021 14:00",6.42
"11/8/2021 15:00",7.55
"11/8/2021 16:00",8.01
"11/8/2021 17:00",7.6
"11/8/2021 18:00",8.72
"11/8/2021 19:00",8.05
"11/8/2021 20:00",7.59
"11/8/2021 21:00",13.24
"11/8/2021 22:00",9.59
"11/8/2021 23:00",10.12
"12/8/2021 0:00",10.8
"12/8/2021 1:00",9.18
"12/8/2021 2:00",9.96
"12/8/2021 3:00",9.59
"12/8/2021 4:00",9.91
"12/8/2021 5:00",9.41
"12/8/2021 6:00",9.38
"12/8/2021 7:00",9.62
"12/8/2021 8:00",9.75
"12/8/2021 9:00",7.72
"12/8/2021 10:00",7.43
"12/8/2021 11:00",6.81
"12/8/2021 12:00",6.91
"12/8/2021 13:00",7.1
"12/8/2021 14:00",7.62
"12/8/2021 15:00",7.31
"12/8/2021 16:00",7.24
"12/8/2021 17:00",7.57
"12/8/2021 18:00",7.73
"12/8/2021 19:00",8.36
"12/8/2021 20:00",8.07
"12/8/2021 21:00",8.03
"12/8/2021 22:00",8.28
"12/8/2021 23:00",7.91
"13/8/2021 0:00",7.47
"13/8/2021 1:00",7.6
"13/8/2021 2:00",7
"13/8/2021 3:00",6.53
