"Category","Nitrogen dioxide"
"12/2/2021 13:00",30.61
"12/2/2021 14:00",31.94
"12/2/2021 15:00",29.81
"12/2/2021 16:00",38.93
"12/2/2021 17:00",30.23
"12/2/2021 18:00",34.81
"12/2/2021 19:00",33.52
"12/2/2021 20:00",23.92
"12/2/2021 21:00",22.9
"12/2/2021 22:00",19.72
"12/2/2021 23:00",18.39
"13/2/2021 0:00",28.48
"13/2/2021 1:00",27.14
"13/2/2021 2:00",28.73
"13/2/2021 3:00",25.6
"13/2/2021 4:00",27.34
"13/2/2021 5:00",27.29
"13/2/2021 6:00",57.11
"13/2/2021 7:00",48.97
"13/2/2021 8:00",60.06
"13/2/2021 9:00",46.21
"13/2/2021 10:00",42.97
"13/2/2021 11:00",41.42
"13/2/2021 12:00",43.61
"13/2/2021 13:00",45.42
"13/2/2021 14:00",48.56
"13/2/2021 15:00",50.66
"13/2/2021 16:00",62.3
"13/2/2021 17:00",79.71
"13/2/2021 18:00",58.43
"13/2/2021 19:00",49.78
"13/2/2021 20:00",38.65
"13/2/2021 21:00",32.18
"13/2/2021 22:00",32.92
"13/2/2021 23:00",28.65
"14/2/2021 0:00",29.19
"14/2/2021 1:00",24.79
"14/2/2021 2:00",21.13
"14/2/2021 3:00",15.86
"14/2/2021 4:00",21.06
"14/2/2021 5:00",22.09
"14/2/2021 6:00",41.45
"14/2/2021 7:00",35.02
"14/2/2021 8:00",38.07
"14/2/2021 9:00",42.82
"14/2/2021 10:00",46.69
"14/2/2021 11:00",40.9
"14/2/2021 12:00",44.85
"14/2/2021 13:00",49.37
"14/2/2021 14:00",51.07
"14/2/2021 15:00",54.69
"14/2/2021 16:00",52.57
"14/2/2021 17:00",58.56
"14/2/2021 18:00",57.38
"14/2/2021 19:00",45.14
"14/2/2021 20:00",39.71
"14/2/2021 21:00",30.42
"14/2/2021 22:00",30.35
"14/2/2021 23:00",28.8
"15/2/2021 0:00",31.56
"15/2/2021 1:00",29.71
"15/2/2021 2:00",29.81
"15/2/2021 3:00",28.36
"15/2/2021 4:00",33.06
"15/2/2021 5:00",52.47
"15/2/2021 6:00",65.09
"15/2/2021 7:00",68.92
"15/2/2021 8:00",59.46
"15/2/2021 9:00",59.14
"15/2/2021 10:00",57.71
"15/2/2021 11:00",57.14
"15/2/2021 12:00",63.81
"15/2/2021 13:00",66.5
"15/2/2021 14:00",69.46
"15/2/2021 15:00",75.18
"15/2/2021 16:00",85.67
"15/2/2021 17:00",85.97
"15/2/2021 18:00",91.37
"15/2/2021 19:00",88.91
"15/2/2021 20:00",61.53
"15/2/2021 21:00",52.93
"15/2/2021 22:00",41.27
"15/2/2021 23:00",30.6
"16/2/2021 0:00",36.85
"16/2/2021 1:00",29.89
"16/2/2021 2:00",19.85
"16/2/2021 3:00",28.07
"16/2/2021 4:00",25.02
"16/2/2021 5:00",54.12
"16/2/2021 6:00",65.2
"16/2/2021 7:00",70.79
"16/2/2021 8:00",72.15
"16/2/2021 9:00",71.08
"16/2/2021 10:00",79.31
"16/2/2021 11:00",57.87
"16/2/2021 12:00",71.32
"16/2/2021 13:00",74.02
"16/2/2021 14:00",64.34
"16/2/2021 15:00",76.59
"16/2/2021 16:00",74.97
"16/2/2021 17:00",82.75
"16/2/2021 18:00",81.34
"16/2/2021 19:00",72.36
"16/2/2021 20:00",56.9
"16/2/2021 21:00",46.53
"16/2/2021 22:00",46.39
"16/2/2021 23:00",27.71
"17/2/2021 0:00",34.77
"17/2/2021 1:00",30.04
"17/2/2021 2:00",31.41
"17/2/2021 3:00",28.4
"17/2/2021 4:00",21.05
"17/2/2021 5:00",44.05
"17/2/2021 6:00",52.26
"17/2/2021 7:00",66.72
"17/2/2021 8:00",76.58
"17/2/2021 9:00",78.21
"17/2/2021 10:00",71.56
"17/2/2021 11:00",65.34
"17/2/2021 12:00",65.87
"17/2/2021 13:00",78.7
"17/2/2021 14:00",76.32
"17/2/2021 15:00",70.23
"17/2/2021 16:00",67.95
"17/2/2021 17:00",67.45
"17/2/2021 18:00",62.9
"17/2/2021 19:00",60.32
"17/2/2021 20:00",54.03
"17/2/2021 21:00",41.38
"17/2/2021 22:00",42.89
"17/2/2021 23:00",34.34
"18/2/2021 0:00",46.78
"18/2/2021 1:00",35.57
"18/2/2021 2:00",31.74
"18/2/2021 3:00",20.67
"18/2/2021 4:00",26.56
"18/2/2021 5:00",35.22
"18/2/2021 6:00",59.46
"18/2/2021 7:00",67.11
"18/2/2021 8:00",72.21
"18/2/2021 9:00",58.98
"18/2/2021 10:00",51.59
"18/2/2021 11:00",71.08
"18/2/2021 12:00",66.93
"18/2/2021 13:00",81.02
"18/2/2021 14:00",86.14
"18/2/2021 15:00",107.33
"18/2/2021 16:00",121.35
"18/2/2021 17:00",131.33
"18/2/2021 18:00",118.14
"18/2/2021 19:00",92.48
"18/2/2021 20:00",84.03
"18/2/2021 21:00",66.79
"18/2/2021 22:00",43.23
"18/2/2021 23:00",37.05
"19/2/2021 0:00",40
"19/2/2021 1:00",16.18
"19/2/2021 2:00",3.45
"19/2/2021 3:00",0
"19/2/2021 4:00",0
"19/2/2021 5:00",12.09
"19/2/2021 6:00",45.26
"19/2/2021 7:00",85.23
"19/2/2021 8:00",77.31
"19/2/2021 9:00",64.24
"19/2/2021 10:00",70.52
"19/2/2021 11:00",76.01
"19/2/2021 12:00",78.53
"19/2/2021 13:00",74.83
"19/2/2021 14:00",70
"19/2/2021 15:00",63.98
"19/2/2021 16:00",68.42
"19/2/2021 17:00",62.93
"19/2/2021 18:00",59.41
"19/2/2021 19:00",63.76
"19/2/2021 20:00",50.22
"19/2/2021 21:00",41.83
"19/2/2021 22:00",31.73
"19/2/2021 23:00",32.31
"20/2/2021 0:00",32.47
"20/2/2021 1:00",25.19
"20/2/2021 2:00",33.91
"20/2/2021 3:00",34.81
"20/2/2021 4:00",36.92
"20/2/2021 5:00",32.3
"20/2/2021 6:00",46.59
"20/2/2021 7:00",49.29
"20/2/2021 8:00",51.37
"20/2/2021 9:00",51.28
"20/2/2021 10:00",44.91
"20/2/2021 11:00",52.2
"20/2/2021 12:00",55.46
"20/2/2021 13:00",50.71
"20/2/2021 14:00",53.26
"20/2/2021 15:00",49.03
"20/2/2021 16:00",63.01
"20/2/2021 17:00",65.35
"20/2/2021 18:00",67.23
"20/2/2021 19:00",68.68
"20/2/2021 20:00",57.62
"20/2/2021 21:00",50.69
"20/2/2021 22:00",51.34
"20/2/2021 23:00",49.52
"21/2/2021 0:00",48.47
"21/2/2021 1:00",43.62
"21/2/2021 2:00",39.81
"21/2/2021 3:00",39.25
"21/2/2021 4:00",40.99
"21/2/2021 5:00",40.85
"21/2/2021 6:00",48.02
"21/2/2021 7:00",45.31
"21/2/2021 8:00",44.79
"21/2/2021 9:00",44.63
"21/2/2021 10:00",43.8
"21/2/2021 11:00",47.78
"21/2/2021 12:00",51.25
"21/2/2021 13:00",49.9
"21/2/2021 14:00",46.12
"21/2/2021 15:00",50.25
"21/2/2021 16:00",57.76
"21/2/2021 17:00",57.76
"21/2/2021 18:00",56.99
"21/2/2021 19:00",60.53
"21/2/2021 20:00",62.96
"21/2/2021 21:00",64.38
"21/2/2021 22:00",65.18
"21/2/2021 23:00",67.1
"22/2/2021 0:00",61.83
"22/2/2021 1:00",58.86
"22/2/2021 2:00",58.84
"22/2/2021 3:00",60.6
"22/2/2021 4:00",60.6
"22/2/2021 5:00",56.03
"22/2/2021 6:00",64.71
"22/2/2021 7:00",77.47
"22/2/2021 8:00",73.33
"22/2/2021 9:00",71.15
"22/2/2021 10:00",69.14
"22/2/2021 11:00",76.78
"22/2/2021 12:00",78.62
"22/2/2021 13:00",77.83
"22/2/2021 14:00",65.57
"22/2/2021 15:00",70.03
"22/2/2021 16:00",70.57
"22/2/2021 17:00",67.15
"22/2/2021 18:00",62.47
"22/2/2021 19:00",55.26
"22/2/2021 20:00",43.56
"22/2/2021 21:00",44.26
"22/2/2021 22:00",44.17
"22/2/2021 23:00",41.76
"23/2/2021 0:00",51.88
"23/2/2021 1:00",37.66
"23/2/2021 2:00",37.48
"23/2/2021 3:00",28.8
"23/2/2021 4:00",34.12
"23/2/2021 5:00",41.43
"23/2/2021 6:00",65.18
"23/2/2021 7:00",81.88
"23/2/2021 8:00",65.34
"23/2/2021 9:00",61.7
"23/2/2021 10:00",48.44
"23/2/2021 11:00",38.96
"23/2/2021 12:00",56.45
"23/2/2021 13:00",53.76
"23/2/2021 14:00",67.9
"23/2/2021 15:00",53.77
"23/2/2021 16:00",71.52
"23/2/2021 17:00",74.36
"23/2/2021 18:00",69.19
"23/2/2021 19:00",66.61
"23/2/2021 20:00",58.06
"23/2/2021 21:00",33.97
"23/2/2021 22:00",24.44
"23/2/2021 23:00",31.06
"24/2/2021 0:00",28.05
"24/2/2021 1:00",27.59
"24/2/2021 2:00",21.92
"24/2/2021 3:00",14.58
"24/2/2021 4:00",17.87
"24/2/2021 5:00",37.2
"24/2/2021 6:00",52.91
"24/2/2021 7:00",71.09
"24/2/2021 8:00",64.32
"24/2/2021 9:00",72.06
