"Category","PM<sub>2.5</sub> particulates"
"11/12/2021 11:00",7.74
"11/12/2021 12:00",9.29
"11/12/2021 13:00",9.98
"11/12/2021 14:00",10.42
"11/12/2021 15:00",10.36
"11/12/2021 16:00",10.82
"11/12/2021 17:00",14.32
"11/12/2021 18:00",12.71
"11/12/2021 19:00",11.22
"11/12/2021 20:00",14.65
"11/12/2021 21:00",14.71
"11/12/2021 22:00",16.45
"11/12/2021 23:00",9.76
"12/12/2021 0:00",6.32
"12/12/2021 1:00",5.21
"12/12/2021 2:00",4.95
"12/12/2021 3:00",4.98
"12/12/2021 4:00",4.93
"12/12/2021 5:00",5.47
"12/12/2021 6:00",3.69
"12/12/2021 7:00",3.24
"12/12/2021 8:00",3.36
"12/12/2021 9:00",3.81
"12/12/2021 10:00",5.86
"12/12/2021 11:00",6.66
"12/12/2021 12:00",5.11
"12/12/2021 13:00",6.11
"12/12/2021 14:00",4.88
"12/12/2021 15:00",4.84
"12/12/2021 16:00",4.92
"12/12/2021 17:00",5.85
"12/12/2021 18:00",5.04
"12/12/2021 19:00",5.21
"12/12/2021 20:00",4.84
"12/12/2021 21:00",4.46
"12/12/2021 22:00",4.16
"12/12/2021 23:00",3.51
"13/12/2021 0:00",2.8
"13/12/2021 1:00",2.7
"13/12/2021 2:00",2.73
"13/12/2021 3:00",2.63
"13/12/2021 4:00",2.6
"13/12/2021 5:00",2.63
"13/12/2021 6:00",2.79
"13/12/2021 7:00",2.9
"13/12/2021 8:00",3.79
"13/12/2021 9:00",5.14
"13/12/2021 10:00",3.23
"13/12/2021 11:00",2.94
"13/12/2021 12:00",2.66
"13/12/2021 13:00",3.23
"13/12/2021 14:00",3.5
"13/12/2021 15:00",3.99
"13/12/2021 16:00",5.48
"13/12/2021 17:00",6.03
"13/12/2021 18:00",5.03
"13/12/2021 19:00",5.54
"13/12/2021 20:00",6.22
"13/12/2021 21:00",5.83
"13/12/2021 22:00",5.44
"13/12/2021 23:00",5.59
"14/12/2021 0:00",6.18
"14/12/2021 1:00",6.35
"14/12/2021 2:00",6.26
"14/12/2021 3:00",6.51
"14/12/2021 4:00",6.51
"14/12/2021 5:00",6.29
"14/12/2021 6:00",6.17
"14/12/2021 7:00",6.65
"14/12/2021 8:00",7.34
"14/12/2021 9:00",8.39
"14/12/2021 10:00",7.45
"14/12/2021 11:00",7.15
"14/12/2021 12:00",6.59
"14/12/2021 13:00",6.19
"14/12/2021 14:00",5.93
"14/12/2021 15:00",6.11
"14/12/2021 16:00",5.62
"14/12/2021 17:00",5.43
"14/12/2021 18:00",5.72
"14/12/2021 19:00",6.59
"14/12/2021 20:00",6.7
"14/12/2021 21:00",7.09
"14/12/2021 22:00",7.99
"14/12/2021 23:00",7.1
"15/12/2021 0:00",6.62
"15/12/2021 1:00",5.19
"15/12/2021 2:00",4.54
"15/12/2021 3:00",4.18
"15/12/2021 4:00",4.12
"15/12/2021 5:00",3.65
"15/12/2021 6:00",4.26
"15/12/2021 7:00",4.44
"15/12/2021 8:00",5.37
"15/12/2021 9:00",6.09
"15/12/2021 10:00",6.28
"15/12/2021 11:00",6.37
"15/12/2021 12:00",7.32
"15/12/2021 13:00",7.92
"15/12/2021 14:00",7.37
"15/12/2021 15:00",8.36
"15/12/2021 16:00",10.79
"15/12/2021 17:00",10.04
"15/12/2021 18:00",12.79
"15/12/2021 19:00",11.4
"15/12/2021 20:00",9.67
"15/12/2021 21:00",10.01
"15/12/2021 22:00",9.73
"15/12/2021 23:00",8.48
"16/12/2021 0:00",7.59
"16/12/2021 1:00",6.95
"16/12/2021 2:00",6.63
"16/12/2021 3:00",7.03
"16/12/2021 4:00",6.65
"16/12/2021 5:00",6.71
"16/12/2021 6:00",6.87
"16/12/2021 7:00",6.87
"16/12/2021 8:00",7.61
"16/12/2021 9:00",11.03
"16/12/2021 10:00",7.33
"16/12/2021 11:00",7.12
"16/12/2021 12:00",8.53
