"Category","PM<sub>2.5</sub> particulates"
"25/4/2022 10:00",10.78
"25/4/2022 11:00",12.75
"25/4/2022 12:00",15.24
"25/4/2022 13:00",
"25/4/2022 14:00",
"25/4/2022 15:00",
"25/4/2022 16:00",
"25/4/2022 17:00",
"25/4/2022 18:00",
"25/4/2022 19:00",
"25/4/2022 20:00",
"25/4/2022 21:00",
"25/4/2022 22:00",
"25/4/2022 23:00",
"26/4/2022 0:00",
"26/4/2022 1:00",
"26/4/2022 2:00",
"26/4/2022 3:00",
"26/4/2022 4:00",
"26/4/2022 5:00",
"26/4/2022 6:00",
"26/4/2022 7:00",
"26/4/2022 8:00",
"26/4/2022 9:00",
"26/4/2022 10:00",
"26/4/2022 11:00",
"26/4/2022 12:00",
"26/4/2022 13:00",
"26/4/2022 14:00",
"26/4/2022 15:00",
"26/4/2022 16:00",
"26/4/2022 17:00",
"26/4/2022 18:00",
"26/4/2022 19:00",
"26/4/2022 20:00",
"26/4/2022 21:00",
"26/4/2022 22:00",
"26/4/2022 23:00",
"27/4/2022 0:00",
"27/4/2022 1:00",
"27/4/2022 2:00",
"27/4/2022 3:00",
"27/4/2022 4:00",
"27/4/2022 5:00",
"27/4/2022 6:00",
"27/4/2022 7:00",
"27/4/2022 8:00",6.19
"27/4/2022 9:00",5.28
"27/4/2022 10:00",4.59
"27/4/2022 11:00",4.82
"27/4/2022 12:00",5.69
"27/4/2022 13:00",5.78
"27/4/2022 14:00",5.8
"27/4/2022 15:00",6.55
"27/4/2022 16:00",7.34
"27/4/2022 17:00",7.45
"27/4/2022 18:00",7.15
"27/4/2022 19:00",7.44
"27/4/2022 20:00",8.8
"27/4/2022 21:00",7.44
"27/4/2022 22:00",7.5
"27/4/2022 23:00",7.54
"28/4/2022 0:00",6.15
"28/4/2022 1:00",6.49
"28/4/2022 2:00",6.75
"28/4/2022 3:00",6.73
"28/4/2022 4:00",7.45
"28/4/2022 5:00",8.42
"28/4/2022 6:00",8.66
"28/4/2022 7:00",8.98
"28/4/2022 8:00",8.07
