"Category","Nitrogen dioxide"
"24/3/2022 6:00",95.37
"24/3/2022 7:00",95.02
"24/3/2022 8:00",103.1
"24/3/2022 9:00",104.84
"24/3/2022 10:00",95.99
"24/3/2022 11:00",77.29
"24/3/2022 12:00",58.77
"24/3/2022 13:00",56.6
"24/3/2022 14:00",55.48
"24/3/2022 15:00",58.09
"24/3/2022 16:00",64.08
"24/3/2022 17:00",84.72
"24/3/2022 18:00",107.56
"24/3/2022 19:00",111.66
"24/3/2022 20:00",124.26
"24/3/2022 21:00",131.04
"24/3/2022 22:00",131.58
"24/3/2022 23:00",122.35
"25/3/2022 0:00",90.17
"25/3/2022 1:00",88
"25/3/2022 2:00",79.24
"25/3/2022 3:00",78.02
"25/3/2022 4:00",75.19
"25/3/2022 5:00",75.82
"25/3/2022 6:00",78.52
"25/3/2022 7:00",76.68
"25/3/2022 8:00",71.21
"25/3/2022 9:00",62.41
"25/3/2022 10:00",56.14
"25/3/2022 11:00",49.83
"25/3/2022 12:00",42.27
"25/3/2022 13:00",44.2
"25/3/2022 14:00",46.76
"25/3/2022 15:00",54.36
"25/3/2022 16:00",60.74
"25/3/2022 17:00",63.7
"25/3/2022 18:00",74.03
"25/3/2022 19:00",75.2
"25/3/2022 20:00",70.56
"25/3/2022 21:00",77.31
"25/3/2022 22:00",68.9
"25/3/2022 23:00",75.21
"26/3/2022 0:00",54.38
"26/3/2022 1:00",46.72
"26/3/2022 2:00",50.97
"26/3/2022 3:00",52.76
"26/3/2022 4:00",52.28
"26/3/2022 5:00",57.02
"26/3/2022 6:00",61.97
"26/3/2022 7:00",58.64
"26/3/2022 8:00",47.33
"26/3/2022 9:00",44.3
"26/3/2022 10:00",44.77
"26/3/2022 11:00",35.31
"26/3/2022 12:00",40.25
"26/3/2022 13:00",31.99
"26/3/2022 14:00",31.78
"26/3/2022 15:00",36.03
"26/3/2022 16:00",40.71
"26/3/2022 17:00",48.09
"26/3/2022 18:00",55.36
"26/3/2022 19:00",59.8
"26/3/2022 20:00",56.93
"26/3/2022 21:00",48.29
"26/3/2022 22:00",48.31
"26/3/2022 23:00",50.83
"27/3/2022 0:00",41.59
"27/3/2022 2:00",33.18
"27/3/2022 3:00",36.15
"27/3/2022 4:00",35.11
"27/3/2022 5:00",33.54
"27/3/2022 6:00",34.42
"27/3/2022 7:00",32.38
"27/3/2022 8:00",34.09
"27/3/2022 9:00",37.39
"27/3/2022 10:00",32.33
"27/3/2022 11:00",41.53
"27/3/2022 12:00",32.4
"27/3/2022 13:00",37.33
"27/3/2022 14:00",33.36
"27/3/2022 15:00",32.73
"27/3/2022 16:00",28.11
"27/3/2022 17:00",36.02
"27/3/2022 18:00",42.59
"27/3/2022 19:00",49.87
"27/3/2022 20:00",53.84
"27/3/2022 21:00",54.77
"27/3/2022 22:00",42.8
"27/3/2022 23:00",55.03
"28/3/2022 0:00",52.43
"28/3/2022 1:00",38.77
"28/3/2022 2:00",33.5
"28/3/2022 3:00",36.3
"28/3/2022 4:00",40.22
"28/3/2022 5:00",46.25
"28/3/2022 6:00",58.3
"28/3/2022 7:00",61.09
"28/3/2022 8:00",62.14
"28/3/2022 9:00",59.81
"28/3/2022 10:00",53.51
"28/3/2022 11:00",47.55
"28/3/2022 12:00",39.37
"28/3/2022 13:00",39.47
"28/3/2022 14:00",44.67
"28/3/2022 15:00",51.35
"28/3/2022 16:00",54.56
"28/3/2022 17:00",63.34
"28/3/2022 18:00",60.34
"28/3/2022 19:00",54.59
"28/3/2022 20:00",56.76
"28/3/2022 21:00",62.14
"28/3/2022 22:00",55.18
"28/3/2022 23:00",52.85
"29/3/2022 0:00",51.35
"29/3/2022 1:00",30.07
"29/3/2022 2:00",24.98
"29/3/2022 3:00",25.99
"29/3/2022 4:00",23.38
"29/3/2022 5:00",28.54
"29/3/2022 6:00",31.5
"29/3/2022 7:00",37.18
"29/3/2022 8:00",37.94
"29/3/2022 9:00",35.38
"29/3/2022 10:00",30.83
"29/3/2022 11:00",29.28
"29/3/2022 12:00",24.21
"29/3/2022 13:00",27.1
"29/3/2022 14:00",28.59
"29/3/2022 15:00",25.47
"29/3/2022 16:00",30.01
"29/3/2022 17:00",32.55
"29/3/2022 18:00",30.53
"29/3/2022 19:00",31.31
"29/3/2022 20:00",35.26
"29/3/2022 21:00",33.51
"29/3/2022 22:00",32.41
"29/3/2022 23:00",26.33
"30/3/2022 0:00",18.83
"30/3/2022 1:00",13.77
"30/3/2022 2:00",11.81
"30/3/2022 3:00",11.56
"30/3/2022 4:00",14.1
"30/3/2022 5:00",18.4
"30/3/2022 6:00",30.81
"30/3/2022 7:00",38
"30/3/2022 8:00",41.95
"30/3/2022 9:00",40.67
"30/3/2022 10:00",35.96
"30/3/2022 11:00",24.28
"30/3/2022 12:00",27.07
"30/3/2022 13:00",25.25
"30/3/2022 14:00",20.61
"30/3/2022 15:00",22.36
"30/3/2022 16:00",26.86
"30/3/2022 17:00",23.85
"30/3/2022 18:00",30.04
"30/3/2022 19:00",33.35
"30/3/2022 20:00",24.16
"30/3/2022 21:00",20.99
"30/3/2022 22:00",18.18
"30/3/2022 23:00",18.78
"31/3/2022 0:00",18.56
"31/3/2022 1:00",5.98
"31/3/2022 2:00",6.34
"31/3/2022 3:00",8.25
"31/3/2022 4:00",8.9
"31/3/2022 5:00",11.36
"31/3/2022 6:00",18.18
"31/3/2022 7:00",24.12
"31/3/2022 8:00",22.45
"31/3/2022 9:00",17.08
"31/3/2022 10:00",12.77
"31/3/2022 11:00",10.33
"31/3/2022 12:00",12.74
"31/3/2022 13:00",12.03
"31/3/2022 14:00",12.34
"31/3/2022 15:00",16.92
"31/3/2022 16:00",13.18
"31/3/2022 17:00",12.73
"31/3/2022 18:00",15.53
"31/3/2022 19:00",17.29
"31/3/2022 20:00",16.25
"31/3/2022 21:00",20.4
"31/3/2022 22:00",21.07
"31/3/2022 23:00",16.33
"1/4/2022 0:00",9.29
"1/4/2022 1:00",12.59
"1/4/2022 2:00",10.34
"1/4/2022 3:00",11.34
"1/4/2022 4:00",10.76
"1/4/2022 5:00",14.57
"1/4/2022 6:00",21.99
"1/4/2022 7:00",26.16
"1/4/2022 8:00",23.85
"1/4/2022 9:00",19.88
"1/4/2022 10:00",14.89
"1/4/2022 11:00",15.63
"1/4/2022 12:00",14.45
"1/4/2022 13:00",12.01
"1/4/2022 14:00",11.9
"1/4/2022 15:00",17.21
"1/4/2022 16:00",17.75
"1/4/2022 17:00",18.29
"1/4/2022 18:00",15.24
"1/4/2022 19:00",22.04
"1/4/2022 20:00",26.7
"1/4/2022 21:00",27.87
"1/4/2022 22:00",33.33
"1/4/2022 23:00",35.78
"2/4/2022 0:00",38.27
"2/4/2022 1:00",38.64
"2/4/2022 2:00",33.61
"2/4/2022 3:00",33.68
"2/4/2022 4:00",35.42
"2/4/2022 5:00",38.53
"2/4/2022 6:00",43.2
"2/4/2022 7:00",46.29
"2/4/2022 8:00",37.47
"2/4/2022 9:00",25.16
"2/4/2022 10:00",21.4
"2/4/2022 11:00",24.84
"2/4/2022 12:00",12.36
"2/4/2022 13:00",20.01
"2/4/2022 14:00",16.63
"2/4/2022 15:00",12.27
"2/4/2022 16:00",23.45
"2/4/2022 17:00",20.31
"2/4/2022 18:00",32.92
"2/4/2022 19:00",46.93
"2/4/2022 20:00",69.62
"2/4/2022 21:00",68.99
"2/4/2022 22:00",76.45
"2/4/2022 23:00",74.03
"3/4/2022 0:00",76.89
"3/4/2022 1:00",61.1
"3/4/2022 2:00",56.99
"3/4/2022 3:00",51.36
"3/4/2022 4:00",53.66
"3/4/2022 5:00",55.47
"3/4/2022 6:00",54.16
"3/4/2022 7:00",51.38
"3/4/2022 8:00",39.22
"3/4/2022 9:00",20.48
"3/4/2022 10:00",11
"3/4/2022 11:00",5.47
"3/4/2022 12:00",3.32
"3/4/2022 13:00",9.68
"3/4/2022 14:00",10.08
"3/4/2022 15:00",14.31
"3/4/2022 16:00",15.92
"3/4/2022 17:00",20.64
"3/4/2022 18:00",23.41
"3/4/2022 19:00",26.01
"3/4/2022 20:00",31.81
"3/4/2022 21:00",38.31
"3/4/2022 22:00",37.44
"3/4/2022 23:00",32.97
"4/4/2022 0:00",28.41
"4/4/2022 1:00",22.46
"4/4/2022 2:00",15.76
"4/4/2022 3:00",13.55
"4/4/2022 4:00",14.04
"4/4/2022 5:00",21.18
"4/4/2022 6:00",28.35
"4/4/2022 7:00",37.69
"4/4/2022 8:00",40.18
"4/4/2022 9:00",38.33
"4/4/2022 10:00",40.01
"4/4/2022 11:00",40.95
"4/4/2022 12:00",39.27
"4/4/2022 13:00",37.52
"4/4/2022 14:00",32.87
"4/4/2022 15:00",15.78
"4/4/2022 16:00",18.37
"4/4/2022 17:00",15.48
"4/4/2022 18:00",18.07
"4/4/2022 19:00",27.92
"4/4/2022 20:00",23.27
"4/4/2022 21:00",22.77
"4/4/2022 22:00",18.41
"4/4/2022 23:00",36.16
"5/4/2022 0:00",19.62
"5/4/2022 1:00",19.2
"5/4/2022 2:00",18.53
"5/4/2022 3:00",19.66
"5/4/2022 4:00",20.83
"5/4/2022 5:00",24.49
"5/4/2022 6:00",26.46
"5/4/2022 7:00",32.16
"5/4/2022 8:00",34.44
"5/4/2022 9:00",25.63
"5/4/2022 10:00",15.59
