"Category","PM<sub>2.5</sub> particulates"
"24/3/2022 0:00",57.84
"24/3/2022 1:00",62.32
"24/3/2022 2:00",58.97
"24/3/2022 3:00",57.83
"24/3/2022 4:00",60.06
"24/3/2022 5:00",64.66
"24/3/2022 6:00",67.4
"24/3/2022 7:00",67.74
"24/3/2022 8:00",60.55
"24/3/2022 9:00",40.65
"24/3/2022 10:00",33.05
"24/3/2022 11:00",19.04
"24/3/2022 12:00",18.64
"24/3/2022 13:00",19.2
"24/3/2022 14:00",18.94
"24/3/2022 15:00",18.8
"24/3/2022 16:00",18.88
"24/3/2022 17:00",19.94
"24/3/2022 18:00",22.29
"24/3/2022 19:00",33.14
"24/3/2022 20:00",38.36
"24/3/2022 21:00",42.25
"24/3/2022 22:00",43.37
"24/3/2022 23:00",41.98
"25/3/2022 0:00",43.42
"25/3/2022 1:00",39.41
"25/3/2022 2:00",41.53
"25/3/2022 3:00",49.08
"25/3/2022 4:00",57.29
"25/3/2022 5:00",59.43
"25/3/2022 6:00",61.34
"25/3/2022 7:00",62.46
"25/3/2022 8:00",59.64
"25/3/2022 9:00",42.39
"25/3/2022 10:00",37.52
"25/3/2022 11:00",29.33
"25/3/2022 12:00",23.87
"25/3/2022 13:00",20.78
"25/3/2022 14:00",18.28
"25/3/2022 15:00",16.62
"25/3/2022 16:00",13.56
"25/3/2022 17:00",12.46
"25/3/2022 18:00",14.83
"25/3/2022 19:00",15.47
"25/3/2022 20:00",20.32
"25/3/2022 21:00",27.5
"25/3/2022 22:00",29.76
"25/3/2022 23:00",30.67
"26/3/2022 0:00",30.73
"26/3/2022 1:00",31.38
"26/3/2022 2:00",31.61
"26/3/2022 3:00",31.82
"26/3/2022 4:00",32.64
"26/3/2022 5:00",32.03
"26/3/2022 6:00",32.18
"26/3/2022 7:00",32.15
"26/3/2022 8:00",29.56
"26/3/2022 9:00",27.13
"26/3/2022 10:00",21.18
"26/3/2022 11:00",13.04
"26/3/2022 12:00",12.76
"26/3/2022 13:00",12.56
"26/3/2022 14:00",14.05
"26/3/2022 15:00",13.88
"26/3/2022 16:00",15.85
"26/3/2022 17:00",14.32
"26/3/2022 18:00",13.58
"26/3/2022 19:00",18.07
"26/3/2022 20:00",21.17
"26/3/2022 21:00",24.28
"26/3/2022 22:00",24.21
"26/3/2022 23:00",24.5
"27/3/2022 0:00",16.66
"27/3/2022 2:00",14.96
"27/3/2022 3:00",15.12
"27/3/2022 4:00",15.81
"27/3/2022 5:00",15.22
"27/3/2022 6:00",15.63
"27/3/2022 7:00",13.26
"27/3/2022 8:00",11.15
"27/3/2022 9:00",10.34
"27/3/2022 10:00",9.38
"27/3/2022 11:00",9.35
"27/3/2022 12:00",8.17
"27/3/2022 13:00",8.3
"27/3/2022 14:00",8.26
"27/3/2022 15:00",8.53
"27/3/2022 16:00",9.46
"27/3/2022 17:00",9.65
"27/3/2022 18:00",8.27
"27/3/2022 19:00",9.68
"27/3/2022 20:00",10.83
"27/3/2022 21:00",13.63
"27/3/2022 22:00",11.37
"27/3/2022 23:00",14.41
"28/3/2022 0:00",15.43
"28/3/2022 1:00",15.63
"28/3/2022 2:00",17.03
"28/3/2022 3:00",24.74
"28/3/2022 4:00",19.77
"28/3/2022 5:00",17.16
"28/3/2022 6:00",24.16
"28/3/2022 7:00",21.55
"28/3/2022 8:00",25.03
"28/3/2022 9:00",28.7
"28/3/2022 10:00",27.13
"28/3/2022 11:00",22.9
"28/3/2022 12:00",19.74
"28/3/2022 13:00",19.31
"28/3/2022 14:00",18.35
"28/3/2022 15:00",16.33
"28/3/2022 16:00",13.31
"28/3/2022 17:00",16.43
"28/3/2022 18:00",17.41
"28/3/2022 19:00",16.88
"28/3/2022 20:00",19.41
"28/3/2022 21:00",20.44
"28/3/2022 22:00",22.32
"28/3/2022 23:00",24.51
"29/3/2022 0:00",26.37
"29/3/2022 1:00",27.21
"29/3/2022 2:00",26.59
"29/3/2022 3:00",28.64
"29/3/2022 4:00",28.05
"29/3/2022 5:00",27.56
"29/3/2022 6:00",26.58
"29/3/2022 7:00",25.38
"29/3/2022 8:00",22.18
"29/3/2022 9:00",19.83
"29/3/2022 10:00",15.36
"29/3/2022 11:00",10.66
"29/3/2022 12:00",12.39
"29/3/2022 13:00",19.03
"29/3/2022 14:00",17.68
"29/3/2022 15:00",19.77
"29/3/2022 16:00",22.78
"29/3/2022 17:00",23.85
"29/3/2022 18:00",23.7
"29/3/2022 19:00",23.54
"29/3/2022 20:00",23.64
"29/3/2022 21:00",24.95
"29/3/2022 22:00",26.36
"29/3/2022 23:00",27.74
"30/3/2022 0:00",30.26
"30/3/2022 1:00",29.65
"30/3/2022 2:00",30.82
"30/3/2022 3:00",30.14
"30/3/2022 4:00",29.06
"30/3/2022 5:00",28.07
"30/3/2022 6:00",27.2
"30/3/2022 7:00",28.41
"30/3/2022 8:00",28.56
"30/3/2022 9:00",27.55
"30/3/2022 10:00",27.26
"30/3/2022 11:00",28.85
