"Category","PM<sub>2.5</sub> particulates"
"8/10/2022 16:00",3.03
"8/10/2022 17:00",2.36
"8/10/2022 18:00",2.75
"8/10/2022 19:00",3.55
"8/10/2022 20:00",7.8
"8/10/2022 21:00",14.28
"8/10/2022 22:00",10.34
"8/10/2022 23:00",9.94
"9/10/2022 0:00",9.09
"9/10/2022 1:00",7.63
"9/10/2022 2:00",8.22
"9/10/2022 3:00",7.65
"9/10/2022 4:00",7.62
"9/10/2022 5:00",6.84
"9/10/2022 6:00",5.93
"9/10/2022 7:00",5.66
"9/10/2022 8:00",6.11
"9/10/2022 9:00",5.15
"9/10/2022 10:00",4.6
"9/10/2022 11:00",4.6
"9/10/2022 12:00",4.51
"9/10/2022 13:00",4.43
"9/10/2022 14:00",4.44
"9/10/2022 15:00",4.69
"9/10/2022 16:00",4.43
"9/10/2022 17:00",4.68
"9/10/2022 18:00",4.84
"9/10/2022 19:00",5.89
"9/10/2022 20:00",7.01
"9/10/2022 21:00",7.87
"9/10/2022 22:00",8.71
"9/10/2022 23:00",8.89
"10/10/2022 0:00",9.41
"10/10/2022 1:00",9.56
"10/10/2022 2:00",9.17
"10/10/2022 3:00",8.75
"10/10/2022 4:00",8.55
"10/10/2022 5:00",8.29
"10/10/2022 6:00",9.82
"10/10/2022 7:00",9.29
"10/10/2022 8:00",5.75
"10/10/2022 9:00",5.51
"10/10/2022 10:00",5.74
"10/10/2022 11:00",5.48
"10/10/2022 12:00",5.28
"10/10/2022 13:00",5.23
"10/10/2022 14:00",5.72
"10/10/2022 15:00",5.49
"10/10/2022 16:00",5.74
"10/10/2022 17:00",6.12
"10/10/2022 18:00",6.34
"10/10/2022 19:00",6.37
"10/10/2022 20:00",6.84
"10/10/2022 21:00",6.67
"10/10/2022 22:00",6.82
"10/10/2022 23:00",6.87
"11/10/2022 0:00",6.82
"11/10/2022 1:00",8.38
"11/10/2022 2:00",8.57
"11/10/2022 3:00",8.88
"11/10/2022 4:00",9.39
"11/10/2022 5:00",9.91
"11/10/2022 6:00",10.54
"11/10/2022 7:00",11.32
"11/10/2022 8:00",12.27
"11/10/2022 9:00",11.09
"11/10/2022 10:00",11.44
"11/10/2022 11:00",9.28
"11/10/2022 12:00",6.48
"11/10/2022 13:00",6.74
"11/10/2022 14:00",6.8
"11/10/2022 15:00",6.66
"11/10/2022 16:00",6.51
"11/10/2022 17:00",6.44
"11/10/2022 18:00",6.47
"11/10/2022 19:00",6.81
"11/10/2022 20:00",7.56
"11/10/2022 21:00",9.72
"11/10/2022 22:00",13.08
"11/10/2022 23:00",14.59
"12/10/2022 0:00",14.44
"12/10/2022 1:00",10.55
"12/10/2022 2:00",10.42
"12/10/2022 3:00",10.13
"12/10/2022 4:00",10.37
"12/10/2022 5:00",9.94
"12/10/2022 6:00",9.3
"12/10/2022 7:00",8.04
"12/10/2022 8:00",7.96
"12/10/2022 9:00",8.33
"12/10/2022 10:00",6.6
"12/10/2022 11:00",5.94
"12/10/2022 12:00",6.24
"12/10/2022 13:00",6.25
"12/10/2022 14:00",5.93
"12/10/2022 15:00",5.78
"12/10/2022 16:00",6.05
"12/10/2022 17:00",6.36
"12/10/2022 18:00",5.85
"12/10/2022 19:00",6.25
"12/10/2022 20:00",6.94
"12/10/2022 21:00",7.46
"12/10/2022 22:00",7.42
"12/10/2022 23:00",6.63
"13/10/2022 0:00",6.23
"13/10/2022 1:00",4.04
"13/10/2022 2:00",4.84
"13/10/2022 3:00",5.54
"13/10/2022 4:00",7.25
"13/10/2022 5:00",7.75
"13/10/2022 6:00",8.48
"13/10/2022 7:00",9.9
"13/10/2022 8:00",9.99
"13/10/2022 9:00",8.14
"13/10/2022 10:00",8.34
"13/10/2022 11:00",10.72
"13/10/2022 12:00",11.33
"13/10/2022 13:00",8.83
"13/10/2022 14:00",7.35
"13/10/2022 15:00",6.5
"13/10/2022 16:00",4.56
"13/10/2022 17:00",3.92
"13/10/2022 18:00",4.78
"13/10/2022 19:00",4.82
"13/10/2022 20:00",6.26
"13/10/2022 21:00",7.67
"13/10/2022 22:00",10.29
"13/10/2022 23:00",12.24
"14/10/2022 0:00",14.11
"14/10/2022 1:00",13.2
"14/10/2022 2:00",13.94
"14/10/2022 3:00",13.98
"14/10/2022 4:00",13.51
"14/10/2022 5:00",13.17
"14/10/2022 6:00",10.98
"14/10/2022 7:00",9.56
"14/10/2022 8:00",8.73
"14/10/2022 9:00",7.84
"14/10/2022 10:00",6.3
"14/10/2022 11:00",5.11
"14/10/2022 12:00",4.7
"14/10/2022 13:00",4.82
"14/10/2022 14:00",4.5
"14/10/2022 15:00",4.68
"14/10/2022 16:00",4.8
"14/10/2022 17:00",4.39
"14/10/2022 18:00",4.55
"14/10/2022 19:00",5.41
"14/10/2022 20:00",7.47
"14/10/2022 21:00",7.66
"14/10/2022 22:00",7.6
"14/10/2022 23:00",7.16
"15/10/2022 0:00",6.63
"15/10/2022 1:00",7.03
"15/10/2022 2:00",7.1
"15/10/2022 3:00",8.14
"15/10/2022 4:00",8.25
"15/10/2022 5:00",8.32
"15/10/2022 6:00",8.53
"15/10/2022 7:00",9.17
"15/10/2022 8:00",8.21
"15/10/2022 9:00",5.21
"15/10/2022 10:00",4.49
"15/10/2022 11:00",4.3
"15/10/2022 12:00",4.31
"15/10/2022 13:00",4.38
"15/10/2022 14:00",4.51
"15/10/2022 15:00",4.46
"15/10/2022 16:00",4.45
"15/10/2022 17:00",4.75
"15/10/2022 18:00",4.98
"15/10/2022 19:00",5.24
"15/10/2022 20:00",5.06
"15/10/2022 21:00",5.22
"15/10/2022 22:00",5.24
"15/10/2022 23:00",5.08
"16/10/2022 0:00",4.98
"16/10/2022 1:00",6.29
"16/10/2022 2:00",6.3
"16/10/2022 3:00",6.19
"16/10/2022 4:00",6.15
"16/10/2022 5:00",6.13
