"Category","Nitrogen dioxide"
"23/6/2021 13:00",14.55
"23/6/2021 14:00",30.62
"23/6/2021 15:00",29.74
"23/6/2021 16:00",30.77
"23/6/2021 17:00",32.09
"23/6/2021 18:00",39.39
"23/6/2021 19:00",42.43
"23/6/2021 20:00",44.62
"23/6/2021 21:00",55.65
"23/6/2021 22:00",55.82
"23/6/2021 23:00",53.28
"24/6/2021 0:00",50.3
"24/6/2021 1:00",15.37
"24/6/2021 2:00",20.06
"24/6/2021 3:00",19.18
"24/6/2021 4:00",22.17
"24/6/2021 5:00",25.53
"24/6/2021 6:00",22.3
"24/6/2021 7:00",
"24/6/2021 8:00",
"24/6/2021 9:00",
"24/6/2021 10:00",
"24/6/2021 11:00",
"24/6/2021 12:00",
"24/6/2021 13:00",
"24/6/2021 14:00",
"24/6/2021 15:00",
"24/6/2021 16:00",
"24/6/2021 17:00",
"24/6/2021 18:00",
"24/6/2021 19:00",
"24/6/2021 20:00",
"24/6/2021 21:00",
"24/6/2021 22:00",
"24/6/2021 23:00",
"25/6/2021 0:00",
"25/6/2021 1:00",
"25/6/2021 2:00",
"25/6/2021 3:00",
"25/6/2021 4:00",
"25/6/2021 5:00",
"25/6/2021 6:00",
"25/6/2021 7:00",
"25/6/2021 8:00",
"25/6/2021 9:00",
"25/6/2021 10:00",
"25/6/2021 11:00",
"25/6/2021 12:00",13.96
"25/6/2021 13:00",16.11
"25/6/2021 14:00",18.2
"25/6/2021 15:00",19.96
"25/6/2021 16:00",20.58
"25/6/2021 17:00",21.95
"25/6/2021 18:00",28.82
"25/6/2021 19:00",33.54
"25/6/2021 20:00",33.49
"25/6/2021 21:00",34.45
"25/6/2021 22:00",35.99
"25/6/2021 23:00",36.54
"26/6/2021 0:00",39.28
"26/6/2021 1:00",30.39
"26/6/2021 2:00",28.37
"26/6/2021 3:00",26.95
"26/6/2021 4:00",26.66
"26/6/2021 5:00",26.36
"26/6/2021 6:00",25.87
"26/6/2021 7:00",25.28
"26/6/2021 8:00",24.54
"26/6/2021 9:00",22.86
"26/6/2021 10:00",20.4
"26/6/2021 11:00",17.61
"26/6/2021 12:00",12.17
"26/6/2021 13:00",11.94
"26/6/2021 14:00",20.75
"26/6/2021 15:00",26.28
"26/6/2021 16:00",30.09
"26/6/2021 17:00",26.67
"26/6/2021 18:00",24.71
"26/6/2021 19:00",25.45
"26/6/2021 20:00",28.1
"26/6/2021 21:00",29.06
"26/6/2021 22:00",28.41
"26/6/2021 23:00",27.67
"27/6/2021 0:00",24.48
"27/6/2021 1:00",22.48
"27/6/2021 2:00",19.88
"27/6/2021 3:00",18.52
"27/6/2021 4:00",15.9
"27/6/2021 5:00",16.39
"27/6/2021 6:00",17.4
"27/6/2021 7:00",15.73
"27/6/2021 8:00",14.69
"27/6/2021 9:00",11.84
"27/6/2021 10:00",9.43
"27/6/2021 11:00",9.88
"27/6/2021 12:00",8.35
"27/6/2021 13:00",8.65
"27/6/2021 14:00",13.73
"27/6/2021 15:00",15.74
"27/6/2021 16:00",20.2
"27/6/2021 17:00",16.63
"27/6/2021 18:00",24.39
"27/6/2021 19:00",30.32
"27/6/2021 20:00",33.15
"27/6/2021 21:00",21.2
"27/6/2021 22:00",17.72
"27/6/2021 23:00",14.44
"28/6/2021 0:00",16.18
"28/6/2021 1:00",72.7
"28/6/2021 2:00",69.62
"28/6/2021 3:00",70.08
"28/6/2021 4:00",70.96
"28/6/2021 5:00",68.19
"28/6/2021 6:00",71.91
"28/6/2021 7:00",75.06
"28/6/2021 8:00",79
"28/6/2021 9:00",77.89
"28/6/2021 10:00",77.19
"28/6/2021 11:00",66.16
"28/6/2021 12:00",77.31
"28/6/2021 13:00",75.59
"28/6/2021 14:00",42.96
"28/6/2021 15:00",27.55
"28/6/2021 16:00",53.07
"28/6/2021 17:00",37.41
"28/6/2021 18:00",50.91
"28/6/2021 19:00",72.08
"28/6/2021 20:00",78.01
"28/6/2021 21:00",80.88
"28/6/2021 22:00",82.47
"28/6/2021 23:00",78.52
"29/6/2021 0:00",76.34
"29/6/2021 1:00",10.53
"29/6/2021 2:00",8.06
"29/6/2021 3:00",5.23
"29/6/2021 4:00",5.04
"29/6/2021 5:00",7.64
"29/6/2021 6:00",9.01
"29/6/2021 7:00",10.91
"29/6/2021 8:00",12.43
"29/6/2021 9:00",13.99
"29/6/2021 10:00",11
"29/6/2021 11:00",9.15
"29/6/2021 12:00",9.03
"29/6/2021 13:00",10.8
"29/6/2021 14:00",14.81
"29/6/2021 15:00",13.5
"29/6/2021 16:00",14.43
"29/6/2021 17:00",15.51
"29/6/2021 18:00",16.09
"29/6/2021 19:00",15.08
"29/6/2021 20:00",13
"29/6/2021 21:00",13.38
"29/6/2021 22:00",14.16
"29/6/2021 23:00",14.81
"30/6/2021 0:00",13.23
"30/6/2021 1:00",13.8
"30/6/2021 2:00",12.91
"30/6/2021 3:00",11.12
"30/6/2021 4:00",10.01
"30/6/2021 5:00",10.65
"30/6/2021 6:00",11.44
"30/6/2021 7:00",13.5
"30/6/2021 8:00",13.65
"30/6/2021 9:00",11.81
"30/6/2021 10:00",13.89
"30/6/2021 11:00",13.85
"30/6/2021 12:00",11.47
"30/6/2021 13:00",10.07
"30/6/2021 14:00",10.66
"30/6/2021 15:00",11.45
"30/6/2021 16:00",10.97
"30/6/2021 17:00",8.54
"30/6/2021 18:00",8.93
"30/6/2021 19:00",11.14
"30/6/2021 20:00",13.55
"30/6/2021 21:00",18.46
"30/6/2021 22:00",20.88
"30/6/2021 23:00",22.6
"1/7/2021 0:00",25.24
"1/7/2021 1:00",41.88
"1/7/2021 2:00",44.42
"1/7/2021 3:00",37.57
"1/7/2021 4:00",34.4
"1/7/2021 5:00",31.98
"1/7/2021 6:00",29.78
"1/7/2021 7:00",31.02
"1/7/2021 8:00",32.05
"1/7/2021 9:00",32.15
"1/7/2021 10:00",26.91
"1/7/2021 11:00",22.88
"1/7/2021 12:00",17.8
"1/7/2021 13:00",16.58
"1/7/2021 14:00",16.06
"1/7/2021 15:00",19.84
"1/7/2021 16:00",17.42
"1/7/2021 17:00",23.59
"1/7/2021 18:00",27.94
"1/7/2021 19:00",30.43
"1/7/2021 20:00",33.09
"1/7/2021 21:00",37.89
"1/7/2021 22:00",45.32
"1/7/2021 23:00",48.65
"2/7/2021 0:00",45.5
"2/7/2021 1:00",34.52
"2/7/2021 2:00",37.56
"2/7/2021 3:00",39.18
"2/7/2021 4:00",39.7
"2/7/2021 5:00",40.16
"2/7/2021 6:00",39.87
"2/7/2021 7:00",36.6
"2/7/2021 8:00",33.67
"2/7/2021 9:00",29.19
"2/7/2021 10:00",23.84
"2/7/2021 11:00",16.58
"2/7/2021 12:00",10.88
"2/7/2021 13:00",13.04
"2/7/2021 14:00",13.78
"2/7/2021 15:00",14.73
"2/7/2021 16:00",16.97
"2/7/2021 17:00",19.88
"2/7/2021 18:00",19.09
"2/7/2021 19:00",20.99
"2/7/2021 20:00",21.28
"2/7/2021 21:00",24
"2/7/2021 22:00",26.98
"2/7/2021 23:00",28.72
"3/7/2021 0:00",27.36
"3/7/2021 1:00",8.49
"3/7/2021 2:00",12.69
"3/7/2021 3:00",14.83
"3/7/2021 4:00",18.66
"3/7/2021 5:00",20.53
"3/7/2021 6:00",22.54
"3/7/2021 7:00",23.1
"3/7/2021 8:00",25.94
"3/7/2021 9:00",26.94
"3/7/2021 10:00",23.17
"3/7/2021 11:00",18.01
"3/7/2021 12:00",19.63
"3/7/2021 13:00",15.57
"3/7/2021 14:00",13.49
"3/7/2021 15:00",13.54
"3/7/2021 16:00",15.59
"3/7/2021 17:00",15.7
"3/7/2021 18:00",14.7
"3/7/2021 19:00",14.61
"3/7/2021 20:00",14.92
"3/7/2021 21:00",17.62
"3/7/2021 22:00",20.63
"3/7/2021 23:00",23.46
"4/7/2021 0:00",24.94
"4/7/2021 1:00",8.72
"4/7/2021 2:00",8.6
"4/7/2021 3:00",8.63
"4/7/2021 4:00",8.57
"4/7/2021 5:00",8.83
"4/7/2021 6:00",9.13
"4/7/2021 7:00",8.81
"4/7/2021 8:00",9.34
"4/7/2021 9:00",9.12
"4/7/2021 10:00",7.97
"4/7/2021 11:00",6.68
"4/7/2021 12:00",7.61
"4/7/2021 13:00",6.83
"4/7/2021 14:00",5.88
"4/7/2021 15:00",5.95
"4/7/2021 16:00",6.84
"4/7/2021 17:00",6.22
"4/7/2021 18:00",7.15
"4/7/2021 19:00",7.94
"4/7/2021 20:00",7.9
"4/7/2021 21:00",9.35
"4/7/2021 22:00",9.64
"4/7/2021 23:00",9.33
"5/7/2021 0:00",9.1
"5/7/2021 1:00",17.43
"5/7/2021 2:00",17.06
