"Category","PM<sub>2.5</sub> particulates"
"23/6/2021 13:00",9.89
"23/6/2021 14:00",9.93
"23/6/2021 15:00",10.11
"23/6/2021 16:00",10.47
"23/6/2021 17:00",10.32
"23/6/2021 18:00",11.01
"23/6/2021 19:00",12.5
"23/6/2021 20:00",12.72
"23/6/2021 21:00",10.25
"23/6/2021 22:00",9.3
"23/6/2021 23:00",8.8
"24/6/2021 0:00",8.63
"24/6/2021 1:00",6.14
"24/6/2021 2:00",6.78
"24/6/2021 3:00",7.28
"24/6/2021 4:00",7.68
"24/6/2021 5:00",7.93
"24/6/2021 6:00",9.03
"24/6/2021 7:00",
"24/6/2021 8:00",
"24/6/2021 9:00",
"24/6/2021 10:00",
"24/6/2021 11:00",
"24/6/2021 12:00",
"24/6/2021 13:00",
"24/6/2021 14:00",
"24/6/2021 15:00",
"24/6/2021 16:00",
"24/6/2021 17:00",
"24/6/2021 18:00",
"24/6/2021 19:00",
"24/6/2021 20:00",
"24/6/2021 21:00",
"24/6/2021 22:00",
"24/6/2021 23:00",
"25/6/2021 0:00",
"25/6/2021 1:00",
"25/6/2021 2:00",
"25/6/2021 3:00",
"25/6/2021 4:00",
"25/6/2021 5:00",
"25/6/2021 6:00",
"25/6/2021 7:00",
"25/6/2021 8:00",
"25/6/2021 9:00",
"25/6/2021 10:00",
"25/6/2021 11:00",
"25/6/2021 12:00",4.22
"25/6/2021 13:00",4.54
"25/6/2021 14:00",4.68
"25/6/2021 15:00",4.24
"25/6/2021 16:00",3.98
"25/6/2021 17:00",4.29
"25/6/2021 18:00",4.96
"25/6/2021 19:00",7.15
"25/6/2021 20:00",8.34
"25/6/2021 21:00",7.38
"25/6/2021 22:00",7.05
"25/6/2021 23:00",6.6
"26/6/2021 0:00",6.8
"26/6/2021 1:00",8.36
"26/6/2021 2:00",9.78
"26/6/2021 3:00",10.37
"26/6/2021 4:00",10.59
"26/6/2021 5:00",11.24
"26/6/2021 6:00",12.34
"26/6/2021 7:00",13.8
"26/6/2021 8:00",14.53
"26/6/2021 9:00",14.08
"26/6/2021 10:00",13.13
"26/6/2021 11:00",11.13
"26/6/2021 12:00",6.28
"26/6/2021 13:00",4.01
"26/6/2021 14:00",3.92
"26/6/2021 15:00",4.07
"26/6/2021 16:00",5.13
"26/6/2021 17:00",4.99
"26/6/2021 18:00",4.56
"26/6/2021 19:00",4.34
"26/6/2021 20:00",4.42
"26/6/2021 21:00",4.91
"26/6/2021 22:00",6.82
"26/6/2021 23:00",8.34
"27/6/2021 0:00",7.82
"27/6/2021 1:00",2.98
"27/6/2021 2:00",3.84
"27/6/2021 3:00",5.65
"27/6/2021 4:00",6.62
"27/6/2021 5:00",9.14
"27/6/2021 6:00",13.3
"27/6/2021 7:00",15.79
"27/6/2021 8:00",17.09
"27/6/2021 9:00",14.47
"27/6/2021 10:00",13.66
"27/6/2021 11:00",19
"27/6/2021 12:00",20.99
"27/6/2021 13:00",21
"27/6/2021 14:00",25.74
"27/6/2021 15:00",26.71
"27/6/2021 16:00",26.45
"27/6/2021 17:00",21.87
"27/6/2021 18:00",19.67
"27/6/2021 19:00",24.42
"27/6/2021 20:00",23.55
"27/6/2021 21:00",17.62
"27/6/2021 22:00",15.3
"27/6/2021 23:00",7.81
"28/6/2021 0:00",0.93
"28/6/2021 1:00",2.03
"28/6/2021 2:00",1.66
"28/6/2021 3:00",1.18
"28/6/2021 4:00",4.68
"28/6/2021 5:00",6.35
"28/6/2021 6:00",8.92
"28/6/2021 7:00",8.95
"28/6/2021 8:00",6.45
"28/6/2021 9:00",7.3
"28/6/2021 10:00",6.98
"28/6/2021 11:00",10.38
"28/6/2021 12:00",13.68
"28/6/2021 13:00",13.2
"28/6/2021 14:00",9.69
"28/6/2021 15:00",8.03
"28/6/2021 16:00",9.24
"28/6/2021 17:00",8.8
"28/6/2021 18:00",10.43
"28/6/2021 19:00",9.92
"28/6/2021 20:00",10.58
"28/6/2021 21:00",11.4
"28/6/2021 22:00",15.11
"28/6/2021 23:00",16.06
"29/6/2021 0:00",16.13
"29/6/2021 1:00",13.77
"29/6/2021 2:00",13.11
"29/6/2021 3:00",13.43
"29/6/2021 4:00",12.36
"29/6/2021 5:00",11
"29/6/2021 6:00",9.82
"29/6/2021 7:00",9.91
"29/6/2021 8:00",10.72
"29/6/2021 9:00",11.3
"29/6/2021 10:00",10.14
"29/6/2021 11:00",7.14
"29/6/2021 12:00",7.19
"29/6/2021 13:00",6.92
"29/6/2021 14:00",8.31
"29/6/2021 15:00",7.56
"29/6/2021 16:00",6.98
"29/6/2021 17:00",7.49
"29/6/2021 18:00",7.78
"29/6/2021 19:00",7.94
"29/6/2021 20:00",8.68
"29/6/2021 21:00",9.44
"29/6/2021 22:00",10.06
"29/6/2021 23:00",10.11
"30/6/2021 0:00",8.56
"30/6/2021 1:00",7.63
"30/6/2021 2:00",7.73
"30/6/2021 3:00",8.64
"30/6/2021 4:00",9.75
"30/6/2021 5:00",7.21
"30/6/2021 6:00",6.09
"30/6/2021 7:00",5.73
"30/6/2021 8:00",4.92
"30/6/2021 9:00",3.68
"30/6/2021 10:00",3.65
"30/6/2021 11:00",4.6
"30/6/2021 12:00",4.44
"30/6/2021 13:00",5.08
"30/6/2021 14:00",4.94
"30/6/2021 15:00",4.28
"30/6/2021 16:00",4.51
"30/6/2021 17:00",5.42
"30/6/2021 18:00",6.24
"30/6/2021 19:00",5.57
"30/6/2021 20:00",6.98
"30/6/2021 21:00",6.68
"30/6/2021 22:00",7.85
"30/6/2021 23:00",8.47
"1/7/2021 0:00",9.8
"1/7/2021 1:00",28.75
"1/7/2021 2:00",29.62
"1/7/2021 3:00",31.64
"1/7/2021 4:00",31.28
"1/7/2021 5:00",26.78
"1/7/2021 6:00",27.59
"1/7/2021 7:00",25.27
"1/7/2021 8:00",23.02
"1/7/2021 9:00",23.85
"1/7/2021 10:00",28.86
