"Category","Nitrogen dioxide"
"18/3/2022 10:00",26.85
"18/3/2022 11:00",11.19
"18/3/2022 12:00",4.26
"18/3/2022 13:00",0
"18/3/2022 14:00",2.95
"18/3/2022 15:00",7.86
"18/3/2022 16:00",0
"18/3/2022 17:00",1.15
"18/3/2022 18:00",17.83
"18/3/2022 19:00",24.29
"18/3/2022 20:00",24.9
"18/3/2022 21:00",20.25
"18/3/2022 22:00",18.08
"18/3/2022 23:00",19.68
"19/3/2022 0:00",17.19
"19/3/2022 1:00",18.76
"19/3/2022 2:00",15.24
"19/3/2022 3:00",15.09
"19/3/2022 4:00",14.87
"19/3/2022 5:00",15.57
"19/3/2022 6:00",17.38
"19/3/2022 7:00",16.67
"19/3/2022 8:00",15.27
"19/3/2022 9:00",14.98
"19/3/2022 10:00",16.72
"19/3/2022 11:00",16.96
"19/3/2022 12:00",15.37
"19/3/2022 13:00",15.28
"19/3/2022 14:00",15.93
"19/3/2022 15:00",14.65
"19/3/2022 16:00",17.02
"19/3/2022 17:00",19.57
"19/3/2022 18:00",22.56
"19/3/2022 19:00",22.87
"19/3/2022 20:00",19.93
"19/3/2022 21:00",18.19
"19/3/2022 22:00",18.41
"19/3/2022 23:00",18.2
"20/3/2022 0:00",30.28
"20/3/2022 1:00",30.07
"20/3/2022 2:00",32.42
"20/3/2022 3:00",33
"20/3/2022 4:00",40.06
"20/3/2022 5:00",42.06
"20/3/2022 6:00",41.12
"20/3/2022 7:00",37.02
"20/3/2022 8:00",27.97
"20/3/2022 9:00",20.82
"20/3/2022 10:00",13.47
"20/3/2022 11:00",13.84
"20/3/2022 12:00",13.96
"20/3/2022 13:00",19.42
"20/3/2022 14:00",17.2
"20/3/2022 15:00",20.68
"20/3/2022 16:00",21.29
"20/3/2022 17:00",33.9
"20/3/2022 18:00",41.73
"20/3/2022 19:00",49.58
"20/3/2022 20:00",39.53
"20/3/2022 21:00",47.29
"20/3/2022 22:00",57.61
"20/3/2022 23:00",64.77
"21/3/2022 0:00",42.72
"21/3/2022 1:00",41.92
"21/3/2022 2:00",36.25
"21/3/2022 3:00",38.64
"21/3/2022 4:00",43.79
"21/3/2022 5:00",47.58
"21/3/2022 6:00",47.17
"21/3/2022 7:00",45.21
"21/3/2022 8:00",42.38
"21/3/2022 9:00",35.51
"21/3/2022 10:00",27.44
"21/3/2022 11:00",18.22
"21/3/2022 12:00",0
"21/3/2022 13:00",4.02
"21/3/2022 14:00",0
"21/3/2022 15:00",0
"21/3/2022 16:00",0
"21/3/2022 17:00",10.24
"21/3/2022 18:00",22.89
"21/3/2022 19:00",38.2
"21/3/2022 20:00",45.78
"21/3/2022 21:00",42.84
"21/3/2022 22:00",42.9
"21/3/2022 23:00",48.25
