"Category","Nitrogen dioxide"
"11/12/2021 12:00",22.25
"11/12/2021 13:00",29.37
"11/12/2021 14:00",40.79
"11/12/2021 15:00",52.83
"11/12/2021 16:00",53.05
"11/12/2021 17:00",57.93
"11/12/2021 18:00",55.43
"11/12/2021 19:00",44.66
"11/12/2021 20:00",34.51
"11/12/2021 21:00",35.77
"11/12/2021 22:00",28.47
"11/12/2021 23:00",19.18
"12/12/2021 0:00",18.71
"12/12/2021 1:00",15.25
"12/12/2021 2:00",15.51
"12/12/2021 3:00",10.59
"12/12/2021 4:00",7.54
"12/12/2021 5:00",9.6
"12/12/2021 6:00",8.17
"12/12/2021 7:00",11.53
"12/12/2021 8:00",14.07
"12/12/2021 9:00",16.2
"12/12/2021 10:00",21.47
"12/12/2021 11:00",26.21
"12/12/2021 12:00",20.52
"12/12/2021 13:00",25.23
"12/12/2021 14:00",20.19
"12/12/2021 15:00",20.87
"12/12/2021 16:00",26.46
"12/12/2021 17:00",32.29
"12/12/2021 18:00",24.35
"12/12/2021 19:00",23.83
"12/12/2021 20:00",24.31
"12/12/2021 21:00",20.43
"12/12/2021 22:00",14.43
"12/12/2021 23:00",9.15
"13/12/2021 0:00",12.47
"13/12/2021 1:00",11.91
"13/12/2021 2:00",9.89
"13/12/2021 3:00",7.09
"13/12/2021 4:00",7.76
"13/12/2021 5:00",14.31
"13/12/2021 6:00",22.59
"13/12/2021 7:00",37.46
"13/12/2021 8:00",42.69
"13/12/2021 9:00",30.01
"13/12/2021 10:00",26.16
"13/12/2021 11:00",26.23
"13/12/2021 12:00",33.83
"13/12/2021 13:00",33.61
"13/12/2021 14:00",40.74
"13/12/2021 15:00",35.73
"13/12/2021 16:00",33.02
"13/12/2021 17:00",26.59
"13/12/2021 18:00",28.77
"13/12/2021 19:00",31.58
"13/12/2021 20:00",33.24
"13/12/2021 21:00",23.52
"13/12/2021 22:00",23.23
"13/12/2021 23:00",22.09
"14/12/2021 0:00",18.03
"14/12/2021 1:00",12.83
"14/12/2021 2:00",11.61
"14/12/2021 3:00",11.88
"14/12/2021 4:00",11.82
"14/12/2021 5:00",16.6
"14/12/2021 6:00",24.49
"14/12/2021 7:00",35.17
"14/12/2021 8:00",45.58
"14/12/2021 9:00",45.01
"14/12/2021 10:00",41.09
"14/12/2021 11:00",34.68
"14/12/2021 12:00",31.13
"14/12/2021 13:00",28.54
"14/12/2021 14:00",31.7
"14/12/2021 15:00",37.42
"14/12/2021 16:00",37.49
"14/12/2021 17:00",36.26
"14/12/2021 18:00",34.62
"14/12/2021 19:00",33.73
"14/12/2021 20:00",33.83
"14/12/2021 21:00",34.81
"14/12/2021 22:00",31.34
"14/12/2021 23:00",26.52
"15/12/2021 0:00",22.59
"15/12/2021 1:00",16.02
"15/12/2021 2:00",15.45
"15/12/2021 3:00",10.72
"15/12/2021 4:00",11.06
"15/12/2021 5:00",14.92
"15/12/2021 6:00",22.95
"15/12/2021 7:00",28.58
"15/12/2021 8:00",37.21
"15/12/2021 9:00",34.72
"15/12/2021 10:00",29.74
"15/12/2021 11:00",32.96
"15/12/2021 12:00",33.69
"15/12/2021 13:00",34.09
"15/12/2021 14:00",31.54
"15/12/2021 15:00",31.33
"15/12/2021 16:00",31.53
"15/12/2021 17:00",41.12
"15/12/2021 18:00",38.52
"15/12/2021 19:00",44.52
"15/12/2021 20:00",37.52
"15/12/2021 21:00",40.71
"15/12/2021 22:00",37.42
"15/12/2021 23:00",39.95
"16/12/2021 0:00",37.51
"16/12/2021 1:00",36.08
"16/12/2021 2:00",33.18
"16/12/2021 3:00",32.01
"16/12/2021 4:00",27.12
"16/12/2021 5:00",24.69
"16/12/2021 6:00",29.53
"16/12/2021 7:00",27.85
"16/12/2021 8:00",33.56
"16/12/2021 9:00",43.32
"16/12/2021 10:00",33.18
"16/12/2021 11:00",29.61
"16/12/2021 12:00",33.1
"16/12/2021 13:00",31
"16/12/2021 14:00",35.99
"16/12/2021 15:00",43.78
"16/12/2021 16:00",39.25
"16/12/2021 17:00",36.48
"16/12/2021 18:00",31.27
"16/12/2021 19:00",36.3
"16/12/2021 20:00",43.09
"16/12/2021 21:00",32.44
"16/12/2021 22:00",35.21
"16/12/2021 23:00",30.53
"17/12/2021 0:00",29.21
"17/12/2021 1:00",30.2
"17/12/2021 2:00",29.18
"17/12/2021 3:00",18.42
"17/12/2021 4:00",19.96
"17/12/2021 5:00",32.99
"17/12/2021 6:00",40.36
"17/12/2021 7:00",46.11
"17/12/2021 8:00",44
"17/12/2021 9:00",33.48
"17/12/2021 10:00",48.67
"17/12/2021 11:00",40.14
"17/12/2021 12:00",32.11
"17/12/2021 13:00",40.98
"17/12/2021 14:00",44.97
"17/12/2021 15:00",34.76
"17/12/2021 16:00",32.13
"17/12/2021 17:00",33.95
"17/12/2021 18:00",36.56
"17/12/2021 19:00",38.57
"17/12/2021 20:00",35.59
"17/12/2021 21:00",23.75
"17/12/2021 22:00",34.7
"17/12/2021 23:00",24.08
"18/12/2021 0:00",22.47
"18/12/2021 1:00",28.3
"18/12/2021 2:00",16.38
"18/12/2021 3:00",14.19
"18/12/2021 4:00",19.23
"18/12/2021 5:00",24.38
"18/12/2021 6:00",18.6
"18/12/2021 7:00",27.88
"18/12/2021 8:00",28.81
"18/12/2021 9:00",33.56
"18/12/2021 10:00",33.44
"18/12/2021 11:00",39.42
"18/12/2021 12:00",39.83
"18/12/2021 13:00",36.73
"18/12/2021 14:00",35.25
"18/12/2021 15:00",37.62
"18/12/2021 16:00",49.88
"18/12/2021 17:00",49.21
"18/12/2021 18:00",30.01
"18/12/2021 19:00",31.52
"18/12/2021 20:00",41.49
"18/12/2021 21:00",36.6
"18/12/2021 22:00",30.61
"18/12/2021 23:00",32.71
"19/12/2021 0:00",26.23
"19/12/2021 1:00",16.35
"19/12/2021 2:00",20.31
"19/12/2021 3:00",15.65
"19/12/2021 4:00",14.42
"19/12/2021 5:00",15.75
"19/12/2021 6:00",19.43
"19/12/2021 7:00",22.51
"19/12/2021 8:00",20.97
"19/12/2021 9:00",23.57
"19/12/2021 10:00",23.62
"19/12/2021 11:00",22.6
"19/12/2021 12:00",24.75
"19/12/2021 13:00",26.56
"19/12/2021 14:00",20.98
"19/12/2021 15:00",25.02
"19/12/2021 16:00",20.7
"19/12/2021 17:00",22.09
"19/12/2021 18:00",21.67
"19/12/2021 19:00",29.33
"19/12/2021 20:00",30.91
"19/12/2021 21:00",23.76
"19/12/2021 22:00",18.65
"19/12/2021 23:00",17.32
"20/12/2021 0:00",12.54
"20/12/2021 1:00",8.94
"20/12/2021 2:00",8.67
"20/12/2021 3:00",9.84
"20/12/2021 4:00",12.22
"20/12/2021 5:00",14.08
"20/12/2021 6:00",15.87
"20/12/2021 7:00",22.33
"20/12/2021 8:00",23.43
"20/12/2021 9:00",17.77
"20/12/2021 10:00",24.77
"20/12/2021 11:00",27.42
"20/12/2021 12:00",24.28
"20/12/2021 13:00",34.03
"20/12/2021 14:00",26.71
"20/12/2021 15:00",26.94
"20/12/2021 16:00",27.37
"20/12/2021 17:00",30.61
"20/12/2021 18:00",25.6
"20/12/2021 19:00",31.8
"20/12/2021 20:00",26.23
"20/12/2021 21:00",28.22
"20/12/2021 22:00",25.27
"20/12/2021 23:00",27.09
"21/12/2021 0:00",22.94
"21/12/2021 1:00",19.08
"21/12/2021 2:00",18.94
"21/12/2021 3:00",14.28
"21/12/2021 4:00",14.01
"21/12/2021 5:00",18.45
"21/12/2021 6:00",24.6
"21/12/2021 7:00",32.53
"21/12/2021 8:00",56.48
"21/12/2021 9:00",46.44
"21/12/2021 10:00",48.72
"21/12/2021 11:00",42.56
"21/12/2021 12:00",41.69
"21/12/2021 13:00",43.32
"21/12/2021 14:00",48.78
"21/12/2021 15:00",62.27
"21/12/2021 16:00",51.97
"21/12/2021 17:00",51.61
"21/12/2021 18:00",53.4
"21/12/2021 19:00",65.5
"21/12/2021 20:00",50.43
"21/12/2021 21:00",49.44
"21/12/2021 22:00",57.54
"21/12/2021 23:00",50.56
"22/12/2021 0:00",53.64
"22/12/2021 1:00",59.27
"22/12/2021 2:00",52.22
"22/12/2021 3:00",43.34
"22/12/2021 4:00",37.15
"22/12/2021 5:00",31.19
"22/12/2021 6:00",33.24
"22/12/2021 7:00",54.27
"22/12/2021 8:00",49.63
"22/12/2021 9:00",47.43
"22/12/2021 10:00",51.56
"22/12/2021 11:00",62.12
"22/12/2021 12:00",53.19
"22/12/2021 13:00",49.25
"22/12/2021 14:00",47.6
"22/12/2021 15:00",58.59
"22/12/2021 16:00",52.55
"22/12/2021 17:00",51.98
"22/12/2021 18:00",50.17
"22/12/2021 19:00",49.44
"22/12/2021 20:00",44.82
"22/12/2021 21:00",51.04
"22/12/2021 22:00",42.38
"22/12/2021 23:00",45.89
"23/12/2021 0:00",33.56
"23/12/2021 1:00",25.37
"23/12/2021 2:00",21.64
"23/12/2021 3:00",21.48
"23/12/2021 4:00",32.91
"23/12/2021 5:00",33.33
"23/12/2021 6:00",29.9
"23/12/2021 7:00",28.74
"23/12/2021 8:00",27.8
"23/12/2021 9:00",32.61
"23/12/2021 10:00",28.78
"23/12/2021 11:00",30.87
"23/12/2021 12:00",40.18
"23/12/2021 13:00",35.37
"23/12/2021 14:00",34.05
"23/12/2021 15:00",34.75
"23/12/2021 16:00",30.47
"23/12/2021 17:00",37.26
"23/12/2021 18:00",36.79
"23/12/2021 19:00",39.46
"23/12/2021 20:00",34.47
"23/12/2021 21:00",33.58
"23/12/2021 22:00",
"23/12/2021 23:00",34.79
"24/12/2021 0:00",24.46
"24/12/2021 1:00",25.56
"24/12/2021 2:00",
"24/12/2021 3:00",9.4
