Date,NO2_mean,NO2_max,NO2_min
2021-08-24,14.99076923076923,18.88,8.61
2021-08-25,11.748181818181818,19.44,6.85
2021-08-26,7.130714285714285,8.6,4.7
2021-08-27,12.859583333333333,18.32,4.68
2021-08-28,18.210416666666667,33.13,10.17
2021-08-29,18.76458333333333,32.55,7.63
2021-08-30,13.709166666666667,18.38,7.0
2021-08-31,13.817083333333334,22.38,5.28
2021-09-01,14.360416666666666,21.83,6.24
2021-09-02,12.645833333333334,23.49,6.17
2021-09-03,21.145833333333332,29.49,10.84
2021-09-04,17.514583333333334,23.74,12.28
2021-09-05,25.449583333333333,44.55,13.52
2021-09-06,41.42791666666667,74.04,22.37
2021-09-07,53.92791666666667,75.5,25.22
2021-09-08,56.562083333333334,85.27,33.76
2021-09-09,26.057916666666667,63.37,13.98
2021-09-10,24.519583333333333,31.18,16.38
2021-09-11,15.365,25.36,7.77
2021-09-12,24.163750000000004,33.81,12.06
2021-09-13,27.824166666666667,43.59,13.01
2021-09-14,27.986666666666665,42.43,15.69
2021-09-15,28.297916666666666,57.72,12.88
2021-09-16,31.71083333333333,50.73,17.75
2021-09-17,34.02916666666667,55.14,17.81
2021-09-18,46.07041666666667,71.3,23.52
2021-09-19,26.13,49.45,15.73
2021-09-20,20.1875,33.16,11.94
2021-09-21,43.852916666666665,73.22,19.91
2021-09-22,36.530833333333334,61.34,17.39
2021-09-23,24.02916666666667,36.67,14.29
2021-09-24,23.43875,35.36,16.52
2021-09-25,21.78833333333333,39.7,11.8
2021-09-26,23.26375,38.53,12.26
2021-09-27,16.5075,31.04,4.86
2021-09-28,24.14833333333333,44.72,10.66
2021-09-29,20.0675,36.63,8.77
2021-09-30,28.83458333333333,47.56,10.25
2021-10-01,44.75666666666667,67.25,8.05
2021-10-02,23.514166666666668,60.52,7.86
2021-10-03,24.999583333333334,35.82,10.5
2021-10-04,20.855416666666667,41.5,11.8
2021-10-05,22.446250000000003,39.41,10.96
2021-10-06,23.663749999999997,49.4,10.62
2021-10-07,37.937916666666666,53.45,23.81
2021-10-08,21.49083333333333,40.05,12.62
2021-10-09,36.09166666666666,52.16,22.86
2021-10-10,31.352500000000003,49.37,14.19
2021-10-11,30.825416666666666,55.21,16.47
2021-10-12,35.09041666666666,50.05,13.44
2021-10-13,36.112500000000004,56.83,13.64
2021-10-14,27.47375,43.75,16.05
2021-10-15,27.39375,61.2,11.2
2021-10-16,40.8925,56.78,25.94
2021-10-17,31.0625,43.16,16.25
2021-10-18,31.32375,47.49,12.55
2021-10-19,14.243333333333332,19.54,8.76
2021-10-20,17.089583333333334,32.74,5.07
2021-10-21,24.7975,56.25,8.74
2021-10-22,30.008333333333336,43.64,19.53
2021-10-23,27.799166666666665,38.76,18.84
2021-10-24,18.202916666666667,23.44,12.37
2021-10-25,26.36791666666667,48.81,12.93
2021-10-26,25.89625,38.51,10.07
2021-10-27,22.079166666666666,35.15,11.31
2021-10-28,23.912499999999998,39.51,6.36
2021-10-29,28.99791666666667,52.99,16.0
2021-10-30,28.3025,46.09,16.39
2021-10-31,18.0504,31.88,7.07
2021-11-01,25.53833333333333,50.96,4.25
2021-11-02,41.96041666666667,62.41,28.16
2021-11-03,36.69708333333333,56.45,12.28
2021-11-04,19.745,42.12,9.54
2021-11-05,44.73500000000001,54.02,30.73
2021-11-06,17.13083333333333,35.16,11.32
2021-11-07,30.652916666666666,55.01,9.32
2021-11-08,36.285833333333336,49.98,23.96
2021-11-09,25.72875,45.08,12.57
2021-11-10,30.472083333333334,39.64,15.9
2021-11-11,34.305416666666666,48.01,13.84
2021-11-12,20.436666666666667,33.34,14.89
2021-11-13,19.587500000000002,28.76,10.67
2021-11-14,17.779166666666665,32.17,9.48
2021-11-15,34.977916666666665,50.33,17.58
2021-11-16,43.134166666666665,49.59,32.25
2021-11-17,39.98375,62.62,17.66
2021-11-18,32.505,40.82,24.34
2021-11-19,29.3275,40.0,18.96
2021-11-20,22.191666666666666,35.97,11.29
2021-11-21,13.169583333333334,24.32,9.01
2021-11-22,22.263333333333335,36.63,7.98
2021-11-23,46.956250000000004,62.88,27.11
2021-11-24,51.492916666666666,63.5,32.9
2021-11-25,34.84777777777778,57.81,15.71
2021-11-26,24.980555555555554,46.88,9.92
2021-11-27,11.13125,14.58,4.63
2021-11-28,16.728,44.13,6.16
2021-11-29,40.061875,57.26,18.89
2021-11-30,24.63823529411765,42.17,6.26
2021-12-01,25.544117647058822,61.21,4.54
2021-12-02,28.325882352941175,51.54,10.95
2021-12-03,30.876666666666665,54.47,7.24
2021-12-04,22.95133333333333,33.17,10.56
2021-12-05,9.966111111111111,16.61,3.47
2021-12-06,30.26611111111111,47.76,15.55
2021-12-07,27.495625,53.83,7.6
2021-12-08,14.58111111111111,27.85,3.37
2021-12-09,25.37764705882353,48.84,5.96
2021-12-10,20.561666666666667,33.97,4.54
2021-12-11,24.85625,38.97,14.26
2021-12-12,15.596111111111112,28.13,5.58
2021-12-13,18.372666666666667,29.57,4.4
2021-12-14,27.311111111111114,43.44,9.54
2021-12-15,30.393333333333334,41.83,8.06
2021-12-16,32.819375,49.94,20.03
2021-12-17,19.276111111111113,28.66,12.59
2021-12-18,16.360555555555557,21.41,10.58
2021-12-19,19.023333333333333,26.97,11.44
2021-12-20,21.12470588235294,33.48,7.66
2021-12-21,37.099411764705884,61.27,12.85
2021-12-22,42.76529411764706,58.63,30.87
2021-12-23,27.604444444444443,36.33,18.04
2021-12-24,25.503333333333334,38.76,9.4
2021-12-25,17.45111111111111,24.73,8.82
2021-12-26,26.521764705882354,38.68,19.4
2021-12-27,22.12235294117647,37.54,12.33
2021-12-28,14.675882352941176,21.81,4.77
2021-12-29,17.46588235294118,28.06,6.81
2021-12-30,7.456111111111111,13.98,3.15
2021-12-31,10.5075,21.75,2.99
2022-01-01,9.748125,16.2,4.73
2022-01-02,9.88875,13.54,3.62
2022-01-03,13.115,22.67,3.23
2022-01-04,19.019375,41.04,8.73
2022-01-05,30.601333333333333,55.45,8.73
2022-01-06,34.66588235294118,47.89,10.96
2022-01-07,20.206666666666667,33.91,5.79
2022-01-08,19.12,29.14,9.77
2022-01-09,27.849375000000002,53.46,8.21
2022-01-10,48.630625,67.27,17.44
2022-01-11,25.83375,43.99,10.26
2022-01-12,59.836875,83.87,23.72
2022-01-13,58.56888888888889,73.81,38.06
2022-01-14,63.048235294117646,84.29,47.91
2022-01-15,38.3025,48.2,30.29
2022-01-16,31.815625,47.74,22.87
2022-01-17,52.315294117647056,77.6,19.86
2022-01-18,54.90588235294118,74.37,32.87
2022-01-19,32.523125,50.03,22.34
2022-01-20,30.686666666666667,40.1,17.69
2022-01-21,61.765882352941176,81.2,27.12
2022-01-22,28.570555555555554,42.29,18.15
2022-01-23,22.008333333333333,40.44,12.58
2022-01-24,24.50875,40.63,8.96
2022-01-25,27.168333333333337,49.24,17.1
