Date,NO2_mean,NO2_max,NO2_min
2021-05-28,38.15714285714286,50.66,26.27
2021-05-29,31.381249999999998,55.05,16.08
2021-05-30,19.004583333333333,33.23,10.43
2021-05-31,28.1525,40.86,15.97
2021-06-01,45.21,67.36,18.74
2021-06-02,61.77375,104.8,29.75
2021-06-03,21.750833333333333,59.09,14.84
2021-06-04,21.530416666666667,29.83,12.01
2021-06-05,20.57,31.44,14.46
2021-06-06,22.01375,32.96,10.65
2021-06-07,16.715833333333332,26.21,10.15
2021-06-08,16.357916666666664,22.67,9.59
2021-06-09,26.77625,29.98,16.32
2021-06-10,13.625416666666666,26.19,10.4
2021-06-11,18.849999999999998,27.19,13.42
2021-06-12,26.832083333333333,66.65,14.44
2021-06-13,24.424583333333334,68.78,10.77
2021-06-14,24.190833333333334,31.19,17.45
2021-06-15,31.177916666666665,49.51,15.76
2021-06-16,26.6375,52.25,12.43
2021-06-17,22.591250000000002,33.62,12.08
2021-06-18,23.700833333333335,40.91,11.28
2021-06-19,12.644166666666665,19.84,6.95
2021-06-20,12.937083333333334,18.55,9.16
2021-06-21,19.632083333333334,38.53,5.66
2021-06-22,11.902916666666668,20.18,3.96
2021-06-23,24.6825,38.31,15.92
2021-06-24,33.36666666666667,51.66,14.86
2021-06-25,26.265,36.47,17.19
2021-06-26,25.343333333333334,36.27,13.89
2021-06-27,15.819166666666668,34.34,8.14
2021-06-28,42.13791666666666,55.47,14.42
2021-06-29,13.749583333333334,46.1,5.37
2021-06-30,12.58,24.17,7.51
2021-07-01,28.045416666666668,43.35,15.84
2021-07-02,27.42375,44.25,12.85
2021-07-03,18.54041666666667,26.98,8.43
2021-07-04,8.603333333333333,23.96,5.77
2021-07-05,25.805833333333336,37.32,8.92
2021-07-06,13.524583333333334,26.05,4.15
2021-07-07,11.970416666666667,18.75,7.3
2021-07-08,17.646666666666665,27.17,9.59
2021-07-09,24.047083333333333,29.38,16.29
2021-07-10,27.539583333333336,59.7,13.64
2021-07-11,18.7075,45.97,8.56
2021-07-12,45.41791666666666,68.21,18.8
2021-07-13,19.77125,63.8,10.31
2021-07-14,18.322083333333335,22.26,13.17
2021-07-15,16.110416666666666,22.65,9.6
2021-07-16,19.731666666666666,32.35,10.16
2021-07-17,22.875416666666666,42.22,9.25
2021-07-18,31.879583333333333,51.82,13.27
2021-07-19,50.44291666666667,66.88,23.15
2021-07-20,46.787083333333335,59.75,22.51
2021-07-21,40.77708333333333,57.61,18.94
2021-07-22,30.179166666666664,46.37,17.89
2021-07-23,16.26125,37.34,8.69
2021-07-24,22.9075,32.7,12.46
2021-07-25,25.9425,43.05,11.21
2021-07-26,21.0975,31.05,11.18
2021-07-27,26.10625,36.64,10.63
2021-07-28,31.880416666666665,43.72,21.89
2021-07-29,13.74125,35.4,8.42
2021-07-30,24.325833333333335,32.17,13.81
2021-07-31,24.602083333333336,39.11,14.25
2021-08-01,15.885,35.28,11.0
2021-08-02,23.214583333333334,32.2,15.91
2021-08-03,29.241249999999997,43.04,16.34
2021-08-04,38.379583333333336,73.79,14.77
2021-08-05,23.07625,45.56,8.46
2021-08-06,16.360833333333332,23.38,10.04
2021-08-07,26.538749999999997,34.87,12.16
2021-08-08,15.44,23.72,8.76
2021-08-09,22.338333333333335,30.35,12.36
2021-08-10,22.456666666666667,31.45,12.69
2021-08-11,21.39,34.32,8.68
2021-08-12,18.422083333333333,24.43,10.61
2021-08-13,25.842916666666667,33.83,17.56
2021-08-14,20.94125,30.96,12.57
2021-08-15,12.605416666666668,27.6,6.23
2021-08-16,19.885416666666668,36.3,8.46
2021-08-17,29.717083333333335,44.18,17.01
2021-08-18,17.61583333333333,25.89,12.48
2021-08-19,15.757916666666667,21.59,9.42
2021-08-20,25.77416666666667,38.16,14.59
2021-08-21,38.836666666666666,51.43,23.3
2021-08-22,27.359583333333333,44.0,13.55
2021-08-23,13.18125,31.04,4.11
2021-08-24,19.996666666666666,31.8,8.91
2021-08-25,56.09125,86.68,21.37
2021-08-26,10.69375,56.0,6.43
2021-08-27,14.2125,23.37,5.13
2021-08-28,19.148333333333333,39.07,8.86
2021-08-29,20.860833333333336,38.78,8.49
2021-08-30,12.4825,20.67,7.98
2021-08-31,12.194166666666668,18.46,6.84
2021-09-01,16.05,26.11,7.64
2021-09-02,32.087916666666665,49.79,7.74
2021-09-03,31.806250000000002,49.8,20.06
2021-09-04,22.688333333333333,30.71,14.04
2021-09-05,31.73,61.49,15.19
2021-09-06,57.57041666666667,106.25,33.51
2021-09-07,61.91,102.88,24.94
2021-09-08,65.29208333333334,111.74,32.89
2021-09-09,26.652083333333334,77.23,15.85
2021-09-10,33.306666666666665,47.12,23.21
2021-09-11,16.089583333333334,27.94,8.71
2021-09-12,29.067083333333333,46.05,13.1
2021-09-13,27.50375,55.44,15.2
2021-09-14,52.07416666666666,83.72,17.2
2021-09-15,46.26458333333333,105.63,12.71
2021-09-16,33.72666666666667,95.48,16.68
