Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-05-28,12.359285714285715,13.84,10.81
2021-05-29,14.121250000000002,20.45,9.32
2021-05-30,14.051250000000001,17.7,9.16
2021-05-31,15.742083333333333,20.78,9.8
2021-06-01,14.470833333333333,21.62,8.92
2021-06-02,14.828333333333333,21.54,9.79
2021-06-03,15.33625,22.62,7.33
2021-06-04,8.514166666666666,10.79,5.95
2021-06-05,8.84875,13.4,6.14
2021-06-06,7.025833333333334,10.31,4.33
2021-06-07,6.597083333333334,10.69,4.18
2021-06-08,7.288333333333333,9.76,5.4
2021-06-09,7.039583333333333,10.99,4.24
2021-06-10,6.065,9.53,4.64
2021-06-11,5.634583333333333,8.64,4.36
2021-06-12,8.470833333333333,13.54,4.79
2021-06-13,11.258333333333333,16.99,6.18
2021-06-14,8.487916666666667,10.07,6.64
2021-06-15,8.617916666666668,12.96,5.91
2021-06-16,9.843333333333334,12.86,7.66
2021-06-17,12.561666666666667,19.87,7.74
2021-06-18,3.966666666666667,8.82,0.69
2021-06-19,4.853750000000001,10.63,0.06
2021-06-20,7.1937500000000005,11.3,4.19
2021-06-21,6.267083333333333,8.6,4.16
2021-06-22,6.5008333333333335,10.19,4.59
2021-06-23,8.3175,13.09,4.95
2021-06-24,12.155416666666667,19.62,5.24
2021-06-25,5.425416666666667,12.04,3.66
2021-06-26,8.456249999999999,14.45,3.83
2021-06-27,17.076249999999998,29.29,2.95
2021-06-28,9.211666666666668,17.44,1.23
2021-06-29,10.349166666666667,17.81,7.14
2021-06-30,6.014166666666667,9.82,3.01
2021-07-01,26.212083333333336,31.06,9.59
2021-07-02,15.136249999999999,27.51,7.67
2021-07-03,7.37125,15.6,3.22
2021-07-04,3.737083333333333,5.77,2.0
2021-07-05,5.149166666666667,7.39,2.55
2021-07-06,5.483750000000001,11.26,1.8
2021-07-07,7.7195833333333335,10.55,3.72
2021-07-08,7.110833333333333,10.58,5.22
2021-07-09,8.325000000000001,10.62,4.52
2021-07-10,5.71375,10.13,2.52
2021-07-11,5.872916666666666,9.62,3.27
2021-07-12,5.054166666666666,6.69,3.29
2021-07-13,10.364166666666668,17.61,4.29
2021-07-14,6.68375,8.75,4.99
2021-07-15,6.075,7.69,4.83
2021-07-16,7.260000000000001,10.56,4.62
2021-07-17,5.727916666666666,8.29,4.4
2021-07-18,8.270833333333334,10.79,6.63
2021-07-19,11.276666666666666,15.28,8.78
2021-07-20,13.665416666666667,16.82,11.13
2021-07-21,19.07375,27.18,12.46
2021-07-22,20.666666666666668,40.03,9.55
2021-07-23,9.122916666666667,11.37,6.96
2021-07-24,16.871666666666666,25.28,4.51
2021-07-25,16.74833333333333,28.04,7.14
2021-07-26,14.865,20.4,9.73
2021-07-27,6.170833333333333,10.21,3.41
2021-07-28,5.169583333333333,9.27,2.93
2021-07-29,5.815,10.79,2.83
2021-07-30,5.417083333333333,9.19,3.54
2021-07-31,3.95125,6.94,2.59
2021-08-01,4.6825,7.27,2.21
2021-08-02,4.682083333333334,5.65,3.41
2021-08-03,6.413333333333333,9.48,4.38
2021-08-04,7.7491666666666665,12.08,5.52
2021-08-05,5.477916666666666,8.23,2.76
2021-08-06,5.1775,6.8,3.67
2021-08-07,4.199166666666667,8.07,2.97
2021-08-08,7.10625,11.73,4.23
2021-08-09,4.970833333333333,7.78,2.8
2021-08-10,6.301666666666667,7.42,4.62
2021-08-11,5.51875,7.12,4.16
2021-08-12,5.614166666666667,8.05,3.25
2021-08-13,8.987083333333333,14.87,4.12
2021-08-14,8.818333333333333,13.25,6.61
2021-08-15,5.807916666666667,9.63,4.01
2021-08-16,10.719166666666666,19.9,3.02
2021-08-17,4.582083333333333,6.88,2.86
2021-08-18,4.095416666666667,4.74,3.25
2021-08-19,5.564166666666666,8.38,2.64
2021-08-20,4.404166666666667,7.38,2.9
2021-08-21,6.048333333333333,9.09,3.02
2021-08-22,5.522916666666667,10.48,1.76
2021-08-23,5.4325,9.95,4.07
2021-08-24,5.089583333333334,6.75,3.95
2021-08-25,3.3045833333333334,4.95,2.36
2021-08-26,5.497916666666666,8.11,4.62
2021-08-27,7.169583333333333,13.96,4.9
2021-08-28,6.825,9.64,4.78
2021-08-29,5.514583333333333,7.95,4.1
2021-08-30,4.898333333333333,6.83,3.23
2021-08-31,5.586666666666667,6.47,4.23
2021-09-01,8.133333333333333,14.4,4.59
2021-09-02,9.637500000000001,13.93,6.79
2021-09-03,14.407083333333333,20.25,8.1
2021-09-04,14.747083333333334,21.72,7.52
2021-09-05,19.024583333333332,33.29,6.5
2021-09-06,23.65416666666667,32.38,14.53
2021-09-07,25.99208333333333,40.25,10.25
2021-09-08,31.296666666666667,45.46,15.91
2021-09-09,10.72375,32.75,2.28
2021-09-10,6.126666666666666,11.67,3.11
2021-09-11,6.24125,8.04,4.83
2021-09-12,6.857916666666667,12.05,4.5
2021-09-13,4.769583333333333,5.77,3.89
2021-09-14,14.0475,21.07,5.3
2021-09-15,11.055,18.06,4.65
2021-09-16,11.985416666666666,18.48,5.98
