Date,NO2_mean,NO2_max,NO2_min
2024-02-15,13.77625,27.66,4.06
2024-02-16,19.47625,24.4,13.31
2024-02-17,12.331249999999999,16.7,8.67
2024-02-18,13.946666666666667,18.89,6.46
2024-02-19,15.548333333333334,23.04,9.0
2024-02-20,19.945416666666667,28.36,10.3
2024-02-21,11.46625,19.26,5.0
2024-02-22,18.71291666666667,31.5,10.85
2024-02-23,18.76875,42.19,6.35
2024-02-24,33.699999999999996,60.11,12.22
2024-02-25,29.07041666666667,50.78,10.36
2024-02-26,10.082916666666668,18.74,5.18
2024-02-27,24.59375,49.47,12.27
2024-02-28,19.775000000000002,37.69,8.26
2024-02-29,17.93916666666667,32.68,4.93
2024-03-01,15.401666666666666,22.33,8.84
2024-03-02,17.420833333333334,34.84,7.18
2024-03-03,33.46083333333333,52.62,13.76
2024-03-04,23.52208333333333,43.57,6.87
2024-03-05,23.89916666666667,42.44,6.47
2024-03-06,52.48333333333333,71.84,23.2
2024-03-07,25.14916666666667,36.53,15.52
2024-03-08,24.9325,32.74,14.71
2024-03-09,27.22875,39.03,15.94
2024-03-10,19.1475,28.35,8.79
2024-03-11,16.125,21.8,12.74
2024-03-12,39.58176470588235,52.36,21.73
2024-03-13,10.358749999999999,16.73,4.96
2024-03-14,15.561666666666667,23.73,7.02
2024-03-15,8.94,15.03,4.55
2024-03-16,18.56083333333333,26.7,8.15
2024-03-17,12.825833333333334,18.02,9.88
2024-03-18,10.045416666666666,16.12,5.44
2024-03-19,11.602083333333333,18.1,5.95
2024-03-20,18.2925,34.88,7.57
2024-03-21,20.583333333333332,32.15,9.1
2024-03-22,12.845416666666667,19.34,7.93
2024-03-23,10.268749999999999,16.3,5.61
2024-03-24,17.146666666666665,60.25,3.83
2024-03-25,17.613333333333333,27.46,9.78
2024-03-26,35.99458333333333,49.27,8.13
2024-03-27,12.833333333333334,24.68,5.85
2024-03-28,10.747083333333334,19.4,4.17
2024-03-29,8.609166666666667,20.67,4.1
2024-03-30,22.975416666666664,43.18,5.4
2024-03-31,19.86695652173913,31.89,11.36
2024-04-01,10.505833333333333,23.63,4.83
2024-04-02,12.719166666666666,20.81,4.84
2024-04-03,6.607499999999999,9.56,4.05
2024-04-04,12.970833333333333,18.26,4.66
