Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-01-28,5.4399999999999995,7.47,3.41
2021-01-29,5.825,12.4,1.85
2021-01-30,11.46,24.67,1.78
2021-01-31,21.361666666666665,42.54,3.61
2021-02-01,37.987500000000004,51.47,22.07
2021-02-02,13.410833333333334,39.94,3.89
2021-02-03,5.607500000000001,13.51,3.03
2021-02-04,11.415833333333333,22.31,4.01
2021-02-05,8.637916666666667,22.57,2.02
2021-02-06,22.61375,45.67,6.69
2021-02-07,12.050416666666665,41.98,4.73
2021-02-08,12.212916666666667,21.55,6.67
2021-02-09,8.535833333333334,12.32,5.59
2021-02-10,8.64875,15.77,4.11
2021-02-11,29.199166666666667,43.92,11.74
2021-02-12,24.963333333333335,46.59,8.22
2021-02-13,19.229166666666668,31.56,11.81
2021-02-14,19.409583333333334,34.07,11.68
2021-02-15,16.137916666666666,35.69,3.56
2021-02-16,8.000416666666666,12.24,4.57
2021-02-17,4.78875,6.36,2.33
2021-02-18,4.779583333333333,8.33,2.53
2021-02-19,6.077916666666667,10.34,4.91
2021-02-20,10.284166666666666,11.91,7.99
2021-02-21,12.174999999999999,17.14,9.86
2021-02-22,15.768749999999999,18.47,13.53
2021-02-23,8.852916666666667,12.56,7.25
2021-02-24,7.03,13.01,4.5
2021-02-25,6.836666666666667,10.61,4.22
2021-02-26,8.38764705882353,11.62,6.29
2021-02-28,7.069,15.14,3.52
2021-03-01,7.455,12.04,0.0
2021-03-02,27.74,34.12,25.11
2021-03-03,59.418749999999996,73.26,42.51
2021-03-04,8.684583333333334,19.19,1.46
2021-03-05,4.162916666666667,6.44,3.12
2021-03-06,6.286666666666666,9.4,4.08
2021-03-07,8.456666666666667,16.33,0.47
2021-03-08,19.199583333333333,24.21,10.83
2021-03-09,11.867916666666666,15.73,6.24
2021-03-10,7.820416666666667,15.68,1.44
2021-03-11,6.163333333333334,8.97,4.73
2021-03-12,2.57125,4.64,1.44
2021-03-13,6.064166666666666,7.75,5.05
2021-03-14,4.512083333333334,8.47,3.24
2021-03-15,6.945416666666667,8.98,5.11
2021-03-16,5.595833333333334,10.14,2.85
2021-03-17,8.625,14.71,5.25
2021-03-18,8.893749999999999,12.59,6.26
2021-03-19,4.5325,9.78,2.45
2021-03-20,7.608333333333333,13.28,3.15
2021-03-21,6.889166666666667,11.7,4.42
2021-03-22,12.284999999999998,16.41,10.5
2021-03-23,11.8525,16.31,6.87
2021-03-24,13.386249999999999,21.05,6.69
2021-03-25,5.790416666666666,9.05,4.83
2021-03-26,4.73625,6.3,3.21
2021-03-27,5.351666666666667,7.7,3.17
2021-03-28,5.147826086956522,7.88,2.05
2021-03-29,8.899166666666668,9.98,7.68
2021-03-30,12.395833333333334,19.19,6.99
2021-03-31,21.99416666666667,31.74,12.58
2021-04-01,15.12625,27.81,6.24
2021-04-02,4.83875,8.69,3.17
2021-04-03,5.638333333333333,9.84,3.98
2021-04-04,8.275416666666667,13.01,4.41
2021-04-05,6.265833333333333,14.64,4.15
2021-04-06,3.79625,6.86,2.83
2021-04-07,6.5975,8.01,5.64
2021-04-08,5.4937499999999995,7.65,4.23
2021-04-09,6.5675,7.9,5.27
2021-04-10,6.350833333333333,8.93,5.25
2021-04-11,4.59375,7.06,3.48
2021-04-12,7.069583333333333,9.86,4.38
2021-04-13,10.402916666666668,13.43,6.17
2021-04-14,9.69375,15.71,5.0
2021-04-15,5.821666666666666,8.37,4.28
2021-04-16,7.260833333333333,9.66,5.54
2021-04-17,6.279166666666666,10.54,4.59
2021-04-18,6.7995833333333335,10.87,4.72
2021-04-19,13.75875,20.47,9.72
2021-04-20,19.859583333333333,46.8,13.34
2021-04-21,24.612083333333334,52.75,5.72
2021-04-22,7.515416666666667,9.51,5.78
2021-04-23,7.955416666666667,10.36,6.95
2021-04-24,7.964583333333334,12.95,6.6
2021-04-25,6.076250000000001,7.44,5.22
2021-04-26,3.564583333333333,5.5,3.22
2021-04-27,10.265416666666667,17.85,4.11
2021-04-28,13.327916666666667,19.19,7.98
2021-04-29,5.194166666666667,8.28,3.98
2021-04-30,8.323333333333332,11.87,6.12
2021-05-01,9.394166666666667,12.71,6.88
2021-05-02,10.775416666666667,13.97,6.43
2021-05-03,5.788333333333334,11.3,3.66
2021-05-04,2.5524999999999998,7.52,0.95
2021-05-05,4.513333333333333,8.87,1.65
2021-05-06,5.08375,9.53,3.72
2021-05-07,2.9225,4.57,1.84
2021-05-08,7.985833333333333,18.7,3.56
2021-05-09,4.65375,7.32,3.12
2021-05-10,3.594583333333333,8.44,1.53
2021-05-11,6.03625,8.8,3.35
2021-05-12,6.545416666666667,8.35,5.27
2021-05-13,9.13625,16.16,5.97
2021-05-14,8.459166666666667,12.04,4.99
2021-05-15,8.178749999999999,11.55,5.72
2021-05-16,5.179166666666666,7.25,3.68
2021-05-17,8.525833333333333,11.49,6.31
2021-05-18,6.4075,8.29,4.99
2021-05-19,6.410416666666666,10.19,5.27
2021-05-20,7.787916666666667,11.23,5.89
2021-05-21,5.565833333333333,9.19,2.96
2021-05-22,4.62625,6.78,2.49
2021-05-23,5.207083333333333,6.08,4.71
2021-05-24,3.4275,5.61,1.93
2021-05-25,4.7124999999999995,6.93,3.01
2021-05-26,6.797083333333333,8.35,5.46
2021-05-27,10.407916666666667,16.4,7.07
2021-05-28,12.753750000000002,16.47,10.31
2021-05-29,11.442083333333334,17.03,7.54
2021-05-30,11.275,13.54,8.38
2021-05-31,15.39875,17.98,12.69
2021-06-01,13.351666666666667,17.1,10.28
2021-06-02,13.533333333333333,18.27,9.55
2021-06-03,12.1325,18.9,7.55
2021-06-04,10.15375,12.01,7.51
2021-06-05,11.139583333333334,14.03,9.55
2021-06-06,7.668333333333333,11.02,4.44
2021-06-07,12.99,24.46,5.98
2021-06-08,9.11875,15.63,6.96
2021-06-09,7.867916666666666,10.44,5.89
