Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-03-24,5.878125,10.61,4.06
2024-03-25,7.3495833333333325,10.11,5.19
2024-03-26,9.389583333333333,14.54,5.2
2024-03-27,2.9933333333333336,4.29,2.14
2024-03-28,5.505,11.71,0.99
2024-03-29,4.71,8.62,2.43
2024-03-30,5.056666666666667,8.5,3.83
2024-03-31,16.33695652173913,25.72,6.74
2024-04-01,7.852083333333333,28.62,4.09
2024-04-02,4.602916666666666,12.01,1.0
2024-04-03,4.662083333333333,14.08,2.07
2024-04-04,7.421666666666667,19.71,2.27
2024-04-05,9.297916666666667,13.46,6.48
2024-04-06,6.7629166666666665,9.48,4.33
2024-04-07,8.038333333333332,9.85,4.71
2024-04-08,3.3379166666666666,7.91,1.72
2024-04-09,2.8341666666666665,5.12,0.86
2024-04-10,7.6504166666666675,18.46,3.32
2024-04-11,4.5200000000000005,15.47,2.92
2024-04-12,5.348333333333334,7.16,3.82
2024-04-13,5.728333333333333,11.83,3.97
2024-04-14,3.9637499999999997,5.92,2.95
2024-04-15,2.505,3.13,1.89
2024-04-16,3.1366666666666667,4.14,2.4
2024-04-17,2.6454166666666667,4.32,2.04
2024-04-18,2.8943478260869564,3.5,2.13
2024-04-19,3.99875,6.44,2.08
2024-04-20,5.029583333333334,7.01,2.14
2024-04-21,4.715416666666667,6.33,3.71
2024-04-22,5.5929166666666665,7.87,4.67
2024-04-23,6.449166666666667,11.93,4.65
2024-04-24,4.51375,5.6,3.59
2024-04-25,8.614166666666668,10.64,6.14
2024-04-26,7.956666666666667,11.65,5.7
2024-04-27,6.988333333333333,12.49,3.03
2024-04-28,4.264166666666667,7.81,1.44
2024-04-29,5.8566666666666665,8.81,4.17
2024-04-30,6.2820833333333335,12.37,4.63
2024-05-01,16.205833333333334,23.25,8.55
2024-05-02,23.865416666666665,30.25,10.38
2024-05-03,7.635000000000001,13.11,3.64
2024-05-04,6.164583333333333,12.44,3.18
2024-05-05,7.649583333333333,21.13,2.78
2024-05-06,12.995,24.66,6.0
2024-05-07,10.84375,21.25,3.78
2024-05-08,12.97625,21.03,6.65
2024-05-09,13.02625,18.27,7.51
2024-05-10,11.73625,16.51,6.72
2024-05-11,18.06625,27.0,9.96
2024-05-12,16.849999999999998,24.73,10.91
2024-05-13,9.087916666666667,22.45,2.1
2024-05-14,6.278333333333333,15.19,3.33
2024-05-15,5.28125,8.91,2.93
2024-05-16,13.024583333333332,18.66,4.19
2024-05-17,5.53,11.04,3.52
2024-05-18,12.954166666666666,16.48,7.77
2024-05-19,13.387500000000001,16.48,8.23
2024-05-20,11.82875,15.33,8.65
2024-05-21,9.970833333333333,13.17,6.26
2024-05-22,10.789583333333333,15.57,5.28
2024-05-23,5.452500000000001,10.46,3.66
2024-05-24,6.3429166666666665,11.19,3.04
2024-05-25,8.373333333333333,11.34,6.33
2024-05-26,4.913333333333333,6.96,4.16
2024-05-27,3.580833333333333,5.85,2.29
2024-05-28,6.239583333333333,13.54,1.61
2024-05-29,3.9891666666666663,6.37,1.69
2024-05-30,3.2433333333333336,5.26,2.0
2024-05-31,5.3237499999999995,9.48,2.99
2024-06-01,6.595,13.96,3.68
2024-06-02,8.90375,13.01,4.63
2024-06-03,5.32625,7.61,3.92
2024-06-04,5.87875,8.52,3.08
2024-06-05,8.349166666666667,11.04,4.56
2024-06-06,10.195416666666667,14.33,7.14
2024-06-07,7.785416666666666,9.84,5.88
2024-06-08,3.7304166666666667,4.8,2.46
2024-06-09,4.745416666666666,6.47,3.52
2024-06-10,3.9949999999999997,7.88,1.6
2024-06-11,4.0841666666666665,6.04,2.84
2024-06-12,6.885833333333333,8.66,4.73
2024-06-13,6.15875,9.01,4.74
2024-06-14,2.9770833333333333,5.07,1.64
2024-06-15,5.28875,13.8,2.47
2024-06-16,6.161666666666666,9.99,3.91
2024-06-17,3.904166666666667,5.42,2.84
2024-06-18,5.83125,8.15,4.13
2024-06-19,5.0925,8.47,3.84
2024-06-20,4.9075,6.16,4.04
2024-06-21,6.8187500000000005,8.75,5.37
2024-06-22,4.3116666666666665,6.96,2.9
2024-06-23,4.343333333333333,6.1,2.29
2024-06-24,5.695,7.03,4.37
2024-06-25,8.0175,10.06,4.19
2024-06-26,13.274583333333332,17.54,9.1
2024-06-27,9.048333333333334,15.95,4.31
2024-06-28,5.793333333333333,9.51,4.12
2024-06-29,5.845,7.08,5.27
2024-06-30,4.8533333333333335,7.43,3.39
2024-07-01,4.850833333333333,6.62,3.35
2024-07-02,5.79,8.57,3.65
2024-07-03,5.625416666666666,7.91,4.64
2024-07-04,4.34,5.95,3.76
2024-07-05,4.355416666666667,8.46,1.81
2024-07-06,3.0308333333333333,8.5,1.36
2024-07-07,4.492500000000001,6.54,3.04
2024-07-08,3.560833333333333,5.33,3.06
2024-07-09,5.128333333333333,10.33,3.12
2024-07-10,2.6045833333333333,3.78,1.63
2024-07-11,3.6770833333333335,4.5,2.53
2024-07-12,5.064583333333333,6.18,4.03
2024-07-13,5.057916666666666,6.82,3.34
2024-07-14,5.127916666666667,7.06,3.81
2024-07-15,6.4875,8.22,4.74
2024-07-16,4.39125,6.67,2.82
2024-07-17,5.8933333333333335,7.49,4.74
2024-07-18,6.817916666666666,9.08,4.85
2024-07-19,9.730833333333333,18.75,6.28
2024-07-20,5.46625,10.72,2.86
2024-07-21,2.7691666666666666,4.85,1.87
2024-07-22,4.401666666666666,6.25,2.36
2024-07-23,4.835833333333333,7.86,3.2
2024-07-24,6.46625,9.81,3.79
2024-07-25,4.894375,6.68,3.89
