Date,NO2_mean,NO2_max,NO2_min
2021-01-28,9.274999999999999,9.36,9.19
2021-01-29,18.875416666666666,28.84,7.92
2021-01-30,18.62875,23.76,13.67
2021-01-31,20.9525,30.38,12.26
2021-02-01,26.882499999999997,35.71,17.81
2021-02-02,21.007083333333334,41.9,9.84
2021-02-03,26.461250000000003,52.81,9.82
2021-02-04,33.621249999999996,44.42,20.85
2021-02-05,30.975416666666664,40.64,21.58
2021-02-06,20.790416666666665,34.19,12.81
2021-02-07,13.087916666666667,24.12,7.65
2021-02-08,20.149166666666666,32.17,8.53
2021-02-09,19.81625,28.72,11.87
2021-02-10,25.603333333333335,41.67,10.15
2021-02-11,31.065416666666668,48.53,23.02
2021-02-12,28.845,39.61,20.95
2021-02-13,20.19,26.79,15.29
2021-02-14,18.015,27.66,11.53
2021-02-15,25.47375,35.28,15.59
2021-02-16,20.811666666666667,33.52,12.32
2021-02-17,23.0625,32.15,10.29
2021-02-18,21.682083333333335,31.05,9.45
2021-02-19,23.514166666666668,35.31,11.76
2021-02-20,20.965,33.51,9.59
2021-02-21,24.622500000000002,49.07,9.83
2021-02-22,55.31583333333333,71.69,33.47
2021-02-23,18.656666666666666,35.35,10.45
2021-02-24,20.350833333333334,30.44,9.7
2021-02-25,38.306666666666665,77.7,10.36
2021-02-26,43.864117647058826,65.59,29.04
2021-02-28,22.919999999999998,27.26,18.66
2021-03-01,23.837222222222223,38.95,13.42
2021-03-02,37.46458333333333,52.81,21.41
2021-03-03,45.29833333333334,50.0,41.01
2021-03-04,35.503750000000004,54.38,19.63
2021-03-05,23.550416666666667,39.34,10.31
2021-03-06,26.2175,37.97,16.45
2021-03-07,31.743333333333336,66.75,12.23
2021-03-08,51.23708333333334,71.59,39.52
2021-03-09,44.61875,64.29,15.73
2021-03-10,17.943749999999998,24.92,7.62
2021-03-11,13.559166666666668,19.24,5.77
2021-03-12,18.700416666666666,29.68,7.57
2021-03-13,17.5825,29.16,4.87
2021-03-14,16.945833333333333,28.23,8.65
2021-03-15,36.17375,58.3,18.32
2021-03-16,38.69541666666667,55.88,20.63
2021-03-17,38.99916666666667,59.34,16.82
2021-03-18,39.17625,57.17,11.52
2021-03-19,18.6225,50.08,5.96
2021-03-20,35.76416666666667,73.91,14.05
2021-03-21,30.918333333333333,64.49,9.47
2021-03-22,28.5625,39.36,23.01
2021-03-23,27.498333333333335,49.39,14.87
2021-03-24,34.62166666666666,52.63,14.86
2021-03-25,30.427916666666665,45.61,11.12
2021-03-26,19.24416666666667,29.33,7.75
2021-03-27,14.251666666666667,20.18,6.3
2021-03-28,9.349130434782609,17.2,5.73
2021-03-29,22.54041666666667,44.47,6.21
2021-03-30,54.05583333333333,80.07,20.87
2021-03-31,66.13166666666667,88.2,32.64
2021-04-01,30.287916666666664,85.04,8.66
2021-04-02,8.001666666666667,11.33,4.31
2021-04-03,11.315,17.33,5.6
2021-04-04,21.99291666666667,36.38,8.58
2021-04-05,16.467916666666667,27.59,9.64
2021-04-06,20.3275,32.52,11.62
2021-04-07,35.129583333333336,56.4,18.44
