Date,PM2.5_mean,PM2.5_max,PM2.5_min
2023-11-12,4.665,5.33,3.59
2023-12-05,6.479166666666667,7.64,5.48
2023-12-06,9.172916666666667,15.57,4.65
2023-12-07,7.76125,10.0,6.29
2023-12-08,10.61125,14.02,8.2
2023-12-09,8.137916666666667,16.28,2.38
2023-12-10,9.794166666666667,15.54,3.94
2023-12-11,8.028333333333334,17.42,5.71
2023-12-12,7.207916666666667,12.23,3.25
2023-12-13,5.494583333333334,10.74,2.86
2023-12-14,9.125555555555556,15.38,5.31
2023-12-15,11.496250000000002,15.55,10.19
2023-12-16,5.332916666666667,11.21,2.49
2023-12-17,7.766249999999999,13.43,5.72
2023-12-18,7.802083333333333,13.93,4.55
2023-12-19,4.6883333333333335,9.36,0.92
2023-12-20,5.814166666666666,11.55,3.7
2023-12-21,5.187916666666667,13.77,1.62
2023-12-22,4.38,14.65,1.33
2023-12-23,2.733333333333333,4.37,1.54
2023-12-24,1.18625,2.66,0.4
2023-12-25,1.19875,2.58,0.67
2023-12-26,6.5,12.68,4.63
2023-12-27,8.177083333333334,11.61,5.13
2023-12-28,11.547083333333333,16.22,7.09
2023-12-29,5.785416666666666,9.21,1.6
2023-12-30,6.239999999999999,13.75,1.27
2023-12-31,4.5720833333333335,7.11,1.89
2024-01-01,5.90125,10.15,3.12
2024-01-02,4.872916666666667,13.13,1.6
2024-01-03,7.380416666666666,20.43,2.18
2024-01-04,7.761666666666667,15.55,2.9
2024-01-05,6.797916666666667,11.61,1.19
2024-01-06,5.855416666666667,9.39,3.75
2024-01-07,4.302083333333333,7.84,2.64
2024-01-08,5.622916666666666,8.91,3.73
2024-01-09,7.326666666666667,8.43,6.01
2024-01-10,5.667083333333333,8.73,4.6
2024-01-11,7.716666666666666,10.39,5.91
2024-01-12,7.7575,15.49,5.31
2024-01-13,15.54,21.34,7.9
2024-01-14,11.390833333333333,18.79,3.61
2024-01-15,5.34375,11.11,2.23
2024-01-16,10.145833333333334,12.33,6.58
2024-01-17,9.9575,16.57,4.52
2024-01-18,10.242916666666666,16.15,6.36
2024-01-19,11.752083333333333,15.83,6.61
2024-01-20,6.886666666666667,12.06,5.22
2024-01-21,4.665416666666666,15.2,0.0
2024-01-22,8.021666666666667,10.98,2.41
2024-01-23,5.820416666666667,12.88,1.56
