Date,NO2_mean,NO2_max,NO2_min
2021-07-18,8.92,8.92,8.92
2021-07-19,44.80833333333334,67.67,10.88
2021-07-20,48.367916666666666,63.93,19.26
2021-07-21,29.60375,67.86,20.02
2021-07-22,26.452916666666667,37.26,14.01
2021-07-23,15.686250000000001,35.21,8.95
2021-07-24,54.40208333333334,105.22,17.06
2021-07-25,25.255,42.06,13.85
2021-07-26,23.2175,33.98,7.89
2021-07-27,21.74291666666667,39.35,8.09
2021-07-28,15.115416666666667,26.23,6.76
2021-07-29,15.175416666666665,25.93,5.14
2021-07-30,36.308749999999996,59.88,12.96
2021-07-31,18.862916666666667,41.88,9.93
2021-08-01,14.851666666666667,24.92,8.51
2021-08-02,27.070416666666663,37.3,14.94
2021-08-03,22.201666666666668,32.51,15.09
2021-08-04,24.87125,42.72,15.45
2021-08-05,19.945416666666667,42.1,8.94
2021-08-06,15.311666666666667,28.32,4.72
2021-08-07,18.100416666666668,34.3,7.35
2021-08-08,13.312916666666666,19.13,5.75
2021-08-09,18.5775,36.56,8.97
2021-08-10,17.620416666666667,29.84,6.77
2021-08-11,21.565833333333334,35.9,11.64
2021-08-12,17.252083333333335,29.25,7.38
2021-08-13,17.360416666666666,24.62,8.69
2021-08-14,12.834166666666667,22.24,6.78
2021-08-15,13.60125,21.02,7.66
2021-08-16,23.724999999999998,34.5,6.39
2021-08-17,24.435000000000002,37.58,15.06
2021-08-18,22.30875,32.47,11.57
2021-08-19,20.77375,29.82,7.68
2021-08-20,19.662916666666668,27.85,8.35
2021-08-21,38.943333333333335,65.5,17.47
2021-08-22,20.855833333333333,34.3,10.02
2021-08-23,18.978333333333335,27.05,4.86
2021-08-24,16.4425,24.73,6.02
2021-08-25,11.212083333333332,21.03,7.01
2021-08-26,14.900416666666667,21.75,5.8
2021-08-27,18.760833333333334,26.21,6.08
2021-08-28,16.90791666666667,32.55,9.18
2021-08-29,19.421666666666667,32.88,8.12
2021-08-30,16.605,24.84,5.88
2021-08-31,28.663750000000004,50.49,7.27
2021-09-01,16.74,24.91,6.29
2021-09-02,14.996250000000002,26.18,5.69
2021-09-03,24.130416666666665,37.08,10.86
2021-09-04,23.105,30.86,13.26
2021-09-05,23.800833333333333,45.12,14.59
2021-09-06,51.16458333333333,82.62,22.33
2021-09-07,48.6325,76.21,24.58
2021-09-08,42.62583333333333,55.11,32.27
2021-09-09,25.71666666666667,46.08,14.31
2021-09-10,28.526666666666667,39.46,18.63
2021-09-11,17.422916666666666,31.98,7.44
2021-09-12,29.382916666666663,42.4,20.09
2021-09-13,21.067083333333333,40.62,10.59
2021-09-14,41.96125,62.78,13.44
2021-09-15,33.61541666666667,57.14,12.18
2021-09-16,32.51083333333333,47.13,14.13
2021-09-17,31.378333333333334,53.88,12.2
2021-09-18,46.28875,68.18,16.41
2021-09-19,30.484166666666667,51.64,15.24
2021-09-20,26.554166666666664,35.19,11.83
2021-09-21,37.02625,62.34,21.75
2021-09-22,33.15208333333333,51.9,16.9
2021-09-23,25.442083333333333,39.01,13.22
2021-09-24,22.645416666666666,34.58,11.96
2021-09-25,28.95,47.18,16.63
2021-09-26,25.625,43.71,13.0
2021-09-27,17.231666666666666,30.62,4.62
2021-09-28,26.129583333333333,55.35,12.51
2021-09-29,21.99416666666667,38.83,8.13
2021-09-30,25.197916666666668,42.35,7.22
2021-10-01,20.257916666666667,39.9,5.67
2021-10-02,23.84875,33.45,8.77
2021-10-03,21.114166666666666,33.5,8.23
2021-10-04,21.627916666666668,43.38,11.2
2021-10-05,24.812083333333334,37.31,10.32
2021-10-06,26.712500000000002,53.13,7.74
2021-10-07,36.922916666666666,55.55,26.18
2021-10-08,32.244166666666665,55.57,13.64
2021-10-09,39.821666666666665,58.84,26.01
2021-10-10,31.308333333333334,53.12,16.19
2021-10-11,35.06541666666667,56.86,16.53
2021-10-12,39.95916666666667,51.63,15.68
2021-10-13,53.29,70.78,14.63
2021-10-14,33.216249999999995,53.54,17.95
2021-10-15,34.99041666666667,66.14,10.16
2021-10-16,46.434583333333336,62.7,29.84
2021-10-17,29.439166666666665,47.24,14.02
2021-10-18,32.259166666666665,51.2,13.33
2021-10-19,13.975833333333334,19.84,8.71
2021-10-20,18.510833333333334,35.18,5.51
2021-10-21,31.156666666666666,61.24,8.13
2021-10-22,30.85375,47.89,16.33
2021-10-23,35.45666666666667,46.13,25.96
2021-10-24,18.2825,27.71,9.04
2021-10-25,29.312916666666666,56.45,8.92
2021-10-26,27.71666666666667,46.56,9.55
2021-10-27,18.62125,32.83,5.68
2021-10-28,24.2175,39.58,7.12
2021-10-29,21.615,42.02,7.38
2021-10-30,28.316666666666666,47.74,17.89
2021-10-31,17.17,40.74,6.44
