Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-07-18,12.89,12.89,12.89
2021-07-19,12.03875,18.1,8.31
2021-07-20,14.78625,18.68,11.34
2021-07-21,19.204166666666666,26.08,14.24
2021-07-22,17.769583333333333,33.4,8.46
2021-07-23,7.715,11.21,6.14
2021-07-24,13.88875,20.4,3.56
2021-07-25,14.36,20.5,8.66
2021-07-26,31.780416666666667,47.29,13.09
2021-07-27,9.7075,22.1,7.58
2021-07-28,7.6745833333333335,10.56,5.94
2021-07-29,5.3691666666666675,9.18,3.16
2021-07-30,6.945833333333333,14.63,2.29
2021-07-31,6.065833333333334,9.69,3.37
2021-08-01,8.065416666666666,10.21,5.87
2021-08-02,5.709166666666667,9.72,2.56
2021-08-03,9.580416666666666,12.28,7.59
2021-08-04,11.0075,15.58,8.37
2021-08-05,8.574583333333333,12.03,5.85
2021-08-06,6.500416666666666,8.95,4.77
2021-08-07,6.7124999999999995,13.68,4.13
2021-08-08,6.9750000000000005,12.28,4.3
2021-08-09,6.852083333333334,11.88,4.88
2021-08-10,10.86875,16.58,4.9
2021-08-11,8.027083333333334,11.12,4.73
2021-08-12,8.219166666666666,10.93,6.34
2021-08-13,8.325416666666667,13.13,4.45
2021-08-14,9.308333333333334,13.09,6.83
2021-08-15,3.356666666666667,8.34,1.54
2021-08-16,9.940416666666666,17.17,1.96
2021-08-17,7.718333333333334,9.44,6.03
2021-08-18,7.502083333333332,12.78,1.88
2021-08-19,7.567916666666666,10.03,5.3
2021-08-20,5.408333333333334,8.26,4.12
2021-08-21,6.7441666666666675,10.25,2.99
2021-08-22,6.502916666666667,11.62,2.21
2021-08-23,7.09375,11.89,5.23
2021-08-24,6.6241666666666665,6.75,6.25
2021-08-25,5.942083333333333,7.05,4.89
2021-08-26,7.05125,8.95,6.27
2021-08-27,6.317916666666666,9.49,4.81
2021-08-28,11.108333333333334,21.4,4.74
2021-08-29,6.8741666666666665,10.85,5.26
2021-08-30,9.879166666666666,14.34,6.22
2021-08-31,6.525833333333334,8.62,5.3
2021-09-01,8.110833333333334,12.35,5.35
2021-09-02,9.533333333333333,12.84,7.28
2021-09-03,11.372083333333334,16.59,5.73
2021-09-04,9.985000000000001,17.55,4.04
2021-09-05,12.521666666666667,20.17,5.57
2021-09-06,22.082083333333333,25.85,17.11
2021-09-07,24.425,37.14,10.38
2021-09-08,26.965416666666666,42.94,11.57
2021-09-09,11.800833333333335,29.38,4.94
2021-09-10,8.02875,12.79,6.24
2021-09-11,9.233333333333333,11.24,7.76
2021-09-12,7.927916666666667,12.21,6.14
2021-09-13,5.96,7.57,4.98
2021-09-14,14.4925,19.97,5.62
2021-09-15,9.959166666666667,18.16,4.66
2021-09-16,13.06,18.94,6.52
2021-09-17,10.38,14.53,6.61
2021-09-18,15.687916666666666,26.18,7.32
2021-09-19,22.577916666666667,35.33,5.91
2021-09-20,9.328333333333333,16.11,4.55
2021-09-21,11.90375,18.58,7.75
2021-09-22,12.507916666666667,15.68,9.82
2021-09-23,10.837916666666667,19.99,4.69
2021-09-24,13.080833333333333,27.53,6.86
2021-09-25,11.098333333333334,17.22,6.51
2021-09-26,13.88375,20.98,5.9
2021-09-27,5.502916666666667,8.47,3.57
2021-09-28,4.527083333333334,8.33,1.71
2021-09-29,5.617083333333333,9.07,1.51
2021-09-30,5.05875,13.97,0.43
2021-10-01,6.360833333333333,11.97,0.0
2021-10-02,8.251666666666667,16.47,2.29
2021-10-03,5.1725,8.57,2.76
2021-10-04,2.52375,6.65,0.32
2021-10-05,2.381666666666667,5.2,0.18
2021-10-06,6.402083333333334,14.61,1.27
2021-10-07,10.960416666666667,16.67,5.54
2021-10-08,9.279166666666667,25.92,4.62
2021-10-09,25.797916666666666,42.51,11.18
2021-10-10,21.240416666666665,40.09,7.83
2021-10-11,9.46125,15.26,7.59
2021-10-12,10.481666666666667,15.51,6.55
2021-10-13,10.415000000000001,16.12,6.76
2021-10-14,11.9425,15.41,8.14
2021-10-15,11.901666666666666,16.03,8.1
