Date,NO2_mean,NO2_max,NO2_min
2023-09-08,45.31,63.11,15.93
2023-09-09,48.645,74.0,13.73
2023-09-10,34.260416666666664,74.3,9.52
2023-09-11,11.72625,35.43,5.37
2023-09-12,18.699583333333333,28.73,6.74
2023-09-13,12.621666666666668,23.61,4.09
2023-09-14,20.442916666666665,36.07,8.55
2023-09-15,36.82625,53.05,15.81
2023-09-16,31.743750000000002,52.7,10.41
2023-09-17,18.37666666666667,27.36,9.43
2023-09-18,12.820833333333333,23.25,5.25
2023-09-19,6.417083333333333,11.51,3.69
2023-09-20,16.357083333333332,30.9,4.84
2023-09-21,19.549583333333334,41.12,4.81
2023-09-22,17.897916666666667,28.09,8.07
2023-09-23,18.65375,29.67,11.07
2023-09-24,8.097083333333334,27.39,4.43
2023-09-25,10.66125,27.26,3.35
2023-09-26,13.60375,20.16,7.09
2023-09-27,17.847083333333334,37.29,4.66
2023-09-28,9.844583333333334,14.19,1.91
2023-09-29,13.808333333333332,31.98,4.98
2023-09-30,13.00625,30.35,6.28
2023-10-01,12.021666666666667,15.14,6.96
2023-10-02,37.277499999999996,61.02,14.02
2023-10-03,27.604583333333334,46.61,12.19
2023-10-04,19.435416666666665,39.21,11.02
2023-10-05,15.150833333333333,27.86,9.03
2023-10-06,10.899166666666666,19.78,5.71
2023-10-07,11.918333333333335,22.93,6.25
2023-10-08,22.361666666666665,36.02,11.89
2023-10-09,42.42041666666667,82.23,19.95
2023-10-10,25.08791666666667,51.93,9.94
2023-10-11,14.299583333333333,20.37,6.2
2023-10-12,31.839166666666667,52.88,17.5
2023-10-13,7.512083333333333,19.08,3.48
2023-10-14,17.254583333333333,36.0,6.64
2023-10-15,25.875416666666666,60.14,7.81
2023-10-16,52.7725,69.1,25.29
2023-10-17,32.321666666666665,47.6,16.74
2023-10-18,35.22083333333333,45.48,18.87
2023-10-19,14.525,33.22,3.79
2023-10-20,22.006666666666664,30.25,11.68
2023-10-21,17.508333333333333,22.47,10.92
2023-10-22,27.18041666666667,47.95,9.27
2023-10-23,40.83375,52.13,23.35
2023-10-24,40.7025,71.5,15.24
2023-10-25,45.79125,67.16,18.97
2023-10-26,45.73541666666667,68.11,18.26
2023-10-27,39.90333333333333,54.26,21.61
2023-10-28,21.174583333333334,32.7,11.43
2023-10-29,13.0128,26.83,4.8
2023-10-30,27.92,49.44,5.65
2023-10-31,34.402499999999996,59.65,15.84
2023-11-01,13.08625,22.43,4.03
2023-11-02,34.275,52.43,21.0
2023-11-03,17.935416666666665,37.25,4.29
2023-11-04,21.886666666666667,34.19,12.77
2023-11-05,17.907083333333333,42.48,7.38
2023-11-06,15.654166666666667,29.7,4.87
2023-11-07,23.14375,43.36,10.81
2023-11-08,25.87375,34.46,19.55
2023-11-10,37.29818181818182,59.58,11.89
2023-11-11,50.34791666666666,78.61,17.22
2023-11-12,37.01291666666666,48.57,17.26
2023-11-13,12.7525,15.83,7.37
2023-11-14,21.19666666666667,32.56,7.53
2023-11-15,22.360416666666666,47.19,8.7
2023-11-16,42.505833333333335,54.66,29.77
2023-11-17,34.75333333333334,62.44,17.94
2023-11-18,16.537499999999998,23.37,7.93
2023-11-19,7.614999999999999,12.19,2.98
2023-11-20,19.22041666666667,39.57,6.74
2023-11-21,18.900833333333335,24.2,10.14
2023-11-22,38.21458333333333,51.28,19.32
2023-11-23,27.447916666666668,37.65,10.22
2023-11-24,17.7975,29.78,8.22
2023-11-25,38.28541666666667,64.74,15.66
2023-11-26,38.95875,49.11,25.28
2023-11-27,20.226666666666667,33.07,8.43
2023-11-28,37.535000000000004,69.19,12.58
2023-11-29,41.89666666666667,65.88,24.29
2023-11-30,55.27916666666667,68.53,28.21
2023-12-01,38.35583333333333,65.05,27.75
2023-12-02,41.81541666666667,67.61,18.52
2023-12-03,36.504583333333336,55.04,13.57
2023-12-04,25.257916666666663,41.49,7.26
2023-12-05,22.490416666666665,30.1,14.31
2023-12-06,45.5075,74.75,15.42
2023-12-07,23.614583333333332,47.8,12.0
2023-12-08,26.7675,41.05,14.59
2023-12-09,10.44875,17.95,6.05
2023-12-10,9.5325,19.36,3.8
2023-12-11,33.4225,85.45,4.69
2023-12-12,51.080000000000005,85.49,21.14
2023-12-13,23.143333333333334,37.82,16.49
2023-12-14,38.064166666666665,56.52,12.62
2023-12-15,56.97083333333333,72.28,31.16
2023-12-16,11.907916666666667,20.48,6.77
2023-12-17,12.201666666666666,17.83,6.57
2023-12-18,14.860416666666666,22.82,6.51
2023-12-19,21.231666666666666,35.93,10.44
2023-12-20,20.676666666666666,31.74,9.06
2023-12-21,8.610416666666667,12.64,5.52
2023-12-22,11.481176470588236,14.51,6.01
2024-01-06,18.058,23.8,10.86
2024-01-07,16.550833333333333,27.56,8.52
2024-01-08,19.294583333333332,29.04,9.23
2024-01-09,19.912916666666668,29.72,10.97
2024-01-10,26.74416666666667,44.81,12.85
2024-01-11,34.51833333333333,58.24,14.6
2024-01-12,21.504166666666666,33.73,8.21
2024-01-13,22.67625,39.87,9.78
2024-01-14,29.697083333333335,41.82,15.37
2024-01-15,45.38041666666667,90.05,19.46
2024-01-16,61.6275,86.63,32.98
2024-01-17,58.150416666666665,88.94,26.83
2024-01-18,48.83208333333334,81.94,21.82
2024-01-19,69.39791666666666,90.62,27.68
2024-01-20,20.83458333333333,43.85,11.52
2024-01-21,9.9025,19.76,3.69
2024-01-22,11.337916666666667,17.23,3.01
2024-01-23,28.795,51.89,12.0
2024-01-24,17.78125,39.01,5.31
2024-01-25,28.562916666666666,46.95,9.69
2024-01-26,29.584999999999997,65.54,6.84
2024-01-27,41.05235294117647,72.6,18.7
2024-02-08,32.12818181818182,62.68,12.0
2024-02-09,18.40041666666667,29.12,8.71
2024-02-10,24.903333333333336,47.53,7.3
2024-02-11,32.44625,48.39,15.23
2024-02-12,24.13208333333333,40.82,11.18
2024-02-13,21.63291666666667,31.2,8.63
2024-02-14,16.562916666666666,24.17,6.44
2024-02-15,21.868750000000002,40.49,7.82
2024-02-16,30.505416666666665,47.26,17.93
2024-02-17,15.718333333333334,23.44,9.14
2024-02-19,30.7225,49.98,10.74
2024-02-20,28.4525,60.86,16.97
2024-02-21,14.075000000000001,24.34,5.88
2024-02-22,30.38291666666667,44.31,20.48
2024-02-23,22.419583333333335,52.79,6.92
2024-02-24,38.850833333333334,72.84,14.75
2024-02-25,34.69583333333333,69.89,12.5
2024-02-26,16.161666666666665,26.36,7.66
2024-02-27,26.51625,52.27,12.02
2024-02-28,26.167916666666667,45.75,9.18
2024-02-29,23.742500000000003,54.75,7.94
2024-03-01,25.234166666666667,39.27,16.86
2024-03-02,18.563750000000002,44.75,7.81
2024-03-03,47.89625,86.6,18.31
2024-03-04,26.69,52.3,7.77
2024-03-05,27.994583333333335,49.89,8.44
2024-03-06,44.39625,75.16,23.54
2024-03-07,28.232916666666668,43.55,16.56
2024-03-08,37.06583333333334,53.14,15.57
2024-03-09,44.07,64.17,17.09
2024-03-10,26.81458333333333,38.75,11.78
2024-03-11,19.186666666666667,34.25,11.29
2024-03-12,23.525000000000002,38.04,10.59
2024-03-13,14.950000000000001,25.54,6.71
2024-03-14,19.699583333333333,27.53,9.38
2024-03-15,11.4625,22.39,5.84
2024-03-16,16.361250000000002,27.75,9.47
2024-03-17,17.077916666666667,23.28,12.27
2024-03-18,15.9975,24.49,7.82
2024-03-19,13.434166666666668,22.83,6.55
2024-03-20,26.07625,52.41,9.16
2024-03-21,21.64708333333333,30.96,9.31
2024-03-22,17.52625,29.6,8.18
2024-03-23,11.830833333333333,18.21,6.99
2024-03-24,18.794583333333332,67.31,4.4
2024-03-25,24.825416666666666,45.6,10.69
2024-03-26,43.6975,57.98,9.73
2024-03-27,15.856250000000001,30.83,6.08
2024-03-28,18.68166666666667,28.91,6.14
2024-03-29,10.45125,22.46,5.06
2024-03-30,25.864583333333332,45.82,7.41
2024-03-31,26.803478260869564,45.41,13.36
2024-04-01,12.350416666666668,31.06,6.47
2024-04-02,11.562916666666666,21.3,5.57
2024-04-03,8.596666666666666,13.9,4.31
2024-04-04,15.205,23.69,6.96
2024-04-05,11.56375,19.98,5.31
2024-04-06,8.12,15.18,4.54
2024-04-07,4.61625,10.19,1.61
2024-04-08,15.407083333333333,25.41,6.02
2024-04-09,7.710833333333333,16.39,1.93
2024-04-10,14.345416666666667,33.36,6.58
2024-04-11,9.32875,15.78,5.28
2024-04-12,12.143749999999999,18.22,4.33
2024-04-13,8.802083333333334,14.35,6.35
2024-04-14,8.382916666666667,11.82,5.63
2024-04-15,10.451666666666666,21.44,2.74
2024-04-16,10.1725,18.17,2.53
2024-04-17,13.34375,21.05,7.18
2024-04-18,10.949166666666665,22.29,3.82
2024-04-19,16.300416666666667,25.19,4.27
2024-04-20,13.674583333333333,22.0,8.56
2024-04-21,9.832916666666668,16.83,5.49
2024-04-22,20.405416666666667,29.78,11.16
2024-04-23,21.592083333333335,29.74,9.97
2024-04-24,17.0975,38.43,9.27
2024-04-25,28.51833333333333,45.37,12.81
2024-04-26,27.324583333333333,47.01,12.5
2024-04-27,17.242083333333333,25.95,10.24
2024-04-28,12.609166666666667,18.05,7.71
2024-04-29,13.47875,18.26,9.61
2024-04-30,18.452916666666667,32.14,8.49
2024-05-01,39.740833333333335,69.86,15.77
2024-05-02,30.90833333333333,49.23,10.51
2024-05-03,17.026666666666667,30.79,7.34
2024-05-04,30.639166666666668,74.21,14.33
2024-05-05,30.839166666666667,73.33,8.41
2024-05-06,33.467083333333335,57.21,22.46
2024-05-07,20.823333333333334,40.03,9.2
2024-05-08,22.03,33.46,13.1
2024-05-09,18.69,27.9,12.18
2024-05-10,39.22166666666667,56.04,15.59
2024-05-11,39.86875,58.6,13.21
2024-05-12,33.49333333333333,50.73,15.65
2024-05-13,8.082083333333333,31.71,4.43
2024-05-14,22.712500000000002,36.38,12.28
2024-05-15,30.72875,73.35,9.88
2024-05-16,35.643750000000004,69.27,20.52
2024-05-17,27.215833333333332,50.12,11.53
2024-05-18,22.815416666666668,51.95,9.63
2024-05-19,12.519583333333335,22.58,5.93
2024-05-20,19.77875,43.97,7.76
2024-05-21,19.73125,31.55,7.72
2024-05-22,18.99375,27.97,10.26
2024-05-23,11.323333333333332,16.61,8.44
2024-05-24,23.792083333333334,45.58,10.48
2024-05-25,19.250833333333333,48.29,8.13
2024-05-26,8.944166666666666,17.6,5.1
2024-05-27,5.466666666666666,10.19,2.8
2024-05-28,11.69,16.11,7.18
2024-05-29,6.884166666666666,9.99,2.08
2024-05-30,32.08291666666667,45.36,9.78
2024-05-31,10.013333333333334,25.53,4.47
2024-06-01,7.380476190476191,11.57,4.12
2024-06-05,10.953636363636363,20.49,7.32
2024-06-06,18.076666666666668,23.78,11.69
2024-06-07,12.0725,22.72,6.62
2024-06-08,9.159166666666666,15.09,5.73
2024-06-09,17.085416666666667,30.15,7.47
2024-06-10,14.057916666666666,41.81,4.65
2024-06-11,22.169583333333335,43.64,9.88
2024-06-12,37.93458333333333,56.71,23.38
2024-06-13,15.02625,59.09,5.49
2024-06-14,8.895,11.6,3.82
2024-06-15,14.018749999999999,19.8,8.41
2024-06-16,8.634583333333333,16.15,5.34
2024-06-17,13.820416666666667,21.53,6.33
2024-06-18,21.162916666666664,38.75,6.94
2024-06-19,9.510416666666666,25.98,4.6
2024-06-20,27.988333333333333,55.0,10.1
2024-06-21,17.542916666666667,52.46,6.88
2024-06-22,9.98,18.63,4.35
2024-06-23,9.746363636363636,18.89,6.7
2024-06-24,22.172,47.29,9.87
2024-06-25,38.34583333333333,60.63,13.91
2024-06-26,27.853333333333335,57.11,10.64
2024-06-27,13.490416666666667,29.99,7.23
2024-06-28,8.295416666666666,21.45,3.22
2024-06-29,18.739166666666666,31.67,10.94
2024-06-30,15.712916666666667,33.48,5.78
2024-07-01,12.655000000000001,17.86,6.84
2024-07-02,23.386666666666667,47.32,7.87
2024-07-03,23.472083333333334,47.85,9.75
2024-07-04,6.391666666666667,19.78,4.47
2024-07-05,9.614166666666668,15.76,3.44
2024-07-06,11.863333333333335,21.72,6.65
2024-07-07,10.492083333333333,18.45,5.55
2024-07-08,17.049583333333334,24.55,10.1
2024-07-09,28.592083333333335,37.31,13.88
2024-07-10,7.590416666666666,21.41,3.91
2024-07-11,19.15375,36.1,8.87
