Date,PM2.5_mean,PM2.5_max,PM2.5_min
2023-09-08,17.186666666666667,21.98,11.64
2023-09-09,16.385416666666668,26.26,13.81
2023-09-10,28.235833333333332,56.8,8.87
2023-09-11,9.322083333333333,19.5,3.55
2023-09-12,4.9487499999999995,8.52,2.62
2023-09-13,5.317083333333334,8.88,1.37
2023-09-14,5.22875,7.84,3.57
2023-09-15,9.758750000000001,16.37,4.86
2023-09-16,12.334583333333335,21.18,6.59
2023-09-17,17.58458333333333,36.21,4.18
2023-09-18,5.906666666666666,29.93,3.05
2023-09-19,5.361250000000001,9.64,2.87
2023-09-20,6.674166666666667,11.63,2.46
2023-09-21,4.4816666666666665,9.8,2.64
2023-09-22,3.7358333333333333,6.32,2.34
2023-09-23,4.8225,9.94,2.95
2023-09-24,7.342083333333334,13.54,4.93
2023-09-25,6.793333333333333,12.67,4.15
2023-09-26,6.19625,10.37,4.27
2023-09-27,7.734999999999999,9.97,5.85
2023-09-28,9.337916666666667,24.23,3.69
2023-09-29,5.99625,13.28,2.39
2023-09-30,8.869583333333333,24.93,5.16
2023-10-01,11.539166666666667,26.28,7.72
2023-10-02,10.034583333333332,18.59,4.53
2023-10-03,3.70125,10.24,2.73
2023-10-04,5.210833333333333,8.37,2.65
2023-10-05,5.822916666666667,8.39,4.0
2023-10-06,7.240833333333334,13.07,4.19
2023-10-07,9.235833333333334,14.59,5.02
2023-10-08,11.402499999999998,15.79,7.72
2023-10-09,14.146666666666667,19.06,8.64
2023-10-10,13.132916666666667,17.83,9.98
2023-10-11,12.002916666666666,14.97,9.43
2023-10-12,6.78875,15.47,2.77
2023-10-13,9.855833333333333,25.69,1.98
2023-10-14,5.544583333333333,9.83,3.52
2023-10-15,8.6575,23.71,2.92
2023-10-16,9.479166666666666,20.81,4.24
2023-10-17,6.89875,10.92,4.6
2023-10-18,8.427083333333334,14.14,1.56
2023-10-19,7.052499999999999,12.46,1.72
2023-10-20,5.0512500000000005,10.57,2.48
2023-10-21,5.227916666666666,15.99,2.03
2023-10-22,5.792083333333333,14.11,1.84
2023-10-23,11.392916666666666,16.1,6.0
2023-10-24,8.462083333333334,12.45,4.35
2023-10-25,10.937083333333334,16.4,5.64
2023-10-26,8.975,15.14,4.88
2023-10-27,8.731666666666667,13.99,3.48
2023-10-28,10.222083333333334,26.18,3.2
2023-10-29,8.3732,25.91,1.57
