Date,NO2_mean,NO2_max,NO2_min
2024-02-11,22.075,25.22,13.32
2024-02-12,19.367083333333333,31.77,9.97
2024-02-13,13.292083333333332,18.64,7.86
2024-02-14,11.587083333333334,16.09,5.01
2024-02-15,18.427083333333332,34.59,7.42
2024-02-16,18.015416666666667,25.91,11.57
2024-02-17,13.49,18.32,8.0
2024-02-18,12.659583333333332,27.4,5.31
2024-02-19,15.836666666666666,23.9,7.33
2024-02-20,20.610833333333332,33.6,10.98
2024-02-21,8.220416666666667,14.22,4.34
2024-02-22,12.594166666666666,19.44,6.48
2024-02-23,17.958333333333332,39.5,5.75
2024-02-24,29.395,51.22,11.34
2024-02-25,24.847916666666666,43.5,9.96
2024-02-26,7.8500000000000005,12.65,4.12
2024-02-27,24.52,48.38,12.48
2024-02-28,19.820416666666667,34.34,8.43
2024-02-29,14.489583333333334,27.42,4.73
2024-03-01,14.415,21.37,7.26
2024-03-02,16.131666666666664,32.09,7.23
2024-03-03,30.90125,47.0,13.91
2024-03-04,24.145416666666666,43.96,7.67
2024-03-05,23.055000000000003,40.64,6.81
2024-03-06,38.8025,57.74,22.61
2024-03-07,22.654583333333335,34.51,14.42
2024-03-08,26.038749999999997,31.73,13.2
2024-03-09,27.63791666666667,37.92,14.34
2024-03-10,19.280416666666667,26.13,8.82
2024-03-11,14.012083333333331,21.87,9.08
2024-03-12,13.41590909090909,21.64,8.63
2024-03-13,8.927777777777777,15.73,3.64
2024-03-14,14.264999999999999,21.77,6.47
2024-03-15,9.713809523809525,15.45,4.1
2024-03-16,14.512083333333335,21.57,7.49
2024-03-17,11.706249999999999,14.7,8.73
2024-03-18,9.88625,14.71,4.71
2024-03-19,10.754166666666668,16.04,5.48
2024-03-20,17.71625,34.74,6.79
2024-03-21,17.54375,26.02,8.49
2024-03-22,9.724583333333333,15.24,5.92
2024-03-23,8.251666666666667,13.78,5.21
2024-03-24,16.7175,59.49,4.02
2024-03-25,15.907499999999999,26.21,9.83
2024-03-26,35.30625,47.97,7.86
2024-03-27,13.041666666666666,23.87,5.16
2024-03-28,10.691666666666668,15.22,4.04
2024-03-29,8.28,19.87,3.81
2024-03-30,22.45875,40.63,5.99
2024-03-31,16.955652173913045,26.23,10.88
2024-04-01,8.9225,20.91,4.57
2024-04-02,10.464166666666666,17.23,4.87
2024-04-03,6.787083333333334,9.98,3.86
2024-04-04,13.759166666666667,19.7,4.26
2024-04-05,5.90625,9.19,3.82
2024-04-06,4.426666666666667,7.7,2.64
2024-04-07,3.7416666666666667,9.2,1.38
2024-04-08,13.2575,21.76,5.0
2024-04-09,7.3183333333333325,14.32,1.59
2024-04-10,13.00625,33.56,6.69
2024-04-11,7.46125,12.8,3.65
2024-04-12,9.6825,14.14,4.79
2024-04-13,7.897916666666667,11.33,6.11
2024-04-14,7.483750000000001,11.82,5.05
2024-04-15,9.665000000000001,20.16,2.24
2024-04-16,8.020416666666668,13.63,1.89
2024-04-17,9.741666666666667,19.48,6.13
2024-04-18,9.685,22.32,3.86
2024-04-19,12.870833333333332,19.39,4.87
2024-04-20,8.553333333333333,12.94,5.99
2024-04-21,7.465416666666667,12.41,4.6
2024-04-22,14.049583333333333,24.69,8.29
2024-04-23,15.63,21.76,9.18
2024-04-24,10.446666666666667,20.08,6.88
2024-04-25,19.7775,28.02,10.88
2024-04-26,26.899583333333336,50.09,12.09
2024-04-27,13.384583333333333,21.57,8.92
2024-04-28,7.78875,13.64,5.86
2024-04-29,9.288333333333332,11.0,7.34
2024-04-30,16.474999999999998,27.08,8.47
2024-05-01,35.564166666666665,55.4,20.02
2024-05-02,17.969583333333333,24.23,9.66
2024-05-03,11.077083333333334,24.22,4.92
2024-05-04,18.908333333333335,46.55,7.55
2024-05-05,23.25,48.85,7.38
2024-05-06,21.75208333333333,34.58,13.07
2024-05-07,17.166666666666668,31.97,7.06
2024-05-08,20.039166666666667,34.3,11.34
2024-05-09,17.66125,26.16,12.66
2024-05-10,34.86708333333333,54.6,13.48
2024-05-11,26.147499999999997,40.07,13.21
2024-05-12,26.987916666666667,37.72,11.61
2024-05-13,7.0425,26.63,3.93
2024-05-14,10.199166666666667,11.98,8.21
2024-05-15,21.190416666666668,53.33,7.06
2024-05-16,27.355833333333333,52.67,15.65
2024-05-17,23.172916666666666,39.57,9.87
2024-05-18,16.2225,43.36,7.99
2024-05-19,8.853333333333333,14.19,4.85
2024-05-20,14.712083333333332,23.81,6.1
2024-05-21,13.1925,24.03,4.76
2024-05-22,11.462916666666667,19.66,7.81
2024-05-23,8.4625,12.32,4.84
2024-05-24,16.677083333333332,28.35,8.73
2024-05-25,17.829583333333336,29.6,8.06
2024-05-26,7.536666666666666,16.37,4.72
2024-05-27,3.8654166666666665,9.04,2.14
2024-05-28,6.042916666666667,8.12,3.95
2024-05-29,4.5129166666666665,8.39,1.69
2024-05-30,11.512500000000001,17.18,6.25
2024-05-31,6.1191666666666675,27.79,3.79
2024-06-01,6.9125000000000005,9.05,4.74
2024-06-02,12.227916666666667,43.67,3.23
2024-06-03,14.830416666666666,34.15,8.13
2024-06-04,14.663333333333334,24.26,6.63
2024-06-05,11.021666666666667,22.0,6.18
2024-06-06,11.597499999999998,17.06,8.77
2024-06-07,10.981666666666667,17.36,6.1
2024-06-08,7.185,11.18,4.77
2024-06-09,11.24125,20.29,5.9
2024-06-10,10.13875,36.81,2.72
2024-06-11,12.662916666666668,38.91,7.07
2024-06-12,29.253333333333334,47.97,15.52
2024-06-13,12.325000000000001,38.45,4.54
2024-06-14,7.75,10.61,3.83
2024-06-15,5.182083333333334,7.68,2.93
2024-06-16,7.027083333333334,10.36,3.91
2024-06-17,14.05625,21.93,5.83
2024-06-18,11.874166666666667,25.7,6.24
2024-06-19,7.849166666666666,15.06,4.6
2024-06-20,13.825000000000001,19.81,8.3
2024-06-21,13.515,24.42,5.71
2024-06-22,7.308333333333334,14.54,3.57
2024-06-23,9.097083333333332,14.94,6.19
2024-06-24,29.16208333333333,50.87,8.86
2024-06-25,20.470833333333335,53.65,11.81
2024-06-26,22.999166666666667,35.93,9.56
2024-06-27,10.652083333333334,25.38,6.23
2024-06-28,7.195416666666667,19.29,2.93
2024-06-29,9.565416666666666,20.09,7.2
2024-06-30,6.6812499999999995,12.09,4.62
2024-07-01,7.308333333333334,8.92,5.52
2024-07-02,13.334166666666667,27.8,4.79
2024-07-03,16.058333333333334,26.64,7.56
2024-07-04,6.233750000000001,14.16,4.48
2024-07-05,8.594583333333334,11.91,3.06
2024-07-06,9.657916666666667,15.84,5.42
2024-07-07,6.990416666666667,13.94,4.74
2024-07-08,12.445833333333333,19.37,8.45
2024-07-09,12.785416666666665,17.56,8.27
2024-07-10,6.237916666666667,9.85,3.06
2024-07-11,11.53625,17.17,6.64
2024-07-12,7.09875,12.21,2.83
2024-07-13,13.80375,22.07,6.23
2024-07-14,13.286666666666667,23.23,6.53
2024-07-15,25.807916666666667,43.59,9.16
2024-07-16,9.014583333333333,16.23,3.71
2024-07-17,20.919999999999998,32.11,8.51
2024-07-18,27.68166666666667,43.34,8.82
2024-07-19,31.275000000000002,66.37,8.41
2024-07-20,9.236666666666666,31.46,6.15
2024-07-21,6.622083333333333,9.09,4.39
2024-07-22,8.13875,10.31,5.74
2024-07-23,10.525416666666667,17.35,6.21
2024-07-24,20.257916666666667,35.76,6.8
2024-07-25,8.115454545454545,17.02,5.99
