Date,NO2_mean,NO2_max,NO2_min
2023-06-12,20.156,22.65,15.88
2023-06-13,17.377083333333335,24.86,11.0
2023-06-14,13.332916666666668,19.47,7.89
2023-06-15,17.470416666666665,24.68,11.73
2023-06-16,19.595833333333335,35.18,10.24
2023-06-17,47.028333333333336,65.99,24.1
2023-06-18,28.17125,63.15,11.67
2023-06-19,18.875833333333333,29.45,10.38
2023-06-20,23.087500000000002,41.67,10.95
2023-06-21,19.427083333333332,29.55,12.88
2023-06-22,29.087083333333336,43.37,12.93
2023-06-23,27.55333333333333,51.49,11.5
2023-06-24,24.38875,32.17,12.19
2023-06-25,16.621666666666666,29.02,9.89
2023-06-26,18.889166666666664,32.77,8.17
2023-06-27,29.396666666666665,49.66,12.8
2023-06-28,16.84875,32.42,5.91
2023-06-29,35.52041666666667,47.63,19.61
2023-06-30,23.042916666666667,40.44,10.82
2023-07-01,6.75875,27.89,3.41
2023-07-02,19.638333333333332,34.52,8.45
2023-07-03,14.292083333333332,25.33,6.79
2023-07-04,17.52625,34.44,5.76
2023-07-05,20.95736842105263,29.58,13.65
2023-07-15,9.615,11.47,7.76
2023-07-21,34.49230769230769,56.32,17.74
2023-07-22,17.579583333333336,51.42,8.23
2023-07-23,17.405652173913044,26.73,9.48
2023-08-23,44.845000000000006,70.31,12.02
2023-08-24,56.99916666666667,71.83,22.72
2023-08-25,28.63,45.88,11.21
2023-08-26,64.47250000000001,107.36,15.3
2023-08-27,30.837500000000002,89.69,6.74
2023-08-28,28.587083333333336,40.74,9.6
2023-08-29,42.40958333333334,61.79,13.43
2023-08-30,25.320000000000004,38.31,7.74
2023-08-31,30.78708333333333,49.19,14.76
2023-09-01,27.415833333333335,42.69,14.24
2023-09-02,20.597916666666666,27.44,10.1
2023-09-03,29.844166666666666,45.28,12.15
2023-09-04,21.13625,42.31,14.66
2023-09-05,44.29583333333333,65.84,16.44
2023-09-06,47.23583333333334,70.83,24.79
2023-09-07,40.178333333333335,77.96,19.19
2023-09-08,91.17083333333333,140.56,25.05
2023-09-09,52.61708333333333,109.06,11.56
2023-09-10,41.68208333333333,85.08,10.61
2023-09-11,40.275,62.48,12.59
2023-09-12,31.930833333333336,58.73,8.81
2023-09-13,16.182916666666667,30.94,4.32
2023-09-14,38.17333333333333,63.24,13.17
2023-09-15,37.4825,59.15,16.39
2023-09-16,27.122500000000002,52.22,10.97
2023-09-17,26.249583333333334,41.48,10.53
2023-09-18,17.735833333333336,38.67,5.29
2023-09-19,12.84625,19.67,4.34
2023-09-20,29.382500000000004,59.27,8.96
2023-09-21,30.894583333333333,56.21,7.41
2023-09-22,25.110833333333332,38.56,9.47
2023-09-23,42.10583333333333,58.83,10.27
2023-09-24,14.477083333333333,55.39,6.75
2023-09-25,27.585416666666664,51.58,7.16
2023-09-26,60.798750000000005,90.21,16.56
2023-09-27,37.85916666666667,68.64,10.7
2023-09-28,21.7475,41.3,3.2
2023-09-29,47.925000000000004,81.21,9.22
2023-09-30,16.177916666666665,75.88,6.45
2023-10-01,35.909166666666664,46.03,14.58
2023-10-02,39.99208333333333,58.83,22.73
2023-10-03,31.169583333333335,48.55,8.21
2023-10-04,21.642916666666665,39.6,7.05
2023-10-05,36.55125,72.12,11.69
2023-10-06,34.63666666666666,50.95,10.51
2023-10-07,30.36208333333333,52.61,8.39
2023-10-08,46.071666666666665,63.32,15.52
2023-10-09,57.31583333333333,102.98,22.38
2023-10-10,35.13375,68.37,10.66
2023-10-11,20.894166666666667,34.01,10.1
2023-10-12,53.30833333333334,75.19,24.88
2023-10-13,12.796666666666667,37.23,5.6
2023-10-14,34.4975,60.5,11.14
2023-10-15,32.50791666666667,66.43,8.58
2023-10-16,66.52374999999999,88.45,26.79
2023-10-17,29.07625,53.92,14.01
2023-10-18,25.66,36.34,12.05
2023-10-19,21.557083333333335,43.23,4.13
2023-10-20,31.258333333333336,41.84,10.93
2023-10-21,34.93125,49.07,18.4
2023-10-22,58.71958333333333,88.8,14.64
2023-10-23,42.89791666666667,84.37,22.13
2023-10-24,99.42291666666667,142.71,33.53
2023-10-25,54.68083333333333,126.43,24.01
2023-10-26,59.81875,79.49,20.32
2023-10-27,55.94083333333333,72.7,19.28
2023-10-28,45.51666666666667,70.87,15.22
2023-10-29,32.9536,63.32,7.41
2023-10-30,71.4075,103.56,15.02
2023-10-31,53.30416666666667,74.9,28.29
2023-11-01,30.72583333333333,41.32,13.43
2023-11-02,36.90125,69.52,16.17
2023-11-03,31.05666666666667,66.51,4.8
2023-11-04,32.81458333333333,60.76,16.51
2023-11-05,28.492500000000003,57.99,10.76
2023-11-06,36.209583333333335,52.34,9.06
2023-11-07,41.770833333333336,80.68,16.01
2023-11-08,41.30291666666667,82.53,14.67
2023-11-09,48.69125,68.27,18.53
2023-11-10,44.51125,76.24,20.27
2023-11-11,54.930416666666666,87.18,20.53
2023-11-12,52.715,66.74,18.33
2023-11-13,26.038749999999997,34.66,12.27
2023-11-14,39.27333333333333,66.57,5.91
2023-11-15,28.66875,58.08,8.75
2023-11-16,48.55375,61.66,38.66
2023-11-17,42.33166666666667,75.18,15.74
2023-11-18,26.008750000000003,37.29,8.46
2023-11-19,9.588333333333333,17.36,3.29
2023-11-20,41.40791666666667,83.08,7.3
2023-11-21,23.055833333333336,36.1,10.51
2023-11-22,55.81791666666667,81.89,22.84
2023-11-23,41.35958333333333,52.68,18.92
2023-11-24,33.82333333333333,54.02,19.04
2023-11-25,48.194583333333334,80.38,19.71
2023-11-26,40.382083333333334,52.65,25.06
2023-11-27,27.768333333333334,58.67,6.81
2023-11-28,48.338750000000005,86.87,12.27
2023-11-29,58.39666666666667,90.87,31.61
2023-11-30,51.59291666666667,63.03,28.26
2023-12-01,40.64208333333333,64.62,25.18
2023-12-02,53.14875,84.22,15.41
2023-12-03,57.79416666666666,93.59,14.1
2023-12-04,28.83125,48.23,8.76
2023-12-05,32.497894736842106,68.55,12.62
2023-12-06,58.24222222222223,92.81,12.88
2023-12-07,25.24277777777778,51.77,9.35
2023-12-08,37.14722222222222,75.29,10.47
2023-12-09,17.60111111111111,35.55,5.54
2023-12-10,20.59777777777778,41.17,3.5
2023-12-11,55.236666666666665,128.07,1.55
2023-12-12,64.88888888888889,124.19,12.42
2023-12-13,27.31375,48.76,11.19
2023-12-14,59.55166666666667,117.04,11.0
2023-12-15,40.69277777777778,62.73,23.01
2023-12-16,17.93842105263158,33.39,6.65
2023-12-17,16.256666666666668,35.48,5.1
2023-12-18,28.13388888888889,61.7,4.61
2023-12-19,23.051666666666666,40.99,4.55
2023-12-20,20.814444444444444,45.26,7.75
2023-12-21,12.101666666666667,23.02,3.56
2023-12-22,7.721666666666668,11.64,2.95
2023-12-23,9.130555555555555,27.06,3.47
2023-12-24,5.322777777777778,8.99,1.79
2023-12-25,12.389473684210527,22.34,2.05
2023-12-26,33.51611111111111,82.09,2.7
2023-12-27,20.32888888888889,39.49,3.47
2023-12-28,12.03,22.53,2.06
2023-12-29,17.64,32.11,2.99
2023-12-30,13.380555555555555,35.03,3.79
2023-12-31,20.09888888888889,31.34,2.71
2024-01-01,27.42,56.02,3.68
2024-01-02,20.541666666666668,55.25,2.67
2024-01-03,28.408333333333335,70.21,3.79
2024-01-04,36.107894736842105,56.08,4.35
2024-01-05,36.099444444444444,58.98,3.34
2024-01-06,22.505555555555556,36.56,9.83
2024-01-07,16.285555555555554,31.27,5.05
2024-01-08,22.264444444444443,52.16,5.3
2024-01-09,22.31277777777778,37.4,7.75
2024-01-10,24.174444444444443,42.4,10.4
2024-01-11,44.138888888888886,69.73,10.66
2024-01-12,19.212777777777777,41.41,4.12
2024-01-13,38.955555555555556,101.87,7.34
2024-01-14,25.060555555555553,44.87,11.64
2024-01-15,41.82333333333334,79.83,12.24
2024-01-16,59.412222222222226,91.84,20.42
2024-01-17,58.538947368421056,88.04,22.43
2024-01-18,67.07666666666667,117.57,18.99
2024-01-19,47.272777777777776,86.29,20.34
2024-01-20,23.108888888888888,45.8,8.38
2024-01-21,11.338333333333333,22.32,2.75
2024-01-22,17.264444444444443,44.0,1.76
2024-01-23,27.733333333333334,82.68,2.61
2024-01-24,35.57809523809524,66.9,0.62
2024-01-25,38.11708333333333,56.68,11.26
2024-01-26,49.217083333333335,101.89,4.04
2024-01-27,56.09791666666666,92.77,25.13
2024-01-28,37.83083333333334,50.23,17.53
2024-01-29,26.842083333333335,42.99,16.4
2024-01-30,32.0725,53.32,5.17
2024-01-31,31.136666666666667,51.93,7.27
2024-02-01,60.11708333333333,101.43,11.74
2024-02-02,22.742500000000003,42.4,8.07
2024-02-03,25.756666666666664,42.63,6.68
2024-02-04,12.094166666666666,19.93,4.37
2024-02-05,25.215833333333336,47.02,4.86
2024-02-06,38.357083333333335,50.37,25.93
2024-02-07,33.4925,55.21,7.37
2024-02-08,39.57083333333333,76.62,10.88
2024-02-09,26.02916666666667,44.27,9.42
2024-02-10,37.05166666666667,68.43,13.07
2024-02-11,60.31666666666666,78.53,20.1
2024-02-12,40.10958333333333,63.5,14.45
2024-02-13,39.495,67.94,13.77
2024-02-14,32.327083333333334,59.87,6.97
2024-02-15,26.044583333333335,50.05,11.07
2024-02-16,54.32583333333333,71.68,21.37
2024-02-17,24.67625,45.13,10.74
2024-02-18,49.79583333333333,73.02,14.96
2024-02-19,51.107916666666675,78.48,26.75
2024-02-20,42.032916666666665,74.02,16.57
2024-02-21,25.82166666666667,44.62,9.21
2024-02-22,38.23166666666666,90.96,8.2
