Date,NO2_mean,NO2_max,NO2_min
2021-06-13,19.04214285714286,32.67,10.16
2021-06-14,28.256666666666664,37.34,11.84
2021-06-15,34.610416666666666,57.29,14.12
2021-06-16,29.234166666666667,61.26,11.71
2021-06-17,21.887083333333333,33.11,12.98
2021-06-18,22.615416666666665,38.93,11.04
2021-06-19,15.71375,25.47,9.68
2021-06-20,13.724583333333333,19.98,9.84
2021-06-21,21.589583333333334,42.5,5.98
2021-06-22,12.010833333333332,20.01,4.02
2021-06-23,24.32166666666667,41.25,11.24
2021-06-24,29.556250000000002,41.02,16.65
2021-06-25,27.25375,39.46,12.51
2021-06-26,27.389166666666668,38.17,13.31
2021-06-27,17.59375,39.24,8.43
2021-06-28,52.46333333333334,70.76,18.17
2021-06-29,14.062916666666666,53.51,5.08
2021-06-30,15.57875,28.15,9.59
2021-07-01,30.104166666666668,50.71,17.98
2021-07-02,26.868750000000002,49.61,11.13
2021-07-03,18.624166666666667,27.24,8.95
2021-07-04,10.107083333333334,25.25,5.92
2021-07-05,24.16208333333333,42.91,10.64
2021-07-06,15.854166666666666,33.44,7.45
2021-07-07,14.122083333333334,20.24,8.68
2021-07-08,14.962083333333332,26.81,8.28
2021-07-09,25.365,31.56,14.51
2021-07-10,30.172083333333333,59.03,14.63
2021-07-11,18.617083333333333,44.61,8.87
2021-07-12,34.990833333333335,45.44,18.22
2021-07-13,22.1075,41.88,11.92
2021-07-14,20.992083333333333,25.77,11.83
2021-07-15,16.760416666666668,23.81,10.43
2021-07-16,18.219583333333333,31.05,9.7
2021-07-17,22.979583333333334,43.07,10.18
2021-07-18,34.15,52.51,14.0
2021-07-19,49.40625,71.14,27.33
2021-07-20,45.28958333333333,57.74,19.11
2021-07-21,34.305,48.54,17.09
2021-07-22,30.85625,42.49,16.93
2021-07-23,15.812916666666666,36.61,8.69
2021-07-24,40.40416666666667,54.81,16.92
2021-07-25,30.652916666666666,48.77,13.02
2021-07-26,20.152916666666666,28.4,11.6
2021-07-27,29.006249999999998,43.63,10.06
2021-07-28,29.0725,48.11,14.02
2021-07-29,14.277500000000002,35.23,6.97
2021-07-30,30.98375,50.73,16.0
2021-07-31,24.02291666666667,45.88,11.66
2021-08-01,21.780833333333334,41.76,11.32
2021-08-02,29.034166666666664,39.97,15.59
2021-08-03,34.83041666666667,48.0,18.17
2021-08-04,38.693333333333335,66.17,18.54
2021-08-05,24.885416666666668,48.13,9.56
2021-08-06,12.815416666666666,22.44,7.17
2021-08-07,30.38,40.36,11.98
2021-08-08,23.04875,37.32,8.28
2021-08-09,19.890833333333333,27.11,8.49
2021-08-10,21.11916666666667,33.31,10.67
2021-08-11,21.02125,31.83,10.1
2021-08-12,20.575833333333332,26.98,10.98
2021-08-13,23.49625,33.69,11.04
2021-08-14,19.867916666666666,31.4,10.58
2021-08-15,13.0575,27.15,6.28
2021-08-16,19.231666666666666,37.97,8.5
2021-08-17,26.97666666666667,37.08,16.99
2021-08-18,14.009166666666667,24.28,10.05
2021-08-19,14.654583333333333,20.89,8.87
2021-08-20,25.48875,40.47,12.71
2021-08-21,37.93083333333333,50.7,23.67
2021-08-22,27.801666666666666,42.4,13.36
2021-08-23,13.277083333333332,30.9,4.0
2021-08-24,18.715,31.71,7.94
2021-08-25,74.10083333333334,105.61,22.64
2021-08-26,12.024166666666666,82.98,5.69
2021-08-27,13.478333333333333,22.82,4.97
2021-08-28,19.8025,36.62,10.65
2021-08-29,22.31958333333333,37.19,8.77
2021-08-30,10.724583333333333,16.62,6.32
2021-08-31,14.959565217391305,21.35,8.63
2021-09-01,17.920833333333334,29.5,7.51
2021-09-02,24.77875,44.35,6.72
2021-09-03,34.1175,56.61,14.61
2021-09-04,28.270416666666666,36.97,14.3
2021-09-05,34.41583333333333,64.68,15.75
2021-09-06,51.53208333333333,92.36,27.26
2021-09-07,58.774166666666666,93.16,21.7
2021-09-08,69.71166666666666,121.41,31.87
2021-09-09,26.088333333333335,84.38,13.43
2021-09-10,44.13458333333333,62.7,24.35
2021-09-11,16.633333333333333,42.78,9.18
2021-09-12,33.10125,60.96,14.84
2021-09-13,36.35166666666667,58.71,14.88
2021-09-14,42.35916666666667,63.46,15.44
2021-09-15,44.69708333333333,105.86,18.72
2021-09-16,30.775833333333335,72.38,15.42
2021-09-17,37.742916666666666,75.07,16.38
2021-09-18,58.701249999999995,81.86,16.98
2021-09-19,37.545833333333334,71.55,20.97
2021-09-20,35.992916666666666,72.66,16.47
2021-09-21,40.78125,66.89,21.96
2021-09-22,37.68541666666667,61.49,15.83
2021-09-23,28.52916666666667,49.64,15.33
2021-09-24,23.595,41.8,13.48
2021-09-25,31.073333333333334,59.28,13.63
2021-09-26,26.999166666666667,53.97,9.93
2021-09-27,15.592916666666667,22.87,9.76
2021-09-28,19.00375,36.92,8.64
2021-09-29,22.73708333333333,42.41,9.48
2021-09-30,23.93875,44.47,11.63
2021-10-01,49.60791666666666,78.93,8.98
2021-10-02,27.76125,73.98,11.09
2021-10-03,17.257916666666667,27.82,7.01
2021-10-04,27.289583333333336,45.87,8.69
2021-10-05,20.065,34.18,9.17
2021-10-06,32.22625,75.98,9.8
2021-10-07,46.33958333333334,66.66,27.42
2021-10-08,36.19291666666667,69.22,12.36
2021-10-09,54.155,81.57,26.18
2021-10-10,44.534166666666664,64.77,19.17
2021-10-11,37.8425,71.73,18.53
2021-10-12,39.815416666666664,55.47,16.7
2021-10-13,49.354166666666664,88.96,19.94
2021-10-14,39.41583333333333,52.88,15.1
2021-10-15,44.06583333333333,100.82,12.84
2021-10-16,50.96416666666667,88.34,28.52
2021-10-17,48.56916666666667,77.46,16.57
2021-10-18,35.05458333333333,75.53,14.86
2021-10-19,22.314999999999998,29.78,8.54
2021-10-20,28.610833333333332,51.07,10.98
2021-10-21,41.42125,88.34,18.65
2021-10-22,40.36625,76.32,18.54
2021-10-23,41.23833333333334,53.29,24.27
2021-10-24,21.455,37.96,10.61
2021-10-25,32.89,68.46,9.24
2021-10-26,26.11375,39.82,13.22
2021-10-27,15.485,26.04,8.63
2021-10-28,18.295833333333334,32.71,6.96
2021-10-29,36.496249999999996,60.42,13.14
2021-10-30,40.509166666666665,71.75,18.69
2021-10-31,16.6848,52.24,7.55
2021-11-01,34.357083333333335,79.55,5.61
2021-11-02,57.94916666666666,92.35,33.53
2021-11-03,48.79916666666667,80.02,14.28
2021-11-04,37.67666666666667,72.16,13.53
2021-11-05,51.97958333333333,69.65,32.19
2021-11-06,22.212083333333336,43.9,14.7
2021-11-07,32.1875,69.51,9.28
2021-11-08,45.49791666666667,64.88,24.55
2021-11-09,38.73291666666667,61.4,16.7
2021-11-10,50.529583333333335,75.03,17.19
2021-11-11,38.79416666666666,60.05,17.81
2021-11-12,31.082083333333333,43.37,18.61
2021-11-13,20.855833333333333,38.35,8.85
2021-11-14,22.76625,40.8,12.0
2021-11-15,53.90083333333334,83.66,19.72
2021-11-16,51.09458333333333,61.04,38.58
2021-11-17,55.86666666666667,85.48,21.34
2021-11-18,55.87375,80.2,28.16
2021-11-19,31.854583333333334,57.19,20.16
2021-11-20,31.371666666666666,51.33,11.8
2021-11-21,18.62333333333333,28.05,11.44
2021-11-22,30.625833333333333,53.01,10.12
2021-11-23,63.04208333333333,89.5,30.09
2021-11-24,63.17291666666667,94.45,38.12
2021-11-25,52.79208333333333,84.12,20.85
2021-11-26,44.663333333333334,77.52,15.74
2021-11-27,14.022083333333333,22.93,7.6
2021-11-28,21.528333333333332,43.25,8.33
2021-11-29,68.1525,101.02,23.15
2021-11-30,32.94083333333334,65.42,11.29
2021-12-01,36.94166666666667,84.47,8.7
2021-12-02,45.87583333333333,98.34,15.01
2021-12-03,56.78,85.93,11.66
2021-12-04,28.926666666666666,56.05,12.45
2021-12-05,19.71375,30.15,5.66
2021-12-06,51.22666666666667,76.88,21.69
2021-12-07,73.72125,139.66,27.11
2021-12-08,19.117916666666666,32.17,6.45
2021-12-09,35.18875,69.0,9.47
2021-12-10,29.90125,55.62,10.61
2021-12-11,53.81625,93.73,20.58
2021-12-12,17.99416666666667,26.54,9.1
2021-12-13,23.3575,45.56,7.35
2021-12-14,35.47708333333333,56.06,14.23
2021-12-15,44.746249999999996,77.1,13.08
2021-12-16,61.234166666666674,110.75,33.45
2021-12-17,43.2425,73.68,19.35
2021-12-18,28.56125,37.47,16.08
2021-12-19,41.92375,68.42,19.87
2021-12-20,32.909166666666664,60.79,11.63
2021-12-21,57.17791666666667,109.9,16.65
2021-12-22,63.284166666666664,95.3,39.91
2021-12-23,43.31916666666667,63.28,26.22
2021-12-24,50.05916666666667,85.75,14.76
2021-12-25,24.648750000000003,34.46,15.1
2021-12-26,43.87375,67.76,28.47
2021-12-27,41.562916666666666,66.01,22.63
2021-12-28,25.94541666666667,38.57,7.6
2021-12-29,39.40875,56.19,11.15
2021-12-30,12.718333333333334,20.45,5.16
2021-12-31,15.0075,26.63,6.51
2022-01-01,9.825416666666667,13.57,6.05
2022-01-02,11.170833333333334,16.52,5.74
2022-01-03,18.85875,37.27,5.3
2022-01-04,40.44708333333333,70.13,22.66
2022-01-05,44.012499999999996,94.17,13.02
2022-01-06,62.06125,90.36,17.83
2022-01-07,34.15708333333333,68.34,11.8
2022-01-08,59.55833333333334,107.5,19.93
2022-01-09,48.94875,109.09,13.14
2022-01-10,83.28041666666667,116.9,24.36
2022-01-11,46.643750000000004,82.86,15.07
2022-01-12,85.54875,117.02,28.16
2022-01-13,67.08791666666666,91.31,42.17
2022-01-14,88.81208333333332,124.58,54.65
2022-01-15,63.989583333333336,90.04,36.19
2022-01-16,58.650416666666665,86.45,35.01
2022-01-17,77.33874999999999,111.32,27.16
2022-01-18,88.03291666666667,128.61,50.99
2022-01-19,53.744166666666665,73.95,28.34
2022-01-20,44.107499999999995,66.58,22.31
2022-01-21,83.19291666666668,119.42,33.84
2022-01-22,36.42458333333334,58.99,22.39
2022-01-23,36.30125,53.59,18.45
2022-01-24,47.73333333333333,82.94,14.19
2022-01-25,47.013749999999995,84.43,25.25
2022-01-26,62.187083333333334,101.13,27.52
2022-01-27,39.10791666666667,69.84,13.77
2022-01-28,51.887499999999996,89.45,20.35
2022-01-29,16.593333333333334,25.19,10.08
2022-01-30,27.4275,53.32,9.91
2022-01-31,24.87375,54.06,5.77
2022-02-01,26.52125,34.87,13.62
2022-02-02,42.705000000000005,104.52,11.58
2022-02-03,38.99458333333333,78.3,16.54
2022-02-04,22.760416666666668,49.95,8.47
2022-02-05,18.597916666666666,34.62,9.19
2022-02-06,5.77,10.92,2.58
2022-02-07,37.7425,74.94,8.95
2022-02-08,21.24375,31.79,5.84
2022-02-09,31.32166666666667,59.22,8.28
2022-02-10,30.0675,52.44,15.35
2022-02-11,46.434583333333336,73.46,20.71
2022-02-12,27.269583333333333,52.11,11.91
2022-02-13,10.988333333333335,15.89,6.92
2022-02-14,27.322083333333335,43.85,10.01
2022-02-15,45.093333333333334,103.05,29.78
2022-02-16,14.287083333333333,25.64,5.36
2022-02-17,16.09,29.71,3.46
2022-02-18,14.481666666666667,24.26,6.76
2022-02-19,22.62375,51.73,10.67
2022-02-20,23.646666666666665,30.28,14.53
2022-02-21,21.177916666666665,72.57,5.77
2022-02-22,43.1775,91.52,18.17
2022-02-23,44.86958333333333,75.68,17.97
2022-02-24,16.170416666666664,29.78,5.74
2022-02-25,51.27375,128.09,11.29
2022-02-26,47.71416666666667,93.76,12.43
2022-02-27,53.37583333333333,89.76,23.78
2022-02-28,35.150416666666665,48.4,18.96
2022-03-01,60.984583333333326,97.32,27.22
2022-03-02,69.10625,108.95,37.49
2022-03-03,56.16083333333333,87.98,27.03
2022-03-04,40.65916666666667,59.28,23.1
2022-03-05,16.850416666666668,28.36,10.82
2022-03-06,14.447083333333333,23.47,8.12
2022-03-07,28.229583333333334,51.98,10.61
2022-03-08,44.74791666666667,62.66,20.64
2022-03-09,24.11,42.16,12.38
2022-03-10,33.538333333333334,60.88,14.35
2022-03-11,16.318749999999998,22.14,10.39
2022-03-12,8.740416666666667,15.8,4.79
2022-03-13,19.749583333333334,44.6,9.94
2022-03-14,49.815416666666664,97.27,17.59
2022-03-15,53.63,79.28,25.6
2022-03-16,60.199999999999996,85.96,17.28
2022-03-17,35.382083333333334,78.87,12.47
2022-03-18,50.70333333333334,88.68,18.92
2022-03-19,30.28708333333333,41.31,18.52
2022-03-20,38.814166666666665,93.38,15.02
2022-03-21,62.82333333333333,85.45,21.65
2022-03-22,77.50625000000001,125.02,20.59
2022-03-23,79.67958333333333,129.69,21.93
2022-03-24,90.81833333333333,144.12,29.18
2022-03-25,69.26541666666667,132.66,19.97
2022-03-26,39.63666666666666,69.35,17.54
2022-03-27,29.63,57.27,17.38
2022-03-28,47.905833333333334,64.26,26.6
2022-03-29,35.814166666666665,45.8,25.81
2022-03-30,26.72375,46.77,13.87
2022-03-31,17.006249999999998,35.92,9.23
2022-04-01,16.96375,31.67,10.32
2022-04-02,36.22541666666667,94.19,13.33
2022-04-03,36.283750000000005,84.79,9.34
2022-04-04,22.0625,30.43,9.93
2022-04-05,15.4225,20.66,9.78
2022-04-06,12.155833333333334,19.09,5.25
2022-04-07,11.115833333333333,21.73,5.65
2022-04-08,43.19333333333333,75.54,15.63
2022-04-09,27.303749999999997,57.51,9.94
2022-04-10,33.293749999999996,62.9,9.65
2022-04-11,47.12916666666666,80.71,17.29
2022-04-12,41.16791666666666,78.55,14.49
2022-04-13,50.62916666666666,92.82,19.09
2022-04-14,37.41416666666667,77.95,15.71
2022-04-15,46.88333333333333,71.74,15.28
2022-04-16,42.55916666666666,64.27,19.23
2022-04-17,36.650416666666665,57.58,11.13
2022-04-18,28.5475,53.72,14.88
2022-04-19,30.96166666666667,48.53,17.91
2022-04-20,27.44458333333333,41.13,14.15
2022-04-21,26.714583333333334,51.19,11.98
2022-04-22,25.270416666666666,38.53,13.34
2022-04-23,18.34625,26.56,10.77
2022-04-24,12.262500000000001,16.61,8.13
2022-04-25,17.11294117647059,20.61,10.5
2022-04-26,31.617500000000003,50.65,11.21
2022-04-27,22.912916666666664,47.38,12.45
2022-04-28,21.487916666666667,35.16,13.11
2022-04-29,16.823333333333334,25.47,11.15
2022-04-30,23.37,35.97,11.19
2022-05-01,21.88208333333333,32.86,11.46
2022-05-02,25.772916666666664,53.15,9.6
2022-05-03,29.67833333333333,54.08,16.38
2022-05-04,28.398750000000003,50.08,15.44
2022-05-05,27.80541666666667,62.3,13.7
2022-05-06,29.36583333333333,65.12,10.91
2022-05-07,28.082083333333333,42.61,14.8
2022-05-08,16.463333333333335,26.88,8.1
2022-05-09,28.33375,53.17,11.45
2022-05-10,12.682083333333333,21.75,7.78
2022-05-11,13.9425,28.17,6.84
2022-05-12,20.97041666666667,28.57,11.24
2022-05-13,14.690833333333332,21.24,7.25
2022-05-14,24.355,49.6,9.85
2022-05-15,41.34166666666666,61.33,32.46
2022-05-16,31.91416666666667,59.29,10.76
2022-05-17,22.004583333333333,40.59,9.14
2022-05-18,15.847500000000002,30.28,7.48
2022-05-19,17.1925,28.07,8.76
2022-05-20,19.87,36.95,9.6
2022-05-21,15.015833333333333,31.98,8.2
2022-05-22,14.910416666666668,31.48,6.54
2022-05-23,20.7225,32.76,10.22
2022-05-24,20.415833333333335,41.17,9.71
2022-05-25,24.317083333333333,38.31,10.91
