Date,NO2_mean,NO2_max,NO2_min
2021-09-29,129.31916666666666,176.6,7.01
2021-09-30,34.86875,176.86,8.84
2021-10-01,28.318749999999998,57.14,6.35
2021-10-02,18.908,54.45,7.96
2021-11-07,21.344615384615388,34.79,8.57
2021-11-08,39.41625,54.19,23.4
2021-11-09,26.74,49.98,11.96
2021-11-10,35.977916666666665,51.31,12.93
2021-11-11,34.23625,46.85,14.05
2021-11-12,20.820833333333333,29.98,12.67
2021-11-13,19.437916666666666,28.81,10.06
2021-11-14,18.480833333333333,28.5,10.25
2021-11-15,34.2875,47.37,17.76
2021-11-16,49.20791666666667,58.63,34.61
2021-11-17,37.44041666666667,56.57,18.64
2021-11-18,33.34291666666667,47.61,24.74
2021-11-19,30.909166666666664,47.73,19.82
2021-11-20,20.114166666666666,31.55,10.28
2021-11-21,13.218333333333334,20.55,9.73
2021-11-22,21.40416666666667,33.35,7.99
2021-11-23,43.435,58.81,26.04
2021-11-24,49.63391304347826,71.48,31.9
2021-11-25,34.177058823529414,51.07,15.71
2021-11-26,22.381666666666668,34.42,9.92
2021-11-27,10.788823529411765,15.65,4.63
2021-11-28,15.69277777777778,32.49,6.16
2021-11-29,46.47222222222222,73.37,18.89
2021-11-30,14.276470588235295,27.68,6.26
2021-12-01,19.20705882352941,39.39,4.54
2021-12-02,27.444117647058825,51.99,10.95
2021-12-03,38.73210526315789,68.26,7.24
2021-12-04,22.200555555555557,38.75,10.56
2021-12-05,11.25294117647059,19.31,3.47
2021-12-06,32.80222222222222,56.21,15.55
2021-12-07,31.98388888888889,88.15,7.6
2021-12-08,12.85,30.3,3.37
2021-12-09,26.784117647058824,56.92,5.96
2021-12-10,16.448333333333334,32.43,4.54
2021-12-11,37.015,73.83,14.26
2021-12-12,21.22,37.85,5.58
2021-12-13,23.22,45.3,4.4
2021-12-14,31.13222222222222,52.49,9.54
2021-12-15,27.843333333333334,43.23,8.06
2021-12-16,34.235,56.32,20.03
2021-12-17,23.174375,41.82,12.59
2021-12-18,22.34277777777778,39.67,10.58
