Date,NO2_mean,NO2_max,NO2_min
2021-07-01,22.11,36.0,13.95
2021-07-02,24.260833333333334,35.13,10.84
2021-07-03,19.214583333333334,28.28,8.28
2021-07-04,15.831666666666665,26.31,6.77
2021-07-05,17.972083333333334,30.02,7.72
2021-07-06,13.574583333333335,20.05,8.78
2021-07-07,13.346666666666666,23.41,6.08
2021-07-08,13.8725,23.54,6.65
2021-07-09,28.071250000000003,38.2,14.47
2021-07-10,17.5625,34.35,9.36
2021-07-11,13.594583333333333,28.0,7.2
2021-07-12,24.637916666666666,31.07,11.74
2021-07-13,15.188333333333333,30.59,10.32
2021-07-14,12.97125,14.67,10.21
2021-07-15,13.88875,18.88,8.91
2021-07-16,19.2925,33.38,8.95
2021-07-17,17.70875,33.59,8.21
2021-07-18,16.705833333333334,37.73,7.89
2021-07-19,49.62625,70.67,17.01
2021-07-20,58.32333333333333,79.29,19.61
2021-07-21,34.22,77.31,17.88
2021-07-22,26.205,36.39,13.69
2021-07-23,20.04125,32.93,10.1
2021-07-24,36.165,62.29,17.43
2021-07-25,18.46125,25.15,8.8
2021-07-26,18.663333333333334,27.49,7.74
2021-07-27,15.141666666666666,24.06,7.18
2021-07-28,16.380416666666665,25.15,8.51
2021-07-29,11.789166666666667,20.98,4.97
2021-07-30,28.881249999999998,50.64,11.33
2021-07-31,17.6525,28.53,9.24
2021-08-01,13.355416666666665,24.31,8.07
2021-08-02,19.29,27.76,13.38
2021-08-03,23.11583333333333,31.14,14.5
2021-08-04,24.58125,41.68,12.65
2021-08-05,21.802083333333332,46.15,10.14
2021-08-06,13.058333333333332,26.17,4.01
2021-08-07,19.57,30.48,9.45
2021-08-08,9.147499999999999,18.23,3.59
2021-08-09,18.581666666666667,29.21,8.74
2021-08-10,19.517916666666668,27.81,11.26
2021-08-11,21.472083333333334,36.26,8.39
2021-08-12,16.777916666666666,27.43,8.64
2021-08-13,13.34625,20.8,7.91
2021-08-14,11.772916666666667,19.66,7.81
2021-08-15,10.868333333333332,19.13,5.16
2021-08-16,14.015833333333333,26.16,5.39
2021-08-17,18.914583333333333,26.72,14.28
2021-08-18,16.377916666666668,27.84,9.63
2021-08-19,17.630416666666665,24.31,7.88
2021-08-20,14.6925,22.22,7.78
2021-08-21,28.911666666666665,46.81,18.42
2021-08-22,17.845833333333335,29.73,9.46
2021-08-23,14.526666666666666,24.45,4.13
2021-08-24,15.054166666666667,22.51,6.37
2021-08-25,12.334166666666667,21.78,7.1
2021-08-26,10.029166666666667,14.05,4.42
2021-08-27,13.542916666666665,19.06,4.63
2021-08-28,15.46125,28.6,8.55
2021-08-29,17.360833333333336,30.26,7.0
2021-08-30,13.887500000000001,19.32,5.25
2021-08-31,11.28608695652174,19.31,4.63
2021-09-01,13.802916666666667,20.73,6.1
2021-09-02,12.675833333333335,23.51,5.94
2021-09-03,15.2275,24.25,8.05
2021-09-04,14.247916666666667,17.96,9.8
2021-09-05,23.170833333333334,41.01,12.96
2021-09-06,39.48208333333333,66.36,21.83
2021-09-07,49.035,67.68,18.21
2021-09-08,48.543749999999996,63.53,24.92
2021-09-09,22.829166666666666,48.71,12.2
2021-09-10,19.844166666666666,26.17,13.18
2021-09-11,13.886249999999999,22.44,7.41
2021-09-12,22.564166666666665,32.63,13.6
2021-09-13,17.293333333333333,32.88,9.85
2021-09-14,26.15041666666667,36.22,13.2
2021-09-15,24.06958333333333,47.8,13.0
2021-09-16,28.77416666666667,44.31,14.73
2021-09-17,22.893333333333334,35.88,10.28
2021-09-18,41.98833333333334,62.69,13.49
2021-09-19,24.107916666666668,50.13,14.89
2021-09-20,18.887083333333333,29.35,10.48
2021-09-21,39.195,61.3,19.44
2021-09-22,33.35791666666666,49.8,13.66
2021-09-23,23.47458333333333,33.5,14.25
2021-09-24,18.79625,30.14,11.05
2021-09-25,19.079583333333332,31.71,13.13
2021-09-26,19.980833333333333,35.54,10.19
2021-09-27,12.949166666666665,25.65,4.23
2021-09-28,20.6775,41.99,9.26
2021-09-29,21.44125,37.63,7.86
2021-09-30,21.478333333333335,35.33,9.63
2021-10-01,21.243333333333332,37.73,6.77
2021-10-02,18.57875,30.69,7.7
2021-10-03,21.729166666666668,33.56,7.12
2021-10-04,21.65833333333333,37.34,9.21
2021-10-05,18.575,34.17,4.82
2021-10-06,22.133333333333336,46.29,6.12
2021-10-07,28.077083333333334,38.34,19.8
2021-10-08,19.550833333333333,36.75,10.93
2021-10-09,32.46,46.37,22.43
2021-10-10,28.258750000000003,42.52,13.96
2021-10-11,26.887083333333333,48.97,15.23
2021-10-12,34.418749999999996,46.74,14.18
2021-10-13,36.70791666666667,52.67,12.52
2021-10-14,27.400000000000002,40.68,15.66
2021-10-15,23.482916666666668,50.2,11.86
2021-10-16,38.71083333333333,50.18,25.29
2021-10-17,26.31625,35.34,13.29
2021-10-18,24.86791666666667,40.58,12.2
2021-10-19,13.60125,17.92,7.69
2021-10-20,15.899583333333334,28.25,5.05
2021-10-21,20.171666666666667,45.31,6.99
2021-10-22,28.96875,39.86,16.72
2021-10-23,26.59583333333333,37.43,19.39
2021-10-24,16.930833333333336,26.91,8.67
2021-10-25,22.974999999999998,44.06,9.61
2021-10-26,22.270833333333332,33.86,9.98
2021-10-27,13.34375,23.3,4.52
2021-10-28,18.826249999999998,32.99,6.79
2021-10-29,16.709166666666665,31.33,6.85
2021-10-30,27.749583333333334,39.97,12.85
2021-10-31,15.272,31.87,6.14
2021-11-01,21.644166666666667,42.36,4.47
2021-11-02,39.48625,57.82,25.74
2021-11-03,35.149166666666666,53.54,11.98
2021-11-04,18.099999999999998,32.47,9.82
2021-11-05,41.794583333333335,50.05,30.55
2021-11-06,15.260833333333332,30.84,10.85
2021-11-07,25.49291666666667,48.49,8.72
2021-11-08,33.20458333333333,45.22,23.33
2021-11-09,23.7325,39.47,12.88
2021-11-10,26.205416666666665,34.11,12.07
2021-11-11,30.514583333333334,41.66,13.48
2021-11-12,15.52625,25.11,11.01
2021-11-13,14.625833333333333,25.53,9.05
2021-11-14,14.332916666666668,22.91,8.56
2021-11-15,29.417083333333334,42.32,16.59
2021-11-16,39.11625,45.98,31.14
2021-11-17,35.9,55.72,17.7
2021-11-18,32.07083333333333,38.85,23.43
2021-11-19,22.386666666666667,33.74,17.49
2021-11-20,16.674583333333334,25.98,8.62
2021-11-21,11.81875,22.05,8.51
2021-11-22,19.861250000000002,32.32,8.25
2021-11-23,38.567083333333336,50.76,26.41
2021-11-24,47.44208333333333,60.22,30.52
2021-11-25,29.071176470588235,42.2,15.71
2021-11-26,19.274444444444445,34.32,9.92
2021-11-27,9.13529411764706,14.3,4.63
2021-11-28,13.514444444444443,23.89,6.16
2021-11-29,35.434705882352944,44.2,18.89
2021-11-30,16.715555555555554,26.14,6.26
2021-12-01,21.121111111111112,47.62,4.54
2021-12-02,23.47888888888889,40.16,10.95
2021-12-03,33.11222222222222,55.46,7.24
2021-12-04,20.82888888888889,33.16,10.56
2021-12-05,10.72529411764706,15.89,3.47
2021-12-06,25.410625,36.11,15.55
2021-12-07,19.677777777777777,45.45,7.6
2021-12-08,9.697777777777778,19.6,3.37
2021-12-09,23.74722222222222,42.61,5.96
2021-12-10,14.366875,24.54,4.54
2021-12-11,23.845,36.38,14.26
2021-12-12,12.85125,18.57,5.58
2021-12-13,16.330000000000002,30.35,4.4
2021-12-14,24.72277777777778,39.5,9.54
2021-12-15,22.994705882352942,30.67,8.06
2021-12-16,34.61222222222222,50.86,20.03
2021-12-17,21.22611111111111,28.39,12.59
2021-12-18,17.392777777777777,23.63,10.58
2021-12-19,17.087777777777777,21.43,11.44
2021-12-20,18.202222222222222,30.06,7.66
2021-12-21,35.797222222222224,51.06,12.85
2021-12-22,36.051875,43.51,30.87
2021-12-23,25.209411764705884,31.38,18.04
2021-12-24,27.078333333333333,38.41,9.4
2021-12-25,13.350625,17.54,8.82
2021-12-26,25.806666666666665,36.05,19.4
2021-12-27,18.18722222222222,26.8,12.33
2021-12-28,10.30375,15.69,4.77
2021-12-29,11.604117647058825,16.37,6.81
2021-12-30,7.461875,11.63,3.15
2021-12-31,6.975625,14.2,2.99
2022-01-01,8.569444444444445,12.62,4.73
2022-01-02,7.654999999999999,10.23,3.62
2022-01-03,11.16235294117647,21.68,3.23
2022-01-04,16.78875,29.38,8.73
2022-01-05,24.29235294117647,40.27,8.73
2022-01-06,31.448235294117648,45.61,10.96
2022-01-07,16.758333333333333,25.24,5.79
2022-01-08,17.95625,24.1,9.77
2022-01-09,23.12705882352941,45.19,8.21
2022-01-10,42.56705882352941,55.2,17.44
2022-01-11,21.496111111111112,36.12,10.26
2022-01-12,44.19764705882353,55.13,23.72
2022-01-13,52.940555555555555,71.15,38.06
2022-01-14,69.07588235294118,97.38,47.91
2022-01-15,36.01952380952381,43.68,30.79
2022-01-16,36.77916666666667,49.14,23.95
2022-01-17,49.625416666666666,69.03,20.78
2022-01-18,58.31708333333333,77.35,41.42
2022-01-19,32.21875,43.34,24.07
2022-01-20,25.16,33.42,18.44
2022-01-21,48.03791666666667,58.64,28.22
2022-01-22,26.34,39.39,19.95
2022-01-23,20.75375,28.66,14.96
2022-01-24,26.507499999999997,42.31,9.31
2022-01-25,29.244583333333335,38.46,20.91
2022-01-26,29.651,45.88,17.27
2022-01-27,30.373529411764707,57.0,7.86
2022-01-28,40.32,61.47,15.32
2022-01-29,10.704583333333334,19.28,6.24
2022-01-30,25.44541666666667,43.58,7.99
2022-01-31,15.085416666666667,33.03,4.47
2022-02-01,19.650000000000002,27.24,10.12
2022-02-02,22.9375,47.42,7.77
2022-02-03,20.671666666666667,38.77,7.94
2022-02-04,14.644583333333335,26.23,4.56
2022-02-05,15.044166666666667,21.58,5.17
2022-02-06,5.861250000000001,14.41,2.36
2022-02-07,35.068333333333335,63.36,7.63
2022-02-08,13.17375,19.44,4.32
2022-02-09,18.275833333333335,29.19,5.43
2022-02-10,28.10875,45.12,11.45
2022-02-11,35.9425,54.63,19.28
2022-02-12,16.644583333333333,30.56,9.17
2022-02-13,8.288333333333332,12.82,6.51
2022-02-14,14.48375,21.48,6.13
2022-02-15,25.392916666666665,41.96,16.11
2022-02-16,8.699583333333333,14.65,3.55
2022-02-17,16.875416666666666,27.85,3.29
2022-02-18,10.43375,17.65,4.96
2022-02-19,11.4775,30.74,4.67
2022-02-20,9.085416666666667,13.0,5.47
2022-02-21,12.124166666666667,35.14,4.18
2022-02-22,25.11,45.95,8.43
2022-02-23,27.469583333333333,47.57,10.96
2022-02-24,17.237916666666667,29.37,4.44
2022-02-25,28.809583333333336,71.53,7.23
2022-02-26,30.951666666666668,58.51,9.99
2022-02-27,36.585,56.31,11.49
2022-02-28,22.915000000000003,34.83,15.35
2022-03-01,30.170833333333334,41.93,17.1
2022-03-02,45.043749999999996,63.11,26.29
2022-03-03,39.9225,57.32,22.4
2022-03-04,28.967083333333335,37.05,21.46
2022-03-05,14.040416666666667,21.68,9.36
2022-03-06,12.760833333333332,18.34,6.75
2022-03-07,21.747083333333332,34.83,8.03
2022-03-08,26.09875,33.27,18.22
