Date,NO2_mean,NO2_max,NO2_min
2024-06-23,7.884285714285714,8.77,6.29
2024-06-24,26.039166666666663,44.91,8.66
2024-06-25,35.13375,50.6,20.46
2024-06-26,24.422916666666666,45.4,10.74
2024-06-27,12.282083333333333,27.02,6.85
2024-06-28,8.54125,20.42,2.86
2024-06-29,16.55875,22.19,12.32
2024-06-30,9.039583333333333,23.14,5.0
2024-07-01,9.612916666666667,11.77,6.67
2024-07-02,14.089166666666666,27.82,6.39
2024-07-03,16.770625,25.9,7.38
2024-07-09,16.606153846153845,20.96,9.47
2024-07-10,7.609166666666667,12.84,4.56
2024-07-11,18.410416666666666,25.23,9.82
2024-07-12,7.972916666666666,17.35,3.25
2024-07-13,14.024583333333334,21.18,7.17
2024-07-14,15.594166666666666,22.68,9.47
2024-07-15,27.0125,42.09,11.11
2024-07-16,10.16,18.06,4.37
2024-07-17,25.309166666666666,33.8,13.25
2024-07-18,24.547916666666666,36.99,9.06
2024-07-19,30.692083333333333,64.51,8.65
2024-07-20,10.38625,29.5,6.55
2024-07-21,8.6625,11.83,6.35
2024-07-22,8.542083333333332,12.27,5.89
2024-07-23,13.360416666666666,22.87,6.66
2024-07-24,25.35375,39.75,8.72
2024-07-25,11.137142857142857,20.57,6.28
