Date,NO2_mean,NO2_max,NO2_min
2024-06-29,23.144347826086953,40.75,11.26
2024-06-30,13.957916666666668,37.61,5.53
2024-07-01,15.63125,20.73,5.59
2024-07-02,13.254166666666668,23.03,6.75
2024-07-03,14.41375,22.72,7.96
2024-07-04,7.010000000000001,12.04,4.48
2024-07-05,10.054583333333333,15.28,3.04
2024-07-06,12.085833333333333,16.62,7.57
2024-07-07,8.741666666666667,17.06,5.79
2024-07-08,14.850416666666668,24.44,8.62
2024-07-09,16.485833333333332,21.64,9.46
2024-07-10,16.75375,25.04,7.99
2024-07-11,11.830833333333333,22.9,6.05
2024-07-12,12.261249999999999,17.87,3.45
2024-07-13,17.416666666666668,24.46,6.67
2024-07-14,15.815416666666666,24.99,8.56
2024-07-15,19.934583333333332,30.94,9.1
2024-07-16,12.673333333333334,23.43,3.91
2024-07-17,18.54,28.51,9.75
2024-07-18,25.99416666666667,39.04,9.48
2024-07-19,25.680000000000003,48.35,8.67
2024-07-20,14.083333333333334,38.24,7.31
2024-07-21,10.621666666666668,14.38,6.01
2024-07-22,12.64,19.53,6.2
2024-07-23,20.442916666666665,32.01,7.05
2024-07-24,44.19916666666666,53.63,21.73
2024-07-25,12.419411764705883,51.55,7.09
