Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-06-29,5.836086956521739,6.83,5.0
2024-06-30,3.624166666666667,6.17,2.73
2024-07-01,4.2804166666666665,6.28,2.81
2024-07-02,5.972608695652174,9.77,4.34
2024-07-03,5.180833333333333,8.84,4.19
2024-07-04,4.156666666666667,5.98,3.59
2024-07-05,3.2429166666666664,6.41,1.12
2024-07-06,2.6316666666666664,8.19,1.1
2024-07-07,5.1883333333333335,8.54,3.14
2024-07-08,3.6162500000000004,6.44,2.56
2024-07-09,4.40625,9.69,2.44
2024-07-10,2.13375,3.28,1.64
2024-07-11,3.6804166666666664,5.19,2.53
2024-07-12,5.165,8.29,3.42
2024-07-13,3.9012499999999997,5.98,1.88
2024-07-14,5.253333333333333,7.45,4.28
2024-07-15,6.501666666666666,9.07,5.12
2024-07-16,6.155833333333334,7.72,4.82
2024-07-17,6.807916666666666,9.07,5.24
2024-07-18,5.339583333333334,8.2,3.34
2024-07-19,10.002916666666666,16.05,4.59
2024-07-20,3.5208333333333335,11.15,1.16
2024-07-21,2.7529166666666662,5.1,1.86
2024-07-22,5.685416666666666,13.36,2.36
2024-07-23,5.170833333333333,8.58,3.03
2024-07-24,5.391249999999999,10.85,3.28
2024-07-25,4.128235294117648,5.77,3.01
