Date,NO2_mean,NO2_max,NO2_min
2022-10-08,34.04875,64.2,13.62
2022-10-09,29.751666666666665,54.66,11.92
2022-10-10,40.99583333333333,58.08,14.96
2022-10-11,50.83291666666667,74.9,26.99
2022-10-12,31.339583333333334,56.5,14.28
2022-10-13,28.22875,50.75,13.34
2022-10-14,33.764583333333334,45.34,17.69
2022-10-15,15.887500000000001,26.72,8.44
2022-10-16,12.454583333333332,21.72,4.7
2022-10-17,18.09,31.83,7.7
2022-10-18,32.831250000000004,42.82,19.25
2022-10-19,22.575833333333332,31.15,13.43
2022-10-20,34.892916666666665,52.69,24.75
2022-10-21,23.19333333333333,41.76,8.74
2022-10-22,12.567083333333334,20.95,4.81
2022-10-23,19.46875,29.61,9.72
2022-10-24,12.857083333333334,23.01,3.1
2022-10-25,18.637916666666666,31.19,7.34
2022-10-26,20.614583333333332,37.49,8.78
2022-10-27,24.932916666666667,43.73,12.84
2022-10-28,29.82375,45.79,16.71
2022-10-29,25.1525,37.33,13.73
2022-10-30,17.132,25.67,10.71
2022-10-31,27.824166666666667,45.32,7.68
2022-11-01,10.720833333333333,15.93,2.95
2022-11-02,14.582916666666668,26.55,6.9
2022-11-03,33.612500000000004,57.02,8.49
2022-11-04,40.95458333333333,62.23,20.52
2022-11-05,21.820833333333336,37.44,13.73
2022-11-06,18.557916666666667,28.7,7.07
2022-11-07,17.066666666666666,29.66,6.79
2022-11-08,13.652083333333332,23.1,4.68
2022-11-09,13.22875,23.74,6.5
2022-11-10,17.235416666666666,24.76,7.76
2022-11-11,15.790833333333333,30.3,4.66
2022-11-12,36.89625,49.76,17.33
2022-11-13,26.104583333333334,40.72,11.7
2022-11-14,33.6325,44.17,17.03
2022-11-15,27.885833333333334,39.78,15.4
2022-11-16,19.271666666666665,38.01,6.68
2022-11-17,17.625416666666666,25.99,6.34
2022-11-18,19.48375,32.06,6.16
2022-11-19,24.83125,51.46,13.02
2022-11-20,30.809166666666666,47.92,14.77
2022-11-21,27.315416666666668,42.08,13.86
2022-11-22,30.754166666666666,60.37,5.19
2022-11-23,26.4725,38.55,12.31
2022-11-24,20.958333333333332,47.56,8.26
2022-11-25,27.941666666666666,48.14,7.37
2022-11-26,18.115416666666665,34.41,6.87
2022-11-27,27.0625,42.12,7.88
2022-11-28,42.16958333333333,63.47,17.06
2022-11-29,30.311666666666667,48.01,12.32
2022-11-30,36.162083333333335,53.49,21.36
2022-12-01,33.20041666666666,44.54,22.97
2022-12-02,24.082083333333333,38.18,13.95
2022-12-03,15.93875,22.48,5.79
2022-12-04,16.56,21.13,10.16
2022-12-05,21.365,30.8,11.22
2022-12-06,30.28,42.95,15.95
2022-12-07,39.51083333333333,60.78,15.37
2022-12-08,63.02375,75.41,38.38
2022-12-09,55.3125,72.0,37.36
2022-12-10,55.30458333333333,72.38,41.98
2022-12-11,50.30833333333334,64.46,27.79
2022-12-12,34.50416666666667,49.79,22.62
2022-12-13,59.84625,75.98,43.63
2022-12-14,38.780833333333334,53.82,27.7
2022-12-15,45.487500000000004,61.99,34.26
2022-12-16,60.897083333333335,85.22,36.07
2022-12-17,71.47458333333334,84.14,41.44
2022-12-18,29.361666666666668,46.4,12.75
2022-12-19,14.89,20.67,7.36
2022-12-20,28.327916666666667,58.13,5.4
2022-12-21,32.8775,55.93,13.5
2022-12-22,30.976249999999997,52.95,16.85
2022-12-23,22.235,42.06,11.24
2022-12-24,19.374166666666667,29.76,7.59
2022-12-25,10.927083333333334,17.24,6.71
2022-12-26,14.020000000000001,21.81,5.46
2022-12-27,15.565,25.67,7.7
2022-12-28,11.188333333333333,15.82,5.24
2022-12-29,11.2175,19.57,3.64
2022-12-30,15.561250000000001,25.3,7.42
2022-12-31,8.380416666666667,13.49,4.08
2023-01-01,15.93125,30.89,6.71
2023-01-02,38.68833333333333,65.74,16.27
2023-01-03,25.073333333333334,50.35,6.56
2023-01-04,6.8,9.93,2.18
2023-01-05,24.084999999999997,46.62,6.76
2023-01-06,24.176666666666666,41.93,6.03
2023-01-07,8.837083333333334,14.4,4.57
2023-01-08,11.412083333333333,25.21,3.56
2023-01-09,17.27208333333333,28.72,6.84
2023-01-10,20.527916666666666,36.04,8.72
2023-01-11,13.770833333333334,23.26,6.73
2023-01-12,9.270416666666668,14.24,2.46
2023-01-13,13.915416666666667,28.6,3.66
2023-01-14,8.692916666666667,11.98,5.09
2023-01-15,14.888333333333334,42.76,3.48
2023-01-16,32.99375,66.7,11.12
2023-01-17,59.89125000000001,68.07,51.42
2023-01-18,46.48041666666666,65.99,22.42
2023-01-19,59.67791666666667,80.97,36.79
2023-01-20,42.355,60.91,25.04
2023-01-21,46.9,77.56,21.99
2023-01-22,56.138749999999995,107.85,38.2
2023-01-23,97.13499999999999,117.93,49.28
2023-01-24,43.26125,74.76,23.95
2023-01-25,61.68125,85.94,18.86
2023-01-26,21.749583333333334,33.04,14.02
2023-01-27,26.59375,51.72,9.12
