Date,NO2_mean,NO2_max,NO2_min
2024-07-04,5.065,5.71,4.41
2024-07-05,7.769166666666667,10.52,2.95
2024-07-06,9.809166666666666,15.77,5.4
2024-07-07,7.216666666666666,14.26,5.15
2024-07-08,12.254583333333334,18.48,8.29
2024-07-09,15.583333333333334,19.4,9.37
2024-07-10,6.288333333333334,12.13,3.22
2024-07-11,11.512916666666667,18.67,6.42
2024-07-12,6.769583333333333,11.42,2.91
2024-07-13,15.204583333333332,22.13,6.43
2024-07-14,12.360416666666666,21.9,6.89
2024-07-15,29.669583333333335,48.34,11.87
2024-07-16,8.50375,16.07,3.63
2024-07-17,19.278333333333332,29.14,8.94
2024-07-18,23.9375,37.09,8.7
2024-07-19,30.89833333333333,65.58,8.37
2024-07-20,9.787083333333333,29.08,6.19
2024-07-21,6.675416666666667,9.34,4.75
2024-07-22,8.570833333333333,10.82,5.71
2024-07-23,9.858333333333333,18.75,5.53
2024-07-24,20.076666666666664,34.68,6.88
2024-07-25,9.96952380952381,15.0,6.08
