Date,PM2.5_mean,PM2.5_max,PM2.5_min
2024-07-04,4.54,4.87,4.26
2024-07-05,5.489583333333333,8.89,2.92
2024-07-06,3.92625,9.37,2.64
2024-07-07,6.641249999999999,12.19,4.71
2024-07-08,4.007083333333333,6.08,3.24
2024-07-09,5.415,10.44,3.01
2024-07-10,2.9875000000000003,3.92,2.31
2024-07-11,3.8512500000000003,4.69,3.24
2024-07-12,5.389166666666667,7.12,4.15
2024-07-13,5.425833333333333,8.35,3.98
2024-07-14,5.46,7.2,4.4
2024-07-15,6.758333333333333,9.23,5.0
2024-07-16,4.541666666666667,6.76,2.98
2024-07-17,5.9075,7.74,4.8
2024-07-18,7.304166666666667,10.99,5.13
2024-07-19,9.20125,15.19,6.25
2024-07-20,5.90875,10.2,3.93
2024-07-21,3.09625,4.97,2.4
2024-07-22,4.834583333333334,6.52,2.86
2024-07-23,5.05875,8.25,3.53
2024-07-24,5.922083333333333,8.8,4.07
2024-07-25,4.822380952380952,6.76,3.75
