Date,PM2.5_mean,PM2.5_max,PM2.5_min
2021-06-12,6.415,7.24,5.9
2021-06-13,7.019166666666667,8.77,5.79
2021-06-14,7.010833333333333,7.59,6.38
2021-06-15,6.937692307692307,7.59,6.42
2021-06-17,9.130833333333333,13.03,6.63
2021-06-18,3.5716666666666668,7.06,0.62
2021-06-19,4.71,11.18,0.01
2021-06-20,7.099166666666666,11.52,4.68
2021-06-21,6.3,8.63,3.97
2021-06-22,6.719166666666666,10.89,4.68
2021-06-23,7.60625,13.75,4.57
2021-06-24,10.976666666666667,17.76,5.21
2021-06-25,4.980833333333334,11.27,3.46
2021-06-26,7.829999999999999,13.96,3.99
2021-06-27,16.763749999999998,28.1,2.41
2021-06-28,8.657916666666667,16.47,0.55
2021-06-29,10.034583333333332,17.1,6.8
2021-06-30,6.136666666666667,9.91,2.79
2021-07-01,26.080416666666665,31.75,9.68
2021-07-02,14.282916666666667,25.72,7.52
2021-07-03,6.795416666666667,15.23,2.9
2021-07-04,3.5454166666666667,5.69,1.91
2021-07-05,4.762083333333334,7.44,2.34
2021-07-06,4.724583333333333,8.36,1.8
2021-07-07,6.892499999999999,11.93,3.68
2021-07-08,6.505,8.91,4.34
2021-07-09,7.702916666666667,10.72,4.19
2021-07-10,4.885,9.16,2.55
2021-07-11,5.478333333333333,9.7,2.86
2021-07-12,5.19,7.42,3.09
2021-07-13,9.890416666666667,17.07,4.08
2021-07-14,6.468333333333334,7.91,5.24
2021-07-15,5.877916666666667,7.17,4.55
2021-07-16,6.983333333333333,9.98,4.69
2021-07-17,5.363333333333333,8.24,4.17
2021-07-18,7.814583333333334,9.27,5.4
2021-07-19,10.28,13.31,8.41
2021-07-20,11.61125,14.66,9.43
2021-07-21,17.228333333333335,25.96,11.37
2021-07-22,19.308333333333334,38.19,9.04
2021-07-23,8.880833333333333,11.12,6.69
2021-07-24,16.02,24.54,4.6
2021-07-25,16.108333333333334,26.5,5.67
2021-07-26,13.980833333333335,19.24,9.47
2021-07-27,5.830416666666667,9.88,3.35
2021-07-28,4.752083333333333,9.18,2.63
2021-07-29,5.483333333333333,9.07,2.85
2021-07-30,5.302083333333333,9.85,3.49
2021-07-31,3.7241666666666666,6.13,2.44
2021-08-01,4.52375,6.61,2.46
2021-08-02,4.4075,5.83,2.83
2021-08-03,6.445833333333333,10.96,4.37
2021-08-04,7.252083333333334,11.27,4.92
2021-08-05,5.4366666666666665,9.01,2.49
2021-08-06,4.68875,6.71,3.47
2021-08-07,3.6466666666666665,5.89,2.71
2021-08-08,6.2075,9.1,3.74
2021-08-09,4.577083333333333,7.26,2.7
2021-08-10,5.767499999999999,7.28,4.36
2021-08-11,4.622916666666667,7.0,2.56
2021-08-12,5.055416666666667,7.76,2.4
2021-08-13,8.459583333333333,14.01,3.64
2021-08-14,8.42,12.44,6.41
2021-08-15,5.63375,9.79,3.69
2021-08-16,10.75625,20.0,3.09
2021-08-17,4.66375,7.9,2.81
2021-08-18,3.939166666666667,4.47,3.12
2021-08-19,4.999583333333333,7.7,2.66
2021-08-20,3.8520833333333333,7.25,2.73
2021-08-21,5.980833333333333,9.54,3.15
2021-08-22,5.239166666666667,9.03,1.85
2021-08-23,5.270416666666667,9.81,4.1
2021-08-24,5.0720833333333335,6.69,3.9
2021-08-25,3.3504166666666664,4.72,2.53
2021-08-26,5.705416666666667,8.13,4.93
2021-08-27,7.602083333333333,13.42,4.99
2021-08-28,6.8475,10.3,5.4
2021-08-29,5.586666666666667,7.33,4.56
2021-08-30,4.93875,7.22,3.39
2021-08-31,5.6475,6.67,4.17
2021-09-01,8.445833333333335,14.63,4.87
2021-09-02,9.810833333333333,13.69,7.36
2021-09-03,14.327083333333334,21.2,8.37
2021-09-04,15.249583333333334,22.38,8.51
2021-09-05,18.49833333333333,31.89,6.91
2021-09-06,21.817083333333333,27.09,10.19
2021-09-07,22.82041666666667,36.1,9.16
2021-09-08,27.807916666666667,39.43,15.14
2021-09-09,9.33625,25.47,2.28
2021-09-10,5.1075,9.5,3.04
2021-09-11,6.089583333333334,7.83,4.7
2021-09-12,6.5325,11.72,4.74
2021-09-13,4.705416666666666,5.78,4.09
2021-09-14,14.301666666666668,20.61,5.04
2021-09-15,10.862083333333333,16.89,4.5
2021-09-16,11.512500000000001,16.45,5.78
2021-09-17,8.044166666666667,12.77,3.49
2021-09-18,14.01625,24.69,5.76
2021-09-19,20.33125,34.74,2.07
2021-09-20,7.669583333333333,15.22,1.78
2021-09-21,10.475833333333334,16.31,5.92
2021-09-22,10.004166666666666,12.44,7.36
2021-09-23,5.690416666666667,10.0,4.1
2021-09-24,6.419583333333333,8.28,4.95
2021-09-25,8.210833333333333,15.59,3.8
2021-09-26,13.339583333333332,20.75,4.85
2021-09-27,2.8558333333333334,5.05,2.05
2021-09-28,5.28,7.82,2.04
2021-09-29,3.5870833333333336,6.31,1.81
2021-09-30,5.212083333333333,8.69,2.55
2021-10-01,4.020416666666667,8.2,1.7
2021-10-02,4.61125,8.71,0.39
2021-10-03,3.482083333333333,5.93,0.5
2021-10-04,4.515,7.16,3.21
2021-10-05,4.482083333333333,6.98,2.86
2021-10-06,4.728750000000001,10.84,2.6
2021-10-07,6.9775,9.27,5.1
2021-10-08,7.037083333333334,23.44,2.39
2021-10-09,28.44875,38.69,19.49
2021-10-10,16.181250000000002,29.21,4.77
2021-10-11,7.200833333333333,13.86,4.91
2021-10-12,8.46875,14.15,3.77
2021-10-13,6.003333333333333,10.54,3.08
2021-10-14,7.418333333333333,10.73,3.91
2021-10-15,7.6191666666666675,10.38,4.57
2021-10-16,9.702916666666667,14.55,6.65
2021-10-17,9.5025,14.88,5.73
2021-10-18,8.632916666666667,13.41,3.28
2021-10-19,12.323749999999999,22.92,0.0
2021-10-20,7.14125,24.01,4.27
2021-10-21,4.757499999999999,10.42,2.95
2021-10-22,4.58875,6.76,3.47
2021-10-23,4.41,5.55,3.1
2021-10-24,4.787916666666667,7.0,3.65
2021-10-25,6.128333333333334,8.05,4.75
2021-10-26,6.418333333333333,8.21,5.36
2021-10-27,4.3687499999999995,7.0,3.0
2021-10-28,6.665,8.27,5.15
2021-10-29,6.5975,9.73,3.67
2021-10-30,4.707083333333333,7.69,2.61
2021-10-31,5.937200000000001,9.36,3.26
2021-11-01,5.185,10.72,3.64
2021-11-02,8.959583333333333,17.33,3.23
2021-11-03,11.9075,19.5,3.35
2021-11-04,6.2625,26.84,1.73
2021-11-05,18.09,45.46,2.47
2021-11-06,9.830416666666666,25.46,2.93
2021-11-07,9.615833333333333,22.82,5.35
2021-11-08,11.34875,15.51,8.7
2021-11-09,5.785833333333334,10.04,3.21
2021-11-10,6.996666666666667,12.65,2.75
2021-11-11,8.25125,11.15,4.5
2021-11-12,8.105416666666667,14.0,5.61
2021-11-13,4.685833333333333,7.61,2.33
2021-11-14,7.562916666666666,10.98,3.94
2021-11-15,11.407916666666667,18.49,7.47
2021-11-16,13.808260869565217,19.08,9.48
2021-11-17,10.852916666666667,16.53,7.17
2021-11-18,9.486666666666666,14.47,4.8
2021-11-19,9.550833333333333,16.81,4.24
2021-11-20,8.104166666666666,16.19,3.09
2021-11-21,4.51375,8.5,3.2
2021-11-22,6.632916666666667,11.95,4.74
2021-11-23,14.314583333333333,22.51,6.25
2021-11-24,19.399166666666666,26.52,7.12
2021-11-25,8.234583333333333,16.39,4.76
2021-11-26,5.53375,11.46,3.38
2021-11-27,3.876666666666667,6.91,2.32
2021-11-28,5.542916666666667,9.77,3.63
2021-11-29,14.27875,17.02,8.13
2021-11-30,4.562083333333333,7.91,2.45
2021-12-01,3.7775,6.69,1.67
2021-12-02,6.068333333333334,13.92,2.75
2021-12-03,8.75625,22.1,1.57
2021-12-04,7.670833333333333,18.22,3.69
2021-12-05,4.69,12.51,1.87
2021-12-06,7.545416666666667,13.48,3.41
2021-12-07,6.495,11.62,3.65
2021-12-08,8.318333333333333,12.69,3.79
2021-12-09,7.28875,11.3,3.67
2021-12-10,4.86,6.9,3.82
2021-12-11,8.428333333333333,12.83,4.85
2021-12-12,4.538333333333333,6.46,2.65
2021-12-13,3.859583333333333,6.27,1.96
2021-12-14,6.8187500000000005,9.26,5.55
2021-12-15,6.79,9.69,3.69
2021-12-16,8.606666666666667,11.23,7.43
2021-12-17,9.558333333333334,20.08,2.71
2021-12-18,13.204166666666666,17.1,7.24
2021-12-19,7.727083333333333,12.62,3.16
2021-12-20,8.804166666666667,19.13,1.27
2021-12-21,14.159583333333332,21.9,4.3
2021-12-22,16.150833333333335,27.07,8.24
2021-12-23,16.270416666666666,23.71,4.15
2021-12-24,8.210833333333333,13.41,4.94
2021-12-25,10.879583333333334,30.68,0.0
2021-12-26,15.670833333333334,31.84,4.23
2021-12-27,5.974166666666666,10.16,3.48
2021-12-28,3.6075,7.78,0.46
2021-12-29,5.642499999999999,9.58,1.1
2021-12-30,4.667916666666667,9.16,0.44
2021-12-31,7.7075,12.89,3.6
2022-01-01,16.138333333333332,36.14,8.76
2022-01-02,4.217083333333334,6.78,1.95
2022-01-03,7.857500000000001,10.68,4.63
2022-01-04,6.219166666666666,11.73,1.89
2022-01-05,7.18875,13.8,4.57
2022-01-06,8.952916666666667,13.91,3.93
2022-01-07,4.335416666666666,9.03,2.65
2022-01-08,5.465416666666666,10.62,3.35
2022-01-09,8.518749999999999,18.25,4.72
2022-01-10,13.075416666666667,16.13,10.12
2022-01-11,10.349583333333333,14.41,6.19
2022-01-12,16.475416666666664,24.55,5.51
2022-01-13,18.965,22.58,13.73
2022-01-14,28.245,37.63,21.61
2022-01-15,23.015,28.74,16.37
2022-01-16,16.300416666666667,20.58,6.75
2022-01-17,15.83,29.9,7.41
2022-01-18,20.722916666666666,24.84,12.36
2022-01-19,10.740416666666667,15.7,6.11
2022-01-20,7.576250000000001,9.33,5.42
2022-01-21,14.715833333333334,22.93,7.26
2022-01-22,12.270000000000001,17.38,7.12
2022-01-23,13.32125,16.47,9.58
2022-01-24,23.67125,34.21,17.5
2022-01-25,20.95,24.98,15.2
2022-01-26,19.14708333333333,23.12,12.18
2022-01-27,8.90125,17.8,3.62
2022-01-28,8.427083333333334,10.69,5.37
2022-01-29,5.432916666666667,13.78,0.53
2022-01-30,11.272083333333333,14.69,5.6
2022-01-31,7.27875,15.61,3.52
2022-02-01,4.77875,9.22,2.1
2022-02-02,5.014166666666667,10.64,2.07
2022-02-03,4.390833333333333,8.5,1.91
2022-02-04,5.485416666666667,17.86,2.29
2022-02-05,6.6725,10.95,4.32
2022-02-06,4.444999999999999,15.56,1.39
2022-02-07,7.035833333333333,10.94,3.66
2022-02-08,3.219583333333333,6.53,1.53
2022-02-09,3.0054166666666666,8.19,1.23
2022-02-10,5.460833333333333,9.2,3.99
2022-02-11,9.003333333333334,18.36,5.36
2022-02-12,7.861249999999999,12.03,5.53
2022-02-13,6.96125,11.82,3.25
2022-02-14,6.458749999999999,13.92,0.76
2022-02-15,5.5754166666666665,9.11,2.66
2022-02-16,5.793333333333333,16.31,0.47
2022-02-17,11.076666666666666,19.09,5.21
2022-02-18,7.486666666666667,18.14,1.61
2022-02-19,6.751666666666666,12.81,3.52
2022-02-20,8.989583333333334,12.73,2.85
2022-02-21,9.189166666666667,15.52,4.14
2022-02-22,8.874166666666666,15.6,3.04
2022-02-23,9.352500000000001,17.43,2.55
2022-02-24,6.429166666666667,18.44,2.34
2022-02-25,9.390833333333333,26.84,5.5
2022-02-26,11.541666666666666,21.14,5.25
2022-02-27,9.848333333333334,15.78,6.09
2022-02-28,10.354166666666666,13.1,7.82
2022-03-01,6.30375,10.03,2.96
2022-03-02,22.998333333333335,30.99,12.35
2022-03-03,23.4075,41.54,2.34
2022-03-04,8.610416666666667,17.21,4.47
2022-03-05,8.6075,28.21,2.69
2022-03-06,7.714166666666667,13.58,5.27
2022-03-07,10.375416666666666,16.44,4.75
2022-03-08,27.717916666666667,42.27,15.93
2022-03-09,9.886666666666667,20.29,5.75
2022-03-10,12.258333333333333,17.67,7.32
2022-03-11,9.659166666666666,15.81,2.77
2022-03-12,5.771249999999999,11.22,3.35
2022-03-13,4.954583333333333,6.29,3.77
2022-03-14,7.712083333333333,13.15,4.74
2022-03-15,11.085833333333333,15.95,7.24
2022-03-16,13.429166666666667,18.28,3.08
2022-03-17,6.057916666666666,10.4,3.52
2022-03-18,10.375,14.72,7.84
2022-03-19,14.86625,18.58,8.99
2022-03-20,18.618750000000002,31.73,4.82
2022-03-21,33.105,51.58,21.4
2022-03-22,35.81166666666667,57.47,13.85
2022-03-23,39.57833333333333,57.56,19.44
2022-03-24,45.354166666666664,74.46,24.67
2022-03-25,44.64875,81.62,17.62
2022-03-26,26.560833333333335,38.22,13.22
2022-03-27,10.14913043478261,13.96,6.98
2022-03-28,24.965,35.53,12.54
2022-03-29,24.677916666666665,29.19,16.97
2022-03-30,23.905833333333334,32.39,1.48
2022-03-31,3.7183333333333333,5.02,1.84
2022-04-01,3.807916666666667,4.4,3.3
2022-04-02,5.904166666666666,10.73,3.59
2022-04-03,5.724166666666666,9.69,2.76
2022-04-04,5.078333333333333,11.36,2.46
2022-04-05,5.467083333333334,10.71,2.15
2022-04-06,4.8374999999999995,7.42,2.55
2022-04-07,6.264166666666667,12.67,3.17
2022-04-08,7.212083333333333,12.12,4.0
2022-04-09,5.29875,8.86,3.48
2022-04-10,6.716666666666666,12.34,3.83
2022-04-11,12.05375,17.11,5.02
2022-04-12,12.565,21.02,6.87
2022-04-13,7.817083333333333,12.02,4.48
2022-04-14,7.134583333333333,11.95,4.79
2022-04-15,11.385833333333332,20.35,5.28
2022-04-16,23.840833333333332,35.96,14.02
2022-04-17,16.872916666666665,33.42,3.91
2022-04-18,9.255,18.96,4.48
2022-04-19,7.370833333333334,10.71,4.63
2022-04-20,11.621666666666668,19.98,5.7
2022-04-21,11.931666666666667,21.75,6.41
2022-04-22,11.365416666666667,16.19,8.33
2022-04-23,19.437916666666666,24.61,12.33
2022-04-24,12.76375,18.01,6.81
2022-04-25,9.431052631578947,12.19,6.56
2022-04-26,8.179166666666667,13.86,5.55
2022-04-27,6.384166666666666,9.51,4.13
2022-04-28,9.706666666666667,13.61,4.57
2022-04-29,7.879166666666666,10.85,5.51
2022-04-30,8.885,10.27,6.71
2022-05-01,11.456249999999999,16.03,7.98
2022-05-02,15.239583333333334,21.38,11.12
