Date,NO2_mean,NO2_max,NO2_min
2024-06-23,7.522857142857143,8.52,6.2
2024-06-24,24.19333333333333,42.02,8.15
2024-06-25,28.02208333333333,43.71,14.78
2024-06-26,24.265833333333333,36.95,10.45
2024-06-27,13.139166666666666,25.81,7.39
2024-06-28,8.507916666666667,20.41,2.73
2024-06-29,15.16375,22.58,8.08
2024-06-30,11.9625,21.82,5.37
2024-07-01,10.644166666666667,14.02,6.88
2024-07-02,14.176250000000001,30.01,6.39
2024-07-03,17.382916666666667,27.05,8.35
2024-07-04,6.28125,15.4,4.41
2024-07-05,8.364583333333334,12.5,3.14
2024-07-06,11.066249999999998,19.51,5.78
2024-07-07,8.305833333333334,16.82,5.28
2024-07-08,15.59125,22.58,9.76
2024-07-09,25.14708333333333,32.8,13.67
2024-07-10,6.923333333333333,24.46,3.47
2024-07-11,13.433333333333332,23.41,7.72
2024-07-12,9.231666666666667,13.68,3.13
2024-07-13,14.935416666666667,21.05,8.06
2024-07-14,14.584166666666667,21.56,8.36
2024-07-15,28.344583333333333,42.76,14.27
2024-07-16,10.729166666666666,19.69,4.26
2024-07-17,21.782083333333333,30.24,10.24
2024-07-18,22.780416666666667,35.02,9.07
2024-07-19,29.91541666666667,64.11,8.88
2024-07-20,10.684166666666668,28.16,6.7
2024-07-21,9.532083333333334,14.26,5.75
2024-07-22,8.779583333333333,13.8,5.77
2024-07-23,14.835833333333333,25.06,8.02
2024-07-24,22.765833333333333,37.1,7.5
2024-07-25,10.518095238095238,16.12,6.11
